Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,79.91,80.13,78.81,79.05,2875800,79.05
2013-11-19,78.80,80.44,78.28,79.71,6758300,79.71
2013-11-18,77.36,77.70,77.14,77.36,1761400,77.36
2013-11-15,76.87,77.40,76.55,77.33,2347700,77.33
2013-11-14,76.64,77.43,76.51,76.97,2190300,76.97
2013-11-13,75.65,76.50,75.24,76.45,2436900,76.45
2013-11-12,75.69,75.90,75.39,75.72,1812600,75.72
2013-11-11,75.83,76.04,75.50,75.76,1166700,75.76
2013-11-08,75.44,76.03,75.21,76.01,1379200,76.01
2013-11-07,76.15,76.41,75.21,75.33,1532700,75.33
2013-11-06,75.34,76.05,75.32,75.83,1253500,75.83
2013-11-05,75.25,75.67,74.74,75.51,1166900,75.51
2013-11-04,75.72,75.91,74.95,75.51,1581100,75.51
2013-11-01,75.35,75.48,74.89,75.31,1852300,75.31
2013-10-31,74.26,75.25,74.01,75.03,2727000,75.03
2013-10-30,75.91,75.91,73.77,74.30,2169500,74.30
2013-10-29,76.04,76.66,75.57,76.35,1683400,76.35
2013-10-28,75.32,76.08,75.15,75.67,1648100,75.67
2013-10-25,75.31,75.71,74.96,75.51,1167800,75.51
2013-10-24,75.30,75.64,75.14,75.41,1389900,75.41
2013-10-23,75.24,75.31,74.83,75.11,1111600,75.11
2013-10-22,74.92,75.75,74.64,75.45,1366700,75.45
2013-10-21,73.99,74.75,73.89,74.70,1238600,74.70
2013-10-18,74.15,74.50,73.87,74.19,1722700,74.19
2013-10-17,73.41,74.15,73.25,74.08,1412500,74.08
2013-10-16,72.95,73.79,72.72,73.72,1814200,73.72
2013-10-15,72.54,72.71,72.18,72.32,1791200,72.32
2013-10-14,72.36,72.89,72.14,72.86,987300,72.86
2013-10-11,71.26,72.53,71.22,72.51,1076000,72.51
2013-10-10,70.84,71.93,70.61,71.81,1402500,71.81
2013-10-09,70.25,70.60,69.91,70.28,1415400,70.28
2013-10-08,71.14,71.24,70.17,70.24,1503100,70.24
2013-10-07,70.89,71.35,70.52,71.02,880600,71.02
2013-10-04,71.26,71.61,70.94,71.52,1241000,71.52
2013-10-03,71.71,72.00,70.89,71.10,1362600,71.10
2013-10-02,72.00,72.11,71.66,72.02,1729700,72.02
2013-10-01,72.58,72.58,71.89,72.16,1485300,72.16
2013-09-30,72.31,72.51,71.89,72.38,1760700,72.38
2013-09-27,72.70,72.73,71.61,72.56,1396000,72.56
2013-09-26,72.83,73.20,72.57,72.92,1199300,72.92
2013-09-25,73.09,73.22,72.32,72.52,1172000,72.52
2013-09-24,72.45,73.30,72.29,72.95,1918700,72.95
2013-09-23,74.20,74.62,72.71,73.13,3039100,73.13
2013-09-20,74.76,74.88,74.36,74.43,2407900,74.43
2013-09-19,74.89,74.95,74.48,74.68,1657400,74.68
2013-09-18,74.17,74.86,73.75,74.74,1654100,74.74
2013-09-17,74.24,74.41,73.90,74.16,2295100,74.16
2013-09-16,74.85,74.93,74.03,74.10,1957800,74.10
2013-09-13,74.23,74.33,73.46,74.09,1882400,74.09
2013-09-12,73.91,74.51,73.75,74.18,1336100,74.18
2013-09-11,73.36,74.11,73.18,74.01,3066300,74.01
2013-09-10,74.38,74.38,73.74,73.74,3156000,73.30
2013-09-09,73.14,73.94,73.14,73.79,1700300,73.35
2013-09-06,72.45,73.28,71.37,73.13,2315700,72.70
2013-09-05,71.83,72.38,71.79,72.34,1167600,71.91
2013-09-04,70.09,72.12,69.76,72.05,1671800,71.62
2013-09-03,71.98,72.45,71.00,71.41,1816200,70.99
2013-08-30,71.29,71.31,70.76,71.16,1506000,70.74
2013-08-29,70.78,71.64,70.42,71.30,1417700,70.88
2013-08-28,71.12,71.40,70.85,70.94,1589200,70.52
2013-08-27,71.22,71.58,70.90,70.94,1631800,70.52
2013-08-26,69.89,72.48,69.89,72.03,1099200,71.61
2013-08-23,72.48,72.56,72.01,72.28,1318400,71.85
2013-08-22,72.01,72.64,71.90,72.44,809500,72.01
2013-08-21,72.15,72.38,71.61,71.83,1564400,71.41
2013-08-20,71.79,72.51,71.75,72.34,1230000,71.91
2013-08-19,71.61,72.24,71.61,71.90,1388800,71.48
2013-08-16,71.47,72.08,71.38,71.89,1792600,71.47
