/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,78.48,79.56,77.44,78.13,2196800,78.13
2013-11-19,78.57,79.06,77.93,78.10,2026900,78.10
2013-11-18,79.18,79.39,78.45,78.57,1236500,78.57
2013-11-15,78.88,79.49,78.79,79.28,1852100,79.28
2013-11-14,78.64,79.42,78.00,79.10,2065400,79.10
2013-11-13,77.57,78.30,77.41,78.17,2000900,78.17
2013-11-12,77.72,78.41,77.19,77.96,2408800,77.96
2013-11-11,79.01,79.01,77.42,77.45,2277000,77.45
2013-11-08,78.47,78.77,76.44,77.79,3746200,77.79
2013-11-07,79.57,80.05,78.64,78.77,2878000,78.77
2013-11-06,78.95,79.81,78.78,79.53,2104300,79.53
2013-11-05,78.90,79.80,78.31,78.60,3250200,78.60
2013-11-04,79.42,79.71,78.67,79.00,1868400,79.00
2013-11-01,79.45,80.43,78.61,79.37,2759400,79.37
2013-10-31,80.25,80.96,79.13,79.35,3676800,79.35
2013-10-30,79.05,81.36,78.75,80.69,3562900,80.69
2013-10-29,80.26,80.52,79.67,80.29,1917700,80.29
2013-10-28,80.94,80.96,79.90,80.30,2541800,80.30
2013-10-25,80.30,80.87,79.71,80.82,2251900,80.82
2013-10-24,79.39,80.56,79.16,80.38,2188700,80.38
2013-10-23,79.56,79.64,78.34,79.00,2242400,79.00
2013-10-22,79.60,80.97,79.33,80.13,3649600,80.13
2013-10-21,78.70,79.76,78.26,79.51,3199400,79.51
2013-10-18,79.70,79.95,78.74,79.01,2778000,79.01
2013-10-17,76.95,79.48,76.78,79.34,3561100,79.34
2013-10-16,75.26,77.25,75.02,77.12,4014800,77.12
2013-10-15,74.29,75.17,74.27,74.73,2141200,74.73
2013-10-14,74.01,74.74,73.82,74.64,1794200,74.64
2013-10-11,73.62,74.73,73.60,74.44,2131400,74.44
2013-10-10,72.11,73.64,72.05,73.59,2665800,73.59
2013-10-09,72.08,72.38,71.55,71.62,2209000,71.62
2013-10-08,72.75,73.12,71.83,71.89,1944200,71.89
2013-10-07,72.39,73.55,72.31,73.03,1844900,73.03
2013-10-04,73.28,73.74,72.36,72.69,2649400,72.69
2013-10-03,73.85,73.97,73.19,73.43,2712900,73.43
2013-10-02,73.85,74.28,73.51,73.99,1766100,73.99
2013-10-01,74.13,74.45,73.81,74.06,2219200,74.06
2013-09-30,73.85,74.56,73.61,74.13,2719900,74.13
2013-09-27,74.54,74.90,74.23,74.52,2552200,74.52
2013-09-26,73.90,74.63,73.83,74.63,1875100,74.63
2013-09-25,72.62,73.83,72.51,73.77,2270200,73.77
2013-09-24,73.04,73.42,72.37,72.85,2635300,72.85
2013-09-23,73.65,74.42,72.94,72.96,2305600,72.96
2013-09-20,74.93,75.02,73.64,73.92,3416000,73.92
2013-09-19,75.77,75.82,74.78,74.82,2338700,74.82
2013-09-18,74.00,75.99,72.76,75.75,4725500,75.47
2013-09-17,74.13,74.68,73.68,73.92,2935100,73.65
2013-09-16,75.16,75.74,74.22,74.27,2715400,74.00
2013-09-13,74.25,74.27,73.35,73.71,1919700,73.44
2013-09-12,75.15,75.15,73.72,74.12,2538300,73.85
2013-09-11,74.69,75.02,74.27,75.02,2613000,74.74
2013-09-10,74.69,74.95,74.09,74.58,3733500,74.30
2013-09-09,72.16,74.27,72.16,74.26,4212100,73.99
2013-09-06,71.05,72.44,70.71,71.91,6812300,71.64
2013-09-05,69.29,69.69,68.69,68.75,2641800,68.50
2013-09-04,69.23,69.49,68.92,69.24,3287200,68.98
2013-09-03,69.82,70.30,68.79,69.23,2446800,68.97
2013-08-30,69.76,69.94,69.32,69.49,2464600,69.23
2013-08-29,69.05,69.93,68.84,69.69,1964000,69.43
2013-08-28,69.95,70.33,69.08,69.09,3179600,68.83
2013-08-27,69.20,70.24,69.04,70.06,3515900,69.80
2013-08-26,70.02,70.49,69.70,69.94,2323300,69.68
2013-08-23,69.04,70.10,68.81,70.06,2524300,69.80
2013-08-22,68.71,69.01,67.89,68.88,2141200,68.63
2013-08-21,69.19,69.78,68.81,69.03,2083400,68.77
2013-08-20,68.40,69.99,68.39,69.38,2481500,69.12
2013-08-19,68.57,69.39,68.34,68.36,2361300,68.11
2013-08-16,69.16,69.58,68.55,68.58,2716200,68.33
2013-08-15,68.89,69.59,68.56,69.48,3105500,69.22
2013-08-14,69.44,69.93,69.03,69.70,3299100,69.44
2013-08-13,70.10,70.19,68.97,69.28,3529700,69.02
2013-08-12,70.10,70.18,69.35,69.66,3506900,69.40
2013-08-09,68.77,70.51,68.77,70.16,4988100,69.90
2013-08-08,69.01,69.40,68.03,68.99,4713200,68.73
2013-08-07,70.30,70.47,69.00,69.09,3922800,68.83
2013-08-06,70.72,71.28,70.06,70.27,3766300,70.01
2013-08-05,70.22,71.00,70.22,70.94,2671700,70.68
2013-08-02,71.21,72.19,70.49,70.50,3664700,70.24
2013-08-01,71.40,72.51,71.01,71.28,4097800,71.02
2013-07-31,72.79,73.16,69.74,70.79,7677400,70.53
2013-07-30,72.82,73.45,72.47,72.67,2931700,72.40
2013-07-29,72.57,73.04,72.23,72.42,2659200,72.15
2013-07-26,72.20,72.65,72.03,72.58,2580200,72.31
2013-07-25,73.34,73.51,72.09,72.31,4466600,72.04
2013-07-24,74.78,74.80,73.59,73.94,3459600,73.67
2013-07-23,74.63,75.01,74.10,74.75,3198200,74.47
2013-07-22,75.15,75.26,73.60,74.32,3882200,74.05
2013-07-19,74.55,75.16,74.34,75.13,4090600,74.85
2013-07-18,74.50,75.32,74.07,74.44,6358000,74.16
2013-07-17,73.02,74.70,71.50,73.87,26259800,73.60
2013-07-16,75.95,76.44,74.35,74.71,5977100,74.43
2013-07-15,76.45,77.72,75.40,76.16,5076600,75.88
2013-07-12,77.83,78.32,76.91,77.84,2874500,77.55
2013-07-11,76.94,78.33,76.61,77.23,5572400,76.94
2013-07-10,72.61,75.86,72.57,75.74,6939600,75.46
2013-07-09,72.72,72.91,72.08,72.86,3772400,72.59
2013-07-08,72.00,72.66,71.67,72.05,3483500,71.78
2013-07-05,72.77,72.77,70.02,71.67,4240200,71.41
2013-07-03,71.89,72.51,70.92,72.38,3457200,72.11
2013-07-02,71.76,72.81,71.76,72.17,3486900,71.90
2013-07-01,73.43,73.96,71.83,72.01,5240000,71.74
2013-06-28,74.20,74.22,72.91,73.17,5954200,72.90
2013-06-27,74.08,75.55,73.91,74.23,3645900,73.96
2013-06-26,73.49,74.08,73.43,73.83,3401100,73.56
2013-06-25,71.46,73.32,71.31,72.90,4107500,72.63
2013-06-24,71.24,72.28,69.54,71.09,4436800,70.83
2013-06-21,70.92,72.67,70.63,71.99,6099500,71.72
2013-06-20,73.77,73.77,70.24,70.44,7500000,70.18
2013-06-19,77.32,77.47,74.41,74.44,3936500,74.16
2013-06-18,77.11,78.14,77.03,77.29,2258300,77.00
2013-06-17,77.72,77.88,76.42,76.92,2870900,76.64
2013-06-14,76.19,78.35,76.19,77.33,3522400,77.04
2013-06-13,74.43,76.63,74.33,76.48,3548200,76.20
2013-06-12,76.20,76.35,74.43,74.60,3772900,74.06
2013-06-11,75.98,76.41,75.21,75.82,3498900,75.27
2013-06-10,78.79,78.86,76.40,76.45,3986300,75.89
2013-06-07,78.79,79.05,77.27,78.77,3873600,78.19
2013-06-06,75.85,78.52,75.79,78.48,3230300,77.91
2013-06-05,76.64,77.30,75.77,75.87,3769700,75.32
2013-06-04,77.31,77.97,76.57,76.63,3311300,76.07
2013-06-03,77.83,78.59,77.20,77.42,3734400,76.85
2013-05-31,78.75,79.43,77.84,77.84,3326600,77.27
2013-05-30,79.48,80.15,78.67,78.77,2850200,78.19
2013-05-29,80.92,80.94,78.90,79.44,3547600,78.86
2013-05-28,82.57,83.08,81.16,81.50,2175600,80.90
2013-05-24,81.16,81.85,80.89,81.72,1487800,81.12
2013-05-23,81.71,81.90,80.48,81.58,2722100,80.98
2013-05-22,84.63,84.98,81.67,82.17,2275300,81.57
2013-05-21,84.37,85.26,84.11,84.64,1657000,84.02
2013-05-20,84.46,84.71,83.72,83.92,1686400,83.31
2013-05-17,83.13,84.48,83.13,84.45,1826000,83.83
2013-05-16,84.04,84.42,83.08,83.21,1416400,82.60
2013-05-15,83.62,84.39,83.42,84.33,1295000,83.71
2013-05-14,83.08,83.98,83.08,83.73,2199500,83.12
2013-05-13,83.15,83.88,82.92,82.96,1884300,82.35
2013-05-10,83.88,84.74,82.90,83.10,2017200,82.49
2013-05-09,84.70,84.77,83.33,83.56,1692700,82.95
2013-05-08,83.50,85.15,83.25,84.63,2353500,84.01
2013-05-07,83.40,83.71,83.15,83.55,1550100,82.94
2013-05-06,83.59,83.88,82.76,83.08,1446100,82.47
2013-05-03,84.57,84.67,83.23,83.56,1669600,82.95
2013-05-02,84.25,84.98,83.25,83.85,1659900,83.24
2013-05-01,78.54,84.21,78.54,83.93,2367900,83.32
2013-04-30,83.42,84.02,82.83,83.99,2182900,83.38
2013-04-29,83.04,83.15,82.47,83.04,1266900,82.43
2013-04-26,83.80,83.99,82.55,82.97,1527500,82.36
2013-04-25,81.36,84.29,81.14,83.84,3041200,83.23
2013-04-24,82.00,82.06,80.85,81.00,1880600,80.41
2013-04-23,81.25,82.43,80.79,81.90,1591400,81.30
2013-04-22,81.39,81.58,80.57,81.02,1504700,80.43
2013-04-19,80.34,81.41,80.12,81.05,1877200,80.46
2013-04-18,79.93,80.10,79.08,80.06,2235200,79.48
2013-04-17,79.98,80.20,79.51,79.78,1716800,79.20
2013-04-16,79.81,80.62,79.11,80.59,1598800,80.00
2013-04-15,80.63,80.93,79.43,79.43,1919400,78.85
2013-04-12,80.24,80.68,79.87,80.67,1617200,80.08
2013-04-11,79.91,80.73,79.82,80.32,1396500,79.73
2013-04-10,79.48,79.98,79.39,79.87,1855800,79.29
2013-04-09,79.08,79.44,78.43,79.29,2319200,78.71
2013-04-08,77.77,79.00,77.68,79.00,1628800,78.42
2013-04-05,77.77,78.13,77.25,77.82,2206300,76.99
2013-04-04,78.16,78.87,78.16,78.58,1989200,77.75
2013-04-03,78.68,78.76,77.49,78.02,2315500,77.19
2013-04-02,77.88,78.87,77.68,78.73,2103900,77.89
