Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,93.42,93.99,92.78,93.18,2536700,93.18
2013-11-19,91.83,93.22,91.62,93.01,3303100,93.01
2013-11-18,91.42,93.20,91.42,91.99,2559900,91.99
2013-11-15,92.26,92.84,91.60,92.50,2634100,92.50
2013-11-14,90.76,92.44,90.42,92.13,2914400,92.13
2013-11-13,89.13,90.89,88.84,90.85,2395500,90.85
2013-11-12,89.84,90.11,89.03,89.71,3456100,89.71
2013-11-11,90.00,90.17,89.42,89.79,2142900,89.79
2013-11-08,88.78,89.90,88.59,89.80,3248100,89.80
2013-11-07,89.37,91.10,88.13,88.59,4677800,88.59
2013-11-06,89.50,89.89,87.73,88.45,3189700,88.45
2013-11-05,90.09,90.09,89.02,89.13,2527300,89.13
2013-11-04,89.59,90.40,89.25,90.35,1772800,90.35
2013-11-01,88.89,89.70,88.35,89.24,2323200,89.24
2013-10-31,89.11,89.97,88.53,88.80,1951800,88.80
2013-10-30,90.64,91.18,88.21,88.93,2157700,88.93
2013-10-29,90.55,91.21,90.41,90.85,1563900,90.85
2013-10-28,90.53,90.72,90.00,90.36,1757600,90.36
2013-10-25,90.11,90.53,89.77,90.45,1705600,90.45
2013-10-24,88.73,90.24,88.47,89.77,2026000,89.77
2013-10-23,89.26,89.59,88.09,88.74,1981200,88.74
2013-10-22,89.85,90.60,89.21,89.70,1799200,89.70
2013-10-21,90.60,91.13,88.81,89.59,3557700,89.59
2013-10-18,90.77,91.65,90.57,91.26,2761400,91.26
2013-10-17,90.00,90.64,89.68,90.57,2231400,90.37
2013-10-16,89.00,90.74,89.00,90.23,2965800,90.03
2013-10-15,88.52,89.59,88.18,88.73,2721700,88.53
2013-10-14,87.24,89.33,87.13,88.62,1608600,88.42
2013-10-11,86.88,88.31,86.80,87.95,1764400,87.76
2013-10-10,86.62,87.68,86.44,87.62,2005800,87.43
2013-10-09,86.42,86.48,84.95,85.92,2162300,85.73
2013-10-08,87.04,87.45,85.98,86.10,2614700,85.91
2013-10-07,86.04,87.16,85.63,86.82,1910500,86.63
2013-10-04,85.56,87.29,85.36,87.00,1982800,86.81
2013-10-03,86.08,86.46,85.28,85.63,1662000,85.44
2013-10-02,85.96,86.46,84.97,86.07,2725300,85.88
2013-10-01,84.76,86.84,84.76,86.47,2491700,86.28
2013-09-30,85.43,85.59,84.75,85.14,2061300,84.95
2013-09-27,86.24,86.90,86.06,86.25,1849900,86.06
2013-09-26,86.92,87.00,86.03,86.49,2030300,86.30
2013-09-25,87.28,87.55,86.59,86.63,2203500,86.44
2013-09-24,87.50,87.88,86.57,87.00,2072100,86.81
2013-09-23,87.50,87.82,87.00,87.37,1810800,87.18
2013-09-20,88.54,88.61,87.60,87.85,4749900,87.66
2013-09-19,89.00,89.11,88.05,88.47,1658700,88.27
2013-09-18,88.05,89.17,87.44,88.93,2608000,88.73
2013-09-17,87.82,88.74,87.55,88.25,3331200,88.06
2013-09-16,87.78,87.86,86.91,87.00,2793000,86.81
2013-09-13,87.08,87.42,86.43,86.81,1932800,86.62
2013-09-12,87.03,87.63,86.76,87.20,2334100,87.01
2013-09-11,86.62,87.23,86.23,87.03,3094800,86.84
2013-09-10,87.65,87.76,86.85,87.26,3453300,87.07
2013-09-09,86.06,87.03,86.01,86.66,2411800,86.47
2013-09-06,86.19,87.17,85.81,86.51,2794200,86.32
2013-09-05,85.98,86.73,85.76,86.19,3765300,86.00
2013-09-04,84.56,86.00,84.50,85.53,3669500,85.34
2013-09-03,86.50,86.69,84.41,84.79,4539500,84.60
2013-08-30,84.86,85.99,84.15,85.68,13946800,85.49
2013-08-29,78.91,79.05,78.42,78.64,1737300,78.47
2013-08-28,78.72,80.31,78.64,79.17,2377800,79.00
2013-08-27,78.22,79.23,78.16,78.57,2879700,78.40
2013-08-26,79.95,80.80,79.69,79.73,2306300,79.55
2013-08-23,79.28,79.92,78.40,79.80,2466000,79.62
2013-08-22,77.47,79.34,77.16,78.99,2402200,78.82
2013-08-21,76.49,77.87,76.30,77.22,4464500,77.05
2013-08-20,75.80,76.99,75.07,76.27,4362300,76.10
2013-08-19,78.42,78.45,75.28,75.37,6771700,75.20
2013-08-16,80.05,80.18,78.83,78.99,3453300,78.82
2013-08-15,80.34,80.42,79.56,80.27,2642300,80.09
2013-08-14,82.41,82.56,80.72,80.74,3349600,80.56
2013-08-13,82.87,83.00,82.14,82.51,1837100,82.33
2013-08-12,82.56,83.37,82.40,82.70,1369100,82.52
2013-08-09,83.04,83.51,82.38,83.20,1845200,83.02
2013-08-08,82.00,83.51,81.92,83.18,2332000,83.00
2013-08-07,82.12,82.54,81.35,81.94,3248600,81.76
2013-08-06,82.29,82.49,81.62,82.26,3302600,82.08
2013-08-05,81.97,82.48,81.46,82.31,2438000,82.13
2013-08-02,81.25,82.29,80.89,82.00,3843100,81.82
2013-08-01,81.85,82.33,80.52,81.68,2916200,81.50
2013-07-31,80.77,81.95,80.25,80.25,3034300,80.07
2013-07-30,81.00,81.05,79.99,80.58,2333500,80.40
2013-07-29,81.80,81.92,80.49,81.15,2458500,80.97
2013-07-26,82.29,82.41,81.73,82.06,1880800,81.88
2013-07-25,82.54,83.31,81.90,82.77,2184700,82.59
2013-07-24,83.31,83.56,81.86,82.51,2298500,82.33
2013-07-23,83.89,84.15,83.30,83.57,1917300,83.39
2013-07-22,84.90,84.97,83.71,83.90,3147200,83.71
2013-07-19,85.25,85.41,83.89,84.98,5977400,84.79
2013-07-18,82.51,83.68,82.47,83.60,2929400,83.42
2013-07-17,82.06,82.52,81.80,82.51,2763000,82.13
2013-07-16,82.96,83.22,81.45,82.03,2830800,81.65
2013-07-15,82.39,83.21,82.13,82.97,2733400,82.59
2013-07-12,81.57,82.57,81.45,82.41,2286100,82.03
