/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,109.99,110.35,109.25,109.60,861900,109.60
2013-11-19,109.94,110.64,109.50,110.09,896100,110.09
2013-11-18,110.54,110.93,109.61,109.94,839400,109.94
2013-11-15,109.02,110.69,108.81,110.59,1049400,110.59
2013-11-14,108.36,108.78,107.79,108.67,1048600,108.67
2013-11-13,107.73,108.41,107.43,108.04,1213400,108.04
2013-11-12,109.10,109.19,107.91,107.97,1025300,107.97
2013-11-11,109.50,109.88,108.85,109.09,874500,109.09
2013-11-08,108.25,109.63,108.10,109.45,890600,109.45
2013-11-07,109.78,109.88,108.02,108.26,1503600,108.26
2013-11-06,109.46,110.10,109.15,109.92,711700,109.92
2013-11-05,108.44,109.39,107.74,109.12,643600,109.12
2013-11-04,108.12,108.90,107.79,108.77,773500,108.77
2013-11-01,108.95,109.75,107.59,108.00,1140400,108.00
2013-10-31,107.30,109.39,106.40,109.01,1526700,109.01
2013-10-30,107.83,109.76,106.99,107.20,1746400,107.20
2013-10-29,108.21,109.40,107.00,107.47,2337500,107.47
2013-10-28,111.53,111.58,108.79,109.54,1626400,109.54
2013-10-25,111.16,111.87,110.65,111.73,869400,111.73
2013-10-24,110.65,111.73,110.53,111.38,715700,111.38
2013-10-23,111.68,111.94,110.06,110.65,719900,110.65
2013-10-22,111.23,111.95,111.08,111.73,744300,111.73
2013-10-21,109.98,110.99,109.91,110.66,545300,110.66
2013-10-18,110.21,110.51,109.48,110.19,1540900,110.19
2013-10-17,108.89,110.10,108.57,109.87,886600,109.87
2013-10-16,109.05,109.69,108.43,109.09,822600,109.09
2013-10-15,108.72,109.25,107.83,108.10,1039700,108.10
2013-10-14,107.62,109.33,107.52,109.17,682800,109.17
2013-10-11,108.29,108.75,107.34,108.72,1136900,108.72
2013-10-10,105.11,108.00,105.00,107.80,1847600,107.80
2013-10-09,102.83,104.41,102.42,103.99,1313700,103.99
2013-10-08,104.72,104.76,102.23,102.58,1657300,102.58
2013-10-07,105.79,106.18,104.55,104.62,1141900,104.62
2013-10-04,105.45,106.56,105.10,106.31,1228700,106.31
2013-10-03,107.16,107.35,105.16,105.43,1678700,105.43
2013-10-02,106.88,107.64,105.78,107.16,1257300,107.16
2013-10-01,105.72,107.92,105.20,107.11,1432600,107.11
2013-09-30,106.16,107.16,106.00,106.57,1025900,106.57
2013-09-27,107.64,108.26,106.95,107.00,1338500,107.00
2013-09-26,109.83,114.75,109.02,109.78,3485200,109.07
2013-09-25,107.70,108.09,106.91,107.32,654200,106.63
2013-09-24,107.30,108.06,107.05,107.21,683800,106.52
2013-09-23,108.14,108.90,107.06,107.42,923500,106.73
2013-09-20,110.02,110.96,108.57,108.57,1924200,107.87
2013-09-19,109.47,111.40,109.47,110.02,1105200,109.31
2013-09-18,106.65,109.50,106.16,109.37,1124600,108.66
2013-09-17,107.73,107.89,106.26,106.54,2141200,105.85
2013-09-16,107.41,108.75,106.73,107.99,1212000,107.29
2013-09-13,105.86,106.37,105.50,106.15,528000,105.46
2013-09-12,106.01,106.70,105.56,105.73,506000,105.05
2013-09-11,106.21,106.60,105.58,106.28,529300,105.59
2013-09-10,106.12,106.70,105.66,106.20,757000,105.51
2013-09-09,103.48,105.79,103.12,105.74,900000,105.06
2013-09-06,104.01,104.37,102.87,102.99,913600,102.32
2013-09-05,103.83,104.24,103.26,103.84,620300,103.17
2013-09-04,102.87,103.96,102.40,103.87,667200,103.20
2013-09-03,103.30,103.67,102.03,102.91,768200,102.24
2013-08-30,102.53,102.69,101.49,102.14,945300,101.48
2013-08-29,101.30,103.70,101.14,102.44,692900,101.78
2013-08-28,101.61,102.00,101.17,101.47,689600,100.81
2013-08-27,102.66,103.10,101.75,101.86,826400,101.20
2013-08-26,104.14,104.50,103.19,103.32,666400,102.65
2013-08-23,103.02,104.16,102.62,104.00,824100,103.33
2013-08-22,102.14,103.71,101.58,102.98,765500,102.31
2013-08-21,102.00,102.37,101.32,101.70,1406800,101.04
2013-08-20,101.32,102.41,100.94,102.23,1641000,101.57
2013-08-19,100.60,101.82,100.58,101.52,2043400,100.86
2013-08-16,101.00,101.35,99.76,100.89,2261000,100.24
2013-08-15,101.96,102.04,100.85,101.44,1460800,100.78
2013-08-14,103.82,104.20,102.49,102.78,1037600,102.12
2013-08-13,103.57,104.24,103.40,103.95,1194000,103.28
2013-08-12,105.91,105.91,102.64,103.20,2590800,102.53
2013-08-09,106.38,107.49,106.33,106.70,739500,106.01
2013-08-08,107.22,107.92,106.23,106.62,1250200,105.93
2013-08-07,106.69,107.41,106.04,106.76,1278300,106.07
2013-08-06,107.08,107.98,106.72,106.87,1338800,106.18
2013-08-05,108.08,108.08,106.83,107.83,1120200,107.13
2013-08-02,106.80,107.02,105.69,106.95,2186300,106.26
2013-08-01,109.49,111.00,106.39,107.25,4553900,106.56
2013-07-31,108.78,109.98,107.52,108.64,6709600,107.94
2013-07-30,104.83,105.75,104.15,105.61,1540400,104.93
2013-07-29,104.28,104.70,102.75,104.64,2316200,103.96
2013-07-26,106.61,106.99,103.89,104.12,7715500,103.45
