/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,137.46,139.80,136.96,137.85,617200,137.85
2013-11-19,137.14,138.73,136.85,137.52,529100,137.52
2013-11-18,139.05,139.25,136.89,136.92,565600,136.92
2013-11-15,138.15,139.15,137.97,139.05,427200,139.05
2013-11-14,138.36,138.99,137.69,138.43,304200,138.43
2013-11-13,136.73,138.23,136.66,137.99,778900,137.99
2013-11-12,136.99,138.04,136.65,137.72,535400,137.72
2013-11-11,137.40,137.85,136.67,137.54,269200,137.54
2013-11-08,136.19,137.69,136.19,137.62,529400,137.62
2013-11-07,137.97,138.58,136.48,136.51,459700,136.51
2013-11-06,137.87,138.78,137.13,137.74,458800,137.74
2013-11-05,137.01,137.97,136.51,137.21,484400,137.21
2013-11-04,136.34,139.25,136.20,138.06,770200,138.06
2013-11-01,136.20,136.66,134.60,136.38,639500,136.38
2013-10-31,136.40,136.80,134.79,136.22,726700,136.22
2013-10-30,139.94,139.94,135.50,136.42,752900,136.42
2013-10-29,135.49,136.13,134.85,135.58,511700,135.58
2013-10-28,134.50,135.30,133.95,135.10,513600,135.10
2013-10-25,134.50,135.44,134.16,134.55,939300,134.55
2013-10-24,135.18,138.79,134.19,134.45,907400,134.45
2013-10-23,130.26,138.65,129.60,135.80,2599300,135.80
2013-10-22,126.23,127.59,126.23,126.96,664700,126.96
2013-10-21,124.99,126.23,124.26,126.11,1084100,126.11
2013-10-18,124.11,128.84,123.82,124.50,846300,124.50
2013-10-17,119.71,122.88,118.59,122.83,500200,122.83
2013-10-16,118.72,120.66,118.57,120.44,495200,120.23
2013-10-15,119.89,120.46,118.35,118.46,540400,118.25
2013-10-14,118.30,120.72,118.30,120.29,612500,120.08
2013-10-11,116.28,119.11,115.96,119.08,717500,118.87
2013-10-10,115.32,116.07,114.39,116.03,694500,115.83
2013-10-09,114.00,114.79,113.84,114.37,686200,114.17
2013-10-08,114.50,115.03,113.81,113.84,507300,113.64
2013-10-07,114.99,115.43,114.52,114.54,303400,114.34
2013-10-04,115.05,116.17,114.83,115.86,421000,115.66
2013-10-03,115.76,116.32,113.52,114.93,888200,114.73
2013-10-02,115.16,116.54,115.16,116.52,486600,116.32
2013-10-01,115.51,116.32,114.86,116.28,593600,116.08
2013-09-30,115.36,115.37,114.62,115.20,496100,115.00
2013-09-27,116.03,116.45,115.58,115.74,376600,115.54
2013-09-26,116.31,116.65,115.83,116.22,445200,116.02
2013-09-25,116.66,117.11,115.84,116.00,675600,115.80
2013-09-24,117.64,117.88,116.50,116.76,438500,116.56
2013-09-23,118.55,118.88,117.29,117.64,481700,117.43
2013-09-20,120.00,120.65,118.44,118.45,1216300,118.24
2013-09-19,120.86,121.16,119.95,120.10,638800,119.89
2013-09-18,119.46,120.55,119.23,120.55,561000,120.34
2013-09-17,119.62,119.78,119.00,119.28,352400,119.07
2013-09-16,119.72,119.98,118.95,119.37,282200,119.16
2013-09-13,117.78,118.70,117.41,118.62,456700,118.41
2013-09-12,119.29,119.64,118.34,118.60,350300,118.39
2013-09-11,119.24,119.99,119.01,119.43,339800,119.22
2013-09-10,119.06,119.37,118.73,119.14,423200,118.93
