Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,53.70,54.35,53.35,53.58,1819500,53.58
2013-11-19,53.68,54.15,53.48,53.79,1535700,53.79
2013-11-18,54.25,54.34,53.74,53.81,1890200,53.81
2013-11-15,54.47,54.60,53.80,54.15,1901500,54.15
2013-11-14,53.50,54.43,53.50,54.27,1811200,54.27
2013-11-13,52.33,53.49,52.33,53.46,2152100,53.46
2013-11-12,51.88,52.78,51.56,52.71,3495700,52.71
2013-11-11,52.35,53.19,51.62,51.88,2129500,51.88
2013-11-08,51.84,52.32,50.75,52.27,4778600,52.27
2013-11-07,53.42,53.42,51.90,51.96,2278300,51.96
2013-11-06,52.82,53.31,52.67,53.08,1554800,53.08
2013-11-05,53.50,53.53,52.40,52.42,2642400,52.42
2013-11-04,54.08,54.16,53.64,53.79,1241000,53.79
2013-11-01,54.03,54.34,53.76,53.98,2088700,53.98
2013-10-31,54.34,54.48,53.86,53.86,2214700,53.86
2013-10-30,54.79,55.18,54.19,54.24,4396900,54.24
2013-10-29,54.43,54.86,54.41,54.68,1788900,54.68
2013-10-28,54.53,54.71,54.19,54.41,3091600,54.41
2013-10-25,54.65,54.98,54.44,54.50,2678900,54.50
2013-10-24,52.96,54.57,52.20,54.48,4063000,54.48
2013-10-23,54.03,54.32,53.77,54.29,1878100,54.29
2013-10-22,54.08,54.36,53.82,54.16,2041800,54.16
2013-10-21,53.79,53.93,53.39,53.85,1856000,53.85
2013-10-18,53.69,53.95,53.36,53.85,2444300,53.85
2013-10-17,51.97,53.60,51.80,53.51,1917200,53.51
2013-10-16,51.70,52.46,51.57,52.21,1963600,52.21
2013-10-15,51.37,51.67,50.95,51.11,1862200,51.11
2013-10-14,50.80,51.47,50.51,51.45,1448600,51.45
2013-10-11,51.07,51.41,50.90,51.27,2363100,51.27
2013-10-10,50.75,51.26,50.75,51.15,4442500,51.15
2013-10-09,49.91,50.53,49.86,50.03,2175900,50.03
2013-10-08,50.84,50.89,49.49,49.52,2720500,49.52
2013-10-07,51.15,51.37,50.76,50.82,1978300,50.82
2013-10-04,51.00,51.73,51.00,51.67,1715900,51.67
2013-10-03,50.72,51.12,50.02,50.96,2094100,50.96
2013-10-02,50.48,51.06,50.19,50.92,1659400,50.92
2013-10-01,50.58,51.11,50.55,50.85,1204200,50.85
2013-09-30,50.09,50.76,50.00,50.55,2155100,50.55
2013-09-27,50.49,50.88,50.40,50.82,1494700,50.82
2013-09-26,50.35,51.00,50.35,50.96,1927300,50.96
2013-09-25,50.84,51.00,50.20,50.44,1615800,50.34
2013-09-24,50.88,51.29,50.53,50.70,2177900,50.60
2013-09-23,51.65,51.69,50.80,50.81,2534200,50.71
2013-09-20,52.66,52.66,51.54,51.69,4379800,51.59
2013-09-19,53.03,54.36,52.18,52.40,5108300,52.30
2013-09-18,50.51,52.90,50.18,52.67,5008800,52.57
2013-09-17,50.34,50.82,50.26,50.54,2753100,50.44
2013-09-16,49.48,50.43,49.31,50.19,2801900,50.09
2013-09-13,48.24,48.72,48.11,48.55,1674700,48.45
2013-09-12,48.16,48.38,47.90,48.20,2757500,48.10
2013-09-11,47.82,48.32,47.74,48.30,3253100,48.20
2013-09-10,47.42,48.01,47.34,47.76,1889100,47.67
2013-09-09,47.20,47.38,46.85,47.10,2244000,47.01
2013-09-06,46.20,47.17,45.95,47.11,3059600,47.02
2013-09-05,46.79,47.32,46.01,46.14,2317000,46.05
2013-09-04,46.45,47.02,46.20,46.94,2093400,46.85
2013-09-03,46.68,46.99,46.19,46.62,2794000,46.53
2013-08-30,46.25,46.47,45.68,46.16,2903800,46.07
2013-08-29,45.15,46.42,45.06,46.18,2108500,46.09
2013-08-28,45.29,45.87,45.12,45.25,1774400,45.16
2013-08-27,46.28,46.36,45.15,45.20,2250900,45.11
2013-08-26,47.00,47.48,46.91,46.91,1731300,46.82
2013-08-23,47.81,47.81,46.88,46.97,1621400,46.88
2013-08-22,46.63,48.14,46.60,47.75,1725500,47.66
2013-08-21,46.61,47.14,46.23,46.45,1413800,46.36
2013-08-20,46.30,47.00,46.25,46.84,1534000,46.75
2013-08-19,46.68,46.84,46.28,46.30,1833400,46.21
2013-08-16,47.11,47.30,46.34,46.68,3023800,46.59
2013-08-15,48.19,48.19,47.00,47.30,2123200,47.21
2013-08-14,49.05,49.21,48.45,48.66,1512900,48.56
2013-08-13,48.67,49.17,48.17,49.10,1518400,49.00
2013-08-12,49.00,49.03,48.19,48.46,2569500,48.36
