/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,103.31,104.26,101.25,101.88,881000,101.88
2013-11-19,102.57,103.72,101.62,103.41,767400,103.41
2013-11-18,103.70,103.97,102.13,102.49,703600,102.49
2013-11-15,101.47,103.12,101.47,103.03,1185300,103.03
2013-11-14,101.61,102.40,101.20,101.58,700600,101.58
2013-11-13,100.39,101.37,100.06,101.32,626400,101.32
2013-11-12,100.73,101.10,99.94,100.65,852700,100.65
2013-11-11,100.66,101.73,100.66,100.96,495300,100.96
2013-11-08,100.86,100.87,98.71,100.33,1060900,100.33
2013-11-07,102.45,102.69,101.12,101.23,793900,101.23
2013-11-06,102.29,102.79,101.93,102.15,694400,102.15
2013-11-05,103.40,103.60,102.00,102.15,858600,102.15
2013-11-04,104.46,104.99,103.42,103.78,935100,103.78
2013-11-01,103.96,104.60,102.99,104.42,800800,104.42
2013-10-31,105.00,105.64,102.88,103.50,1305500,103.50
2013-10-30,106.87,106.87,103.63,105.06,1528100,105.06
2013-10-29,107.38,108.05,106.28,107.96,1034000,107.96
2013-10-28,109.81,109.83,106.95,107.39,716500,107.39
2013-10-25,107.26,109.67,107.24,109.64,991900,109.64
2013-10-24,108.40,108.75,107.32,107.38,865300,107.38
2013-10-23,109.12,109.59,107.87,108.40,697300,108.40
2013-10-22,107.55,109.69,107.55,109.37,1218700,109.37
2013-10-21,108.65,108.65,106.52,106.98,977900,106.98
2013-10-18,108.83,109.35,107.30,108.82,960400,108.82
2013-10-17,108.02,109.58,107.82,109.18,682300,109.18
2013-10-16,107.32,108.91,106.86,108.45,733900,108.45
2013-10-15,106.52,108.08,106.52,106.98,429400,106.98
2013-10-14,106.81,107.50,106.10,107.22,664500,107.22
2013-10-11,105.51,107.33,105.01,107.28,805900,107.28
2013-10-10,104.21,105.49,103.81,105.35,1317500,105.35
2013-10-09,103.82,104.67,103.19,103.44,755600,103.44
2013-10-08,104.82,104.98,103.33,103.55,1316600,103.55
2013-10-07,105.68,106.97,105.44,105.55,633800,105.55
2013-10-04,106.94,107.83,105.77,106.48,584500,106.48
2013-10-03,107.47,107.55,105.35,106.70,794500,106.70
2013-10-02,106.52,107.65,105.87,107.56,1049300,107.56
2013-10-01,107.06,108.91,106.40,107.74,1242700,107.74
2013-09-30,106.68,107.97,106.28,106.90,994200,106.90
2013-09-27,106.42,107.45,106.16,107.09,827200,107.09
2013-09-26,106.01,106.84,105.74,106.74,591800,106.74
2013-09-25,107.13,108.37,105.57,106.31,1131100,105.66
2013-09-24,109.12,109.64,107.08,107.20,912000,106.54
2013-09-23,108.94,110.38,108.35,109.43,999500,108.76
2013-09-20,111.10,111.10,108.95,109.36,1386800,108.69
2013-09-19,110.80,112.93,110.69,111.12,1181000,110.44
2013-09-18,105.62,111.03,104.70,110.89,1427100,110.21
2013-09-17,105.82,106.81,105.28,105.70,396500,105.05
2013-09-16,106.65,107.16,105.36,105.86,447400,105.21
2013-09-13,104.69,105.31,104.40,104.80,464200,104.16
2013-09-12,106.68,107.24,104.19,104.60,810500,103.96
2013-09-11,106.39,107.04,106.06,106.96,669500,106.31
2013-09-10,106.25,106.68,105.40,106.62,729000,105.97
2013-09-09,104.75,105.79,104.66,105.79,906800,105.14
2013-09-06,103.55,105.47,103.35,104.81,1015600,104.17
2013-09-05,103.33,103.45,102.20,102.48,1092300,101.85
2013-09-04,101.83,103.26,101.33,102.98,965100,102.35
2013-09-03,103.10,103.28,100.79,101.68,1258800,101.06
2013-08-30,102.52,103.08,102.10,102.50,1062900,101.87
2013-08-29,102.05,102.46,101.26,102.39,683500,101.76
2013-08-28,103.35,103.48,102.31,102.75,599300,102.12
2013-08-27,102.84,103.62,102.52,103.41,598400,102.78
2013-08-26,103.57,104.45,103.20,103.96,769700,103.32
2013-08-23,101.55,103.36,101.18,103.29,632800,102.66
2013-08-22,100.92,101.67,100.48,101.44,716900,100.82
2013-08-21,101.20,102.35,99.80,100.80,750100,100.18
2013-08-20,98.46,101.92,98.46,101.55,1194600,100.93
2013-08-19,99.45,99.91,98.21,98.27,964100,97.67
2013-08-16,101.39,101.84,98.29,99.46,1701900,98.85
2013-08-15,102.76,103.28,100.82,101.75,1327500,101.13
2013-08-14,103.11,103.50,102.53,103.41,727700,102.78
2013-08-13,103.72,103.93,102.07,103.11,1123200,102.48
2013-08-12,104.78,105.20,103.31,103.83,1003500,103.20
2013-08-09,103.07,105.30,102.61,105.09,926900,104.45
2013-08-08,103.10,103.21,102.16,103.00,847000,102.37
2013-08-07,103.75,103.92,102.25,102.65,1251700,102.02
2013-08-06,103.26,104.44,103.13,103.92,711500,103.28
2013-08-05,103.79,104.45,103.41,103.99,420500,103.35
2013-08-02,105.01,105.33,103.82,103.97,715700,103.33
2013-08-01,106.92,107.46,104.40,105.00,866600,104.36
2013-07-31,108.74,109.90,103.82,106.95,1628500,106.30
2013-07-30,109.42,110.25,108.46,108.72,747200,108.06
2013-07-29,109.44,109.84,108.47,108.97,379700,108.30
2013-07-26,108.34,109.78,107.83,109.75,535900,109.08
2013-07-25,108.40,109.37,108.07,108.55,857100,107.89
2013-07-24,111.07,111.41,108.48,109.03,1032800,108.36
2013-07-23,111.51,111.82,110.50,111.00,487400,110.32
2013-07-22,110.09,111.62,109.88,111.35,654900,110.67
2013-07-19,110.46,110.69,109.39,110.11,670900,109.44
2013-07-18,109.52,110.53,109.16,110.51,548600,109.83
2013-07-17,109.77,109.96,108.57,109.05,1004300,108.38
2013-07-16,109.66,110.19,108.90,109.50,834900,108.83
2013-07-15,110.00,110.00,108.25,109.70,856100,109.03
2013-07-12,110.91,111.44,109.21,110.36,1178000,109.69
2013-07-11,107.85,111.13,107.85,110.69,1171200,110.01
2013-07-10,107.03,107.28,105.87,106.86,743600,106.21
2013-07-09,105.96,107.75,105.89,107.31,850800,106.65
2013-07-08,105.30,106.42,105.00,105.47,1128100,104.83
2013-07-05,105.66,105.84,103.15,105.18,743700,104.54
2013-07-03,105.43,106.26,104.44,104.93,539300,104.29
2013-07-02,104.10,106.83,104.05,106.09,812600,105.44
2013-07-01,106.27,106.36,104.53,104.76,651700,104.12
2013-06-28,106.30,106.90,105.37,105.47,1079500,104.83
2013-06-27,104.45,106.62,104.44,106.48,1164300,105.83
2013-06-26,103.08,104.35,102.76,103.91,1303000,103.27
2013-06-25,103.62,103.90,101.86,102.66,1236700,101.39
2013-06-24,100.43,104.90,99.59,102.63,1484600,101.36
2013-06-21,101.47,102.94,99.71,101.94,1823600,100.68
2013-06-20,106.79,106.96,99.81,100.58,2501000,99.33
2013-06-19,111.23,111.68,107.24,107.51,924300,106.18
2013-06-18,111.16,111.92,110.44,111.20,961400,109.82
2013-06-17,110.81,111.52,110.19,111.23,1177200,109.85
2013-06-14,110.78,113.19,109.79,110.09,1184400,108.72
2013-06-13,106.66,111.32,106.26,110.78,1225700,109.41
2013-06-12,107.41,107.71,106.31,106.52,1342200,105.20
2013-06-11,108.39,108.63,106.79,106.90,1403400,105.57
2013-06-10,110.00,110.45,108.93,109.32,844700,107.96
2013-06-07,109.85,110.49,108.12,109.81,814200,108.45
2013-06-06,108.07,109.65,107.18,109.58,876200,108.22
2013-06-05,108.63,109.05,107.40,107.85,959500,106.51
2013-06-04,108.68,109.75,108.56,108.96,1267400,107.61
