Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,94.60,95.17,94.23,94.56,1133200,94.56
2013-11-19,94.74,95.02,94.54,94.70,508400,94.70
2013-11-18,94.75,95.15,94.22,94.72,645000,94.72
2013-11-15,94.69,94.99,94.64,94.82,700500,94.82
2013-11-14,94.01,94.80,93.62,94.78,884600,94.78
2013-11-13,92.80,93.98,92.55,93.97,826100,93.97
2013-11-12,94.17,94.39,92.60,92.91,1279100,92.91
2013-11-11,94.12,94.73,93.99,94.54,656400,94.54
2013-11-08,93.52,94.37,93.52,94.32,964800,94.32
2013-11-07,94.00,94.20,93.45,93.54,1003800,93.54
2013-11-06,93.00,94.00,93.00,93.90,1188200,93.90
2013-11-05,92.50,92.84,92.22,92.83,750900,92.83
2013-11-04,92.43,92.70,92.24,92.59,460400,92.59
2013-11-01,92.10,92.27,91.83,92.09,799900,92.09
2013-10-31,92.87,92.89,92.07,92.08,938300,92.08
2013-10-30,93.20,93.38,92.32,92.74,854800,92.74
2013-10-29,93.01,93.25,92.71,93.24,829200,93.24
2013-10-28,92.26,92.88,92.20,92.60,1117900,92.60
2013-10-25,92.87,93.49,92.00,92.20,1731000,92.20
2013-10-24,93.77,93.79,92.67,92.94,1602000,92.94
2013-10-23,93.84,93.96,92.74,93.19,855000,93.19
2013-10-22,93.94,94.20,93.43,93.93,1193500,93.93
2013-10-21,92.47,93.34,92.47,93.16,702700,93.16
2013-10-18,92.66,92.83,92.00,92.71,965000,92.71
2013-10-17,90.78,92.29,90.69,92.21,714300,92.21
2013-10-16,90.22,91.42,90.11,91.40,855300,91.40
2013-10-15,90.06,90.52,89.67,89.76,691300,89.76
2013-10-14,89.69,90.46,89.56,90.38,581900,90.38
2013-10-11,89.18,90.28,89.10,90.16,764600,90.16
2013-10-10,88.40,89.50,88.40,89.38,1131100,89.38
2013-10-09,88.07,88.28,87.34,87.58,801500,87.58
2013-10-08,88.82,89.03,87.94,87.98,1211600,87.98
2013-10-07,88.38,88.98,87.86,88.50,722400,88.50
2013-10-04,88.29,88.89,88.12,88.87,650700,88.87
2013-10-03,89.04,89.16,88.11,88.30,684000,88.30
2013-10-02,88.92,89.29,88.34,89.29,1085100,89.29
2013-10-01,89.31,89.71,89.03,89.26,680500,89.26
2013-09-30,89.06,89.67,88.83,89.26,1133700,89.26
2013-09-27,89.81,89.84,89.30,89.65,752800,89.65
2013-09-26,90.15,90.55,89.54,90.02,693200,90.02
2013-09-25,89.70,90.32,89.50,90.10,849300,90.10
2013-09-24,89.47,90.11,89.42,89.55,1232400,89.55
2013-09-23,89.88,90.06,89.43,89.77,837800,89.77
2013-09-20,89.89,90.70,89.68,89.98,1658300,89.98
2013-09-19,89.46,90.21,89.43,89.81,951200,89.81
2013-09-18,88.28,89.42,87.96,89.29,1073500,89.29
2013-09-17,88.37,88.88,88.37,88.76,812000,88.32
2013-09-16,88.58,88.73,88.18,88.37,882300,87.93
2013-09-13,87.23,87.80,87.15,87.61,640700,87.18
2013-09-12,87.58,87.58,86.98,87.14,927000,86.71
2013-09-11,86.57,87.70,86.45,87.70,1110200,87.27
2013-09-10,86.44,86.55,85.95,86.52,1186100,86.09
2013-09-09,84.36,85.82,84.36,85.79,960100,85.36
2013-09-06,84.73,84.84,83.32,84.30,860000,83.88
2013-09-05,84.04,84.80,83.92,84.46,1207300,84.04
2013-09-04,83.58,84.33,83.32,84.11,862800,83.69
2013-09-03,84.14,84.38,83.33,83.83,1058900,83.41
2013-08-30,83.61,83.61,82.80,83.17,920400,82.76
2013-08-29,83.26,83.74,83.08,83.34,613300,82.93
2013-08-28,83.49,83.73,83.18,83.43,931700,83.02
2013-08-27,83.50,84.24,83.10,83.47,1145400,83.06
2013-08-26,85.20,85.25,84.26,84.26,962700,83.84
2013-08-23,85.00,85.24,84.38,85.15,867800,84.73
2013-08-22,84.22,85.09,84.08,84.93,671500,84.51
2013-08-21,84.44,84.88,83.95,84.08,1142600,83.66
2013-08-20,84.15,84.88,84.09,84.61,871000,84.19
2013-08-19,84.71,84.75,84.11,84.16,1089000,83.74
2013-08-16,84.80,85.45,84.76,84.98,1131400,84.56
2013-08-15,85.49,85.67,84.82,85.01,837400,84.59
2013-08-14,85.75,86.07,85.60,85.90,1058500,85.47
2013-08-13,85.83,86.16,85.00,85.93,936200,85.50
2013-08-12,85.38,85.92,85.13,85.52,1417000,85.10
2013-08-09,85.40,85.79,85.09,85.49,816400,85.07
2013-08-08,85.41,86.04,85.02,85.46,1309900,85.04
2013-08-07,85.42,86.19,84.81,85.11,1136300,84.69
2013-08-06,86.15,86.30,85.33,85.59,1267200,85.17
2013-08-05,85.59,86.56,85.59,86.10,1472000,85.67
2013-08-02,87.35,87.50,86.75,87.07,1131100,86.64
2013-08-01,86.90,87.61,86.75,87.37,1216600,86.94
2013-07-31,87.14,87.35,86.36,86.50,1588200,86.07
2013-07-30,87.56,87.72,86.67,86.95,935200,86.52
2013-07-29,87.37,87.37,86.87,87.06,727700,86.63
2013-07-26,86.75,87.24,85.55,87.23,1344200,86.80
2013-07-25,86.20,86.61,85.78,86.42,891500,85.99
2013-07-24,87.04,87.38,86.04,86.20,1062600,85.77
2013-07-23,89.50,89.50,86.88,86.88,1452900,86.45
2013-07-22,88.64,89.42,88.30,89.41,645300,88.97
2013-07-19,88.37,88.66,88.01,88.64,1153700,88.20
2013-07-18,88.14,88.84,88.07,88.60,893100,88.16
2013-07-17,87.54,88.07,87.35,88.06,865600,87.62
2013-07-16,87.15,87.47,86.98,87.19,1231200,86.76
2013-07-15,87.52,87.52,86.75,87.00,1578800,86.57
2013-07-12,86.70,87.80,86.55,87.76,814000,87.32
2013-07-11,86.34,86.74,86.01,86.63,922400,86.20
2013-07-10,86.85,86.99,85.15,85.51,1724500,85.09
2013-07-09,87.05,87.71,86.77,87.00,1425400,86.57
2013-07-08,86.24,87.09,86.24,86.66,1008300,86.23
2013-07-05,85.42,85.94,85.05,85.94,734900,85.51
2013-07-03,84.67,85.34,84.52,85.13,684200,84.71
2013-07-02,85.32,85.88,84.75,85.00,1110000,84.58
2013-07-01,84.97,85.72,84.95,85.22,922800,84.80
2013-06-28,84.53,85.11,84.13,84.65,1413200,84.23
2013-06-27,83.97,84.82,83.80,84.62,1096600,84.20
2013-06-26,82.96,83.85,82.95,83.53,1575800,83.12
2013-06-25,82.47,82.93,82.03,82.40,1421100,81.99
2013-06-24,82.37,82.52,81.68,81.79,1777500,81.38
2013-06-21,83.79,83.98,82.68,83.15,2163100,82.74
2013-06-20,85.07,85.27,83.39,83.51,1459500,83.10
2013-06-19,87.62,87.73,85.59,85.61,1099000,85.19
2013-06-18,87.53,88.15,87.34,87.97,537600,87.10
2013-06-17,86.73,87.62,86.68,87.41,877700,86.54
2013-06-14,87.01,87.47,86.26,86.30,603400,85.44
2013-06-13,85.84,87.23,85.49,87.11,980100,86.24
2013-06-12,87.05,87.23,85.81,85.84,588100,84.99
2013-06-11,86.97,87.43,86.47,86.56,765800,85.70
2013-06-10,87.20,87.75,86.78,87.46,1294300,86.59
2013-06-07,86.78,87.24,86.36,86.96,1342700,86.10
2013-06-06,85.20,86.46,84.82,86.45,1231000,85.59
2013-06-05,86.03,86.25,85.29,85.33,1312600,84.48
2013-06-04,86.70,86.97,85.94,86.16,1163000,85.30
2013-06-03,86.96,87.03,85.85,86.75,1095500,85.89
2013-05-31,87.57,88.20,87.09,87.10,1386200,86.23
2013-05-30,87.44,88.00,87.28,87.72,1171600,86.85
2013-05-29,87.32,87.73,86.73,87.38,1229700,86.51
2013-05-28,88.82,88.94,87.54,87.89,817300,87.02
2013-05-24,87.56,88.05,87.18,88.02,785300,87.15
2013-05-23,87.53,88.07,87.13,87.82,922000,86.95
2013-05-22,88.48,89.39,87.61,88.01,1022000,87.14
2013-05-21,89.08,89.32,88.15,88.63,1239100,87.75
2013-05-20,89.77,89.87,88.95,88.95,808700,88.07
2013-05-17,90.01,90.58,89.56,89.88,1058500,88.99
2013-05-16,90.18,90.59,89.85,89.87,773400,88.98
2013-05-15,90.11,90.64,89.88,90.60,704200,89.70
2013-05-14,89.63,90.56,89.51,90.30,908300,89.40
2013-05-13,88.96,89.60,88.73,89.51,823400,88.62
2013-05-10,89.02,89.18,88.60,89.14,752500,88.25
2013-05-09,89.92,90.10,88.69,88.84,1084500,87.96
2013-05-08,89.01,89.93,88.85,89.89,796400,89.00
2013-05-07,88.66,89.22,88.50,89.13,792600,88.24
2013-05-06,88.10,88.76,87.92,88.61,751200,87.73
2013-05-03,87.91,88.36,87.74,88.12,1482500,87.24
2013-05-02,87.52,87.75,86.96,87.18,882300,86.31
2013-05-01,88.14,88.42,87.16,87.30,1188400,86.43
2013-04-30,87.84,88.28,87.48,88.07,1009600,87.20
2013-04-29,88.00,88.33,87.86,87.97,1128500,87.10
2013-04-26,89.39,89.98,87.75,87.81,1423200,86.94
2013-04-25,89.10,89.21,88.34,89.05,816300,88.17
2013-04-24,89.60,89.60,88.80,89.14,775000,88.25
2013-04-23,89.46,89.87,88.43,89.12,910400,88.23
2013-04-22,88.10,88.47,87.22,87.65,785600,86.78
2013-04-19,87.33,88.03,87.07,87.89,1256300,87.02
2013-04-18,87.75,88.00,86.60,86.91,1107200,86.05
2013-04-17,88.33,88.50,87.25,87.61,927300,86.74
2013-04-16,87.89,88.72,87.75,88.63,729400,87.75
2013-04-15,88.95,89.10,87.57,87.58,931600,86.71
2013-04-12,89.09,89.47,88.76,89.14,613400,88.25
2013-04-11,89.04,89.50,88.95,89.31,884200,88.42
2013-04-10,88.72,88.98,88.10,88.92,779800,88.04
2013-04-09,88.60,89.08,88.20,88.53,991800,87.65
2013-04-08,87.59,88.53,87.57,88.49,867000,87.61
2013-04-05,87.34,87.76,86.93,87.63,1011000,86.76
2013-04-04,87.63,88.35,87.54,88.12,593200,87.24
2013-04-03,88.20,88.70,87.37,87.41,1055500,86.54
2013-04-02,87.88,88.28,87.70,88.04,881600,87.17
2013-04-01,87.63,87.88,87.04,87.40,557100,86.53
2013-03-28,86.93,87.61,86.71,87.53,947700,86.66
2013-03-27,86.16,86.88,86.03,86.80,1116900,85.94
2013-03-26,86.82,86.96,86.38,86.62,972200,85.76
2013-03-25,86.89,86.98,86.17,86.51,1268600,85.65
