Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,24.45,24.50,24.00,24.04,61200,24.04
2013-11-19,25.01,25.46,24.43,24.50,294500,24.50
2013-11-18,24.97,25.10,24.70,24.93,238000,24.93
2013-11-15,24.73,24.99,24.61,24.91,131100,24.91
2013-11-14,24.89,24.89,24.53,24.73,162100,24.73
2013-11-13,25.37,25.37,24.61,24.79,278300,24.79
2013-11-12,25.47,25.77,25.24,25.39,153200,25.39
2013-11-11,25.76,25.85,25.46,25.49,183000,25.49
2013-11-08,26.11,26.18,25.69,25.80,219300,25.80
2013-11-07,26.39,26.46,26.01,26.20,230800,26.20
2013-11-06,26.53,26.90,26.30,26.37,182900,26.37
2013-11-05,26.00,26.87,26.00,26.56,222500,26.56
2013-11-04,26.46,27.12,26.24,26.94,207400,26.94
2013-11-01,26.61,27.00,26.40,26.51,103300,26.51
2013-10-31,26.98,27.20,26.55,26.69,77000,26.69
2013-10-30,26.98,27.02,26.56,26.87,147200,26.87
2013-10-29,27.20,27.20,26.75,26.83,107600,26.83
2013-10-28,27.31,27.36,26.98,27.05,42800,27.05
2013-10-25,27.15,27.38,26.87,27.38,163400,27.38
2013-10-24,27.37,27.37,26.79,27.14,284400,27.14
2013-10-23,27.58,27.60,27.14,27.23,65600,27.23
2013-10-22,27.52,27.95,27.30,27.57,427200,27.57
2013-10-21,27.39,27.54,27.00,27.49,142700,27.49
2013-10-18,27.50,27.83,27.04,27.24,96800,27.24
2013-10-17,27.42,27.58,27.01,27.53,484500,27.53
2013-10-16,27.36,27.70,27.03,27.33,617800,27.33
2013-10-15,27.29,27.54,27.05,27.14,117700,27.14
2013-10-14,27.23,27.39,27.06,27.35,43600,27.35
2013-10-11,27.49,27.62,27.14,27.30,127500,27.30
2013-10-10,27.16,27.72,27.16,27.59,110700,27.59
2013-10-09,26.84,27.16,26.79,26.89,89400,26.89
2013-10-08,26.82,27.12,26.69,26.77,114300,26.77
2013-10-07,27.04,27.88,26.82,26.92,104900,26.92
2013-10-04,27.30,27.35,27.07,27.19,83900,27.19
2013-10-03,27.50,27.75,27.05,27.27,189800,27.27
2013-10-02,26.80,27.60,26.80,27.60,259900,27.60
2013-10-01,26.77,27.04,26.66,27.04,534500,27.04
2013-09-30,26.51,26.61,26.26,26.61,336300,26.61
2013-09-27,26.70,26.77,26.46,26.50,214600,26.50
2013-09-26,26.67,26.90,26.57,26.58,121300,26.58
2013-09-25,26.73,26.73,26.47,26.58,355700,26.58
2013-09-24,26.77,26.80,26.66,26.76,197600,26.76
2013-09-23,26.51,26.82,26.34,26.82,246900,26.82
2013-09-20,26.90,26.90,26.61,26.69,92000,26.69
2013-09-19,27.01,27.20,26.82,26.90,212100,26.90
2013-09-18,26.70,26.96,26.31,26.88,251300,26.88
2013-09-17,26.94,26.94,26.25,26.52,183600,26.52
