Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,51.26,51.50,50.89,50.94,521500,50.94
2013-11-19,51.03,51.36,50.76,51.13,674800,51.13
2013-11-18,51.16,51.25,50.76,50.90,429100,50.90
2013-11-15,50.95,51.09,50.58,51.08,643300,51.08
2013-11-14,50.73,50.96,50.40,50.89,408500,50.89
2013-11-13,49.84,50.55,49.77,50.52,382600,50.52
2013-11-12,50.40,50.46,49.86,50.12,455600,50.12
2013-11-11,50.50,50.74,50.43,50.59,265000,50.59
2013-11-08,49.73,50.58,49.61,50.57,446500,50.57
2013-11-07,50.47,50.51,49.59,49.62,551100,49.62
2013-11-06,49.95,50.26,49.84,50.24,489300,50.24
2013-11-05,49.76,49.93,49.55,49.67,468400,49.67
2013-11-04,50.11,50.27,49.77,49.91,468200,49.91
2013-11-01,50.12,50.13,49.80,50.00,529000,50.00
2013-10-31,50.55,50.55,50.00,50.05,816400,50.05
2013-10-30,50.70,50.78,50.33,50.56,515600,50.56
2013-10-29,50.49,50.64,50.33,50.63,479600,50.63
2013-10-28,50.27,50.48,50.04,50.30,496300,50.30
2013-10-25,50.45,50.48,49.60,50.18,593700,50.18
2013-10-24,50.08,50.47,50.03,50.32,582900,50.32
2013-10-23,50.13,50.27,49.74,50.13,625600,50.13
2013-10-22,50.04,50.48,50.00,50.33,584500,50.33
2013-10-21,50.03,50.08,49.80,49.95,342100,49.95
2013-10-18,49.93,50.06,49.56,49.99,2091000,49.99
2013-10-17,49.16,49.94,49.03,49.86,429500,49.86
2013-10-16,48.93,49.49,48.82,49.46,541200,49.46
2013-10-15,49.00,49.16,48.56,48.67,546000,48.67
2013-10-14,48.39,49.03,48.26,48.99,530400,48.99
2013-10-11,48.40,48.91,48.24,48.56,723200,48.56
2013-10-10,47.68,48.47,47.51,48.46,526200,48.46
2013-10-09,47.20,47.35,46.84,47.11,463600,47.11
2013-10-08,47.42,47.58,47.13,47.13,706900,47.13
2013-10-07,47.30,47.67,47.14,47.50,548300,47.50
