/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,65.44,65.75,65.04,65.26,2202300,65.26
2013-11-19,64.97,65.39,64.95,65.28,2353000,65.28
2013-11-18,65.80,65.93,65.02,65.18,2039200,65.18
2013-11-15,65.72,65.97,65.38,65.78,2364300,65.78
2013-11-14,65.33,65.71,65.24,65.60,2673700,65.60
2013-11-13,64.60,65.12,64.42,65.09,2727600,65.09
2013-11-12,64.44,64.86,64.00,64.72,3570800,64.72
2013-11-11,64.90,65.11,64.55,64.62,1940000,64.62
2013-11-08,64.65,64.85,64.13,64.83,3020200,64.83
2013-11-07,65.97,65.97,64.62,64.80,4245600,64.80
2013-11-06,65.61,66.05,65.39,66.01,2487200,66.01
2013-11-05,65.55,65.76,65.05,65.36,3571100,65.36
2013-11-04,65.56,65.80,65.21,65.73,2657200,65.73
2013-11-01,64.82,65.56,64.56,65.39,3770700,65.39
2013-10-31,65.00,65.23,64.67,64.73,3944900,64.73
2013-10-30,65.98,66.04,65.06,65.22,2721700,65.22
2013-10-29,64.89,66.00,64.72,65.94,4525900,65.94
2013-10-28,63.69,64.79,63.66,64.76,4087300,64.76
2013-10-25,63.24,63.72,63.08,63.60,4429800,63.60
2013-10-24,62.42,63.30,61.93,63.04,5188300,63.04
2013-10-23,63.19,63.76,63.08,63.47,4075600,63.47
2013-10-22,62.39,63.61,62.25,63.47,3688600,63.47
2013-10-21,62.76,62.78,61.86,62.26,3253500,62.26
2013-10-18,63.13,63.13,62.13,62.81,4716400,62.81
2013-10-17,61.89,63.63,61.79,63.41,4795900,63.07
2013-10-16,61.33,62.35,61.23,62.28,2544400,61.95
2013-10-15,61.51,61.75,61.09,61.23,3007400,60.90
2013-10-14,61.15,61.59,61.06,61.53,1954300,61.20
2013-10-11,60.69,61.47,60.52,61.45,2573500,61.12
2013-10-10,60.65,60.80,60.11,60.79,3003900,60.46
2013-10-09,59.07,60.27,58.94,59.83,4594700,59.51
2013-10-08,59.30,59.60,58.94,58.96,3958200,58.64
2013-10-07,59.01,59.42,58.88,59.21,3725600,58.89
2013-10-04,59.22,59.49,58.90,59.33,2172500,59.01
2013-10-03,59.12,59.51,58.72,59.22,2620000,58.90
2013-10-02,59.70,59.75,59.03,59.43,2736900,59.11
2013-10-01,59.23,60.18,59.08,60.09,2676400,59.77
2013-09-30,60.16,60.54,59.09,59.30,5172800,58.98
2013-09-27,60.07,60.28,59.65,59.93,2945800,59.61
2013-09-26,59.63,60.41,59.49,60.39,2687700,60.07
2013-09-25,60.02,60.13,59.29,59.34,2714500,59.02
2013-09-24,60.02,60.42,59.83,59.87,2600300,59.55
2013-09-23,60.45,60.47,59.94,60.20,1935500,59.88
2013-09-20,60.84,60.99,60.44,60.44,3985400,60.12
2013-09-19,61.24,61.28,60.80,60.97,3252800,60.64
2013-09-18,60.06,61.19,59.80,61.19,3832500,60.86
2013-09-17,59.67,59.99,59.34,59.80,2898000,59.48
2013-09-16,59.78,60.24,59.67,60.02,2384100,59.70
2013-09-13,59.43,59.69,59.27,59.43,1754500,59.11
2013-09-12,59.11,59.38,58.92,59.28,1737700,58.96
2013-09-11,58.49,59.26,58.43,59.25,2194100,58.93
2013-09-10,58.79,59.09,58.29,58.59,2351100,58.28
2013-09-09,58.00,58.78,58.00,58.57,2094000,58.26
2013-09-06,57.76,58.23,57.47,58.00,2752700,57.69
2013-09-05,57.68,57.78,57.36,57.53,2758900,57.22
2013-09-04,57.45,58.19,57.26,57.80,2797900,57.49
2013-09-03,58.35,58.39,57.38,57.45,3376100,57.14
2013-08-30,57.33,57.82,57.25,57.77,3502500,57.46
2013-08-29,57.09,57.56,56.94,57.25,2627300,56.94
2013-08-28,57.51,57.51,57.14,57.27,2641000,56.96
2013-08-27,57.56,57.90,57.41,57.64,2780300,57.33
2013-08-26,59.08,59.25,58.20,58.22,1960700,57.91
2013-08-23,58.51,59.08,58.44,59.03,2728900,58.71
2013-08-22,58.47,58.59,58.25,58.45,3035500,58.14
2013-08-21,59.00,59.05,58.44,58.51,3036800,58.20
2013-08-20,59.24,59.62,59.02,59.09,1946300,58.77
2013-08-19,59.28,59.38,58.91,59.15,2351400,58.83
2013-08-16,59.52,59.67,59.12,59.47,3130100,59.15
2013-08-15,60.30,60.58,59.69,59.81,2814400,59.49
2013-08-14,61.00,61.14,60.44,60.67,2383200,60.34
2013-08-13,61.00,61.20,60.79,61.08,2430100,60.75
2013-08-12,60.30,60.98,60.24,60.96,2276400,60.63
2013-08-09,60.83,61.05,60.47,60.68,1656000,60.35
2013-08-08,61.27,61.50,60.50,60.91,2817000,60.58
2013-08-07,60.80,61.17,60.65,60.94,2469800,60.61
2013-08-06,60.82,61.25,60.76,60.99,2586100,60.66
2013-08-05,60.49,61.08,60.46,60.98,2965100,60.65
2013-08-02,60.26,60.58,60.01,60.53,2508800,60.21
2013-08-01,60.27,60.82,60.24,60.56,2799300,60.24
2013-07-31,60.34,60.67,59.85,59.87,3867500,59.55
2013-07-30,60.40,60.68,59.91,60.24,3269000,59.92
2013-07-29,59.99,60.36,59.85,60.08,2992400,59.76
2013-07-26,59.46,60.26,59.15,60.25,4022400,59.93
2013-07-25,58.70,59.90,58.50,59.62,4558000,59.30
2013-07-24,58.50,58.66,58.20,58.47,3935200,58.16
2013-07-23,58.61,58.79,58.23,58.41,2627100,58.10
2013-07-22,58.76,59.07,58.45,58.65,2303700,58.34
2013-07-19,58.47,58.92,58.25,58.88,3135900,58.56
2013-07-18,58.33,58.99,58.21,58.80,3242900,58.15
2013-07-17,58.60,58.71,58.07,58.36,2873500,57.71
2013-07-16,58.71,58.80,58.09,58.48,3068000,57.83
2013-07-15,59.24,59.27,58.58,58.82,3302400,58.17
2013-07-12,58.98,59.23,58.67,59.14,2651200,58.48
2013-07-11,59.24,59.36,58.63,58.95,4292100,58.29
2013-07-10,58.99,59.27,58.49,58.62,2434900,57.97
2013-07-09,59.03,59.24,58.82,58.98,2916100,58.32
2013-07-08,57.98,58.64,57.98,58.58,2492100,57.93
2013-07-05,58.00,58.22,57.11,57.86,2501300,57.22
2013-07-03,57.54,57.94,57.19,57.82,2443200,57.18
2013-07-02,57.94,58.20,57.50,57.72,3355700,57.08
2013-07-01,57.60,58.66,57.58,57.95,3727600,57.31
2013-06-28,57.10,57.67,56.80,57.29,5508900,56.65
2013-06-27,57.51,57.83,57.14,57.39,2983100,56.75
2013-06-26,56.78,57.20,56.42,57.00,4130400,56.37
2013-06-25,56.49,56.66,55.86,56.22,4152100,55.60
2013-06-24,56.28,56.74,55.47,56.15,4418700,55.53
2013-06-21,56.39,57.09,56.01,56.81,6013600,56.18
2013-06-20,57.60,57.72,55.69,55.87,7546900,55.25
2013-06-19,59.67,59.80,57.98,58.00,4256400,57.36
2013-06-18,59.70,59.92,59.48,59.70,3156100,59.04
2013-06-17,59.10,59.92,59.03,59.64,3724200,58.98
2013-06-14,58.51,59.01,58.21,58.82,3099100,58.17
2013-06-13,58.12,58.65,57.19,58.46,2516500,57.81
2013-06-12,58.99,59.50,58.15,58.16,2344900,57.51
2013-06-11,58.45,59.24,58.06,58.62,2338900,57.97
2013-06-10,59.28,59.35,58.65,58.82,2710200,58.17
2013-06-07,58.51,59.14,58.42,59.10,2980200,58.44
2013-06-06,57.80,58.22,57.07,58.04,3861600,57.39
2013-06-05,58.73,58.77,57.90,57.90,2584900,57.26
2013-06-04,58.80,59.22,58.24,58.87,3066800,58.22
2013-06-03,57.91,58.67,57.52,58.60,4101400,57.95
2013-05-31,59.42,59.47,57.83,57.84,4731300,57.20
2013-05-30,59.75,60.10,59.33,59.63,2961000,58.97
2013-05-29,61.09,61.18,59.40,59.58,4483400,58.92
2013-05-28,61.86,62.25,61.39,61.63,2717100,60.95
2013-05-24,60.87,61.31,60.48,61.17,1756700,60.49
2013-05-23,61.07,61.33,60.87,60.97,3159600,60.29
2013-05-22,61.50,62.13,61.22,61.41,3059500,60.73
2013-05-21,61.60,62.08,61.19,61.58,2895900,60.90
2013-05-20,62.04,62.05,61.42,61.55,2321300,60.87
2013-05-17,62.14,62.40,61.78,62.04,4148300,61.35
2013-05-16,62.31,62.70,61.33,62.38,3077800,61.69
2013-05-15,122.84,124.74,122.66,124.55,7490600,61.58
2013-05-14,121.00,123.35,121.00,123.35,3101000,60.99
2013-05-13,120.80,121.20,120.32,120.91,1837600,59.78
2013-05-10,120.50,120.98,120.11,120.72,2484000,59.69
2013-05-09,120.34,120.71,119.79,120.19,3025200,59.43
2013-05-08,120.15,120.70,119.84,120.52,2090800,59.59
2013-05-07,120.37,120.50,119.83,120.33,2657800,59.50
2013-05-06,121.15,121.27,120.01,120.20,1797200,59.43
2013-05-03,121.27,121.56,120.10,121.15,2120800,59.90
2013-05-02,119.16,121.10,118.76,120.73,2341200,59.69
2013-05-01,119.44,120.46,118.88,119.14,2393600,58.91
2013-04-30,119.06,119.78,118.32,119.41,3388000,59.04
2013-04-29,119.25,119.93,119.06,119.37,2610600,59.02
2013-04-26,119.88,120.93,118.52,118.99,3885600,58.83
