Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,72.49,72.93,72.09,72.25,4139300,72.25
2013-11-19,72.12,72.69,71.76,72.26,7036400,72.26
2013-11-18,73.47,73.63,72.20,72.31,4686500,72.31
2013-11-15,73.55,73.57,72.75,73.30,5341200,73.30
2013-11-14,73.58,73.80,73.20,73.68,3833000,73.68
2013-11-13,72.74,73.36,72.57,73.34,3463600,73.34
2013-11-12,73.25,73.47,72.61,72.82,3125000,72.82
2013-11-11,73.46,73.83,73.33,73.56,2786700,73.56
2013-11-08,72.49,73.72,72.37,73.69,4819600,73.69
2013-11-07,73.85,73.93,72.27,72.51,5836600,72.51
2013-11-06,73.19,73.97,73.11,73.90,5588000,73.90
2013-11-05,73.03,73.28,72.50,72.57,4592500,72.57
2013-11-04,73.37,73.51,72.84,73.33,3604300,73.33
2013-11-01,73.56,73.56,72.21,73.09,4921000,73.09
2013-10-31,73.66,74.48,73.28,73.33,5556600,73.33
2013-10-30,74.40,74.48,72.87,73.25,5278500,73.25
2013-10-29,74.20,74.59,74.00,74.34,3389900,74.34
2013-10-28,73.91,74.06,73.60,73.89,3480100,73.89
2013-10-25,73.53,74.10,73.01,74.06,4218700,74.06
2013-10-24,72.67,73.49,72.44,73.39,3707900,73.39
2013-10-23,72.92,72.92,71.95,72.39,4442600,72.39
2013-10-22,73.26,73.53,72.88,73.26,3597300,73.26
2013-10-21,73.53,73.58,72.90,73.05,3407000,73.05
2013-10-18,73.58,73.59,72.73,73.43,5223700,73.43
2013-10-17,72.68,73.47,72.54,73.41,4494300,73.41
2013-10-16,72.32,73.09,72.20,72.96,5534800,72.96
2013-10-15,71.90,72.25,71.47,71.89,6252200,71.89
2013-10-14,71.30,72.03,71.25,71.96,4223800,71.96
2013-10-11,70.82,71.85,70.76,71.71,4592100,71.71
2013-10-10,69.80,71.11,69.69,71.08,4454400,71.08
2013-10-09,70.24,70.39,69.62,69.77,5768400,69.08
2013-10-08,70.77,71.13,70.15,70.17,5142800,69.48
2013-10-07,70.40,71.18,70.15,70.88,4621600,70.18
2013-10-04,70.18,70.99,70.03,70.97,4996700,70.27
2013-10-03,70.19,70.32,69.57,70.17,6550800,69.48
2013-10-02,70.02,70.57,69.75,70.36,5022400,69.66
2013-10-01,69.46,70.45,69.32,70.04,4141300,69.35
2013-09-30,69.69,69.92,69.30,69.51,4802100,68.82
2013-09-27,70.16,70.38,69.92,70.31,3423000,69.61
2013-09-26,70.34,70.44,69.89,70.23,3836600,69.54
2013-09-25,70.49,70.69,70.03,70.32,3970000,69.62
2013-09-24,70.63,71.04,70.34,70.40,5739700,69.70
2013-09-23,70.66,70.73,69.80,70.58,4680500,69.88
2013-09-20,70.85,71.09,70.27,71.00,10130600,70.30
2013-09-19,70.60,70.91,70.06,70.84,4741300,70.14
2013-09-18,69.59,70.94,69.42,70.56,5209400,69.86
2013-09-17,69.31,69.92,69.26,69.70,3737500,69.01
2013-09-16,69.77,69.81,69.14,69.34,4780300,68.65
2013-09-13,69.14,69.42,68.88,69.19,3996100,68.51
2013-09-12,69.19,69.21,68.72,68.78,3616300,68.10
2013-09-11,68.73,69.38,68.58,69.16,3782500,68.48
2013-09-10,68.90,68.97,68.31,68.66,4464700,67.98
2013-09-09,68.25,68.92,68.05,68.87,5166400,68.19
2013-09-06,67.88,68.77,67.45,68.20,5990100,67.53
2013-09-05,67.66,68.11,67.46,67.77,4285000,67.10
2013-09-04,66.87,68.10,66.71,67.66,6529100,66.99
2013-09-03,66.96,66.99,66.51,66.79,5541900,66.13
2013-08-30,66.28,66.54,66.12,66.30,4963300,65.64
2013-08-29,66.51,66.55,65.98,66.16,4382800,65.51
2013-08-28,66.18,67.33,66.18,66.77,6656000,66.11
2013-08-27,65.95,66.56,65.94,66.02,5352100,65.37
2013-08-26,66.59,66.94,66.21,66.31,3214400,65.65
2013-08-23,66.26,66.65,66.04,66.55,4396400,65.89
2013-08-22,65.58,66.43,65.45,66.15,4100800,65.50
2013-08-21,65.97,66.02,65.29,65.52,4414200,64.87
2013-08-20,65.82,66.40,65.56,65.98,5589600,65.33
2013-08-19,67.41,67.41,65.79,65.83,6449400,65.18
2013-08-16,67.37,67.91,66.97,67.38,6536000,66.71
2013-08-15,66.76,67.70,66.62,67.62,6475900,66.95
2013-08-14,67.15,67.50,66.72,67.16,6488600,66.50
2013-08-13,66.43,67.30,66.30,66.90,4963300,66.24
2013-08-12,66.32,66.52,66.06,66.10,4489200,65.45
2013-08-09,67.01,67.02,66.17,66.83,3668600,66.17
2013-08-08,67.04,67.29,66.37,67.09,4646200,66.43
