/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,32.08,32.37,31.75,31.80,5437600,31.80
2013-11-19,32.30,32.30,31.85,32.01,4565500,32.01
2013-11-18,32.19,32.31,31.98,32.19,4606900,32.19
2013-11-15,31.87,32.20,31.86,32.10,3779800,32.10
2013-11-14,31.55,31.91,31.55,31.84,4252100,31.84
2013-11-13,31.41,31.50,31.29,31.48,4161600,31.48
2013-11-12,31.58,31.75,31.35,31.43,5193600,31.43
2013-11-11,31.45,31.63,31.26,31.51,3243700,31.51
2013-11-08,31.83,31.91,30.86,31.33,10076600,31.33
2013-11-07,33.00,33.05,31.61,31.81,13308800,31.81
2013-11-06,33.60,33.93,33.57,33.89,4627800,33.89
2013-11-05,33.67,33.78,33.30,33.38,5697200,33.38
2013-11-04,33.78,33.83,33.58,33.76,3476100,33.76
2013-11-01,33.84,34.06,33.50,33.58,3978400,33.58
2013-10-31,33.56,33.87,33.31,33.86,4128200,33.86
2013-10-30,33.87,33.88,33.50,33.53,2943800,33.53
2013-10-29,33.61,34.18,33.61,33.81,4926100,33.81
2013-10-28,33.24,33.60,33.18,33.52,3841400,33.52
2013-10-25,33.18,33.43,33.03,33.27,3589200,33.27
2013-10-24,33.39,33.41,33.08,33.22,3284500,33.22
2013-10-23,33.24,33.54,33.08,33.39,3397100,33.39
2013-10-22,32.93,33.50,32.74,33.42,3623400,33.42
2013-10-21,33.10,33.19,32.77,32.99,3656100,32.99
2013-10-18,33.30,33.34,32.97,33.01,3695000,33.01
2013-10-17,32.88,33.29,32.77,33.25,3572600,33.25
2013-10-16,32.63,32.93,32.59,32.92,3557300,32.92
2013-10-15,32.74,32.89,32.48,32.53,3875200,32.53
2013-10-14,32.91,33.00,32.59,32.68,4474800,32.68
2013-10-11,33.27,33.30,32.86,33.22,4051300,33.22
2013-10-10,32.40,33.39,32.39,33.34,8815800,33.34
2013-10-09,31.39,32.33,31.34,32.19,7853100,32.19
2013-10-08,31.45,31.64,31.26,31.28,4447000,31.28
2013-10-07,31.01,31.59,31.01,31.41,3576200,31.41
2013-10-04,31.18,31.26,31.07,31.20,3262300,31.20
2013-10-03,31.48,31.50,31.08,31.19,4213100,31.19
2013-10-02,31.71,31.85,31.39,31.61,4283500,31.61
2013-10-01,31.34,31.87,31.34,31.76,5556500,31.76
2013-09-30,31.60,31.62,31.21,31.38,5620000,31.38
2013-09-27,32.00,32.04,31.72,31.78,3471400,31.78
2013-09-26,32.00,32.28,32.00,32.11,2496800,32.11
2013-09-25,32.13,32.24,32.00,32.00,3563500,32.00
2013-09-24,32.24,32.39,32.09,32.17,3905600,32.17
2013-09-23,32.15,32.30,31.92,32.24,3655300,32.24
2013-09-20,32.79,32.80,32.14,32.28,5983700,32.28
2013-09-19,32.69,32.90,32.60,32.71,3665500,32.71
2013-09-18,32.38,32.62,32.10,32.55,5094900,32.55
2013-09-17,32.27,32.60,32.27,32.43,2456400,32.43
2013-09-16,32.64,32.73,32.18,32.27,3515300,32.27
2013-09-13,32.47,32.65,32.27,32.34,2966800,32.34
