Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,24.35,24.47,24.15,24.17,53300,24.17
2013-11-19,24.61,24.61,24.39,24.42,58100,24.42
2013-11-18,24.55,24.68,24.50,24.60,45300,24.60
2013-11-15,24.54,24.62,24.51,24.54,31200,24.54
2013-11-14,24.46,24.65,24.46,24.61,40100,24.61
2013-11-13,24.52,24.62,24.43,24.53,40600,24.53
2013-11-12,24.47,24.62,24.47,24.58,47700,24.58
2013-11-11,24.60,24.61,24.51,24.55,15700,24.55
2013-11-08,24.60,24.65,24.44,24.53,54100,24.53
2013-11-07,24.69,24.72,24.57,24.70,21700,24.70
2013-11-06,24.55,24.70,24.55,24.63,22200,24.63
2013-11-05,24.58,24.67,24.45,24.58,35700,24.58
2013-11-04,24.70,24.76,24.56,24.58,36200,24.58
2013-11-01,24.73,24.80,24.64,24.76,24700,24.76
2013-10-31,24.80,24.86,24.67,24.71,52600,24.71
2013-10-30,24.65,24.82,24.52,24.78,129300,24.78
2013-10-29,24.67,24.68,24.49,24.62,33900,24.62
2013-10-28,24.55,24.76,24.43,24.59,35700,24.59
2013-10-25,24.53,24.73,24.53,24.67,21100,24.67
2013-10-24,24.70,24.77,24.48,24.60,40300,24.60
2013-10-23,24.57,24.84,24.57,24.76,43300,24.76
2013-10-22,24.50,24.80,24.45,24.66,56100,24.66
2013-10-21,24.10,24.38,24.06,24.36,62500,24.36
2013-10-18,23.88,24.20,23.87,24.20,57200,24.20
2013-10-17,23.76,24.02,23.73,23.88,40500,23.88
2013-10-16,23.61,23.88,23.61,23.72,34300,23.72
2013-10-15,23.95,24.03,23.62,23.66,39300,23.66
2013-10-14,23.82,23.98,23.68,23.92,36000,23.92
2013-10-11,23.90,23.95,23.83,23.87,23800,23.87
2013-10-10,23.90,24.07,23.87,23.90,25800,23.90
2013-10-09,24.06,24.09,23.83,23.86,33700,23.86
2013-10-08,24.30,24.36,24.03,24.15,49600,24.15
2013-10-07,24.38,24.38,24.23,24.28,41400,24.28
2013-10-04,24.53,24.60,24.33,24.39,74700,24.39
2013-10-03,24.47,24.50,24.40,24.42,40700,24.42
2013-10-02,24.30,24.48,24.27,24.41,52600,24.41
2013-10-01,24.40,24.49,24.21,24.30,58800,24.30
2013-09-30,24.06,24.34,23.90,24.34,55100,24.34
2013-09-27,24.23,24.33,23.92,24.07,39600,24.07
2013-09-26,24.40,24.40,24.18,24.23,44600,24.23
2013-09-25,24.58,24.80,24.54,24.63,69700,24.19
2013-09-24,24.42,24.73,24.37,24.58,41100,24.14
2013-09-23,24.34,24.63,24.14,24.50,44600,24.06
2013-09-20,24.53,24.67,24.27,24.28,61300,23.85
2013-09-19,24.74,24.79,24.51,24.57,36600,24.13
2013-09-18,24.31,24.82,24.30,24.62,38300,24.18
2013-09-17,24.30,24.46,24.27,24.31,37300,23.88
2013-09-16,24.54,24.54,24.31,24.31,47100,23.88
2013-09-13,24.45,24.50,24.33,24.47,44900,24.03
2013-09-12,24.66,24.72,24.43,24.54,42600,24.10
2013-09-11,24.37,24.62,24.29,24.60,50800,24.16
2013-09-10,24.37,24.62,24.30,24.31,49700,23.88
2013-09-09,24.46,24.69,24.36,24.36,27100,23.93
2013-09-06,24.65,24.74,24.52,24.54,23800,24.10
2013-09-05,24.52,24.70,24.45,24.61,39600,24.17
2013-09-04,24.62,24.62,24.28,24.62,42600,24.18
2013-09-03,24.43,24.60,24.16,24.58,32600,24.14
2013-08-30,24.60,24.67,24.52,24.52,40000,24.08
2013-08-29,24.40,24.65,24.33,24.54,65600,24.10
2013-08-28,24.33,24.49,24.24,24.49,36400,24.05
2013-08-27,23.97,24.34,23.77,24.34,45500,23.91
2013-08-26,24.32,24.47,24.03,24.05,40900,23.62
2013-08-23,24.01,24.34,24.01,24.25,43800,23.82
2013-08-22,23.60,24.07,23.55,23.98,77300,23.55
2013-08-21,23.29,23.90,23.11,23.70,68700,23.28
2013-08-20,23.52,23.92,23.31,23.43,65800,23.01
2013-08-19,24.43,24.43,23.32,23.76,88500,23.34
2013-08-16,24.35,24.51,24.04,24.37,52900,23.94
2013-08-15,24.46,24.54,24.00,24.25,69700,23.82
2013-08-14,24.54,24.71,24.45,24.57,65800,24.13
2013-08-13,24.80,24.84,24.59,24.65,86200,24.21
2013-08-12,24.90,25.00,24.75,24.81,35600,24.37
2013-08-09,25.00,25.18,24.90,24.90,22100,24.46
2013-08-08,24.91,25.11,24.88,25.09,38000,24.64
2013-08-07,25.00,25.11,24.87,24.87,51800,24.43
2013-08-06,25.00,25.04,24.80,24.91,83100,24.47
2013-08-05,25.30,25.30,25.05,25.08,43200,24.63
2013-08-02,25.10,25.39,25.01,25.19,90800,24.74
2013-08-01,25.16,25.17,24.91,24.95,76700,24.51
2013-07-31,25.02,25.27,25.02,25.17,60200,24.72
2013-07-30,25.01,25.26,25.01,25.12,41000,24.67
2013-07-29,25.14,25.19,25.02,25.10,19800,24.65
2013-07-26,25.07,25.33,25.07,25.22,29300,24.77
2013-07-25,25.12,25.20,25.00,25.15,46800,24.70
2013-07-24,25.29,25.39,25.14,25.26,44200,24.81
2013-07-23,25.24,25.43,25.15,25.35,28500,24.90
2013-07-22,25.31,25.36,25.16,25.25,84000,24.80
