/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,122.16,122.75,121.60,122.00,4571300,122.00
2013-11-19,120.55,122.38,120.27,122.06,5891800,122.06
2013-11-18,120.71,120.89,120.07,120.56,4788700,120.56
2013-11-15,119.78,120.27,119.13,120.06,6008000,120.06
2013-11-14,119.58,119.93,119.32,119.56,5470900,119.56
2013-11-13,119.58,120.15,119.19,120.09,6212000,119.09
2013-11-12,121.03,121.25,119.63,120.00,6914200,119.00
2013-11-11,121.18,121.50,120.71,121.08,3427600,120.07
2013-11-08,119.67,121.21,119.58,121.19,11331000,120.18
2013-11-07,121.60,121.88,119.42,119.91,10131200,118.91
2013-11-06,119.30,121.41,118.82,121.14,8373200,120.13
2013-11-05,117.60,118.90,117.07,118.45,6623300,117.46
2013-11-04,118.59,118.60,117.32,118.10,6670300,117.12
2013-11-01,119.04,119.44,117.00,118.01,9344200,117.03
2013-10-31,120.15,121.33,119.83,119.96,7752500,118.96
2013-10-30,121.54,121.96,119.91,120.30,4999100,119.30
2013-10-29,121.33,122.01,121.16,121.50,4241700,120.49
2013-10-28,120.56,121.15,120.09,120.91,5497700,119.90
2013-10-25,120.59,121.22,120.27,120.59,4273300,119.59
2013-10-24,120.67,121.00,119.91,120.56,4188100,119.56
2013-10-23,120.29,120.64,119.84,120.13,4961900,119.13
2013-10-22,120.14,120.79,119.71,120.64,6444900,119.64
2013-10-21,119.63,120.19,119.31,119.82,4360700,118.82
2013-10-18,119.61,119.85,119.13,119.65,6231100,118.65
2013-10-17,119.10,119.61,118.67,119.52,5254800,118.52
2013-10-16,119.42,119.72,118.34,119.16,5614200,118.17
2013-10-15,118.56,119.07,117.77,118.15,6414700,117.17
2013-10-14,117.33,118.75,116.32,118.58,4789800,117.59
2013-10-11,116.57,117.71,115.93,117.67,6535800,116.69
2013-10-10,115.24,116.38,114.44,116.38,11133000,115.41
2013-10-09,116.55,116.80,115.32,116.13,8861700,115.16
2013-10-08,117.89,118.09,116.71,116.73,6744200,115.76
2013-10-07,117.43,118.50,117.21,117.87,5677400,116.89
2013-10-04,118.50,118.54,117.52,118.13,6538500,117.15
2013-10-03,120.62,120.66,117.93,118.25,10203700,117.27
2013-10-02,121.04,121.18,119.76,120.83,5899800,119.82
2013-10-01,121.27,121.74,120.84,121.32,4702300,120.31
2013-09-30,121.60,122.02,120.50,121.50,6421800,120.49
