/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,16.44,16.65,16.14,16.18,3758300,16.18
2013-11-19,16.79,16.79,16.27,16.44,2468400,16.44
2013-11-18,16.69,16.79,16.44,16.47,4171800,16.47
2013-11-15,16.51,16.64,16.44,16.60,2792400,16.60
2013-11-14,16.38,16.58,16.36,16.52,1752900,16.52
2013-11-13,16.12,16.35,16.08,16.33,2276300,16.33
2013-11-12,16.24,16.24,15.99,16.16,2238100,16.16
2013-11-11,16.17,16.37,16.11,16.25,2083600,16.25
2013-11-08,16.17,16.24,15.87,16.17,3853400,16.17
2013-11-07,16.47,16.56,16.24,16.25,2946200,16.25
2013-11-06,16.70,16.76,16.42,16.47,3163700,16.47
2013-11-05,16.94,17.05,16.48,16.66,3855000,16.66
2013-11-04,17.10,17.32,16.90,17.06,3096900,17.06
2013-11-01,17.06,17.11,16.84,17.09,2576400,17.09
2013-10-31,17.07,17.15,16.84,16.95,5037500,16.95
2013-10-30,16.83,17.12,16.81,17.07,5869600,17.07
2013-10-29,16.98,17.02,16.81,16.85,3006200,16.85
2013-10-28,17.18,17.18,16.92,16.99,2497400,16.99
2013-10-25,16.99,17.26,16.89,17.18,3151300,17.18
2013-10-24,16.89,16.99,16.83,16.99,2098800,16.99
2013-10-23,16.85,17.01,16.81,16.90,2872100,16.90
2013-10-22,16.79,16.94,16.69,16.91,3800700,16.91
2013-10-21,16.75,16.75,16.57,16.66,1867300,16.66
2013-10-18,16.80,16.81,16.51,16.71,2232200,16.71
2013-10-17,16.22,16.75,16.17,16.73,4317100,16.73
2013-10-16,16.40,16.53,16.34,16.37,3556600,16.37
2013-10-15,16.16,16.35,16.14,16.34,5281200,16.34
2013-10-14,16.13,16.26,15.98,16.20,2952200,16.20
2013-10-11,15.94,16.20,15.91,16.20,2849300,16.20
2013-10-10,15.79,16.10,15.78,16.04,2034400,16.04
2013-10-09,15.68,15.81,15.63,15.66,2934000,15.66
2013-10-08,15.84,15.89,15.59,15.62,2246400,15.62
2013-10-07,15.65,15.91,15.61,15.81,2351100,15.81
2013-10-04,15.86,15.96,15.69,15.76,1742400,15.76
2013-10-03,16.19,16.25,15.77,15.84,5284100,15.84
2013-10-02,16.02,16.28,15.89,16.23,4771600,16.23
2013-10-01,15.72,16.33,15.67,16.10,3619300,16.10
2013-09-30,15.85,15.98,15.71,15.71,3078500,15.71
2013-09-27,15.99,16.09,15.87,16.00,1864600,16.00
2013-09-26,15.99,16.11,15.86,16.00,1857700,16.00
2013-09-25,15.81,16.04,15.80,16.02,3566600,16.02
2013-09-24,15.93,16.02,15.81,15.82,2273300,15.82
2013-09-23,15.98,16.16,15.85,15.92,3316100,15.92
2013-09-20,16.36,16.36,15.90,16.02,3537600,16.02
2013-09-19,16.38,16.51,16.28,16.28,3951700,16.28
2013-09-18,16.04,16.47,15.79,16.46,3111100,16.46
2013-09-17,16.05,16.15,15.97,16.04,2285200,16.04
2013-09-16,16.00,16.20,15.92,16.00,3433800,16.00
2013-09-13,15.59,15.78,15.59,15.77,1183700,15.77
2013-09-12,15.68,15.92,15.63,15.63,2180000,15.63
2013-09-11,15.73,15.82,15.61,15.77,1687800,15.77
2013-09-10,15.88,15.88,15.55,15.73,2725400,15.73
2013-09-09,15.50,15.75,15.37,15.75,3927000,15.75
2013-09-06,15.46,15.59,15.39,15.44,2284400,15.44
2013-09-05,15.51,15.53,15.25,15.27,1649000,15.27
2013-09-04,15.41,15.60,15.30,15.47,2645100,15.47
2013-09-03,15.76,15.76,15.24,15.37,3745800,15.37
