Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,52.79,53.42,52.71,52.96,1287500,52.96
2013-11-19,52.99,53.19,52.39,52.76,1423200,52.76
2013-11-18,53.52,53.69,52.90,53.15,1066700,53.15
2013-11-15,52.68,53.88,52.54,53.50,1606900,53.50
2013-11-14,52.19,52.76,52.12,52.66,718800,52.66
2013-11-13,51.52,52.33,51.43,52.21,972300,52.21
2013-11-12,51.86,52.15,51.67,51.92,1168300,51.92
2013-11-11,52.12,52.50,51.84,52.15,1013500,52.15
2013-11-08,52.14,52.32,51.91,52.16,831100,52.16
2013-11-07,53.01,53.13,52.01,52.14,1185000,52.14
2013-11-06,53.00,53.22,52.69,53.06,954100,53.06
2013-11-05,51.97,52.97,51.77,52.96,1471600,52.96
2013-11-04,51.57,52.02,51.52,51.99,943900,51.99
2013-11-01,51.64,51.74,51.13,51.48,931700,51.48
2013-10-31,52.12,52.15,51.39,51.53,984900,51.53
2013-10-30,52.67,52.70,52.04,52.23,738300,52.23
2013-10-29,51.86,52.63,51.74,52.60,1633600,52.60
2013-10-28,51.79,51.79,51.26,51.53,1155800,51.53
2013-10-25,51.62,51.74,51.15,51.70,942800,51.70
2013-10-24,51.01,51.55,50.85,51.49,1169400,51.49
2013-10-23,51.67,51.88,50.91,51.04,1728400,51.04
2013-10-22,52.10,52.23,51.87,51.95,1034000,51.95
2013-10-21,51.97,52.10,51.78,52.07,1205900,52.07
2013-10-18,52.07,52.32,51.82,52.07,1806100,52.07
2013-10-17,50.55,52.74,49.68,51.80,5511000,51.80
2013-10-16,51.24,51.31,50.47,50.66,3578900,50.66
2013-10-15,50.78,51.43,50.58,51.01,4721400,51.01
2013-10-14,50.18,51.05,50.01,50.96,2510100,50.96
2013-10-11,49.59,50.51,49.26,50.50,2841800,50.50
2013-10-10,49.48,49.89,48.78,49.78,3434300,49.78
2013-10-09,46.25,51.17,45.68,49.57,12582800,49.57
2013-10-08,46.29,46.90,45.97,46.28,2723500,46.28
2013-10-07,46.37,46.49,45.86,45.89,3979400,45.34
2013-10-04,46.01,46.72,45.93,46.72,4868900,46.16
2013-10-03,46.39,46.45,45.43,45.95,2134500,45.40
2013-10-02,46.44,46.62,46.13,46.57,1252900,46.01
2013-10-01,46.32,46.90,46.31,46.86,1386400,46.30
2013-09-30,46.30,46.58,46.05,46.29,1335800,45.74
2013-09-27,46.21,46.75,46.17,46.70,1407900,46.14
2013-09-26,46.10,46.44,45.76,46.44,1680800,45.88
2013-09-25,46.41,46.45,45.98,46.00,1955800,45.45
2013-09-24,46.36,46.58,46.05,46.42,2123000,45.86
2013-09-23,45.81,46.31,44.78,46.26,3698800,45.71
2013-09-20,47.47,47.83,45.72,45.78,6344400,45.23
2013-09-19,49.78,49.80,48.92,49.30,1851100,48.71
2013-09-18,49.50,49.81,49.15,49.81,1112100,49.21
2013-09-17,48.79,49.85,48.76,49.58,1534500,48.99
2013-09-16,48.81,49.26,48.70,48.85,1942300,48.26
2013-09-13,48.31,48.55,47.78,48.37,1044400,47.79
2013-09-12,48.39,48.79,48.05,48.21,964400,47.63
