Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,71.23,71.35,70.01,70.03,2656400,70.03
2013-11-19,71.54,71.69,70.83,71.12,2620200,71.12
2013-11-18,71.82,71.85,71.26,71.54,2422700,71.54
2013-11-15,71.07,71.80,71.05,71.80,2821700,71.80
2013-11-14,71.12,71.86,70.96,71.51,2576200,71.51
2013-11-13,70.60,70.94,70.03,70.92,3678900,70.92
2013-11-12,72.19,72.39,71.41,71.72,11658900,70.94
2013-11-11,72.45,72.89,72.02,72.45,1945400,71.66
2013-11-08,72.66,72.70,71.10,72.43,9150600,71.64
2013-11-07,73.21,73.53,72.72,72.92,8123300,72.13
2013-11-06,72.44,73.25,72.22,73.21,2341000,72.41
2013-11-05,72.56,73.02,72.28,72.45,3639500,71.66
2013-11-04,72.68,72.71,71.68,72.47,2553300,71.68
2013-11-01,71.96,72.79,71.88,72.51,2892200,71.72
2013-10-31,72.03,72.17,70.94,71.73,2822500,70.95
2013-10-30,72.59,73.06,71.98,72.01,2529100,71.23
2013-10-29,72.38,72.80,72.18,72.62,1848700,71.83
2013-10-28,72.31,72.72,72.06,72.37,2665400,71.58
2013-10-25,71.61,72.40,71.32,72.37,1807700,71.58
2013-10-24,71.82,71.91,71.29,71.63,2111900,70.85
2013-10-23,71.04,72.49,71.03,71.71,4412500,70.93
2013-10-22,70.15,71.40,70.07,71.09,2921300,70.32
2013-10-21,70.00,70.20,69.56,70.06,2143300,69.30
2013-10-18,69.97,70.19,69.72,70.08,2428500,69.32
2013-10-17,68.80,69.94,68.33,69.80,3028600,69.04
2013-10-16,68.02,69.03,67.89,69.03,3285900,68.28
2013-10-15,68.35,68.50,67.56,67.85,3163900,67.11
2013-10-14,68.60,68.74,67.64,68.58,2289500,67.83
2013-10-11,68.23,68.87,68.02,68.85,2327500,68.10
2013-10-10,67.73,68.30,66.90,68.29,2579900,67.55
2013-10-09,67.31,68.38,67.06,67.51,2986100,66.78
2013-10-08,66.28,67.52,66.25,67.20,3177200,66.47
