Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,61.47,62.06,61.41,61.70,1987100,61.70
2013-11-19,61.30,61.50,60.81,61.42,1374100,61.42
2013-11-18,62.05,62.08,60.87,61.21,1492900,61.21
2013-11-15,61.84,62.07,61.29,61.88,1791200,61.88
2013-11-14,62.13,62.25,61.59,61.83,1356800,61.83
2013-11-13,60.96,62.06,60.61,62.05,2307000,62.05
2013-11-12,61.82,61.98,61.07,61.33,1674400,61.33
2013-11-11,61.50,62.17,61.39,61.98,2424400,61.98
2013-11-08,59.95,61.53,59.95,61.48,2816100,61.48
2013-11-07,59.75,60.35,58.88,59.95,4023800,59.95
2013-11-06,59.62,61.53,59.04,59.55,7889800,59.55
2013-11-05,57.41,57.76,56.63,57.07,1726800,57.07
2013-11-04,57.55,57.80,57.15,57.44,2020200,57.44
2013-11-01,57.69,57.98,56.96,57.39,1971900,57.39
2013-10-31,58.02,58.27,57.65,57.65,1638900,57.65
2013-10-30,58.17,58.75,57.84,58.06,2711100,58.06
2013-10-29,58.00,58.52,57.91,58.19,3141300,58.19
2013-10-28,57.14,58.11,57.00,57.86,2929300,57.86
2013-10-25,55.51,57.06,55.51,57.02,2951700,57.02
2013-10-24,55.58,55.73,54.17,55.39,2824400,55.39
2013-10-23,55.67,55.75,54.84,55.30,1907000,55.30
2013-10-22,55.40,56.18,55.16,56.03,1968900,56.03
2013-10-21,55.12,55.56,55.00,55.11,1561000,55.11
2013-10-18,55.33,55.41,54.93,55.04,2333200,55.04
2013-10-17,54.89,55.58,54.56,55.00,1412600,55.00
2013-10-16,54.84,55.04,54.17,54.81,1908300,54.81
2013-10-15,54.86,55.07,54.52,54.76,1299400,54.76
2013-10-14,54.28,55.19,54.19,55.12,1196200,55.12
2013-10-11,54.92,55.03,54.46,54.77,2021400,54.77
2013-10-10,54.82,55.18,54.41,55.18,1429100,55.18
2013-10-09,53.93,54.48,53.49,54.08,1553500,54.08
2013-10-08,54.55,54.96,53.98,54.00,1270600,54.00
2013-10-07,54.70,54.99,54.42,54.62,1120400,54.62
2013-10-04,54.82,55.50,54.42,55.32,1259100,55.32
2013-10-03,54.98,55.14,54.14,54.71,1256900,54.71
2013-10-02,53.85,55.32,53.65,55.01,2659200,55.01
2013-10-01,53.90,54.56,53.89,54.22,1829800,54.22
2013-09-30,54.06,54.41,53.64,53.75,2894600,53.75
2013-09-27,55.00,55.22,54.49,54.50,1330000,54.50
2013-09-26,55.09,55.42,54.71,55.25,1374000,55.25
2013-09-25,54.63,55.58,54.50,55.01,2096600,55.01
2013-09-24,54.45,55.03,54.14,54.72,2353000,54.72
2013-09-23,54.66,54.82,54.11,54.54,1807000,54.54
2013-09-20,55.59,55.59,54.72,54.76,2527500,54.76
2013-09-19,56.70,56.71,55.30,55.53,2016400,55.53
2013-09-18,56.14,56.47,55.86,56.47,2462300,56.47
2013-09-17,55.89,56.57,55.75,56.27,1539800,56.27
2013-09-16,56.01,56.23,55.51,55.71,1679700,55.71
2013-09-13,56.57,56.62,55.29,55.48,2622700,55.48
2013-09-12,57.09,57.14,56.25,56.71,1632000,56.71
2013-09-11,57.03,57.59,56.83,57.15,1098300,57.15
2013-09-10,56.98,57.35,56.24,57.05,1649100,57.05
2013-09-09,56.52,57.01,56.28,56.73,1332900,56.73
2013-09-06,55.95,56.75,55.32,56.20,2046000,56.20
2013-09-05,54.08,56.13,54.07,55.63,2678900,55.63
2013-09-04,54.22,55.05,54.16,54.46,4086800,53.96
2013-09-03,56.07,56.22,53.91,54.47,3953600,53.97
2013-08-30,55.89,55.93,55.39,55.56,1967600,55.05
2013-08-29,56.02,56.34,55.52,55.67,2047900,55.16
2013-08-28,56.85,57.12,56.15,56.20,2347900,55.68
2013-08-27,56.76,57.27,56.60,56.76,1682100,56.24
2013-08-26,57.70,58.00,57.13,57.21,1145000,56.68
2013-08-23,57.07,57.46,56.18,57.33,1193000,56.80
2013-08-22,55.40,57.10,55.35,56.76,1475100,56.24
2013-08-21,55.50,55.82,54.97,55.16,1316500,54.65
2013-08-20,55.54,56.04,55.41,55.61,2108000,55.10
2013-08-19,56.01,56.09,55.55,55.70,1745600,55.19
2013-08-16,56.94,56.97,55.70,56.01,2426700,55.50
2013-08-15,56.91,57.28,56.31,57.06,1691000,56.54
2013-08-14,57.87,58.14,57.21,57.25,1878500,56.72
2013-08-13,58.00,58.52,57.76,58.30,1621600,57.76
2013-08-12,58.50,58.92,58.08,58.40,1056100,57.86
2013-08-09,58.89,59.24,58.12,58.85,1244900,58.31
2013-08-08,59.13,59.63,58.77,59.05,1913000,58.51
2013-08-07,57.41,58.87,57.14,58.67,1753500,58.13
2013-08-06,57.80,57.90,57.00,57.46,1686700,56.93
2013-08-05,58.41,58.48,57.66,57.80,1361500,57.27
2013-08-02,58.37,58.61,58.07,58.45,1130800,57.91
2013-08-01,57.88,58.62,57.82,58.37,1562800,57.83
2013-07-31,57.81,57.96,57.09,57.34,2305900,56.81
2013-07-30,59.39,59.39,57.11,57.67,2414200,57.14
2013-07-29,58.77,59.09,58.30,58.42,1418900,57.88
2013-07-26,59.66,59.66,58.41,58.85,1469700,58.31
2013-07-25,59.95,60.20,59.31,59.96,1374700,59.41
2013-07-24,60.87,61.10,59.84,60.05,1102000,59.50
2013-07-23,61.16,61.56,60.36,60.87,1366700,60.31
2013-07-22,61.81,61.96,61.06,61.16,1112600,60.60
2013-07-19,60.97,61.25,60.24,61.23,1244600,60.67
2013-07-18,60.12,61.18,60.01,60.67,1732500,60.11
2013-07-17,58.90,59.94,58.64,59.64,2035300,59.09
