/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,27.90,28.17,27.58,27.60,6054400,27.60
2013-11-19,28.00,28.11,27.62,27.72,6382000,27.72
2013-11-18,28.25,28.33,28.02,28.04,5301900,28.04
2013-11-15,27.85,28.29,27.81,28.12,6205800,28.12
2013-11-14,28.08,28.25,27.87,27.90,8289600,27.90
2013-11-13,27.75,28.16,27.69,28.06,6644000,28.06
2013-11-12,28.55,28.72,28.06,28.17,28029600,27.86
2013-11-11,28.23,28.89,28.20,28.85,6911000,28.53
2013-11-08,28.36,28.38,27.73,28.34,22279200,28.03
2013-11-07,29.04,29.14,28.49,28.56,19444500,28.25
2013-11-06,28.42,29.09,28.31,29.01,11405500,28.69
2013-11-05,28.58,28.91,28.25,28.25,7630500,27.94
2013-11-04,28.71,28.74,28.31,28.59,8122800,28.28
2013-11-01,28.65,28.78,28.45,28.67,5961600,28.35
2013-10-31,28.61,28.83,28.13,28.54,8674500,28.23
2013-10-30,28.51,28.90,27.81,28.55,13746500,28.24
2013-10-29,28.07,28.35,27.83,28.05,8997400,27.74
2013-10-28,27.65,28.18,27.65,28.07,9471500,27.76
2013-10-25,27.75,27.96,27.63,27.96,7844400,27.65
2013-10-24,27.89,28.14,27.58,27.74,10766900,27.43
2013-10-23,28.38,28.50,27.74,27.97,17272900,27.66
2013-10-22,28.60,28.80,28.21,28.69,13606800,28.37
2013-10-21,28.79,28.95,28.37,28.58,8483600,28.27
2013-10-18,29.06,29.08,28.71,28.75,8291100,28.43
2013-10-17,28.69,29.40,28.38,29.04,8530700,28.72
2013-10-16,28.96,29.26,28.59,28.75,12641000,28.43
2013-10-15,29.91,29.95,29.45,29.52,4814900,29.20
2013-10-14,30.18,30.20,29.60,30.02,4465300,29.69
2013-10-11,30.18,30.59,30.05,30.34,4292700,30.01
2013-10-10,29.78,30.20,29.43,30.15,4712200,29.82
2013-10-09,29.43,29.99,29.35,29.71,6397900,29.38
2013-10-08,29.02,29.58,29.02,29.30,4835000,28.98
2013-10-07,29.07,29.44,29.00,29.08,3547000,28.76
2013-10-04,29.20,29.34,29.11,29.23,2668600,28.91
2013-10-03,29.55,29.56,29.10,29.17,4836600,28.85
2013-10-02,29.50,29.89,29.35,29.71,4460600,29.38
2013-10-01,29.67,29.80,29.46,29.64,3800100,29.31
2013-09-30,29.67,29.87,29.42,29.64,5293000,29.31
2013-09-27,30.02,30.15,29.58,29.74,3696500,29.41
2013-09-26,30.37,30.45,29.84,30.09,3895100,29.76
2013-09-25,30.45,30.66,30.21,30.31,3999200,29.98
2013-09-24,30.46,30.64,30.25,30.52,4779400,30.18
2013-09-23,30.06,30.69,29.73,30.42,5134200,30.09
2013-09-20,30.85,30.90,30.11,30.13,8146500,29.80
2013-09-19,31.03,31.18,30.56,30.84,4835700,30.50
2013-09-18,30.15,31.19,30.07,31.02,7667000,30.68
2013-09-17,30.20,30.48,30.10,30.34,4998800,30.01
2013-09-16,30.42,30.67,30.10,30.22,4790400,29.89
2013-09-13,30.09,30.21,30.01,30.17,2911000,29.84
2013-09-12,30.08,30.24,29.90,30.02,4263000,29.69
2013-09-11,30.70,30.76,29.99,30.12,6418000,29.79
2013-09-10,30.43,30.76,30.23,30.73,5382200,30.39
2013-09-09,30.34,30.42,30.04,30.25,4326900,29.92
2013-09-06,30.19,30.63,30.17,30.31,5153400,29.98
2013-09-05,30.05,30.17,29.86,30.05,3413700,29.72
2013-09-04,30.01,30.20,29.70,30.09,5969900,29.76
2013-09-03,30.66,30.75,30.03,30.09,4924600,29.76
2013-08-30,30.43,30.69,30.40,30.49,4478200,30.15
2013-08-29,30.59,30.73,30.32,30.42,4534500,30.09
2013-08-28,30.55,30.83,30.43,30.71,4248300,30.37
2013-08-27,30.48,30.79,30.37,30.56,4692900,30.22
2013-08-26,30.90,30.96,30.69,30.70,4960900,30.36
2013-08-23,30.84,31.00,30.59,30.96,4208700,30.62
2013-08-22,29.89,30.87,29.82,30.72,6907200,30.38
2013-08-21,30.05,30.08,29.67,29.86,6150900,29.53
2013-08-20,29.85,30.34,29.74,30.12,7457000,29.79
2013-08-19,30.03,30.28,29.75,29.86,6060200,29.53
2013-08-16,30.49,30.60,30.03,30.16,6852200,29.83
2013-08-15,30.25,30.52,30.18,30.47,5531700,30.13
2013-08-14,30.33,30.50,30.01,30.44,4321300,30.11
2013-08-13,30.67,30.85,30.33,30.42,6001500,30.09
2013-08-12,31.15,31.20,30.94,31.06,17857900,30.41
2013-08-09,31.26,31.41,31.11,31.26,15148500,30.61
2013-08-08,30.87,31.45,30.77,31.35,22236800,30.70
2013-08-07,30.17,30.90,30.07,30.84,4575100,30.20
2013-08-06,30.54,30.62,30.11,30.25,4950500,29.62
2013-08-05,30.59,30.95,30.42,30.63,3881300,29.99
2013-08-02,30.80,30.91,30.46,30.62,6556500,29.98
2013-08-01,30.58,30.83,30.36,30.80,5356500,30.16
2013-07-31,31.40,31.43,30.33,30.59,8441500,29.95
2013-07-30,31.86,32.09,31.45,31.46,5774800,30.80
2013-07-29,31.44,31.92,31.35,31.69,4472300,31.03
2013-07-26,31.41,31.66,31.24,31.65,3507600,30.99
2013-07-25,31.11,31.55,31.05,31.51,4371500,30.85
2013-07-24,32.02,32.05,31.08,31.18,5500300,30.53
2013-07-23,32.23,32.42,32.01,32.10,4162400,31.43
2013-07-22,32.00,32.33,31.96,32.31,4183700,31.64
2013-07-19,31.84,32.05,31.72,32.04,7718300,31.37
2013-07-18,31.62,31.96,31.60,31.83,4540400,31.17
2013-07-17,31.61,31.65,31.33,31.43,2700300,30.77
2013-07-16,31.53,31.57,31.25,31.47,3232800,30.81
2013-07-15,30.96,31.65,30.90,31.55,4249600,30.89
2013-07-12,31.00,31.08,30.73,31.04,4027400,30.39
2013-07-11,30.81,31.02,30.72,31.00,4495500,30.35
2013-07-10,30.71,30.74,30.48,30.57,4193700,29.93
2013-07-09,30.49,30.90,30.48,30.81,5535200,30.17
