Date,Open,High,Low,Close,Volume,Adj Close
2012-08-07,14.69,14.82,14.62,14.73,2940700,14.73
2012-08-07,14.69,14.82,14.62,14.73,3276700,14.73
2012-08-06,14.50,14.67,14.46,14.59,2222000,14.59
2012-08-03,14.21,14.67,14.19,14.46,3335400,14.46
2012-08-02,14.05,14.17,13.76,14.00,4872200,14.00
2012-08-01,14.18,14.25,14.07,14.16,8795600,14.16
2012-07-31,14.18,14.20,14.04,14.11,2778600,14.11
2012-07-30,14.49,14.53,14.09,14.16,3319300,14.16
2012-07-27,14.25,14.52,14.09,14.38,4372900,14.38
2012-07-26,14.30,14.36,13.99,14.15,3933400,14.15
2012-07-25,14.18,14.31,14.02,14.04,3177200,14.04
2012-07-24,14.34,14.35,13.91,14.06,3115100,14.06
2012-07-23,14.59,14.65,14.19,14.30,3386000,14.30
2012-07-20,14.75,14.92,14.65,14.81,2614300,14.81
2012-07-19,14.87,15.25,14.76,14.86,3660100,14.86
2012-07-18,14.65,14.83,14.53,14.78,3174900,14.78
2012-07-17,14.78,14.87,14.51,14.65,4308300,14.65
2012-07-16,14.47,15.40,13.91,14.69,9910300,14.69
2012-07-13,14.37,14.61,14.29,14.31,3290700,14.31
2012-07-12,14.21,14.37,14.11,14.24,3228800,14.24
2012-07-11,14.56,14.56,14.09,14.29,4779300,14.29
2012-07-10,14.71,14.76,14.35,14.54,3739000,14.54
2012-07-09,14.66,14.68,14.47,14.66,2578300,14.66
2012-07-06,14.55,14.78,14.54,14.73,2434700,14.73
2012-07-05,14.77,14.81,14.45,14.74,3084100,14.74
2012-07-03,14.91,15.05,14.71,14.82,1898700,14.82
2012-07-02,14.96,15.01,14.54,14.85,2801000,14.85
2012-06-29,14.95,14.96,14.61,14.73,3069100,14.73
2012-06-28,14.35,14.73,14.25,14.66,4013900,14.66
2012-06-27,14.08,14.52,14.00,14.41,4659900,14.41
2012-06-26,13.35,14.23,13.35,14.04,6912700,14.04
2012-06-25,13.32,13.34,13.16,13.20,3099600,13.20
2012-06-22,13.66,13.70,13.44,13.50,4387600,13.50
2012-06-21,13.09,13.79,12.92,13.47,7258800,13.47
2012-06-20,13.13,13.25,12.90,13.05,2809000,13.05
2012-06-19,12.95,13.14,12.92,13.10,4499600,13.10
2012-06-18,12.93,13.01,12.80,12.90,2663600,12.90
2012-06-15,12.94,13.04,12.85,12.97,2272100,12.97
2012-06-14,12.66,12.93,12.50,12.85,2776300,12.85
2012-06-13,12.79,12.81,12.57,12.59,3059700,12.59
2012-06-12,12.60,12.83,12.56,12.79,2492300,12.79
2012-06-11,12.89,12.94,12.54,12.60,3449100,12.60
2012-06-08,12.60,12.73,12.43,12.72,2477400,12.72
2012-06-07,13.10,13.11,12.67,12.70,2472200,12.70
2012-06-06,12.48,12.87,12.41,12.85,3443600,12.85
2012-06-05,12.30,12.74,12.17,12.55,3576400,12.35
2012-06-04,12.33,12.46,12.17,12.38,4142900,12.18
2012-06-01,12.67,12.70,12.29,12.33,5311100,12.13
2012-05-31,13.03,13.13,12.68,13.06,3123400,12.85
2012-05-30,13.02,13.05,12.75,12.92,2708900,12.71
2012-05-29,13.13,13.27,13.00,13.16,2750900,12.95
2012-05-25,13.12,13.29,12.98,12.98,2463300,12.77
2012-05-24,12.91,13.11,12.68,13.10,3778900,12.89
2012-05-23,12.80,12.92,12.43,12.82,4820200,12.62
2012-05-22,12.93,13.17,12.75,12.87,5301800,12.66
2012-05-21,12.99,13.10,12.82,12.87,3702700,12.66
2012-05-18,13.18,13.21,12.85,12.96,3903900,12.75
2012-05-17,13.39,13.45,13.08,13.08,4827000,12.87
2012-05-16,13.49,13.62,13.34,13.35,4416600,13.14
2012-05-15,13.40,13.65,13.30,13.37,3346500,13.16
2012-05-14,13.24,13.45,13.13,13.39,2581800,13.18
2012-05-11,13.23,13.42,13.20,13.37,2543300,13.16
2012-05-10,13.76,13.76,13.29,13.32,2902600,13.11
2012-05-09,13.38,13.77,13.34,13.62,2751700,13.40
2012-05-08,13.38,13.63,13.23,13.55,4374400,13.33
2012-05-07,13.34,13.61,13.18,13.51,4136600,13.29
2012-05-04,13.70,13.72,13.32,13.35,2591100,13.14
2012-05-03,13.98,14.02,13.65,13.78,2486700,13.56
2012-05-02,13.93,14.14,13.89,14.02,2906400,13.80
2012-05-01,13.94,14.14,13.87,13.91,1792200,13.69
2012-04-30,13.96,13.96,13.65,13.82,2037200,13.60
2012-04-27,13.85,14.07,13.71,14.03,3207900,13.81
2012-04-26,13.77,13.81,13.58,13.70,2171000,13.48
2012-04-25,13.69,13.80,13.40,13.77,2887800,13.55
2012-04-24,13.60,13.72,13.49,13.54,2016700,13.32
2012-04-23,13.60,13.61,13.36,13.54,4231500,13.32
2012-04-20,13.80,13.88,13.71,13.75,2934600,13.53
2012-04-19,13.78,13.91,13.62,13.74,3636400,13.52
2012-04-18,13.98,14.02,13.77,13.81,3569900,13.59
2012-04-17,13.97,14.25,13.94,14.02,3703500,13.80
2012-04-16,15.00,15.00,13.51,13.89,8719000,13.67
2012-04-13,15.05,15.18,14.83,15.04,3936400,14.80
2012-04-12,14.67,15.09,14.58,15.07,2278400,14.83
2012-04-11,14.50,14.65,14.43,14.64,2539900,14.41
2012-04-10,14.68,14.84,14.27,14.30,3193700,14.07
2012-04-09,14.53,14.76,14.47,14.76,1959600,14.52
2012-04-05,14.92,15.02,14.71,14.82,2814800,14.58
2012-04-04,15.09,15.13,14.90,14.98,5111800,14.74
2012-04-03,15.40,15.53,15.15,15.24,2891100,15.00
2012-04-02,15.27,15.65,15.15,15.40,2758300,15.15
