/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,47.19,47.52,46.70,46.71,424600,46.71
2013-11-19,47.27,47.33,46.99,47.09,383500,47.09
2013-11-18,47.48,47.53,47.25,47.41,467400,47.41
2013-11-15,47.40,47.58,47.10,47.48,419400,47.48
2013-11-14,47.63,47.97,47.42,47.47,421900,47.47
2013-11-13,46.97,47.51,46.82,47.49,360400,47.49
2013-11-12,48.17,48.29,47.42,47.57,1752400,47.10
2013-11-11,47.70,48.38,47.60,48.25,565400,47.77
2013-11-08,47.64,47.95,47.06,47.58,1644800,47.11
2013-11-07,48.28,48.29,47.66,47.84,1697500,47.37
2013-11-06,47.83,48.29,47.66,48.07,495400,47.60
2013-11-05,47.88,47.98,47.61,47.64,408800,47.17
2013-11-04,48.04,48.05,47.64,47.93,447800,47.46
2013-11-01,47.94,48.15,47.40,47.92,631800,47.45
2013-10-31,47.82,48.23,47.47,47.86,803300,47.39
2013-10-30,49.00,49.31,47.81,47.81,1103800,47.34
2013-10-29,48.00,48.05,47.65,47.84,682400,47.37
2013-10-28,48.01,48.31,47.75,47.93,646500,47.46
2013-10-25,47.41,48.00,47.24,48.00,320200,47.53
2013-10-24,47.31,47.47,46.99,47.29,493400,46.82
2013-10-23,46.75,47.42,46.75,47.17,474300,46.70
2013-10-22,46.49,47.04,46.33,46.95,425800,46.49
2013-10-21,46.36,46.60,46.19,46.33,410000,45.87
2013-10-18,46.44,46.67,46.31,46.44,566500,45.98
2013-10-17,45.13,46.23,45.08,46.18,599200,45.72
2013-10-16,45.00,45.22,44.77,45.18,575500,44.73
2013-10-15,45.20,45.42,44.65,44.71,453700,44.27
2013-10-14,45.16,45.39,44.62,45.26,505900,44.81
2013-10-11,45.10,45.41,45.05,45.32,382300,44.87
2013-10-10,44.86,45.44,44.74,45.25,519000,44.80
2013-10-09,44.87,45.53,44.56,44.59,492500,44.15
2013-10-08,44.92,45.38,44.62,44.80,577600,44.36
2013-10-07,44.86,45.17,44.69,44.92,381300,44.48
