/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,26.40,26.79,26.21,26.35,2600600,26.35
2013-11-19,26.70,26.80,26.12,26.27,2593300,26.27
2013-11-18,27.21,27.36,26.68,26.74,4606500,26.74
2013-11-15,27.51,27.51,26.91,27.20,3293200,27.20
2013-11-14,27.89,27.98,27.34,27.36,2009300,27.36
2013-11-13,26.97,27.83,26.97,27.83,1250800,27.83
2013-11-12,27.33,27.50,26.97,27.11,1508200,27.11
2013-11-11,27.63,27.81,27.46,27.56,1117000,27.56
2013-11-08,26.92,27.71,26.90,27.70,2284900,27.70
2013-11-07,28.01,28.10,26.85,26.91,2167300,26.91
2013-11-06,27.96,28.27,27.71,27.79,1722800,27.79
2013-11-05,28.09,28.17,27.83,27.90,1676300,27.90
2013-11-04,28.07,28.19,27.70,28.04,1617300,28.04
2013-11-01,27.69,28.04,27.60,27.90,1673800,27.90
2013-10-31,27.80,28.00,27.57,27.67,1753900,27.67
2013-10-30,27.82,28.17,27.64,27.80,1983200,27.80
2013-10-29,27.64,27.89,27.51,27.73,1963100,27.73
2013-10-28,27.76,27.84,27.22,27.52,2647200,27.52
2013-10-25,27.84,28.02,27.39,27.77,1504100,27.77
2013-10-24,27.79,27.96,27.64,27.82,1321200,27.82
2013-10-23,27.61,27.78,27.13,27.67,2174000,27.67
2013-10-22,27.10,28.09,26.97,27.75,3813700,27.75
2013-10-21,24.50,27.20,23.80,26.90,6006400,26.90
2013-10-18,27.16,27.72,26.79,27.49,3363000,27.49
2013-10-17,26.73,27.14,26.64,26.95,2206200,26.95
2013-10-16,26.51,27.08,26.42,26.89,2365400,26.89
2013-10-15,26.20,26.52,25.99,26.29,2190100,26.29
2013-10-14,25.58,26.38,25.37,26.24,2705000,26.24
2013-10-11,24.87,26.05,24.85,25.75,2218700,25.75
2013-10-10,24.93,25.32,24.79,25.24,2359700,25.24
2013-10-09,24.90,24.92,23.75,24.39,5203500,24.39
2013-10-08,25.36,25.84,25.00,25.11,2359400,25.11
2013-10-07,25.77,25.83,25.34,25.34,2039500,25.34
2013-10-04,26.26,26.55,26.08,26.14,1709700,26.14
2013-10-03,26.61,26.61,25.98,26.20,1952900,26.20
2013-10-02,26.65,26.68,26.46,26.67,1431700,26.67
2013-10-01,26.80,27.04,26.55,26.83,2073700,26.83
2013-09-30,26.35,26.96,26.27,26.79,1747700,26.79
2013-09-27,26.47,26.88,26.36,26.67,1390700,26.67
2013-09-26,26.67,26.79,26.31,26.66,2178700,26.66
2013-09-25,25.79,26.90,25.63,26.67,4189200,26.67
2013-09-24,25.59,25.90,25.44,25.75,2136800,25.75
2013-09-23,25.45,25.80,25.43,25.58,2066000,25.58
2013-09-20,25.73,26.05,25.47,25.52,2438700,25.52
2013-09-19,25.87,25.94,25.33,25.62,1268800,25.62
2013-09-18,25.71,26.01,25.39,25.83,1696900,25.83
2013-09-17,25.52,26.00,25.46,25.74,1047700,25.74
2013-09-16,25.90,25.96,25.48,25.52,1299200,25.52
2013-09-13,25.46,25.70,25.32,25.49,1756800,25.49
2013-09-12,25.25,25.66,25.09,25.23,3467200,25.23
2013-09-11,25.40,25.54,25.11,25.31,2675600,25.31
2013-09-10,25.27,25.48,25.06,25.40,2251100,25.40
2013-09-09,24.52,25.12,24.39,25.04,2595200,25.04
2013-09-06,24.96,24.96,24.21,24.54,1904800,24.54
2013-09-05,24.82,25.04,24.70,24.84,1734500,24.84
2013-09-04,24.28,25.26,24.19,24.87,3555600,24.87
2013-09-03,24.57,24.92,24.33,24.48,1987900,24.28
2013-08-30,24.37,24.42,23.98,24.09,1624600,23.89
2013-08-29,24.12,24.52,24.07,24.37,1316000,24.17
2013-08-28,24.37,24.45,24.14,24.27,1407300,24.07
2013-08-27,24.77,24.91,24.18,24.37,2234800,24.17
2013-08-26,25.17,25.33,24.98,25.05,1284500,24.85
2013-08-23,25.28,25.40,24.92,25.15,1373400,24.94
2013-08-22,24.85,25.48,24.75,25.24,1277600,25.03
2013-08-21,24.77,24.96,24.57,24.70,1714600,24.50
2013-08-20,24.11,25.30,24.09,24.93,3226900,24.73
2013-08-19,24.37,24.48,24.02,24.06,2990700,23.86
2013-08-16,24.39,24.69,24.20,24.46,2277700,24.26
2013-08-15,25.23,25.24,24.19,24.29,2777500,24.09
2013-08-14,25.84,25.88,25.30,25.59,1401300,25.38
2013-08-13,25.93,26.03,25.63,25.89,1692400,25.68
2013-08-12,25.50,26.01,25.49,25.96,1160000,25.75
2013-08-09,25.82,26.01,25.68,25.77,1645000,25.56
2013-08-08,25.68,26.27,25.55,25.85,2904900,25.64
2013-08-07,25.52,25.68,25.39,25.44,1250500,25.23
2013-08-06,25.84,25.91,25.36,25.60,1801900,25.39
2013-08-05,26.14,26.21,25.71,25.81,1553800,25.60
2013-08-02,26.02,26.30,25.75,26.27,1498000,26.06
2013-08-01,25.99,26.33,25.91,26.15,2202100,25.94
2013-07-31,25.56,26.07,25.56,25.76,1844600,25.55
2013-07-30,25.51,25.64,25.22,25.54,2143100,25.33
2013-07-29,25.67,25.86,25.33,25.40,1116300,25.19
2013-07-26,25.70,25.84,25.47,25.67,1591700,25.46
2013-07-25,26.00,26.15,25.76,25.88,1981800,25.67
2013-07-24,26.00,26.17,25.79,26.15,1847200,25.94
2013-07-23,26.05,26.16,25.78,25.95,1694600,25.74
2013-07-22,25.30,26.35,25.20,25.87,3803700,25.66
2013-07-19,26.71,26.88,26.05,26.36,2708000,26.14
2013-07-18,26.40,26.70,26.35,26.36,2007600,26.14
2013-07-17,26.38,26.45,26.12,26.37,1486800,26.15
2013-07-16,26.60,26.70,26.09,26.22,2017900,26.01
2013-07-15,26.75,26.80,26.21,26.53,2091700,26.31
2013-07-12,26.40,26.75,26.20,26.66,2313300,26.44
2013-07-11,26.48,26.58,26.18,26.42,2211900,26.20
2013-07-10,26.00,26.32,25.66,26.06,2242100,25.85
2013-07-09,26.36,26.45,25.94,25.96,3745600,25.75
2013-07-08,26.32,26.35,25.89,26.09,2222900,25.88
2013-07-05,25.87,26.08,25.34,26.06,2073500,25.85
2013-07-03,25.41,25.64,25.23,25.50,1578100,25.29
2013-07-02,25.05,25.77,24.95,25.60,4525500,25.39
2013-07-01,24.72,25.29,24.67,25.21,3601700,25.00
2013-06-28,24.53,24.57,24.10,24.46,4585800,24.26
2013-06-27,24.69,24.97,24.44,24.66,2480400,24.46
2013-06-26,24.08,24.69,24.01,24.59,2807300,24.39
2013-06-25,23.83,24.00,23.70,23.91,2311800,23.71
2013-06-24,23.59,23.93,23.36,23.58,2827800,23.39
2013-06-21,24.20,24.22,23.70,23.91,3378100,23.71
2013-06-20,24.18,24.79,23.81,23.87,3785600,23.67
2013-06-19,25.07,25.18,23.78,24.18,7447300,23.98
2013-06-18,25.02,25.18,24.63,24.96,4460700,24.76
2013-06-17,25.23,25.43,24.62,24.96,6387800,24.76
2013-06-14,26.36,26.36,24.12,24.99,13268600,24.79
2013-06-13,25.50,26.75,24.10,26.60,36109300,26.38
2013-06-12,20.37,20.45,19.82,19.85,1915800,19.69
2013-06-11,20.14,20.47,19.91,20.17,1925300,20.01
2013-06-10,20.81,20.83,20.37,20.43,1552600,20.26
2013-06-07,20.44,20.82,20.26,20.79,1755500,20.62
