Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,80.23,80.64,79.18,79.55,498900,79.55
2013-11-19,80.44,81.20,79.72,80.12,586200,80.12
2013-11-18,81.72,81.73,80.14,80.70,528200,80.70
2013-11-15,81.17,81.75,79.95,81.13,632600,81.13
2013-11-14,81.58,81.75,79.92,81.03,562600,81.03
2013-11-13,78.96,81.65,78.88,81.14,496300,81.14
2013-11-12,79.20,80.00,78.88,79.70,647500,79.70
2013-11-11,77.82,79.53,77.67,79.21,421900,79.21
2013-11-08,77.20,78.72,76.39,77.78,1303900,77.78
2013-11-07,80.49,81.17,77.28,77.38,890100,77.38
2013-11-06,81.50,81.50,79.74,80.36,581300,80.36
2013-11-05,81.11,81.65,80.52,81.33,812100,81.03
2013-11-04,82.12,83.10,80.84,81.20,1108500,80.90
2013-11-01,81.40,84.50,81.40,81.96,1595100,81.66
2013-10-31,74.00,85.76,74.00,81.02,3028400,80.72
2013-10-30,74.34,74.65,71.29,72.02,898200,71.75
2013-10-29,72.42,74.42,72.42,74.13,907400,73.86
2013-10-28,72.50,72.89,71.74,72.31,335800,72.04
2013-10-25,72.86,73.30,72.14,72.63,434500,72.36
2013-10-24,71.75,72.96,71.62,72.90,316600,72.63
2013-10-23,72.60,72.85,71.23,71.76,293500,71.50
2013-10-22,71.80,73.39,71.48,73.04,401700,72.77
2013-10-21,71.81,71.94,70.90,71.59,398100,71.33
2013-10-18,72.27,72.91,71.49,71.76,585900,71.50
2013-10-17,69.55,72.07,69.18,72.01,947700,71.74
2013-10-16,68.23,69.78,68.19,69.71,598400,69.45
2013-10-15,68.00,68.60,66.99,67.41,474000,67.16
2013-10-14,67.24,68.32,66.63,68.11,457000,67.86
2013-10-11,66.64,67.79,66.45,67.79,386100,67.54
2013-10-10,66.44,67.39,66.03,66.75,819500,66.50
2013-10-09,65.29,66.31,63.61,65.74,690200,65.50
2013-10-08,67.68,68.21,65.08,65.19,985300,64.95
2013-10-07,68.64,69.18,67.78,67.78,577100,67.53
2013-10-04,68.00,69.51,67.75,69.39,615400,69.13
2013-10-03,67.20,68.30,66.98,67.85,1231300,67.60
2013-10-02,66.48,67.50,65.91,67.40,450400,67.15
2013-10-01,66.11,67.24,65.51,67.23,551000,66.98
2013-09-30,65.22,66.83,65.14,66.23,686900,65.99
2013-09-27,65.46,66.64,65.39,66.20,427600,65.96
2013-09-26,65.69,66.17,64.64,65.64,714800,65.40
2013-09-25,65.88,66.20,65.30,65.66,660800,65.42
2013-09-24,64.68,66.62,64.51,65.79,568600,65.55
2013-09-23,65.36,65.90,63.84,64.65,544200,64.41
2013-09-20,67.04,67.04,65.13,65.16,834200,64.92
2013-09-19,67.26,67.66,66.26,66.71,699400,66.46
2013-09-18,66.87,67.36,65.96,67.11,963400,66.86
2013-09-17,67.07,67.14,66.54,66.92,409700,66.67
2013-09-16,67.07,67.86,66.75,66.87,595800,66.62
2013-09-13,65.50,66.73,65.50,66.46,522400,66.21
2013-09-12,66.15,66.30,64.80,65.50,564200,65.26
2013-09-11,66.00,66.61,65.61,66.37,336500,66.13
2013-09-10,65.79,66.21,65.17,66.10,594700,65.86
2013-09-09,64.60,65.49,64.60,65.46,629200,65.22
2013-09-06,65.25,65.90,64.50,64.59,515000,64.35
2013-09-05,64.79,65.30,64.45,65.15,742300,64.91
2013-09-04,64.52,65.36,63.94,64.97,881200,64.73
2013-09-03,65.13,65.30,64.18,64.54,715500,64.30
2013-08-30,65.39,65.39,63.83,64.02,628500,63.78
2013-08-29,65.29,66.03,64.76,65.30,774700,65.06
2013-08-28,65.49,65.93,64.60,65.21,597000,64.97
2013-08-27,66.41,67.04,65.20,65.36,829500,65.12
2013-08-26,68.36,68.73,67.00,67.34,916000,67.09
2013-08-23,68.29,69.17,68.11,68.42,719900,68.17
2013-08-22,67.70,68.50,67.49,68.29,907200,68.04
2013-08-21,67.77,67.95,67.33,67.37,708600,67.12
2013-08-20,67.33,68.06,67.05,67.86,466700,67.61
2013-08-19,66.95,67.90,66.68,67.34,773100,67.09
2013-08-16,67.94,68.19,67.10,67.11,787900,66.86
2013-08-15,67.89,68.10,66.73,67.99,1111900,67.74
2013-08-14,70.49,71.15,68.88,68.99,948700,68.74
