/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,51.88,52.14,51.73,51.90,969200,51.90
2013-11-19,52.14,52.23,51.62,51.78,853500,51.78
2013-11-18,52.85,52.93,52.02,52.08,820000,52.08
2013-11-15,52.62,52.97,52.23,52.73,950400,52.73
2013-11-14,52.75,53.00,52.42,52.74,915100,52.74
2013-11-13,51.12,52.95,50.99,52.95,2594500,52.95
2013-11-12,51.15,51.38,50.72,51.25,899500,51.25
2013-11-11,50.51,51.60,50.51,51.25,1463600,51.25
2013-11-08,50.59,50.98,50.17,50.48,2721200,50.48
2013-11-07,51.70,52.16,50.42,50.60,1840400,50.60
2013-11-06,52.37,52.37,51.91,52.29,1162300,52.29
2013-11-05,51.79,52.26,51.51,52.09,865000,52.09
2013-11-04,52.03,52.51,51.70,52.24,1604500,52.24
2013-11-01,51.68,52.39,51.36,51.84,954700,51.84
2013-10-31,52.14,52.74,51.65,51.65,1410500,51.65
2013-10-30,52.98,53.37,51.97,52.25,1626400,52.25
2013-10-29,52.40,53.68,52.27,53.38,2208300,52.98
2013-10-28,52.11,52.47,51.84,52.13,1832500,51.74
2013-10-25,50.73,52.52,50.73,52.05,2997200,51.66
2013-10-24,50.18,51.05,50.15,50.57,995000,50.19
2013-10-23,49.99,50.39,49.13,50.07,2541000,49.69
2013-10-22,50.11,50.16,49.65,49.99,3184000,49.62
2013-10-21,48.93,51.68,48.71,49.72,5335700,49.35
2013-10-18,47.00,47.35,46.57,47.24,1906500,46.89
2013-10-17,45.75,46.85,45.75,46.83,1499000,46.48
2013-10-16,47.27,47.54,45.44,46.10,3918500,45.75
2013-10-15,46.33,46.56,45.77,45.99,1617800,45.65
2013-10-14,46.38,46.68,46.22,46.52,1798300,46.17
2013-10-11,46.12,46.83,46.12,46.72,994900,46.37
2013-10-10,46.35,46.65,46.20,46.30,803800,45.95
2013-10-09,46.10,46.22,45.85,45.99,886400,45.65
2013-10-08,46.63,46.65,45.73,45.93,1552100,45.59
2013-10-07,47.11,47.32,46.45,46.63,962300,46.28
2013-10-04,46.90,47.46,46.82,47.43,804500,47.07
2013-10-03,47.11,47.44,46.68,46.97,1027800,46.62
2013-10-02,47.35,47.41,46.75,47.34,971300,46.99
2013-10-01,47.05,47.78,46.98,47.62,1067800,47.26
2013-09-30,47.11,47.28,46.83,47.14,1089200,46.79
2013-09-27,47.30,47.61,47.12,47.38,970500,47.02
