/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,185.22,186.24,184.65,185.19,3645800,185.19
2013-11-19,184.63,186.20,184.15,185.25,4577000,185.25
2013-11-18,183.52,184.99,183.27,184.47,5344900,184.47
2013-11-15,182.38,183.28,181.16,183.19,5176100,183.19
2013-11-14,180.48,183.20,179.66,182.21,6321500,182.21
2013-11-13,182.27,183.55,181.59,183.55,4704400,183.55
2013-11-12,182.53,184.05,182.26,183.07,4258500,183.07
2013-11-11,180.19,183.39,180.04,182.88,5222300,182.88
2013-11-08,178.83,180.08,177.35,179.99,6275000,179.99
2013-11-07,179.60,181.39,179.60,180.00,5219500,180.00
2013-11-06,177.91,179.75,177.78,179.19,4560700,179.19
2013-11-05,179.54,179.80,177.71,177.85,6096800,176.90
2013-11-04,179.90,180.80,179.34,180.27,3483300,179.31
2013-11-01,179.81,180.34,178.88,179.23,3644500,178.27
2013-10-31,179.65,181.67,179.04,179.21,4318100,178.25
2013-10-30,181.69,182.18,179.86,180.15,5273700,179.19
2013-10-29,177.62,182.32,177.50,182.12,8904600,181.15
2013-10-28,177.04,177.89,176.20,177.35,3712700,176.40
2013-10-25,178.43,179.10,176.26,176.85,4842800,175.91
2013-10-24,176.43,177.89,176.25,177.80,5533300,176.85
2013-10-23,175.09,175.99,174.40,175.77,5409400,174.83
2013-10-22,173.35,175.57,172.95,174.97,6977300,174.04
2013-10-21,174.42,174.75,172.63,172.86,7098700,171.94
2013-10-18,174.80,175.00,173.25,173.78,10548000,172.85
2013-10-17,173.84,177.00,172.57,174.83,22368900,173.90
2013-10-16,185.42,186.73,184.99,186.73,6718000,185.73
2013-10-15,185.74,185.94,184.22,184.66,3365100,183.67
2013-10-14,185.41,186.99,184.42,186.97,2663100,185.97
2013-10-11,185.25,186.23,184.12,186.16,3232600,185.17
2013-10-10,183.17,184.77,182.36,184.77,3658900,183.78
2013-10-09,179.37,181.67,179.10,181.32,4423500,180.35
2013-10-08,181.89,181.99,178.71,178.72,5578300,177.77
2013-10-07,181.85,183.31,181.85,182.01,3966400,181.04
2013-10-04,184.17,185.13,183.58,184.10,2863600,183.12
2013-10-03,184.70,184.96,183.00,183.86,3211800,182.88
2013-10-02,185.54,186.31,184.41,184.96,3617100,183.97
2013-10-01,185.34,186.65,184.65,186.38,2681200,185.38
2013-09-30,185.56,186.74,184.34,185.18,3978200,184.19
2013-09-27,188.87,188.94,186.45,186.92,3905500,185.92
2013-09-26,190.10,191.76,189.46,190.22,2093600,189.20
2013-09-25,190.14,190.62,188.50,189.47,2654500,188.46
2013-09-24,190.93,191.56,189.66,189.97,3085300,188.96
2013-09-23,190.06,192.41,189.33,190.99,3340800,189.97
2013-09-20,193.96,194.43,190.02,190.02,8525900,189.00
2013-09-19,194.18,194.89,193.22,193.39,3178100,192.36
2013-09-18,192.60,194.89,192.00,194.42,3841800,193.38
2013-09-17,193.42,194.15,191.83,192.16,2930900,191.13
2013-09-16,193.70,194.81,192.61,193.15,3902400,192.12
2013-09-13,191.21,193.10,191.00,192.17,3710400,191.14
2013-09-12,190.96,191.32,189.85,190.73,3354800,189.71
2013-09-11,186.83,190.87,186.82,190.70,4962900,189.68
2013-09-10,187.20,187.65,186.37,186.60,3149600,185.60
2013-09-09,183.68,185.49,183.31,184.98,3017200,183.99
2013-09-06,184.65,184.99,182.65,183.03,2903500,182.05
2013-09-05,183.35,185.00,183.07,184.15,2867600,183.17
2013-09-04,183.58,184.19,182.31,183.13,2597900,182.15
2013-09-03,183.63,184.32,182.51,183.96,3487200,182.98
2013-08-30,182.75,182.99,181.51,182.27,2731000,181.30
2013-08-29,181.96,183.70,181.44,182.64,2980900,181.66
2013-08-28,182.68,183.47,181.10,182.16,3979200,181.19
2013-08-27,183.63,184.50,182.57,182.74,3190700,181.76
2013-08-26,185.27,187.00,184.68,184.74,2170400,183.75
2013-08-23,185.34,185.74,184.57,185.42,2292700,184.43
2013-08-22,185.65,186.25,184.25,185.19,2354300,184.20
2013-08-21,184.67,186.57,184.28,184.86,3551000,183.87
2013-08-20,184.37,185.63,183.17,184.56,3117800,183.57
2013-08-19,185.30,186.50,183.98,184.23,3248900,183.25
2013-08-16,185.54,186.46,185.34,185.34,3426400,184.35
2013-08-15,186.23,187.00,185.45,185.79,3692400,184.80
2013-08-14,188.58,188.93,187.30,187.53,2892300,186.53
2013-08-13,189.54,189.99,187.56,188.42,3542900,187.41
2013-08-12,186.97,189.56,186.89,189.09,3026500,188.08
2013-08-09,188.00,189.16,187.00,187.82,3249600,186.82
2013-08-08,189.45,189.87,186.79,187.93,4547600,186.93
2013-08-07,189.60,189.93,188.05,188.56,3901700,187.55
2013-08-06,192.26,192.51,190.27,190.99,5938500,189.02
2013-08-05,195.16,195.88,194.35,195.50,2490900,193.49
2013-08-02,195.50,195.50,193.22,195.16,3874000,193.15
2013-08-01,196.65,197.17,195.41,195.81,2877700,193.80
2013-07-31,194.49,196.91,194.49,195.04,3810000,193.03
2013-07-30,196.99,197.83,195.81,196.01,2663200,193.99
2013-07-29,196.83,197.19,195.53,196.21,2113700,194.19
2013-07-26,196.59,197.37,195.00,197.35,2485100,195.32
2013-07-25,196.30,197.83,195.66,197.22,3014300,195.19
2013-07-24,195.95,197.30,195.86,196.61,2957900,194.59
2013-07-23,194.21,196.43,194.10,194.98,2863800,192.97
2013-07-22,193.40,195.79,193.28,194.09,3398000,192.09
2013-07-19,197.91,197.99,193.24,193.54,6997600,191.55
2013-07-18,198.27,200.94,195.99,197.99,8393400,195.95
2013-07-17,194.72,194.89,193.03,194.55,6868400,192.55
2013-07-16,194.04,194.58,192.68,193.85,3745300,191.86
2013-07-15,192.42,194.89,191.68,194.00,5674700,192.00
2013-07-12,193.07,193.70,191.59,192.07,4494700,190.09
2013-07-11,193.78,194.11,192.61,192.80,4177500,190.82
2013-07-10,191.51,193.43,191.27,192.25,3892000,190.27
2013-07-09,191.88,192.80,190.78,191.30,5204200,189.33
2013-07-08,195.60,195.78,194.61,194.98,2947500,192.97
2013-07-05,194.49,195.16,192.35,194.93,2405400,192.92
