Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,45.15,45.56,45.04,45.22,2821800,45.22
2013-11-19,45.31,45.69,45.13,45.20,4017900,45.20
2013-11-18,45.76,45.89,45.20,45.28,3088100,45.28
2013-11-15,45.39,45.74,45.13,45.53,3541400,45.53
2013-11-14,44.62,45.21,44.40,45.10,4367100,45.10
2013-11-13,43.89,44.60,43.79,44.55,3415700,44.55
2013-11-12,44.45,44.68,44.14,44.43,3320200,44.08
2013-11-11,44.16,44.85,44.13,44.51,4150000,44.16
2013-11-08,43.11,43.98,43.05,43.96,3547800,43.61
2013-11-07,43.65,43.82,43.07,43.10,3848900,42.76
2013-11-06,43.76,43.88,43.30,43.43,4001100,43.09
2013-11-05,44.94,44.98,43.55,43.57,7088100,43.23
2013-11-04,45.08,45.36,44.80,45.34,3151400,44.98
2013-11-01,44.81,45.03,44.62,44.96,2755600,44.61
2013-10-31,44.48,44.99,44.39,44.61,3628200,44.26
2013-10-30,44.54,44.74,44.22,44.46,4250800,44.11
2013-10-29,45.10,45.37,44.30,44.50,3447900,44.15
2013-10-28,45.50,45.53,44.96,45.06,3312800,44.71
2013-10-25,45.41,45.60,45.07,45.57,4049400,45.21
2013-10-24,44.77,45.97,44.45,44.98,5912200,44.63
2013-10-23,44.42,44.75,43.86,44.39,3211800,44.04
2013-10-22,44.73,44.75,44.24,44.54,4032900,44.19
2013-10-21,45.35,45.35,44.28,44.46,4472300,44.11
2013-10-18,45.55,45.73,45.00,45.47,2632000,45.11
2013-10-17,44.85,45.46,44.85,45.28,3854500,44.92
2013-10-16,44.79,45.10,44.50,44.97,2890500,44.62
2013-10-15,45.41,45.77,44.46,44.58,4863600,44.23
2013-10-14,44.45,45.62,44.40,45.34,5045300,44.98
2013-10-11,44.21,45.09,43.90,44.89,4755600,44.54
2013-10-10,43.93,44.35,43.45,44.28,4822200,43.93
2013-10-09,43.21,43.49,42.92,43.17,3245000,42.83
2013-10-08,43.73,43.80,43.12,43.16,6118800,42.82
2013-10-07,43.35,43.95,43.05,43.69,5327600,43.35
2013-10-04,44.02,44.02,43.25,43.70,5726500,43.36
2013-10-03,44.64,44.64,43.67,43.86,6014200,43.51
2013-10-02,44.82,45.13,44.32,44.60,5258800,44.25
2013-10-01,44.78,45.53,44.62,45.28,4032300,44.92
2013-09-30,44.41,45.10,43.95,44.80,7045600,44.45
