/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,20.25,20.35,20.09,20.09,35100,20.09
2013-11-19,20.17,20.30,20.17,20.25,12800,20.25
2013-11-18,20.18,20.18,20.09,20.17,4500,20.17
2013-11-15,20.08,20.16,20.08,20.16,11100,20.16
2013-11-14,20.20,20.20,20.05,20.07,14600,20.07
2013-11-13,20.05,20.19,20.05,20.11,11400,20.11
2013-11-12,20.24,20.26,20.06,20.14,13400,20.14
2013-11-11,20.22,20.22,20.05,20.15,20800,20.15
2013-11-08,20.22,20.34,20.10,20.22,19700,20.22
2013-11-07,20.17,20.31,20.07,20.22,19400,20.22
2013-11-06,20.11,20.17,20.08,20.08,11500,20.08
2013-11-05,20.50,20.54,20.08,20.10,17000,20.10
2013-11-04,20.59,20.59,20.46,20.46,25300,20.46
2013-11-01,20.86,20.88,20.41,20.49,22400,20.49
2013-10-31,20.85,21.00,20.72,20.79,10500,20.79
2013-10-30,20.68,21.09,20.60,20.85,13800,20.85
2013-10-29,20.77,21.25,20.64,20.81,18000,20.81
2013-10-28,20.83,20.90,20.59,20.69,8500,20.69
2013-10-25,20.79,20.91,20.59,20.81,10000,20.81
2013-10-24,21.03,21.03,20.62,20.75,14000,20.75
2013-10-23,20.92,21.13,20.80,20.93,21100,20.93
2013-10-22,20.76,21.00,20.76,20.86,18700,20.86
2013-10-21,20.62,20.75,20.55,20.75,20200,20.75
2013-10-18,20.39,20.64,20.26,20.64,10400,20.64
2013-10-17,19.97,20.27,19.97,20.27,10100,20.27
2013-10-16,20.12,20.12,20.00,20.01,12800,20.01
2013-10-15,20.13,20.21,20.04,20.04,12000,20.04
2013-10-14,20.12,20.16,20.10,20.13,1900,20.13
2013-10-11,20.13,20.17,20.12,20.12,10600,20.12
2013-10-10,20.19,20.22,20.13,20.14,8500,20.14
2013-10-09,20.15,20.19,20.10,20.15,15800,20.15
2013-10-08,20.06,20.15,20.06,20.15,21300,20.15
2013-10-07,20.25,20.25,20.11,20.19,21200,20.19
2013-10-04,20.21,20.25,20.15,20.25,7300,20.25
2013-10-03,20.23,20.25,20.07,20.14,45800,20.14
2013-10-02,20.22,20.32,20.15,20.17,34500,20.17
2013-10-01,20.29,20.31,20.21,20.23,16900,20.23
2013-09-30,20.33,20.45,20.23,20.38,14000,20.38
2013-09-27,20.83,20.93,20.65,20.68,12700,20.33
2013-09-26,20.85,21.00,20.74,20.80,15400,20.45
2013-09-25,20.72,20.81,20.67,20.73,15800,20.38
2013-09-24,20.62,20.75,20.62,20.69,120200,20.34
2013-09-23,20.67,20.74,20.62,20.67,7400,20.32
2013-09-20,20.67,20.71,20.61,20.62,10300,20.27
2013-09-19,20.98,20.98,20.67,20.73,9300,20.38
2013-09-18,20.60,20.90,20.60,20.85,27000,20.50
2013-09-17,20.61,20.68,20.60,20.62,13600,20.27
2013-09-16,20.94,20.94,20.59,20.59,19100,20.24
2013-09-13,20.65,20.67,20.60,20.67,9900,20.32
2013-09-12,20.60,20.67,20.60,20.60,5600,20.25
2013-09-11,20.60,20.68,20.58,20.58,15400,20.23
2013-09-10,20.54,20.63,20.52,20.60,22100,20.25
2013-09-09,20.75,20.75,20.55,20.57,27700,20.22
2013-09-06,20.42,20.62,20.42,20.59,8900,20.24
2013-09-05,20.78,20.78,20.40,20.40,9500,20.05
2013-09-04,20.66,20.78,20.64,20.70,18900,20.35
2013-09-03,21.03,21.03,20.65,20.67,8200,20.32
2013-08-30,21.01,21.06,20.91,21.01,13600,20.65
2013-08-29,20.90,21.10,20.88,20.89,16800,20.53
2013-08-28,20.92,20.98,20.81,20.90,23500,20.54
2013-08-27,20.87,20.95,20.77,20.81,19000,20.46
2013-08-26,21.56,21.56,20.88,20.89,31400,20.53
2013-08-23,20.85,21.16,20.85,21.07,12100,20.71
2013-08-22,20.60,20.88,20.60,20.85,21800,20.50
2013-08-21,20.55,20.82,20.46,20.63,58600,20.28
2013-08-20,20.45,21.00,20.40,20.69,33900,20.34
2013-08-19,21.53,21.53,20.24,20.34,21200,19.99
2013-08-16,21.33,21.63,21.33,21.52,20300,21.15
2013-08-15,22.02,22.02,21.51,21.75,17500,21.38
2013-08-14,22.45,22.45,22.07,22.19,72300,21.81
2013-08-13,22.69,22.69,22.29,22.44,22100,22.06
2013-08-12,22.71,22.80,22.66,22.69,12900,22.30
2013-08-09,22.69,22.80,22.62,22.75,28800,22.36
2013-08-08,22.60,22.70,22.58,22.66,35900,22.27
2013-08-07,22.60,22.60,22.37,22.54,17400,22.16
2013-08-06,22.72,22.78,22.46,22.60,31000,22.22
2013-08-05,23.00,23.07,22.78,22.83,9300,22.44
2013-08-02,23.14,23.14,22.72,22.91,22400,22.52
2013-08-01,23.19,23.21,22.99,23.15,40800,22.76
2013-07-31,23.14,23.17,22.50,23.11,19400,22.72
2013-07-30,23.28,23.28,23.06,23.06,7600,22.67
2013-07-29,23.30,23.30,23.17,23.23,8200,22.83
2013-07-26,23.22,23.36,23.22,23.23,8000,22.83
2013-07-25,23.31,23.31,23.01,23.25,25800,22.85
2013-07-24,23.26,23.40,23.19,23.30,19700,22.90
2013-07-23,23.38,23.49,23.20,23.28,15400,22.88
2013-07-22,23.40,23.42,23.23,23.31,19800,22.91
2013-07-19,23.56,23.56,23.21,23.42,26200,23.02
2013-07-18,23.50,23.67,23.36,23.49,19800,23.09
2013-07-17,23.73,23.73,23.41,23.43,12800,23.03
2013-07-16,23.63,23.81,23.58,23.58,11500,23.18
2013-07-15,23.68,23.81,23.58,23.72,7700,23.32
2013-07-12,23.59,23.83,23.54,23.60,35600,23.20
2013-07-11,23.39,23.66,23.36,23.61,8300,23.21
2013-07-10,23.37,23.37,23.20,23.23,9500,22.83
2013-07-09,23.31,23.31,23.19,23.25,16500,22.85
2013-07-08,23.50,23.50,23.17,23.36,26400,22.96
2013-07-05,23.56,23.93,23.24,23.33,31500,22.93
2013-07-03,23.91,23.91,23.66,23.66,10200,23.26
2013-07-02,23.99,24.08,23.67,23.93,10400,23.52
2013-07-01,24.13,24.29,23.85,23.85,11600,23.44
2013-06-28,23.87,24.08,23.76,23.98,9700,23.57
2013-06-27,23.80,24.01,23.60,24.00,12300,23.25
2013-06-26,23.54,24.21,23.43,23.65,24500,22.91
2013-06-25,23.06,23.38,22.95,23.32,11500,22.59
2013-06-24,23.55,23.55,22.69,22.93,42500,22.21
2013-06-21,23.59,23.77,23.23,23.55,19400,22.81
2013-06-20,23.80,23.80,23.05,23.55,43600,22.81
2013-06-19,24.33,24.34,23.82,23.84,16800,23.09
2013-06-18,24.16,24.30,23.96,24.21,36100,23.45
2013-06-17,24.31,24.62,24.26,24.34,17300,23.57
2013-06-14,23.97,24.20,23.70,24.07,30700,23.31
2013-06-13,23.44,23.86,22.82,23.73,39800,22.98
2013-06-12,24.26,24.53,23.20,23.44,64300,22.70
2013-06-11,24.70,24.92,24.24,24.24,45900,23.48
2013-06-10,25.09,25.09,24.85,24.94,9900,24.16
2013-06-07,24.98,25.08,24.88,25.04,9000,24.25
2013-06-06,24.76,24.97,24.60,24.97,23300,24.18
2013-06-05,24.62,24.72,24.54,24.66,31500,23.88
2013-06-04,24.98,25.06,24.60,24.72,24700,23.94
2013-06-03,25.58,25.58,24.78,24.78,19500,24.00
2013-05-31,25.80,25.80,25.21,25.21,42700,24.42
2013-05-30,25.95,25.95,25.63,25.70,3800,24.89
2013-05-29,25.96,25.96,25.46,25.84,35600,25.03
2013-05-28,25.98,25.99,25.77,25.79,9200,24.98
2013-05-24,25.94,25.96,25.75,25.77,23000,24.96
2013-05-23,26.00,26.01,25.84,25.89,12800,25.08
2013-05-22,25.98,26.01,25.88,26.00,21400,25.18
2013-05-21,25.98,26.01,25.87,25.94,28100,25.12
2013-05-20,25.88,26.06,25.83,25.90,13200,25.09
2013-05-17,25.83,25.92,25.78,25.92,8800,25.11
2013-05-16,25.75,25.87,25.75,25.82,4900,25.01
2013-05-15,25.78,25.81,25.74,25.74,9700,24.93
2013-05-14,25.91,25.96,25.79,25.81,25000,25.00
2013-05-13,26.00,26.04,25.89,25.96,20200,25.14
2013-05-10,25.97,26.00,25.87,26.00,15300,25.18
2013-05-09,25.98,26.00,25.92,25.97,10300,25.15
2013-05-08,25.95,26.00,25.89,25.90,29000,25.09
2013-05-07,25.80,25.98,25.79,25.98,20000,25.16
2013-05-06,25.92,26.10,25.79,25.92,17300,25.11
2013-05-03,26.05,26.14,25.82,25.92,19800,25.11
2013-05-02,25.98,26.11,25.86,25.97,20800,25.15
2013-05-01,25.92,26.03,25.77,25.93,27700,25.11
2013-04-30,25.77,25.89,25.70,25.82,10400,25.01
2013-04-29,25.79,25.79,25.66,25.74,29700,24.93
2013-04-26,25.70,25.70,25.66,25.70,3400,24.89
2013-04-25,25.70,25.70,25.63,25.70,4400,24.89
2013-04-24,25.70,25.70,25.62,25.68,8800,24.87
2013-04-23,25.69,25.69,25.57,25.68,31300,24.87
2013-04-22,25.68,25.69,25.42,25.69,67500,24.88
2013-04-19,25.49,25.70,25.49,25.70,6900,24.89
2013-04-18,25.66,25.66,25.49,25.49,9000,24.69
2013-04-17,25.60,25.69,25.55,25.62,16200,24.81
2013-04-16,25.60,25.63,25.52,25.59,16900,24.79
2013-04-15,25.60,25.60,25.54,25.60,7400,24.80
2013-04-12,25.45,25.59,25.41,25.59,6700,24.79
2013-04-11,25.45,25.49,25.40,25.45,11300,24.65
2013-04-10,25.40,25.45,25.36,25.40,21100,24.60
2013-04-09,25.36,25.40,25.32,25.40,27400,24.60
2013-04-08,25.38,25.39,25.32,25.32,15100,24.52
2013-04-05,25.39,25.39,25.30,25.30,45100,24.50
2013-04-04,25.37,25.45,25.34,25.34,10800,24.54
2013-04-03,25.32,25.44,25.30,25.30,42100,24.50
2013-04-02,25.35,25.38,25.30,25.35,28100,24.55
2013-04-01,25.45,25.45,25.30,25.30,26800,24.50
2013-03-28,25.40,25.41,25.30,25.31,8400,24.51
2013-03-27,25.55,25.65,25.55,25.65,54600,24.36
2013-03-26,25.58,25.61,25.55,25.57,10100,24.28
2013-03-25,25.59,25.61,25.45,25.55,18800,24.26
2013-03-22,25.61,25.63,25.58,25.58,9000,24.29
2013-03-21,25.62,25.63,25.47,25.61,9400,24.32
2013-03-20,25.55,25.65,25.55,25.58,54300,24.29
2013-03-19,25.58,25.60,25.50,25.59,20700,24.30
2013-03-18,25.59,25.62,25.50,25.55,43100,24.26
2013-03-15,25.51,25.60,25.45,25.56,31700,24.27
2013-03-14,25.54,25.65,25.45,25.65,11500,24.36
2013-03-13,25.47,25.59,25.44,25.52,16000,24.24
2013-03-12,25.43,25.52,25.39,25.41,52700,24.13
2013-03-11,25.51,25.51,25.35,25.42,83200,24.14
2013-03-08,25.63,25.65,25.42,25.42,29800,24.14
2013-03-07,25.60,25.80,25.52,25.65,57200,24.36
2013-03-06,25.51,25.62,25.51,25.55,67300,24.26
2013-03-05,25.50,25.69,25.36,25.68,49000,24.39
2013-03-04,25.50,25.53,25.46,25.53,16100,24.25
2013-03-01,25.35,25.45,25.35,25.45,16200,24.17
2013-02-28,25.31,25.44,25.20,25.37,110700,24.09
2013-02-27,25.46,25.61,25.32,25.32,43100,24.05
2013-02-26,25.47,25.47,25.27,25.44,42000,24.16
2013-02-25,25.39,25.47,25.35,25.39,33700,24.11
2013-02-22,25.23,25.38,25.21,25.35,42400,24.07
2013-02-21,25.18,25.22,25.14,25.22,29600,23.95
2013-02-20,25.24,25.25,25.09,25.25,55100,23.98
2013-02-19,25.19,25.24,25.19,25.24,68900,23.97
2013-02-15,25.16,25.20,25.15,25.20,25500,23.93
2013-02-14,25.12,25.17,25.04,25.17,21700,23.90
2013-02-13,25.14,25.14,25.03,25.11,25200,23.85
