/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,62.44,62.61,61.57,61.87,838100,61.87
2013-11-19,62.38,62.87,61.83,62.02,1198400,62.02
2013-11-18,63.64,63.71,62.74,62.88,943100,62.88
2013-11-15,62.72,63.59,61.82,63.53,1912500,63.53
2013-11-14,63.45,63.50,62.56,62.63,1056200,62.63
2013-11-13,62.83,63.93,62.58,63.93,1031000,63.48
2013-11-12,62.14,63.40,62.14,63.32,989400,62.87
2013-11-11,63.80,63.91,62.36,62.78,1950300,62.34
2013-11-08,63.99,64.80,63.53,64.80,816900,64.34
2013-11-07,64.44,64.85,63.68,63.86,1228900,63.41
2013-11-06,64.60,64.77,64.03,64.65,925800,64.19
2013-11-05,63.57,64.62,63.57,63.97,1558300,63.52
2013-11-04,64.87,64.89,64.05,64.47,1463500,64.02
2013-11-01,65.89,65.90,64.29,64.89,1380800,64.43
2013-10-31,65.92,66.54,65.60,65.60,1329400,65.14
2013-10-30,66.06,66.22,65.28,65.82,1603400,65.36
2013-10-29,64.56,67.05,64.56,66.19,3053900,65.72
2013-10-28,63.60,64.97,63.60,64.75,1718300,64.29
2013-10-25,62.30,63.90,61.75,63.88,2634000,63.43
2013-10-24,64.15,64.29,63.58,63.73,1926700,63.28
2013-10-23,64.03,64.34,63.05,63.05,1523100,62.61
2013-10-22,64.84,65.25,64.45,64.82,1463000,64.36
2013-10-21,64.64,64.83,64.13,64.43,1159400,63.98
2013-10-18,63.92,64.88,63.53,64.46,1761300,64.01
2013-10-17,62.48,63.89,62.13,63.89,1134700,63.44
2013-10-16,62.09,62.97,61.76,62.83,1082700,62.39
2013-10-15,62.40,62.70,61.92,61.95,1131800,61.51
2013-10-14,61.81,62.98,61.71,62.87,974700,62.43
2013-10-11,60.85,61.95,60.78,61.68,772100,61.25
2013-10-10,60.04,61.28,59.86,61.20,1073200,60.77
2013-10-09,60.03,60.04,58.83,59.46,1414500,59.04
2013-10-08,60.89,61.07,59.68,59.70,1043500,59.28
2013-10-07,60.26,61.13,59.95,60.76,749800,60.33
2013-10-04,60.46,60.99,59.96,60.80,1471900,60.37
2013-10-03,60.81,61.03,59.79,60.42,1263900,59.99
2013-10-02,60.78,60.97,60.13,60.95,1026200,60.52
2013-10-01,60.99,61.28,60.53,60.99,1251500,60.56
2013-09-30,60.41,61.04,60.34,60.85,1087000,60.42
2013-09-27,60.75,61.02,60.45,60.91,1037900,60.48
2013-09-26,61.96,61.96,60.80,60.96,1368100,60.53
2013-09-25,61.45,61.95,61.16,61.48,1747000,61.05
2013-09-24,61.43,61.50,60.84,61.14,2234000,60.71
2013-09-23,61.31,61.67,60.87,61.27,936100,60.84
2013-09-20,61.83,62.07,61.17,61.25,1635200,60.82
2013-09-19,62.11,62.45,61.32,61.76,957300,61.33
2013-09-18,61.80,62.11,60.93,62.01,974100,61.57
2013-09-17,60.97,61.80,60.97,61.68,1439900,61.25
2013-09-16,60.47,61.45,60.46,61.09,2033000,60.66
2013-09-13,60.46,60.47,59.67,60.28,793900,59.86
2013-09-12,59.83,60.41,59.65,60.20,948100,59.78
2013-09-11,59.39,60.00,59.06,59.72,905200,59.30
2013-09-10,59.06,59.96,58.99,59.63,1653700,59.21
2013-09-09,58.85,59.12,58.38,58.90,1272100,58.49
2013-09-06,58.92,59.43,58.00,58.76,1545800,58.35
2013-09-05,58.46,58.69,57.77,58.54,1776400,58.13
2013-09-04,55.28,58.84,55.28,58.42,3239400,58.01
2013-09-03,55.80,56.43,55.11,55.38,1241500,54.99
2013-08-30,55.66,55.87,54.90,55.15,892100,54.76
2013-08-29,54.85,55.63,54.70,55.34,611100,54.95
2013-08-28,54.81,55.26,54.70,54.85,993300,54.46
2013-08-27,55.41,55.97,54.65,54.67,1374400,54.29
2013-08-26,56.81,56.97,56.31,56.40,770200,56.00
2013-08-23,56.56,56.76,56.03,56.67,769100,56.27
2013-08-22,56.19,56.84,56.04,56.43,1015000,56.03
2013-08-21,56.42,56.52,55.43,55.88,1092000,55.49
2013-08-20,56.48,56.72,55.69,56.35,1516000,55.95
2013-08-19,56.46,56.74,56.26,56.32,1109800,55.92
2013-08-16,56.68,57.22,56.28,56.54,2473800,56.14
2013-08-15,58.29,58.32,57.00,57.07,1381700,56.67
2013-08-14,59.18,59.18,58.45,58.77,1005900,58.36
2013-08-13,58.91,59.51,58.15,59.35,1440500,58.49
2013-08-12,57.67,58.82,57.51,58.75,1197400,57.89
2013-08-09,58.23,58.23,57.19,57.71,1578400,56.87
2013-08-08,58.66,58.90,57.71,58.43,1149900,57.58
2013-08-07,58.45,58.57,57.90,58.41,991500,57.56
2013-08-06,58.61,58.88,58.28,58.37,870700,57.52
2013-08-05,59.25,59.47,58.38,58.65,1157800,57.80
2013-08-02,59.93,59.95,59.20,59.50,1157400,58.63
2013-08-01,59.17,60.18,58.85,60.12,1380000,59.24
2013-07-31,58.94,59.09,58.50,58.63,1467600,57.78
2013-07-30,57.86,58.69,57.86,58.42,1344100,57.57
2013-07-29,58.66,58.68,57.59,57.76,2584200,56.92
2013-07-26,58.58,59.19,57.94,58.78,2782100,57.92
2013-07-25,59.95,60.00,59.30,59.79,2022400,58.92
2013-07-24,60.35,60.73,59.27,59.45,1428300,58.58
2013-07-23,60.55,60.77,60.06,60.12,959900,59.24
2013-07-22,60.69,60.94,59.93,60.31,1229300,59.43
2013-07-19,60.42,60.74,60.01,60.63,1827700,59.75
2013-07-18,60.00,60.47,59.47,60.18,1434700,59.30
2013-07-17,60.00,60.38,59.77,60.16,1339300,59.28
2013-07-16,59.48,59.99,59.28,59.48,1441700,58.61
2013-07-15,60.35,60.38,59.22,59.25,1901000,58.39
2013-07-12,60.00,60.40,59.66,60.39,2226300,59.51
2013-07-11,59.65,60.00,59.25,59.93,2226700,59.06
2013-07-10,58.07,59.38,57.85,59.24,2705600,58.38
2013-07-09,56.14,58.48,55.68,58.15,4090100,57.30
2013-07-08,56.61,56.80,55.29,55.49,1939300,54.68
2013-07-05,55.47,56.60,55.25,56.47,1676000,55.65
2013-07-03,54.45,55.57,54.29,55.07,716200,54.27
2013-07-02,55.13,55.78,54.46,54.85,1250400,54.05
2013-07-01,56.18,56.46,55.18,55.28,1239100,54.47
2013-06-28,55.19,56.63,55.00,55.73,2300900,54.92
2013-06-27,55.84,56.43,55.50,55.57,1766400,54.76
2013-06-26,56.11,56.22,55.12,55.33,1632700,54.52
2013-06-25,54.35,55.74,53.81,55.50,1968400,54.69
2013-06-24,54.51,54.61,53.38,53.81,2606700,53.03
2013-06-21,54.69,55.07,54.04,54.77,2755900,53.97
2013-06-20,55.55,55.87,54.22,54.43,1741500,53.64
2013-06-19,56.02,56.88,55.72,56.21,1692000,55.39
2013-06-18,56.19,56.67,56.01,56.39,1453400,55.57
2013-06-17,56.09,56.55,55.76,55.98,1321400,55.16
2013-06-14,56.55,56.65,55.70,55.71,1117400,54.90
2013-06-13,55.34,56.83,55.03,56.61,1340400,55.79
2013-06-12,56.10,56.10,55.09,55.18,2047400,54.38
2013-06-11,56.16,56.49,55.22,55.28,1159000,54.47
2013-06-10,56.70,56.81,56.24,56.74,868100,55.91
2013-06-07,56.67,56.88,56.03,56.77,1191600,55.94
2013-06-06,56.69,56.93,55.67,56.08,971000,55.26
2013-06-05,56.95,56.98,56.18,56.50,1312600,55.68
2013-06-04,57.04,57.56,56.64,56.98,1485300,56.15
2013-06-03,56.68,57.35,56.23,56.90,1849700,56.07
2013-05-31,56.33,56.79,56.16,56.29,2372500,55.47
2013-05-30,55.63,56.80,55.50,56.51,2102600,55.69
2013-05-29,55.45,56.05,55.01,55.62,2950500,54.81
2013-05-28,55.34,55.91,55.14,55.67,2213200,54.86
2013-05-24,54.47,55.00,54.35,54.67,1272600,53.87
2013-05-23,55.07,55.37,54.37,54.94,2324100,54.14
2013-05-22,56.15,56.72,55.38,55.48,2033800,54.67
2013-05-21,55.95,56.12,55.50,56.06,1362300,55.24
2013-05-20,55.61,56.30,55.43,55.62,2079800,54.81
2013-05-17,55.48,55.88,54.90,55.87,1948300,55.06
2013-05-16,55.26,55.69,54.99,55.21,2464600,54.41
2013-05-15,54.25,55.45,54.11,55.05,1646700,54.25
2013-05-14,53.78,54.47,53.53,54.45,1546300,53.66
2013-05-13,54.19,54.39,53.51,53.70,1599500,52.92
2013-05-10,54.29,54.78,53.81,54.47,1428600,53.68
2013-05-09,54.59,54.97,54.01,54.20,1970600,53.41
2013-05-08,54.78,54.90,54.09,54.70,1324500,53.51
2013-05-07,54.22,54.74,53.99,54.46,3404900,53.27
2013-05-06,54.25,54.37,53.85,54.06,2057400,52.88
2013-05-03,54.61,54.69,54.10,54.30,2840100,53.12
2013-05-02,53.59,54.10,53.49,53.89,2040800,52.72
2013-05-01,54.23,54.37,53.45,53.59,2246200,52.42
2013-04-30,53.15,54.50,53.02,54.25,4325000,53.07
2013-04-29,51.78,53.25,51.73,53.11,3191700,51.95
2013-04-26,51.61,53.00,50.23,52.11,7812600,50.98
2013-04-25,55.80,57.00,55.62,55.90,2457600,54.68
2013-04-24,55.12,55.55,54.88,55.49,1479900,54.28
2013-04-23,54.30,55.38,53.94,55.21,2307100,54.01
2013-04-22,53.42,54.21,52.34,53.76,1587500,52.59
2013-04-19,52.59,53.44,52.23,53.05,1795700,51.89
2013-04-18,53.32,53.93,52.73,52.87,2137000,51.72
2013-04-17,53.04,54.12,52.12,52.75,2312100,51.60
2013-04-16,52.45,53.51,52.16,53.43,1846200,52.27
2013-04-15,53.70,53.86,52.17,52.31,1666400,51.17
2013-04-12,53.79,53.85,53.04,53.77,1156900,52.60
2013-04-11,54.03,54.93,53.73,53.80,1602100,52.63
2013-04-10,52.65,54.28,52.60,54.26,1901600,53.08
2013-04-09,52.00,53.14,51.83,52.64,1530100,51.49
2013-04-08,51.62,52.00,51.30,51.99,1610300,50.86
2013-04-05,50.80,51.79,50.27,51.73,1879400,50.60
2013-04-04,51.27,51.81,51.10,51.54,1218300,50.42
2013-04-03,51.67,51.99,51.08,51.30,2078800,50.18
2013-04-02,51.59,51.89,51.29,51.40,1819100,50.28
2013-04-01,52.73,52.82,51.42,51.57,1500700,50.45
2013-03-28,51.53,52.80,51.53,52.74,1554900,51.59
2013-03-27,51.54,51.78,51.31,51.74,1695000,50.61
2013-03-26,52.57,52.68,51.46,52.05,1682700,50.92
2013-03-25,52.08,52.17,51.15,51.65,1271600,50.53
2013-03-22,51.51,51.83,50.98,51.62,1909800,50.50
2013-03-21,51.20,51.71,51.00,51.26,1842800,50.14
2013-03-20,51.82,52.07,51.43,51.58,1410600,50.46
2013-03-19,51.73,52.18,50.80,51.35,2753800,50.23
2013-03-18,52.32,52.63,51.55,51.73,2397500,50.60
2013-03-15,54.70,54.85,52.39,52.65,5244400,51.50
2013-03-14,55.00,55.71,54.87,54.93,1223000,53.73
2013-03-13,54.73,54.89,54.21,54.73,727300,53.54
2013-03-12,54.66,54.95,54.13,54.64,945400,53.45
2013-03-11,54.97,55.00,54.55,54.71,1134800,53.52
2013-03-08,55.34,55.75,54.55,55.16,1157200,53.96
2013-03-07,55.24,55.55,54.87,55.04,1421900,53.84
2013-03-06,55.76,55.76,54.81,55.00,2691300,53.80
2013-03-05,54.42,55.82,54.31,55.55,2473100,54.34
2013-03-04,54.24,54.46,53.72,53.97,1781200,52.79
2013-03-01,54.36,54.75,53.61,54.50,2122400,53.31
2013-02-28,54.70,55.27,54.22,54.76,1810600,53.57
2013-02-27,53.72,55.08,53.54,54.73,1706500,53.54
2013-02-26,53.43,54.27,53.32,53.92,1695200,52.75
2013-02-25,55.23,55.57,53.00,53.02,2146800,51.87
2013-02-22,54.28,55.03,54.28,54.78,1576800,53.59
2013-02-21,54.90,55.10,53.53,53.86,3141800,52.69
2013-02-20,56.47,56.51,54.85,54.90,1675200,53.70
2013-02-19,55.99,57.14,55.85,56.39,2139900,55.16
2013-02-15,56.13,56.28,55.34,55.76,1483800,54.55
2013-02-14,56.01,56.18,55.52,56.10,2182800,54.88
2013-02-13,56.76,57.00,56.21,56.61,1495200,54.99
2013-02-12,56.56,56.80,56.24,56.71,1860700,55.08
2013-02-11,56.67,56.89,56.26,56.38,1672300,54.76
2013-02-08,56.97,57.18,56.18,56.57,2066500,54.95
2013-02-07,56.94,56.94,55.92,56.79,2259700,55.16
2013-02-06,56.12,57.18,56.10,57.02,3169100,55.38
2013-02-05,56.19,56.64,55.86,56.55,2634400,54.93
2013-02-04,55.55,56.86,55.50,55.82,2866600,54.22
2013-02-01,55.43,56.05,55.21,55.76,1955700,54.16
2013-01-31,55.49,55.89,54.83,54.91,2098200,53.33
2013-01-30,55.89,56.00,55.06,55.17,2098600,53.59
2013-01-29,55.91,56.04,55.13,55.82,2721800,54.22
2013-01-28,56.25,56.51,55.86,56.10,2170400,54.49
2013-01-25,53.50,57.97,53.50,56.34,7161700,54.72
2013-01-24,52.22,52.56,51.77,51.97,2200700,50.48
2013-01-23,52.00,52.49,51.40,52.35,1967600,50.85
2013-01-22,51.80,51.98,51.46,51.80,1879800,50.31
2013-01-18,52.11,52.42,51.49,51.84,4140100,50.35
2013-01-17,48.56,52.00,48.50,51.89,7126100,50.40
