Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,107.84,108.87,107.57,107.82,1259800,107.82
2013-11-19,107.74,108.15,107.39,107.88,1958600,107.88
2013-11-18,109.00,109.44,107.59,108.00,2535900,108.00
2013-11-15,111.54,111.68,108.28,109.26,3320000,109.26
2013-11-14,109.10,109.91,108.85,109.71,1285200,109.71
2013-11-13,107.74,108.85,107.57,108.84,1172800,108.84
2013-11-12,107.89,108.40,107.47,108.21,1218000,108.21
2013-11-11,108.03,108.75,107.83,107.96,913200,107.96
2013-11-08,107.88,108.10,106.72,108.03,1661200,108.03
2013-11-07,109.66,109.68,107.73,107.88,1564200,107.88
2013-11-06,108.96,109.72,108.34,109.63,1213200,109.63
2013-11-05,108.54,109.04,108.05,108.81,996900,108.81
2013-11-04,108.05,108.88,107.54,108.85,1239000,108.85
2013-11-01,107.87,108.29,107.27,108.01,1528400,108.01
2013-10-31,107.89,108.39,107.15,108.00,1377600,108.00
2013-10-30,108.33,108.56,107.01,107.90,1688200,107.90
2013-10-29,107.42,108.21,107.01,108.17,2199700,108.17
2013-10-28,105.51,107.84,105.27,107.31,2419200,107.31
2013-10-25,104.00,105.56,103.62,105.51,1455000,105.51
2013-10-24,104.72,105.05,104.17,104.21,1776800,104.21
2013-10-23,102.22,105.32,102.19,104.96,2895500,104.96
2013-10-22,102.43,103.48,100.83,102.97,3609500,102.97
2013-10-21,98.83,98.88,98.00,98.83,1912600,98.83
2013-10-18,99.63,99.63,98.49,99.18,1794700,99.18
2013-10-17,97.65,99.24,97.54,99.04,1453600,99.04
2013-10-16,97.03,98.40,96.86,98.00,1532900,98.00
2013-10-15,96.91,96.97,96.34,96.55,1302800,96.55
2013-10-14,96.45,96.97,96.22,96.96,1484600,96.96
2013-10-11,95.85,97.01,95.30,96.95,1186600,96.95
2013-10-10,94.99,95.94,94.57,95.93,1246300,95.93
2013-10-09,93.55,95.00,93.20,94.28,2058700,94.28
2013-10-08,93.51,94.12,93.12,93.19,2014000,93.19
2013-10-07,93.81,94.65,93.55,93.86,984900,93.86
2013-10-04,94.38,94.79,94.03,94.26,1182600,94.26
2013-10-03,94.26,94.73,93.31,94.44,1768300,94.44
2013-10-02,94.23,94.27,93.20,94.26,1456400,94.26
2013-10-01,93.49,94.62,93.42,94.38,1366100,94.38
2013-09-30,94.40,94.89,93.78,94.22,1775600,94.22
2013-09-27,95.17,95.34,94.09,94.79,989000,94.79
2013-09-26,94.91,95.53,94.75,95.46,916700,95.46
2013-09-25,95.67,96.10,94.60,94.69,1664800,94.69
2013-09-24,95.75,96.01,95.30,95.37,1259200,95.37
2013-09-23,96.16,96.28,95.26,95.79,1198500,95.79
2013-09-20,97.09,97.20,96.19,96.20,1675600,96.20
2013-09-19,97.91,97.98,96.68,97.20,1515600,97.20
2013-09-18,96.40,97.73,96.05,97.71,1412700,97.71
2013-09-17,96.44,96.87,96.03,96.36,1000000,96.36
2013-09-16,96.55,96.95,96.20,96.43,1086500,96.43
2013-09-13,95.16,95.92,95.04,95.69,1175600,95.69
2013-09-12,94.57,95.45,94.39,94.85,1355500,94.85
2013-09-11,93.69,94.59,93.23,94.56,1265400,94.56
2013-09-10,94.10,94.52,93.28,93.90,1276800,93.90
2013-09-09,93.03,93.61,92.80,93.61,1537100,93.61
2013-09-06,92.52,93.59,92.00,93.06,1553600,93.06
2013-09-05,92.39,92.45,91.60,92.27,1309700,92.27
2013-09-04,92.45,92.71,91.44,92.49,1508500,92.49
2013-09-03,94.16,94.22,92.45,92.64,1846500,91.83
2013-08-30,93.21,93.59,92.77,93.48,1701400,92.66
2013-08-29,92.20,93.31,92.00,92.95,1203200,92.14
2013-08-28,93.32,93.35,92.50,92.53,1399300,91.72
2013-08-27,93.67,94.05,92.72,93.53,1858600,92.71
2013-08-26,95.93,96.08,94.51,94.53,1018000,93.70
2013-08-23,95.99,96.24,95.51,95.89,1073600,95.05
2013-08-22,94.12,96.31,93.60,95.61,2072100,94.77
