Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,53.92,55.09,53.63,54.71,2728300,54.71
2013-11-19,53.69,54.37,53.68,53.84,2890300,53.84
2013-11-18,54.08,54.40,53.49,53.69,3977400,53.69
2013-11-15,53.29,54.46,53.21,53.95,4930600,53.95
2013-11-14,53.61,54.55,53.03,53.55,14671600,53.55
2013-11-13,58.26,59.00,57.27,58.26,6387600,58.26
2013-11-12,57.62,57.83,57.29,57.60,1884500,57.60
2013-11-11,57.16,57.82,56.98,57.67,2243200,57.67
2013-11-08,56.38,57.68,56.36,57.03,2854400,57.03
2013-11-07,57.75,58.07,56.43,56.54,3467100,56.54
2013-11-06,57.77,58.24,57.54,58.06,2002200,58.06
2013-11-05,58.45,58.47,57.47,57.73,2310700,57.73
2013-11-04,57.64,58.93,57.64,58.47,3979000,58.47
2013-11-01,56.92,57.14,56.40,56.85,2544800,56.85
2013-10-31,57.02,57.04,56.23,56.80,1739200,56.80
2013-10-30,57.04,57.49,56.30,56.96,2643500,56.96
2013-10-29,55.98,57.42,55.95,57.04,5453500,57.04
2013-10-28,54.80,55.87,54.62,55.76,5324400,55.76
2013-10-25,54.88,54.89,54.36,54.74,2461400,54.74
2013-10-24,54.91,55.00,54.65,54.92,1995300,54.92
2013-10-23,53.96,55.08,53.73,54.86,3203100,54.86
2013-10-22,54.08,54.44,53.87,54.05,2432900,54.05
2013-10-21,53.85,54.16,53.49,53.64,1863100,53.64
2013-10-18,53.99,54.09,53.18,53.93,2262600,53.93
2013-10-17,53.23,54.10,53.14,53.96,2403100,53.96
2013-10-16,51.67,53.32,51.43,53.24,2649300,53.24
2013-10-15,51.35,51.64,51.04,51.44,1851600,51.44
2013-10-14,51.14,51.91,51.07,51.49,2193400,51.49
2013-10-11,51.82,51.82,50.81,51.45,2045200,51.45
2013-10-10,51.72,51.85,51.10,51.84,1535900,51.84
2013-10-09,50.83,51.71,50.60,51.31,2268500,51.31
2013-10-08,51.86,51.97,50.74,50.77,2820000,50.77
2013-10-07,52.23,52.35,51.87,51.92,1512300,51.92
2013-10-04,52.26,52.80,52.17,52.51,1699600,52.51
2013-10-03,52.48,52.74,52.01,52.34,2269900,52.34
2013-10-02,51.98,52.55,51.01,52.54,2985200,52.54
2013-10-01,51.62,52.32,51.52,52.32,1976600,52.32
2013-09-30,51.57,51.89,51.45,51.75,1922800,51.75
2013-09-27,51.93,52.20,51.08,52.03,2286000,52.03
2013-09-26,51.61,52.31,51.54,52.13,2525200,52.13
2013-09-25,51.65,51.84,50.50,51.56,5001000,51.56
2013-09-24,52.09,52.89,52.02,52.06,3188800,52.06
2013-09-23,52.58,52.65,51.80,52.05,1768300,52.05
2013-09-20,53.01,53.10,52.17,52.60,2898400,52.60
2013-09-19,52.69,52.99,52.39,52.83,1375500,52.83
2013-09-18,51.90,52.55,51.31,52.37,2685800,52.37
2013-09-17,51.57,51.95,51.57,51.88,1672900,51.88
2013-09-16,51.77,51.79,51.31,51.50,2366000,51.50
2013-09-13,51.68,51.72,50.98,51.24,1773100,51.24
2013-09-12,51.70,51.95,51.35,51.46,1620200,51.46
2013-09-11,52.39,52.61,51.46,51.71,2692800,51.71
2013-09-10,52.50,52.73,51.97,52.34,1661400,52.34
2013-09-09,52.32,52.67,52.13,52.45,1512500,52.45
2013-09-06,52.76,52.98,52.12,52.39,1618300,52.04
2013-09-05,51.55,53.32,51.50,52.76,2616100,52.41
2013-09-04,51.26,51.61,51.06,51.45,1848300,51.11
2013-09-03,51.70,51.96,51.15,51.40,1969800,51.06
2013-08-30,50.91,51.45,50.88,51.31,2147500,50.97
2013-08-29,50.19,51.30,50.09,50.88,2440000,50.54
2013-08-28,49.78,50.80,49.73,50.24,1611400,49.90
2013-08-27,49.94,50.36,49.57,49.84,1679300,49.51
2013-08-26,51.06,51.37,50.34,50.38,2461400,50.04
2013-08-23,51.75,51.82,50.89,51.00,2096000,50.66
2013-08-22,51.51,51.94,51.27,51.56,1454200,51.22
2013-08-21,52.21,52.48,51.49,51.78,1400400,51.43
2013-08-20,51.56,52.66,51.54,52.22,2482000,51.87
2013-08-19,52.21,52.53,51.16,51.56,2778000,51.22
2013-08-16,53.27,53.47,52.16,52.27,3126700,51.92
2013-08-15,52.00,54.52,52.00,53.51,9018100,53.15
2013-08-14,50.58,50.94,50.05,50.84,3585700,50.50
2013-08-13,51.29,51.45,50.43,50.83,2174900,50.49
2013-08-12,50.33,51.36,50.16,51.22,2045100,50.88
2013-08-09,50.92,50.92,50.41,50.69,2108400,50.35
2013-08-08,51.14,51.51,50.55,51.02,2226900,50.68
2013-08-07,51.50,51.54,50.89,50.96,1995900,50.62
2013-08-06,52.97,53.03,51.18,51.69,3840700,51.34
2013-08-05,53.47,53.52,52.77,53.19,1325200,52.83
2013-08-02,54.05,54.14,53.41,53.56,1752300,53.20
2013-08-01,53.40,54.38,53.31,54.16,2378400,53.80
2013-07-31,53.05,53.73,52.85,52.98,1284600,52.63
2013-07-30,53.31,53.70,52.87,53.00,895100,52.65
2013-07-29,53.38,53.44,53.03,53.31,774700,52.95
2013-07-26,52.94,53.40,52.39,53.39,1565900,53.03
2013-07-25,53.33,53.65,52.82,53.28,2372800,52.92
2013-07-24,53.68,54.03,53.33,53.59,2152500,53.23
2013-07-23,53.59,53.84,53.29,53.54,1418900,53.18
2013-07-22,52.76,53.61,52.65,53.60,1621600,53.24
2013-07-19,52.61,52.91,52.32,52.86,1627300,52.51
2013-07-18,53.02,53.11,52.33,52.56,1894000,52.21
2013-07-17,52.95,53.31,52.90,53.04,1097800,52.69
2013-07-16,53.61,53.76,52.86,52.94,2847200,52.59
2013-07-15,53.44,53.70,53.07,53.50,1671400,53.14
2013-07-12,53.91,54.00,53.35,53.49,1274200,53.13
2013-07-11,53.96,54.02,53.35,53.91,1458600,53.55
2013-07-10,53.73,53.92,53.25,53.55,2275400,53.19
2013-07-09,53.77,53.93,53.21,53.69,1114600,53.33
2013-07-08,52.91,53.49,52.78,53.47,1601800,53.11
2013-07-05,52.34,52.76,51.83,52.75,1162000,52.40
2013-07-03,52.22,52.24,51.76,52.11,860200,51.76
2013-07-02,52.00,53.25,51.82,52.47,3910700,52.12
2013-07-01,50.86,51.91,50.77,51.57,2350300,51.23
2013-06-28,50.67,51.13,50.51,50.51,3202500,50.17
2013-06-27,51.44,51.72,50.67,50.68,2217500,50.34
2013-06-26,51.00,51.20,50.71,51.13,1339700,50.79
2013-06-25,50.15,50.81,49.99,50.60,1596000,50.26
2013-06-24,50.18,50.36,49.39,49.83,1970200,49.50
2013-06-21,50.90,50.98,50.13,50.59,3670500,50.25
2013-06-20,51.39,51.60,50.47,50.56,2495800,50.22
2013-06-19,52.40,52.70,51.73,51.79,2299400,51.44
2013-06-18,52.76,52.79,51.93,52.44,2304900,52.09
2013-06-17,52.40,53.21,52.40,52.75,2872400,52.40
2013-06-14,51.80,52.21,51.65,52.15,2702400,51.80
2013-06-13,51.13,51.96,51.04,51.91,1041900,51.56
2013-06-12,51.58,51.90,51.06,51.20,1502700,50.86
2013-06-11,51.36,51.90,51.25,51.27,1117300,50.93
2013-06-10,51.57,51.99,51.33,51.71,2036400,51.36
2013-06-07,51.71,52.04,51.54,51.96,2270500,51.27
2013-06-06,50.76,51.45,50.61,51.34,1674200,50.65
2013-06-05,51.64,52.05,50.96,50.97,2847000,50.29
2013-06-04,51.47,52.08,51.44,51.85,2814700,51.16
2013-06-03,51.39,51.93,51.13,51.43,3057100,50.74
2013-05-31,51.08,51.82,51.00,51.41,2343200,50.72
2013-05-30,51.43,51.71,51.08,51.12,1300400,50.44
2013-05-29,51.36,51.77,50.80,51.54,1723400,50.85
2013-05-28,52.20,52.28,51.49,51.63,2436400,50.94
2013-05-24,51.73,52.01,51.46,51.91,1408000,51.22
2013-05-23,51.77,52.27,51.73,52.14,2814300,51.44
2013-05-22,52.17,52.44,51.66,52.08,3650900,51.38
2013-05-21,50.93,52.72,50.91,52.35,4257900,51.65
2013-05-20,51.37,51.45,50.75,51.20,3055400,50.52
2013-05-17,51.79,52.30,51.38,51.58,3350100,50.89
2013-05-16,52.82,52.94,51.45,52.03,11672600,51.33
2013-05-15,49.19,49.74,48.87,49.68,3239300,49.02
2013-05-14,48.19,49.31,48.10,49.19,2889600,48.53
2013-05-13,48.87,49.03,48.11,48.17,2493000,47.53
2013-05-10,48.19,48.91,47.99,48.90,2460900,48.25
2013-05-09,46.93,48.76,46.93,48.21,4345300,47.57
2013-05-08,47.42,47.49,46.86,47.00,4769700,46.37
2013-05-07,47.62,47.68,46.97,47.66,3207300,47.02
2013-05-06,48.37,48.73,48.03,48.24,2365600,47.59
2013-05-03,47.34,48.34,47.00,48.31,2602200,47.66
2013-05-02,46.83,47.55,46.55,47.00,2035600,46.37
2013-05-01,46.98,47.25,46.58,46.60,1950900,45.98
2013-04-30,47.37,47.42,46.81,47.06,2220700,46.43
2013-04-29,48.48,48.49,47.11,47.32,3148800,46.69
2013-04-26,48.09,48.55,47.99,48.28,1845500,47.63
