Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,41.86,41.94,41.55,41.67,1703800,41.67
2013-11-19,42.04,42.14,41.60,41.70,2307700,41.70
2013-11-18,42.15,42.34,41.90,42.06,2369000,42.06
2013-11-15,43.36,43.36,40.97,42.21,4954100,42.21
2013-11-14,41.14,41.35,40.71,41.21,5248000,41.21
2013-11-13,40.31,41.05,40.31,41.05,1202000,41.05
2013-11-12,40.69,40.95,40.59,40.81,1130000,40.55
2013-11-11,40.90,40.97,40.59,40.86,1075900,40.60
2013-11-08,40.71,41.00,40.40,40.97,1100500,40.71
2013-11-07,41.43,41.45,40.54,40.64,1768900,40.38
2013-11-06,41.02,41.33,40.81,41.15,1367100,40.89
2013-11-05,40.54,41.10,40.26,40.94,2031100,40.68
2013-11-04,41.04,41.06,40.62,40.62,2432500,40.36
2013-11-01,41.27,41.27,40.63,40.81,1738400,40.55
2013-10-31,40.55,41.38,40.46,41.16,2755300,40.90
2013-10-30,40.72,41.29,40.48,40.55,2370900,40.29
2013-10-29,39.98,40.94,39.94,40.89,3413600,40.63
2013-10-28,39.14,39.84,39.08,39.77,1724700,39.52
2013-10-25,39.10,39.18,38.98,39.07,1086800,38.82
2013-10-24,38.80,39.09,38.67,38.95,1595200,38.70
2013-10-23,39.03,39.03,38.28,38.74,3136700,38.49
2013-10-22,39.58,39.58,38.99,39.42,2350400,39.17
2013-10-21,39.06,39.33,38.98,39.32,2140600,39.07
2013-10-18,39.29,39.36,38.90,39.27,1852300,39.02
2013-10-17,38.88,39.32,38.57,39.26,2411600,39.01
2013-10-16,38.51,39.47,38.31,39.11,5074400,38.86
2013-10-15,39.80,39.95,39.46,39.55,2030000,39.30
2013-10-14,39.45,40.35,39.34,40.01,2159200,39.76
2013-10-11,39.22,39.70,39.22,39.67,1585100,39.42
2013-10-10,38.96,39.50,38.84,39.35,1464600,39.10
2013-10-09,39.02,39.06,38.31,38.70,1786400,38.45
2013-10-08,39.65,39.65,38.68,38.80,2002500,38.55
2013-10-07,39.13,39.76,39.06,39.51,1187500,39.26
2013-10-04,39.49,39.70,39.32,39.57,1576500,39.32
2013-10-03,39.55,39.67,39.10,39.55,2163600,39.30
2013-10-02,39.48,39.83,39.42,39.60,1510000,39.35
2013-10-01,39.77,40.06,39.49,39.81,1349500,39.56
2013-09-30,39.34,39.69,39.17,39.66,1834700,39.41
2013-09-27,39.49,39.81,39.43,39.60,1254400,39.35
2013-09-26,39.95,40.13,39.62,39.79,1509100,39.54
2013-09-25,39.97,40.07,39.60,39.84,1384200,39.59
2013-09-24,40.23,40.31,39.92,40.00,1262400,39.75
2013-09-23,40.16,40.37,40.02,40.09,1739900,39.83
2013-09-20,40.53,40.58,40.09,40.10,2790000,39.84
2013-09-19,40.55,40.68,40.29,40.44,1353900,40.18
2013-09-18,40.46,40.60,40.05,40.53,1945300,40.27
2013-09-17,40.56,40.65,40.34,40.44,1045100,40.18
2013-09-16,40.63,40.69,40.18,40.33,1682100,40.07
2013-09-13,40.37,40.43,40.10,40.29,1267900,40.03
2013-09-12,40.06,40.38,39.99,40.19,1309500,39.93
2013-09-11,39.64,40.24,39.46,40.21,1911600,39.95
2013-09-10,39.37,39.82,39.21,39.82,1826600,39.57
2013-09-09,39.33,39.44,38.99,39.00,1860800,38.75
2013-09-06,39.66,39.66,39.00,39.12,1346400,38.87
2013-09-05,39.31,39.70,39.31,39.40,979100,39.15
2013-09-04,38.87,39.59,38.42,39.43,2159300,39.18
2013-09-03,38.77,39.42,38.67,38.88,2070800,38.63
2013-08-30,38.67,38.67,38.05,38.33,2198300,38.09
