/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,138.84,138.84,136.99,137.19,858600,137.19
2013-11-19,138.11,139.35,137.72,138.97,1034500,138.97
2013-11-18,137.62,138.85,137.62,137.85,897700,137.85
2013-11-15,137.93,138.04,136.39,137.45,2043000,137.45
2013-11-14,137.74,138.40,137.00,138.29,886200,138.29
2013-11-13,136.54,137.38,135.54,137.26,1667500,137.26
2013-11-12,137.15,137.24,136.40,137.23,1485100,137.23
2013-11-11,137.92,137.92,136.30,137.15,1029900,137.15
2013-11-08,136.17,138.15,136.01,138.11,1281400,138.11
2013-11-07,136.89,138.15,136.09,136.20,1285400,136.20
2013-11-06,135.53,136.93,135.53,136.87,921900,136.87
2013-11-05,135.33,136.36,135.05,135.47,885700,135.47
2013-11-04,135.00,136.00,134.91,135.74,833400,135.74
2013-11-01,133.54,136.84,133.43,134.55,2135000,134.55
2013-10-31,134.01,134.78,133.16,133.34,1516500,133.34
2013-10-30,134.12,134.96,133.32,133.72,1196100,133.72
2013-10-29,133.40,133.89,132.87,133.66,1231100,133.66
2013-10-28,133.76,134.38,132.95,133.23,1316400,133.23
2013-10-25,132.41,134.19,131.90,134.00,1578100,134.00
2013-10-24,132.02,132.99,131.39,132.62,1125400,132.62
2013-10-23,130.00,132.03,130.00,131.98,1672200,131.98
2013-10-22,129.59,130.18,127.29,130.05,2784200,130.05
2013-10-21,128.90,129.06,125.09,125.30,3450600,125.30
2013-10-18,129.61,129.61,128.65,128.90,1447500,128.90
2013-10-17,127.57,129.45,127.09,129.36,857700,129.36
2013-10-16,126.66,127.99,126.03,127.86,1494000,127.86
2013-10-15,127.47,127.63,125.72,125.90,1109500,125.90
2013-10-14,125.84,127.63,125.33,127.50,790600,127.50
2013-10-11,126.21,126.58,125.75,126.17,1260000,126.17
2013-10-10,122.71,126.70,122.71,126.68,1323200,126.68
2013-10-09,122.62,123.14,121.75,122.03,1531000,122.03
2013-10-08,123.63,123.95,122.39,122.46,1080200,122.46
2013-10-07,122.17,124.96,121.83,123.56,1950700,123.56
2013-10-04,123.15,123.41,121.52,122.50,2490300,122.50
2013-10-03,124.91,124.92,122.10,122.83,2668500,122.83
2013-10-02,127.11,127.15,124.10,125.08,3204200,125.08
2013-10-01,127.77,128.30,127.44,127.50,1377500,127.50
2013-09-30,128.08,128.58,127.25,127.55,1588500,127.55
2013-09-27,129.59,129.85,128.07,129.24,1308900,129.24
2013-09-26,128.15,129.95,128.01,129.85,1525700,129.85
2013-09-25,127.69,128.45,127.29,127.86,1062300,127.86
2013-09-24,127.88,129.22,127.88,128.14,1309100,128.14
2013-09-23,128.12,128.86,127.00,127.62,1138700,127.62
2013-09-20,130.44,130.63,128.00,128.00,2284900,128.00
2013-09-19,131.00,131.60,130.20,130.39,1403500,130.39
2013-09-18,129.65,130.89,128.45,130.84,1386500,130.84
2013-09-17,128.47,129.76,128.21,129.64,1169300,129.64
2013-09-16,128.21,129.17,127.90,128.46,1418000,128.46
2013-09-13,126.97,127.32,126.02,127.25,973200,127.25
2013-09-12,126.31,127.39,126.20,126.54,1886100,126.54
2013-09-11,124.91,126.57,124.91,126.57,1143300,126.57
2013-09-10,124.69,125.80,124.34,125.07,1352500,125.07
2013-09-09,123.97,124.87,123.82,124.07,1220200,124.07
2013-09-06,124.54,124.88,122.54,123.73,1662600,123.73
2013-09-05,123.58,124.36,123.07,124.14,1337200,124.14
2013-09-04,123.35,124.86,123.25,124.27,1360300,124.27
2013-09-03,123.35,124.36,123.10,123.63,1525400,123.63
2013-08-30,122.58,122.67,121.72,122.42,1847000,122.42
2013-08-29,122.43,123.05,122.03,122.34,1333600,122.34
2013-08-28,123.26,124.00,123.22,123.30,1207700,122.15
2013-08-27,124.45,125.82,122.80,123.14,1315200,121.99
2013-08-26,126.00,126.73,125.10,125.19,1311100,124.02
2013-08-23,123.72,126.30,123.59,126.00,4927100,124.82
2013-08-22,123.32,124.57,123.05,123.71,4718000,122.56
2013-08-21,122.37,123.93,121.87,122.93,1455900,121.78
2013-08-20,121.92,123.97,121.92,122.41,1545400,121.27
2013-08-19,121.92,122.58,121.25,121.91,1191700,120.77
2013-08-16,121.83,122.78,121.70,122.20,1400300,121.06
2013-08-15,122.75,123.36,121.83,122.13,1191700,120.99
2013-08-14,124.00,124.28,123.35,123.62,1045300,122.47
2013-08-13,123.27,124.30,123.00,124.06,1481600,122.90
2013-08-12,123.84,124.18,122.98,123.00,1376200,121.85
2013-08-09,124.51,124.70,123.60,124.02,1307800,122.86
2013-08-08,125.00,125.00,123.81,124.64,1358700,123.48
2013-08-07,124.00,124.70,123.70,124.54,1372100,123.38
2013-08-06,124.04,124.53,123.87,124.26,1597700,123.10
2013-08-05,123.55,124.63,123.23,124.15,1166200,122.99
2013-08-02,123.12,124.08,121.94,123.77,1842300,122.62
2013-08-01,120.76,122.24,120.75,122.17,1238500,121.03
2013-07-31,120.44,121.57,119.32,120.12,1852200,119.00
2013-07-30,120.52,120.92,119.48,120.09,1584600,118.97
2013-07-29,118.82,120.39,118.81,119.99,1726900,118.87
2013-07-26,119.00,120.05,118.81,120.00,1675800,118.88
2013-07-25,117.60,119.52,117.30,119.50,2833300,118.39
2013-07-24,118.57,120.38,118.23,119.12,2220700,118.01
2013-07-23,118.20,119.61,117.01,117.92,2643500,116.82
2013-07-22,115.80,115.90,115.18,115.65,1129200,114.57
2013-07-19,114.98,115.63,114.69,115.55,1713900,114.47
2013-07-18,114.18,115.39,114.07,115.39,1058200,114.31
2013-07-17,112.99,114.08,112.90,114.08,1130600,113.02
2013-07-16,114.33,114.51,112.57,112.60,1274500,111.55
2013-07-15,112.75,114.37,112.46,114.37,1446000,113.30
2013-07-12,113.12,113.57,111.78,112.53,1459400,111.48
2013-07-11,112.38,113.16,112.02,113.10,1118300,112.05
2013-07-10,109.62,111.68,109.48,111.52,1397000,110.48
2013-07-09,109.73,110.31,109.15,109.57,1150900,108.55
2013-07-08,109.05,109.39,108.72,109.17,1102500,108.15
2013-07-05,107.58,108.67,107.37,108.66,731800,107.65
2013-07-03,106.29,107.38,105.54,107.20,651600,106.20
2013-07-02,107.96,107.96,105.94,106.40,1587000,105.41
2013-07-01,108.46,108.85,107.89,108.06,1509100,107.05
2013-06-28,107.11,108.86,107.11,108.46,2717300,107.45
2013-06-27,106.15,107.63,106.01,107.36,2536000,106.36
2013-06-26,104.50,105.91,104.36,105.77,1666600,104.78
2013-06-25,104.50,104.61,103.54,103.67,1467900,102.70
2013-06-24,104.71,104.92,103.51,103.83,1419200,102.86
2013-06-21,105.50,106.13,105.00,105.06,2836100,104.08
2013-06-20,106.26,106.93,105.00,105.04,2591400,104.06
