/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,50.84,51.00,50.47,50.96,5262600,50.96
2013-11-19,50.44,50.69,50.14,50.41,4112000,50.41
2013-11-18,51.00,51.24,50.25,50.47,4476700,50.47
2013-11-15,50.41,51.09,50.27,51.09,5953900,51.09
2013-11-14,50.69,51.14,50.06,50.68,7244700,50.68
2013-11-13,49.65,50.95,49.19,50.68,21929300,50.68
2013-11-12,47.04,47.09,46.30,46.33,7969200,46.33
2013-11-11,46.18,47.31,46.12,47.07,6284000,47.07
2013-11-08,45.90,46.31,45.59,46.18,5590700,46.18
2013-11-07,46.43,46.73,45.85,45.96,4771700,45.96
2013-11-06,46.18,46.93,46.00,46.40,3802700,46.40
2013-11-05,46.62,46.92,45.85,46.14,4399600,46.14
2013-11-04,46.26,46.86,46.26,46.49,3297000,46.49
2013-11-01,46.18,46.30,45.56,45.96,3165100,45.96
2013-10-31,46.50,46.59,45.88,46.11,3717300,46.11
2013-10-30,46.20,46.73,45.93,46.40,3696100,46.40
2013-10-29,45.65,46.26,45.65,46.13,5080100,46.13
2013-10-28,44.40,45.65,44.17,45.44,5151100,45.44
2013-10-25,45.24,45.24,44.68,44.89,3580300,44.89
2013-10-24,44.57,45.20,44.13,45.10,3894100,45.10
2013-10-23,44.55,44.78,44.08,44.54,2830900,44.54
2013-10-22,44.22,44.71,44.02,44.60,4372400,44.60
2013-10-21,44.47,44.55,43.89,44.24,2858600,44.24
2013-10-18,44.51,44.65,43.70,44.39,5299300,44.39
2013-10-17,43.62,44.56,43.51,44.46,5699800,44.46
2013-10-16,42.66,43.87,42.60,43.79,8338000,43.79
2013-10-15,42.68,43.07,42.27,42.48,5411900,42.48
2013-10-14,42.45,42.72,42.23,42.58,4611900,42.58
2013-10-11,43.02,43.04,42.22,42.64,5182700,42.64
2013-10-10,43.02,43.33,42.86,43.21,3443200,43.21
2013-10-09,42.57,42.75,42.18,42.36,5073600,42.36
2013-10-08,43.12,43.20,42.39,42.45,5168600,42.45
2013-10-07,43.62,43.64,42.99,42.99,4641600,42.99
2013-10-04,44.28,44.28,43.73,44.07,4433000,44.07
2013-10-03,43.96,44.48,43.58,44.21,5835300,44.21
2013-10-02,43.18,43.98,43.02,43.97,5559900,43.97
2013-10-01,43.23,43.80,43.20,43.44,4646000,43.44
2013-09-30,43.08,43.37,42.92,43.27,3835300,43.27
2013-09-27,43.29,43.80,43.22,43.52,5431800,43.52
2013-09-26,42.89,43.35,42.68,43.32,5070800,43.32
2013-09-25,43.61,43.74,42.70,42.80,6915400,42.80
