Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,37.19,37.54,37.08,37.26,5608500,37.26
2013-11-19,36.53,37.14,36.27,36.93,6106500,36.93
2013-11-18,36.16,37.15,36.16,36.51,6730800,36.51
2013-11-15,36.52,36.75,36.30,36.73,3929600,36.54
2013-11-14,36.19,36.53,36.05,36.43,4325200,36.24
2013-11-13,35.58,36.16,35.53,36.15,4378100,35.96
2013-11-12,36.06,36.32,35.70,35.82,5102200,35.63
2013-11-11,36.45,36.57,36.16,36.29,3278400,36.10
2013-11-08,35.75,36.42,35.75,36.39,5570400,36.20
2013-11-07,36.52,36.66,35.52,35.73,8826400,35.55
2013-11-06,35.95,36.54,35.95,36.45,7714000,36.26
2013-11-05,35.56,36.34,35.39,35.67,7771900,35.49
2013-11-04,35.36,35.56,34.96,35.50,6889600,35.32
2013-11-01,35.34,35.45,34.90,35.27,6002000,35.09
2013-10-31,35.80,35.80,35.11,35.26,4233000,35.08
2013-10-30,36.00,36.25,35.34,35.76,3656500,35.58
2013-10-29,36.14,36.37,35.78,35.99,4356400,35.80
2013-10-28,35.63,36.22,35.46,36.07,5993900,35.88
2013-10-25,35.66,35.74,35.25,35.59,4074800,35.41
2013-10-24,34.84,35.69,34.70,35.60,4363200,35.42
2013-10-23,35.12,35.14,34.47,34.85,4512700,34.67
2013-10-22,35.13,35.65,35.03,35.33,7375700,35.15
2013-10-21,35.09,35.40,34.74,35.01,4596000,34.83
2013-10-18,35.23,35.36,34.96,35.28,5680700,35.10
2013-10-17,34.74,34.92,34.44,34.90,5141700,34.72
2013-10-16,35.05,35.37,34.65,34.87,4653600,34.69
2013-10-15,34.78,35.02,34.49,34.71,3728800,34.53
2013-10-14,34.58,34.99,34.41,34.83,4712300,34.65
2013-10-11,34.88,35.25,34.70,34.86,4119900,34.68
2013-10-10,34.54,35.09,34.45,35.06,3585500,34.88
2013-10-09,34.12,34.38,33.82,34.21,3705100,34.03
2013-10-08,34.61,34.77,34.16,34.16,3562200,33.98
2013-10-07,34.37,35.19,34.21,34.72,5566400,34.54
2013-10-04,34.00,34.93,33.93,34.79,6948400,34.61
2013-10-03,34.44,34.52,33.99,34.06,5904400,33.88
2013-10-02,34.83,34.89,34.26,34.60,6529400,34.42
2013-10-01,34.95,35.29,34.82,35.04,5352500,34.86
2013-09-30,34.77,35.19,34.47,34.88,5396400,34.70
2013-09-27,34.83,35.16,34.64,34.90,3614000,34.72
2013-09-26,35.78,35.79,34.92,35.28,4004900,35.10
2013-09-25,35.65,35.74,35.43,35.46,5683300,35.28
2013-09-24,35.61,35.80,35.34,35.57,5140700,35.39
2013-09-23,35.65,35.80,35.44,35.55,4038500,35.37
2013-09-20,36.51,36.53,35.77,35.90,7792200,35.71
2013-09-19,36.44,36.50,36.04,36.42,5611400,36.23
2013-09-18,35.91,36.42,35.58,36.40,7006600,36.21
2013-09-17,35.45,36.05,35.41,35.93,4702000,35.74
2013-09-16,35.88,35.96,35.34,35.46,5071000,35.28
2013-09-13,36.17,36.35,35.49,35.57,5156200,35.39
2013-09-12,36.43,36.67,35.92,35.98,6046900,35.79
2013-09-11,35.77,36.63,35.76,36.49,6645800,36.30
2013-09-10,36.47,36.47,35.49,35.77,10855900,35.58
2013-09-09,35.86,36.40,35.84,36.24,6572200,36.05
2013-09-06,35.98,36.14,35.38,35.69,8676600,35.51
2013-09-05,35.60,36.12,35.53,35.89,6788400,35.70
2013-09-04,35.20,35.82,35.15,35.50,7033500,35.32
2013-09-03,34.86,35.25,34.77,35.17,5976000,34.99
2013-08-30,34.63,34.75,34.30,34.43,6070200,34.25
2013-08-29,34.48,34.89,34.35,34.54,6002100,34.36
2013-08-28,33.59,34.88,33.56,34.60,7136400,34.42
2013-08-27,32.83,33.75,32.83,33.38,6813100,33.21
2013-08-26,33.41,33.55,33.15,33.32,3570300,33.15
