Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,113.97,114.42,113.09,113.97,550600,113.97
2013-11-19,113.83,114.15,112.90,113.53,538500,113.53
2013-11-18,113.25,114.59,113.00,113.75,743700,113.75
2013-11-15,112.80,113.41,112.27,113.23,1469700,113.23
2013-11-14,112.00,112.74,111.52,112.51,658900,112.51
2013-11-13,111.19,111.75,110.39,111.67,827300,111.67
2013-11-12,113.13,113.75,111.12,111.39,851300,111.39
2013-11-11,113.51,113.95,113.14,113.51,478400,113.51
2013-11-08,111.31,114.39,111.31,113.87,1039100,113.87
2013-11-07,112.39,112.95,111.07,111.14,374400,111.14
2013-11-06,112.00,112.44,111.31,112.13,665300,112.13
2013-11-05,111.19,111.75,110.90,111.43,731900,111.43
2013-11-04,112.08,112.47,111.11,111.64,629700,111.64
2013-11-01,112.58,113.60,111.28,111.90,927300,111.90
2013-10-31,114.26,114.29,112.53,112.53,953400,112.53
2013-10-30,112.69,114.99,112.51,114.31,1340800,114.31
2013-10-29,112.54,112.73,111.93,112.69,1129000,112.69
2013-10-28,112.41,112.63,111.87,112.04,1157300,112.04
2013-10-25,112.55,112.84,111.69,112.55,1026300,112.55
2013-10-24,113.60,114.03,112.06,112.34,1184600,112.34
2013-10-23,112.70,112.91,111.92,112.87,1347400,112.87
2013-10-22,113.97,114.00,113.04,113.21,782700,113.21
2013-10-21,114.92,115.46,113.76,114.00,1289600,114.00
2013-10-18,112.46,114.89,110.36,114.80,1972500,114.80
2013-10-17,115.03,115.34,111.75,112.62,2118200,112.62
2013-10-16,114.73,116.17,114.41,116.06,858100,116.06
2013-10-15,114.39,114.85,113.44,113.73,532000,113.73
2013-10-14,113.65,114.94,113.65,114.88,598900,114.88
2013-10-11,112.78,114.85,111.89,114.45,975800,114.45
2013-10-10,111.66,113.13,111.62,113.02,877900,113.02
2013-10-09,110.37,110.96,109.23,110.63,931400,110.63
2013-10-08,110.83,111.32,109.86,109.91,1054800,109.91
2013-10-07,111.84,112.00,110.53,110.60,538500,110.60
2013-10-04,111.15,112.97,110.89,112.83,501600,112.83
2013-10-03,111.14,111.75,110.45,111.11,644200,111.11
2013-10-02,111.74,111.80,111.01,111.43,571600,111.43
2013-10-01,111.96,112.44,111.56,112.22,656400,112.22
2013-09-30,111.20,112.14,110.53,111.92,854000,111.92
2013-09-27,111.35,112.52,111.19,112.08,836300,112.08
2013-09-26,111.10,112.09,110.98,112.04,813700,112.04
2013-09-25,110.82,111.35,109.87,111.05,638600,111.05
2013-09-24,110.73,111.17,110.02,110.49,796200,110.49
2013-09-23,111.53,111.71,109.47,110.73,921600,110.73
2013-09-20,112.58,113.23,111.44,111.53,1792200,111.53
2013-09-19,113.62,114.06,111.39,112.60,1005300,112.60
2013-09-18,113.53,114.69,112.80,113.47,969500,113.47
2013-09-17,112.56,113.58,111.69,113.54,583700,113.54
2013-09-16,112.61,113.29,111.92,112.29,829000,112.29
2013-09-13,111.71,112.52,111.47,111.93,454200,111.93
2013-09-12,112.91,112.99,111.56,111.71,634600,111.71
2013-09-11,113.18,113.49,112.03,112.65,768500,112.65
2013-09-10,113.75,114.04,112.79,113.15,1139400,113.15
2013-09-09,115.01,115.27,112.93,113.14,1461400,113.14
2013-09-06,115.33,115.90,113.11,114.98,559900,114.98
2013-09-05,115.45,116.49,115.35,115.91,489800,115.91
2013-09-04,114.11,115.79,114.11,115.52,759000,115.52
2013-09-03,114.36,115.63,112.95,114.17,996800,114.17
2013-08-30,114.31,114.32,112.44,113.34,511100,113.34
2013-08-29,113.44,114.42,113.00,113.81,396800,113.81
2013-08-28,114.29,115.16,114.01,114.49,593700,113.79
2013-08-27,117.33,117.51,114.36,114.41,1078200,113.71
2013-08-26,118.14,118.93,117.80,118.54,804600,117.82
2013-08-23,119.41,119.42,117.68,118.26,562600,117.54
2013-08-22,116.42,119.19,116.40,118.75,658700,118.02
2013-08-21,116.22,117.01,115.31,116.23,650200,115.52
2013-08-20,116.13,117.28,115.93,116.71,398700,116.00
2013-08-19,116.83,116.94,115.89,116.06,570900,115.35
2013-08-16,116.50,117.62,116.44,116.77,614800,116.06
2013-08-15,116.83,117.34,116.41,116.74,623600,116.03
2013-08-14,117.43,117.78,116.92,117.42,550400,116.70
2013-08-13,117.93,117.93,116.91,117.38,512300,116.66
2013-08-12,117.26,118.07,116.81,117.82,532300,117.10
2013-08-09,117.75,118.23,117.10,117.67,587500,116.95
2013-08-08,117.84,118.73,117.03,118.00,433800,117.28
2013-08-07,117.83,118.17,116.80,117.37,1192900,116.65
2013-08-06,118.79,118.79,117.88,118.26,551300,117.54
2013-08-05,118.64,119.44,118.09,118.85,515500,118.12
2013-08-02,118.80,119.39,118.41,119.12,815000,118.39
2013-08-01,118.09,119.17,117.87,119.12,645900,118.39
2013-07-31,117.00,118.64,116.69,116.86,886900,116.15
2013-07-30,116.78,117.34,116.43,116.79,536100,116.08
2013-07-29,117.38,117.38,115.81,116.15,504700,115.44
2013-07-26,117.47,117.47,116.35,117.25,434700,116.53
2013-07-25,118.20,118.64,117.22,117.72,670300,117.00
2013-07-24,118.75,119.35,118.21,118.43,702400,117.71
2013-07-23,119.25,119.29,118.43,118.70,625300,117.97
2013-07-22,118.37,119.50,118.19,119.25,760300,118.52
2013-07-19,118.97,119.10,117.81,118.23,1373500,117.51
2013-07-18,117.39,119.54,115.03,119.30,1500900,118.57
2013-07-17,118.27,118.73,116.66,117.94,867800,117.22
2013-07-16,117.92,118.08,115.95,117.59,874600,116.87
2013-07-15,118.15,118.42,117.44,118.03,496600,117.31
2013-07-12,117.06,117.93,116.39,117.78,752700,117.06
2013-07-11,118.54,118.54,116.09,116.85,725900,116.14
2013-07-10,117.44,117.99,116.51,117.52,876200,116.80
2013-07-09,117.31,118.36,116.55,117.57,1076600,116.85
2013-07-08,116.20,117.12,115.90,116.88,859400,116.17
2013-07-05,114.44,116.40,114.36,116.40,634300,115.69
2013-07-03,113.18,113.86,112.49,113.55,456300,112.86
2013-07-02,112.78,114.06,112.68,113.73,947100,113.03
2013-07-01,112.00,113.85,111.79,112.90,861500,112.21
2013-06-28,111.32,112.01,110.68,111.75,1063000,111.07
2013-06-27,110.21,111.78,110.19,111.50,974300,110.82
2013-06-26,108.59,110.13,108.49,109.71,1109900,109.04
2013-06-25,105.71,107.51,105.21,107.23,953300,106.57
2013-06-24,105.23,105.98,104.38,105.17,784500,104.53
2013-06-21,105.52,106.66,104.49,106.25,1407100,105.60
2013-06-20,102.90,104.92,102.38,104.30,1070900,103.66
2013-06-19,104.12,104.42,103.32,103.51,634300,102.88
2013-06-18,103.03,104.70,102.36,104.13,1459200,103.49
2013-06-17,103.35,103.41,102.54,103.04,531800,102.41
2013-06-14,104.50,104.50,102.32,102.51,544900,101.88
2013-06-13,102.08,103.65,101.57,103.56,552300,102.93
2013-06-12,103.39,103.74,102.06,102.06,666100,101.44
2013-06-11,103.16,103.68,102.46,102.90,892100,102.27
2013-06-10,104.04,104.42,103.61,103.99,635600,103.35
2013-06-07,103.15,103.83,102.73,103.74,405500,103.11
2013-06-06,102.30,102.78,100.67,102.68,1030700,102.05
2013-06-05,103.83,104.38,102.66,102.79,691100,102.16
2013-06-04,105.58,106.26,104.00,104.29,1270800,103.65
2013-06-03,105.16,105.72,104.43,105.60,818100,104.95
2013-05-31,105.80,106.29,104.90,104.90,664700,104.26
2013-05-30,105.80,106.47,105.11,106.01,439000,105.36
2013-05-29,105.66,106.53,105.51,105.99,741400,104.65
2013-05-28,105.62,106.58,105.50,106.08,486300,104.74
2013-05-24,103.80,104.74,103.24,104.71,385900,103.38
2013-05-23,103.89,104.89,103.76,104.26,465900,102.94
2013-05-22,106.14,107.41,104.49,104.67,622200,103.34
2013-05-21,106.00,106.68,105.79,106.25,486300,104.90
2013-05-20,105.78,106.32,105.44,106.03,400800,104.69
2013-05-17,104.76,106.08,104.76,105.94,530900,104.60
2013-05-16,105.03,105.64,104.34,104.69,602200,103.36
