/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,110.16,110.66,109.48,109.78,890000,109.78
2013-11-19,110.76,111.14,109.86,110.25,1077100,110.25
2013-11-18,110.48,111.34,110.08,110.58,1334900,110.58
2013-11-15,109.63,109.71,108.34,109.53,1085400,109.53
2013-11-14,109.98,110.17,109.14,110.10,1028500,110.10
2013-11-13,109.01,109.32,106.67,109.31,1581000,109.31
2013-11-12,110.00,110.01,109.00,109.35,919500,109.35
2013-11-11,110.23,110.29,109.61,110.17,895600,110.17
2013-11-08,108.73,110.76,108.61,110.73,829200,110.73
2013-11-07,109.68,110.47,108.58,108.67,1088800,108.67
2013-11-06,109.33,109.89,108.61,109.62,773000,109.62
2013-11-05,108.49,109.65,108.21,109.12,788200,109.12
2013-11-04,108.45,109.25,108.36,108.65,1126100,108.65
2013-11-01,107.57,109.41,107.53,108.12,1947400,108.12
2013-10-31,107.74,108.69,107.28,107.51,1857900,107.51
2013-10-30,108.55,108.86,107.20,107.60,1074000,107.60
2013-10-29,107.89,108.40,106.93,108.31,1201200,108.31
2013-10-28,108.09,108.33,107.63,107.86,1049800,107.86
2013-10-25,107.28,108.78,106.88,108.37,1503600,108.37
2013-10-24,105.96,108.01,105.69,107.48,1769700,107.48
2013-10-23,102.50,105.71,102.25,105.56,1957200,105.56
2013-10-22,100.66,101.90,100.63,101.46,1017500,101.46
2013-10-21,101.74,101.80,99.89,100.20,1098300,100.20
2013-10-18,100.88,101.60,100.45,101.59,1123800,101.59
2013-10-17,98.51,100.73,98.13,100.73,1246700,100.73
2013-10-16,98.02,98.72,97.83,98.68,1007800,98.68
2013-10-15,98.83,98.91,97.15,97.35,1128400,97.35
2013-10-14,97.70,99.03,97.16,98.81,764500,98.81
2013-10-11,97.15,98.41,97.06,98.36,963700,98.36
2013-10-10,94.85,97.11,94.82,97.10,1169600,97.10
2013-10-09,94.10,94.64,93.33,94.10,1290200,94.10
2013-10-08,94.80,95.00,93.69,94.09,1450300,94.09
2013-10-07,92.92,95.56,92.82,94.98,1828200,94.98
2013-10-04,93.09,93.53,92.51,93.32,1218700,93.32
2013-10-03,95.09,95.09,92.61,93.08,1579200,93.08
2013-10-02,95.84,95.90,94.38,95.18,1436700,95.18
2013-10-01,95.19,96.19,95.00,96.14,890000,96.14
2013-09-30,95.45,95.76,95.15,95.26,1159700,95.26
2013-09-27,96.11,96.49,95.64,96.25,770000,96.25
2013-09-26,95.69,96.45,95.56,96.37,827300,96.37
2013-09-25,96.04,96.12,95.47,95.73,1052800,95.73
2013-09-24,96.04,96.46,95.76,95.95,1249100,95.95
2013-09-23,96.30,96.73,95.40,95.86,1470700,95.86
2013-09-20,98.29,98.30,96.09,96.30,2412400,96.30
2013-09-19,98.61,99.10,98.02,98.05,910500,98.05
