Date,Open,High,Low,Close,Volume,Adj Close
2013-10-25,15.24,15.32,14.96,15.14,919800,15.14
2013-10-24,15.00,15.19,14.98,15.17,976600,15.17
2013-10-23,14.85,15.08,14.81,14.99,1192600,14.99
2013-10-22,14.97,15.15,14.78,14.92,1274300,14.92
2013-10-21,14.82,14.95,14.65,14.92,3212800,14.92
2013-10-18,14.51,14.68,14.33,14.65,1293300,14.65
2013-10-17,14.38,14.46,14.24,14.44,1305500,14.44
2013-10-16,13.27,14.63,13.24,14.43,4004400,14.43
2013-10-15,13.30,13.32,13.04,13.23,1476800,13.23
2013-10-14,13.18,13.34,13.02,13.29,2695800,13.29
2013-10-11,13.25,13.39,13.10,13.24,1718000,13.24
2013-10-10,12.85,13.35,12.80,13.26,4515100,13.26
2013-10-09,12.10,12.41,11.89,12.31,1389300,12.31
2013-10-08,12.43,12.46,12.04,12.08,2314000,12.08
2013-10-07,12.49,12.56,12.33,12.37,914000,12.37
2013-10-04,12.47,12.66,12.43,12.60,913300,12.60
2013-10-03,12.82,12.96,12.39,12.52,1372300,12.52
2013-10-02,12.93,12.97,12.64,12.86,1632100,12.86
2013-10-01,12.71,13.22,12.64,12.97,4319200,12.97
2013-09-30,12.41,12.79,12.30,12.79,2472800,12.79
2013-09-27,12.44,12.61,12.34,12.55,841100,12.55
2013-09-26,12.49,12.64,12.23,12.50,3202100,12.50
2013-09-25,12.26,12.57,12.05,12.43,2312400,12.43
2013-09-24,11.73,12.47,11.66,12.24,5140100,12.24
2013-09-23,11.24,11.75,11.12,11.72,2796000,11.72
2013-09-20,11.43,11.53,11.27,11.28,3580200,11.28
2013-09-19,11.44,11.58,11.33,11.36,1010700,11.36
2013-09-18,11.25,11.50,11.11,11.40,1174500,11.40
2013-09-17,11.17,11.33,11.08,11.24,622200,11.24
2013-09-16,11.49,11.55,11.09,11.15,2826700,11.15
2013-09-13,11.42,11.55,11.27,11.31,1818800,11.31
2013-09-12,11.43,11.66,11.36,11.38,786800,11.38
2013-09-11,11.45,11.62,11.33,11.52,1273100,11.52
2013-09-10,11.30,11.49,11.25,11.49,1209500,11.49
2013-09-09,10.98,11.25,10.95,11.24,761500,11.24
2013-09-06,11.26,11.26,10.91,10.98,727100,10.98
2013-09-05,11.23,11.36,11.17,11.20,1092500,11.20
2013-09-04,10.91,11.38,10.87,11.25,2307900,11.25
2013-09-03,11.04,11.13,10.86,10.91,1818700,10.91
2013-08-30,10.95,11.02,10.73,10.87,1296400,10.87
2013-08-29,10.92,11.13,10.88,10.94,1018100,10.94
2013-08-28,10.67,10.95,10.63,10.90,1512600,10.90
2013-08-27,10.77,10.88,10.60,10.63,1973500,10.63
2013-08-26,10.56,10.98,10.49,10.85,1796400,10.85
2013-08-23,10.79,10.82,10.49,10.59,1177700,10.59
2013-08-22,10.73,10.86,10.69,10.81,1686500,10.81
2013-08-21,10.70,10.78,10.15,10.72,2768400,10.72
2013-08-20,10.80,10.98,10.71,10.94,1226300,10.94
2013-08-19,11.16,11.16,10.74,10.75,1167000,10.75
2013-08-16,11.31,11.39,11.11,11.13,1460000,11.13
2013-08-15,11.47,11.49,11.24,11.35,1236600,11.35
2013-08-14,11.38,11.60,11.31,11.59,1119700,11.59
2013-08-13,11.30,11.60,11.25,11.41,1478300,11.41
2013-08-12,10.91,11.31,10.86,11.31,1673300,11.29
2013-08-09,11.02,11.11,10.85,10.99,448600,10.97
2013-08-08,11.04,11.14,10.98,11.06,842400,11.04
2013-08-07,11.16,11.25,10.95,11.00,900200,10.98
2013-08-06,11.35,11.35,11.08,11.22,1105100,11.20
2013-08-05,11.48,11.57,11.29,11.44,1317900,11.42
2013-08-02,11.47,11.52,11.38,11.50,923200,11.48
2013-08-01,11.47,11.58,11.41,11.50,1203900,11.48
2013-07-31,11.54,11.57,11.29,11.39,1087500,11.37
2013-07-30,11.12,11.61,10.80,11.50,1136500,11.48
2013-07-29,11.75,11.80,11.29,11.31,940700,11.29
2013-07-26,11.69,11.83,11.57,11.83,1013600,11.81
2013-07-25,11.41,11.77,11.25,11.77,900200,11.75
2013-07-24,11.73,11.73,11.40,11.45,1122600,11.43
2013-07-23,11.68,11.80,11.57,11.70,788500,11.68
2013-07-22,11.51,11.78,11.49,11.66,1000500,11.64
2013-07-19,11.33,11.50,11.17,11.47,721700,11.45
2013-07-18,11.19,11.46,11.19,11.33,647400,11.31
2013-07-17,11.25,11.36,11.08,11.18,818000,11.16
2013-07-16,11.44,11.46,11.12,11.18,1245300,11.16
2013-07-15,11.30,11.49,11.25,11.41,792300,11.39
2013-07-12,11.26,11.31,11.13,11.30,934700,11.28
2013-07-11,11.13,11.26,11.12,11.26,799700,11.24
2013-07-10,11.16,11.26,10.88,11.02,792000,11.00
2013-07-09,11.10,11.29,11.06,11.19,1105400,11.17
2013-07-08,10.93,11.11,10.93,11.03,940200,11.01
2013-07-05,10.85,10.97,10.66,10.91,1241200,10.89
2013-07-03,10.44,10.70,10.40,10.70,877600,10.68
2013-07-02,10.23,10.47,10.23,10.46,1084900,10.44
2013-07-01,10.29,10.44,10.15,10.23,1141000,10.21
2013-06-28,10.47,10.49,10.14,10.23,2193700,10.21
2013-06-27,10.32,10.54,10.32,10.52,1150200,10.50
2013-06-26,10.24,10.42,10.18,10.30,1225300,10.28
2013-06-25,10.28,10.41,10.01,10.20,1215000,10.18
2013-06-24,10.38,10.38,9.85,10.18,1740000,10.16
2013-06-21,10.77,10.83,10.34,10.40,2928000,10.38
2013-06-20,11.01,11.01,10.67,10.75,1560400,10.73
2013-06-19,11.28,11.40,11.09,11.09,768700,11.07
2013-06-18,11.23,11.33,11.16,11.30,640000,11.28
2013-06-17,11.14,11.38,11.14,11.24,738800,11.22
2013-06-14,11.13,11.27,11.00,11.11,1238000,11.09
2013-06-13,10.92,11.17,10.80,11.15,1419800,11.13
2013-06-12,11.20,11.36,10.82,10.89,1453600,10.87
2013-06-11,11.14,11.36,10.80,11.17,1322700,11.15
2013-06-10,11.45,11.50,11.12,11.23,1616900,11.21
2013-06-07,12.79,12.90,12.69,12.82,2052900,11.30
2013-06-06,12.56,12.77,12.50,12.76,1495200,11.25
2013-06-05,12.74,12.87,12.42,12.65,1697200,11.15
2013-06-04,13.13,13.25,12.55,12.78,1718100,11.26
2013-06-03,13.06,13.18,12.62,13.14,1933600,11.58
2013-05-31,12.71,13.11,12.59,13.03,1660500,11.49
2013-05-30,12.80,12.95,12.71,12.77,657400,11.26
2013-05-29,12.98,13.01,12.56,12.78,1202800,11.26
2013-05-28,12.90,13.06,12.78,12.99,1753300,11.45
2013-05-24,12.46,12.84,12.33,12.71,1275400,11.20
2013-05-23,12.20,12.59,11.98,12.58,929800,11.09
2013-05-22,12.24,12.75,12.14,12.36,2014800,10.89
2013-05-21,12.36,12.43,12.16,12.26,1038800,10.81
2013-05-20,11.98,12.35,11.92,12.33,1820900,10.87
2013-05-17,11.78,12.01,11.70,12.00,1250900,10.58
2013-05-16,12.01,12.10,11.63,11.75,1996600,10.36
2013-05-15,11.72,12.04,11.61,12.04,1957800,10.61
2013-05-14,11.51,11.76,11.44,11.73,1742800,10.34
2013-05-13,11.57,11.62,11.37,11.49,793300,10.13
2013-05-10,11.42,11.67,11.39,11.62,720100,10.22
2013-05-09,11.36,11.54,11.16,11.38,982200,10.01
2013-05-08,11.68,11.75,11.27,11.41,2309100,10.04
2013-05-07,11.76,11.78,11.19,11.52,2474600,10.14
2013-05-06,11.58,11.80,11.35,11.74,1001600,10.33
2013-05-03,11.48,11.64,11.48,11.59,980200,10.20
2013-05-02,11.27,11.44,11.27,11.35,785600,9.99
2013-05-01,11.44,11.55,11.07,11.26,1194300,9.91
2013-04-30,10.99,11.63,10.88,11.51,1842800,10.13
2013-04-29,11.17,11.29,10.98,11.04,1180200,9.71
2013-04-26,11.25,11.29,11.08,11.14,616800,9.80
2013-04-25,11.32,11.63,11.22,11.32,613500,9.96
2013-04-24,11.45,11.55,11.24,11.31,1069300,9.95
2013-04-23,11.73,11.79,11.28,11.46,1008200,10.08
2013-04-22,11.38,11.65,11.16,11.65,1381400,10.25
2013-04-19,11.07,11.48,10.93,11.37,1307500,10.00
2013-04-18,11.03,11.12,10.70,11.04,1947400,9.71
2013-04-17,11.00,11.21,10.88,11.04,1356200,9.71
2013-04-16,11.34,11.45,11.10,11.14,1069700,9.80
2013-04-15,11.72,11.82,11.19,11.21,1268500,9.86
2013-04-12,11.82,11.99,11.61,11.84,1699200,10.42
2013-04-11,11.76,12.00,11.75,11.85,739900,10.43
2013-04-10,11.58,11.83,11.54,11.77,1025000,10.36
2013-04-09,11.37,11.66,11.37,11.57,975600,10.18
2013-04-08,10.97,11.39,10.90,11.35,1167300,9.99
2013-04-05,10.94,11.15,10.86,11.01,2629300,9.69
2013-04-04,11.07,11.21,10.90,11.21,1125100,9.86
2013-04-03,11.38,11.54,11.00,11.09,2499800,9.76
2013-04-02,11.48,11.54,11.32,11.38,1080000,10.01
2013-04-01,11.57,11.63,11.19,11.43,1501500,10.06
2013-03-28,11.57,11.68,11.50,11.61,1704100,10.22
2013-03-27,11.66,11.75,11.56,11.61,1656700,10.22
2013-03-26,11.91,12.05,11.68,11.79,1458800,10.37
2013-03-25,11.95,12.08,11.80,11.87,1120400,10.44
2013-03-22,12.02,12.10,11.90,11.94,1379900,10.51
2013-03-21,11.95,12.12,11.88,11.95,989600,10.52
2013-03-20,12.06,12.12,11.97,12.07,1112900,10.62
2013-03-19,11.95,12.04,11.76,12.01,1724700,10.57
2013-03-18,12.00,12.12,11.91,11.95,2385800,10.52
2013-03-15,11.85,11.88,11.66,11.77,2420000,10.36
2013-03-14,11.95,12.04,11.78,11.84,2027000,10.42
2013-03-13,11.84,12.05,11.84,11.93,1410300,10.50
2013-03-12,12.04,12.05,11.79,11.85,1053800,10.43
2013-03-11,12.05,12.19,11.85,12.08,1144000,10.63
2013-03-08,12.18,12.24,11.89,12.09,1019900,10.64
2013-03-07,11.78,12.05,11.75,12.05,1918600,10.60
2013-03-06,12.28,12.29,11.74,11.76,1808300,10.35
2013-03-05,12.28,12.36,12.02,12.29,1980900,10.81
2013-03-04,11.89,12.39,11.88,12.17,2373400,10.71
2013-03-01,11.86,11.99,11.74,11.95,2316400,10.52
2013-02-28,11.76,12.09,11.75,11.97,3132700,10.53
2013-02-27,11.83,11.96,11.75,11.86,2283700,10.44
2013-02-26,11.66,11.91,11.50,11.76,3127100,10.35
2013-02-25,12.30,12.30,11.55,11.60,4621300,10.21
2013-02-22,11.86,12.69,11.83,12.27,8289100,10.80
2013-02-21,12.03,12.29,11.40,11.64,8946600,10.24
2013-02-20,13.57,14.92,11.22,12.09,47401200,10.64
2013-02-19,13.57,14.08,12.78,13.00,15617500,11.44
2013-02-15,10.95,11.12,10.68,10.75,2453900,9.46
2013-02-14,10.76,10.93,10.69,10.89,1568400,9.58
2013-02-13,11.00,11.09,10.75,10.79,1150600,9.49
2013-02-12,10.71,11.12,10.70,11.01,1644500,9.67
2013-02-11,10.64,10.72,10.50,10.71,1069200,9.41
2013-02-08,10.76,10.91,10.59,10.67,953900,9.37
2013-02-07,11.16,11.16,10.55,10.72,1827900,9.42
2013-02-06,11.16,11.28,10.91,11.17,2149900,9.81
2013-02-05,11.04,11.45,10.92,11.20,1947800,9.84
2013-02-04,10.69,11.07,10.61,10.99,1686900,9.65
2013-02-01,10.82,10.85,10.69,10.77,1345300,9.46
2013-01-31,10.50,10.82,10.46,10.78,1226000,9.47
2013-01-30,10.77,10.78,10.50,10.51,841700,9.23
2013-01-29,10.95,10.97,10.62,10.76,931300,9.45
2013-01-28,10.63,10.99,10.62,10.92,1198300,9.59
2013-01-25,10.75,10.81,10.47,10.61,1042600,9.32
2013-01-24,10.62,11.17,10.62,10.75,1670500,9.44
2013-01-23,11.13,11.17,10.94,11.04,1205800,9.70
2013-01-22,11.10,11.19,10.97,11.14,1330400,9.78
2013-01-18,10.61,11.15,10.61,11.07,1804000,9.72
2013-01-17,10.89,10.98,10.60,10.62,1798800,9.33
2013-01-16,10.55,10.91,10.50,10.87,2488500,9.55
2013-01-15,9.78,10.62,9.75,10.56,1406100,9.28
2013-01-14,9.85,9.94,9.58,9.92,1420600,8.71
2013-01-11,9.88,9.95,9.78,9.86,780100,8.66
2013-01-10,10.01,10.13,9.76,9.90,1247800,8.70
2013-01-09,10.22,10.34,9.98,9.98,1229900,8.77
2013-01-08,9.77,10.44,9.73,10.18,2472000,8.94
2013-01-07,9.97,9.97,9.67,9.70,1080600,8.52
2013-01-04,9.64,10.04,9.52,10.02,1266600,8.80
2013-01-03,9.72,9.91,9.50,9.60,1558200,8.43
2013-01-02,10.05,10.18,9.65,9.69,1481900,8.51
2012-12-31,9.26,9.79,9.23,9.76,1023700,8.57
2012-12-28,9.40,9.48,9.20,9.29,874000,8.16
2012-12-27,9.41,9.53,9.15,9.50,1091500,8.34
2012-12-26,9.68,9.73,9.21,9.41,1098200,8.26
2012-12-24,9.74,9.90,9.67,9.68,335600,8.50
2012-12-21,9.78,9.88,9.43,9.73,2135600,8.55
2012-12-20,9.93,9.94,9.77,9.92,1074900,8.71
2012-12-19,10.02,10.13,9.88,9.92,890300,8.71
2012-12-18,9.84,10.22,9.82,10.03,1350500,8.81
2012-12-17,9.66,9.90,9.61,9.83,1190500,8.63
2012-12-14,9.84,9.85,9.56,9.65,773000,8.48
2012-12-13,9.60,9.74,9.53,9.65,1040800,8.48
2012-12-12,9.77,9.80,9.56,9.57,1371500,8.41
2012-12-11,9.65,9.81,9.63,9.70,959100,8.52
2012-12-10,9.70,9.72,9.50,9.53,934800,8.37
2012-12-07,9.81,9.88,9.62,9.70,790500,8.52
2012-12-06,9.65,9.86,9.64,9.75,1165000,8.56
2012-12-05,9.97,10.00,9.67,9.69,967600,8.51
2012-12-04,9.96,9.97,9.81,9.92,1719000,8.71
2012-12-03,10.10,10.13,9.84,9.94,1261000,8.73
2012-11-30,10.08,10.10,9.90,10.00,1859700,8.78
2012-11-29,10.20,10.28,9.96,10.07,1753700,8.84
2012-11-28,9.93,10.21,9.80,10.16,1986200,8.92
2012-11-27,9.63,10.19,9.61,10.03,2562200,8.81
2012-11-26,9.53,9.61,9.36,9.61,1863500,8.44
2012-11-23,9.54,9.59,9.36,9.55,735100,8.39
2012-11-21,9.43,9.50,9.22,9.49,1466700,8.34
2012-11-20,9.38,9.48,9.20,9.41,2123600,8.26
2012-11-19,9.34,9.50,9.20,9.39,2867100,8.25
2012-11-16,10.00,10.62,9.07,9.22,9665700,8.10
2012-11-15,8.23,8.32,8.10,8.23,1336300,7.23
2012-11-14,8.53,8.65,8.21,8.23,2553400,7.23
2012-11-13,7.99,8.53,7.93,8.41,1743200,7.39
2012-11-12,8.00,8.16,7.90,8.05,1512600,7.05
2012-11-09,7.92,8.01,7.67,7.97,1350400,6.98
2012-11-08,8.21,8.35,7.92,8.00,1032400,7.01
2012-11-07,8.16,8.44,8.05,8.17,2543900,7.16
2012-11-06,7.54,8.77,7.46,8.33,5723100,7.30
