Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,43.54,44.18,43.39,43.49,1471800,43.49
2013-11-19,43.74,43.86,43.45,43.54,1053800,43.54
2013-11-18,43.98,44.18,43.51,43.67,1152200,43.67
2013-11-15,43.46,44.08,43.45,44.06,1131400,44.06
2013-11-14,43.75,43.89,43.16,43.43,1508500,43.43
2013-11-13,43.70,43.81,43.26,43.56,1482300,43.56
2013-11-12,44.68,44.78,44.01,44.22,1376600,43.78
2013-11-11,44.62,45.01,44.31,44.81,1158900,44.36
2013-11-08,44.54,44.66,43.79,44.62,1823200,44.18
2013-11-07,45.06,45.10,44.52,44.62,1465600,44.18
2013-11-06,45.16,45.52,44.87,44.94,1147500,44.49
2013-11-05,45.71,45.79,44.91,45.02,1782300,44.57
2013-11-04,46.23,46.27,45.66,45.97,1083200,45.51
2013-11-01,45.48,46.06,45.38,46.00,2423200,45.54
2013-10-31,45.52,45.96,45.09,45.40,3261700,44.95
2013-10-30,44.45,45.96,44.32,45.40,13922000,44.95
2013-10-29,47.43,48.32,46.09,46.37,2355300,45.91
2013-10-28,50.00,50.08,48.95,49.63,967200,49.14
2013-10-25,49.55,50.00,49.04,49.91,764300,49.41
2013-10-24,49.37,49.62,49.17,49.48,380200,48.99
2013-10-23,49.22,49.35,48.95,49.27,375600,48.78
2013-10-22,48.92,49.49,48.76,49.35,650000,48.86
2013-10-21,48.86,48.93,48.43,48.82,764300,48.33
2013-10-18,49.36,49.39,48.61,48.82,665000,48.33
2013-10-17,48.38,49.25,48.35,49.09,783000,48.60
2013-10-16,47.76,48.58,47.56,48.53,1033200,48.05
2013-10-15,47.48,47.84,47.22,47.41,559900,46.94
2013-10-14,47.22,47.81,47.02,47.74,738800,47.26
2013-10-11,46.77,47.58,46.63,47.55,646100,47.08
2013-10-10,46.00,47.05,45.92,47.00,796400,46.53
2013-10-09,45.50,45.92,45.35,45.59,690400,45.14
2013-10-08,46.18,46.28,45.38,45.40,862100,44.95
2013-10-07,46.11,46.55,45.95,46.14,550300,45.68
2013-10-04,46.56,46.74,45.97,46.38,727100,45.92
2013-10-03,47.26,47.35,46.17,46.58,898700,46.12
2013-10-02,47.34,47.70,47.17,47.45,695100,46.98
2013-10-01,47.01,47.98,46.88,47.74,923300,47.26
2013-09-30,46.77,47.12,46.57,46.83,655400,46.36
2013-09-27,47.12,47.38,46.74,47.07,439600,46.60
2013-09-26,46.65,47.32,46.02,47.30,782500,46.83
2013-09-25,47.11,47.45,46.49,46.68,705400,46.22
2013-09-24,47.06,47.51,46.96,47.05,1124800,46.58
2013-09-23,47.46,47.87,46.94,46.94,760200,46.47
2013-09-20,48.80,48.85,47.71,47.78,1420900,47.30
2013-09-19,47.90,49.06,47.82,48.85,1498600,48.36
2013-09-18,46.02,47.93,45.76,47.87,1320300,47.39
2013-09-17,46.52,46.80,46.16,46.33,830000,45.87
2013-09-16,46.87,47.07,46.45,46.59,1279400,46.13
2013-09-13,45.92,46.31,45.81,46.05,441300,45.59
2013-09-12,46.00,46.13,45.65,45.94,666200,45.48
2013-09-11,45.65,46.04,45.49,46.04,745400,45.58
2013-09-10,45.89,45.96,45.44,45.73,699500,45.27
2013-09-09,45.02,45.75,45.02,45.75,848800,45.29
2013-09-06,44.25,44.97,44.23,44.66,799000,44.22
2013-09-05,43.88,44.30,43.88,44.01,619600,43.57
2013-09-04,43.66,43.89,43.32,43.82,1131700,43.38
2013-09-03,44.75,44.94,43.15,43.72,1161500,43.28
2013-08-30,44.80,45.02,44.19,44.31,975800,43.87
2013-08-29,44.13,44.59,43.93,44.55,735100,44.11
2013-08-28,44.58,44.58,44.14,44.16,606200,43.72
2013-08-27,44.60,44.89,44.30,44.47,647000,44.03
2013-08-26,45.02,45.25,44.86,44.87,585600,44.42
2013-08-23,44.90,45.20,44.64,45.11,501000,44.66
2013-08-22,44.68,44.92,44.24,44.74,614100,44.29
2013-08-21,44.49,45.07,44.00,44.51,756000,44.07
2013-08-20,43.80,44.70,43.80,44.59,1100900,44.15
2013-08-19,44.35,44.54,43.73,43.74,850600,43.30
2013-08-16,44.77,44.97,44.23,44.50,2734000,44.06
2013-08-15,45.79,45.88,44.71,44.90,915100,44.45
2013-08-14,45.97,46.51,45.90,46.28,673400,45.82
2013-08-13,47.20,47.20,46.12,46.34,911700,45.44
2013-08-12,47.50,47.60,47.08,47.18,600800,46.27
2013-08-09,47.16,47.94,47.03,47.73,673200,46.81
2013-08-08,47.51,47.63,47.10,47.16,575000,46.25
2013-08-07,47.60,47.81,47.00,47.35,1009200,46.43
2013-08-06,48.06,48.27,47.61,47.66,868400,46.74
2013-08-05,48.37,48.59,47.88,48.06,554200,47.13
2013-08-02,48.58,48.83,48.36,48.48,561100,47.54
2013-08-01,49.01,49.21,48.47,48.65,655700,47.71
2013-07-31,49.39,49.50,48.40,48.78,726200,47.84
2013-07-30,49.38,49.62,48.74,49.20,618000,48.25
2013-07-29,48.92,49.42,48.64,48.69,527100,47.75
2013-07-26,48.85,49.15,48.32,49.11,510900,48.16
2013-07-25,48.55,49.08,48.51,48.98,457500,48.03
2013-07-24,49.71,49.71,48.37,48.75,579900,47.81
2013-07-23,49.75,49.79,49.07,49.53,366200,48.57
2013-07-22,49.66,50.06,49.52,49.69,450100,48.73
2013-07-19,49.78,49.78,49.26,49.70,404100,48.74
2013-07-18,49.01,49.75,48.91,49.74,477800,48.78
2013-07-17,49.04,49.13,48.74,48.99,649700,48.04
2013-07-16,48.57,48.95,48.53,48.90,686200,47.95
2013-07-15,48.41,48.65,48.18,48.64,585700,47.70
2013-07-12,48.53,48.57,48.20,48.48,398400,47.54
2013-07-11,47.91,48.60,47.78,48.53,765300,47.59
2013-07-10,47.35,47.60,46.99,47.41,600700,46.49
2013-07-09,47.08,47.81,47.00,47.48,669600,46.56
2013-07-08,46.58,47.22,46.47,46.98,1060000,46.07
2013-07-05,46.64,46.79,45.50,46.48,626400,45.58
2013-07-03,46.43,46.69,46.12,46.39,512400,45.49
2013-07-02,46.01,47.13,46.00,46.65,704600,45.75
2013-07-01,46.94,47.01,46.03,46.12,701000,45.23
2013-06-28,46.58,47.06,46.09,46.67,1028700,45.77
2013-06-27,46.30,46.92,46.25,46.64,728100,45.74
2013-06-26,46.02,46.59,45.81,46.07,1315600,45.18
2013-06-25,45.41,46.09,44.97,45.84,652700,44.95
2013-06-24,44.62,45.94,44.01,45.01,908200,44.14
2013-06-21,44.89,45.66,44.34,45.29,1484900,44.41
2013-06-20,44.74,45.78,44.14,44.51,2264000,43.65
2013-06-19,47.41,47.52,45.22,45.23,1798700,44.35
2013-06-18,47.50,47.91,47.26,47.44,635800,46.52
2013-06-17,47.59,47.90,47.24,47.55,806200,46.63
2013-06-14,47.68,48.51,47.22,47.28,697200,46.37
2013-06-13,46.68,47.89,46.26,47.79,843200,46.87
2013-06-12,47.84,47.87,46.66,46.70,1211100,45.80
2013-06-11,47.39,47.81,47.02,47.52,863100,46.60
2013-06-10,48.35,48.36,47.40,47.71,952800,46.79
2013-06-07,47.81,48.36,47.07,48.32,1135200,47.38
2013-06-06,46.97,47.58,46.59,47.56,1861800,46.64
2013-06-05,47.36,47.78,46.79,46.97,1196400,46.06
2013-06-04,48.56,48.66,47.49,47.51,1132200,46.59
2013-06-03,48.36,48.88,47.92,48.35,1180300,47.41
2013-05-31,47.69,48.47,47.37,47.70,1619000,46.78
2013-05-30,48.96,49.04,47.19,47.77,2371600,46.85
2013-05-29,50.35,50.36,48.61,49.01,1723300,48.06
2013-05-28,52.34,52.41,50.75,50.76,1124600,49.78
2013-05-24,52.05,52.13,51.53,51.83,711400,50.83
2013-05-23,52.76,53.03,52.20,52.29,1088100,51.28
2013-05-22,54.30,54.62,53.10,53.25,917100,52.22
2013-05-21,54.39,54.50,54.29,54.32,745900,53.27
2013-05-20,54.06,54.45,53.91,54.40,708200,53.35
2013-05-17,53.27,54.07,53.11,54.04,1084600,52.99
2013-05-16,53.01,53.44,53.01,53.17,572900,52.14
2013-05-15,52.75,53.25,52.15,53.25,735600,52.22
2013-05-14,52.56,53.15,52.50,53.00,628000,51.54
2013-05-13,52.20,52.65,52.20,52.48,604600,51.04
2013-05-10,52.20,52.49,51.97,52.21,428400,50.77
2013-05-09,52.20,52.37,51.92,52.07,549200,50.64
2013-05-08,51.55,52.13,51.45,52.12,673600,50.69
2013-05-07,51.36,51.61,51.36,51.50,584600,50.08
2013-05-06,51.13,51.35,51.00,51.35,639700,49.94
2013-05-03,51.26,51.47,51.08,51.13,1016500,49.72
2013-05-02,51.00,51.57,50.88,50.93,666600,49.53
2013-05-01,51.22,51.52,50.68,50.82,1207200,49.42
2013-04-30,51.91,51.91,49.40,51.54,1913200,50.12
2013-04-29,53.36,53.68,53.12,53.30,777300,51.83
2013-04-26,53.44,53.67,53.02,53.14,540800,51.68
2013-04-25,53.50,53.66,53.10,53.40,858900,51.93
2013-04-24,53.10,53.61,52.90,53.38,840700,51.91
2013-04-23,52.52,53.10,52.50,52.95,829100,51.49
2013-04-22,52.28,52.68,52.10,52.51,683300,51.07
2013-04-19,51.43,52.34,51.31,52.29,856500,50.85
2013-04-18,50.75,51.43,50.39,51.28,963300,49.87
2013-04-17,51.27,51.31,50.06,50.67,989900,49.28
2013-04-16,50.55,51.49,49.76,51.41,964500,50.00
2013-04-15,51.84,51.97,50.31,50.31,1165100,48.93
2013-04-12,51.80,52.02,51.67,51.99,552900,50.56
2013-04-11,51.83,52.28,51.76,51.88,654000,50.45
2013-04-10,51.53,52.00,51.46,51.80,701200,50.38
2013-04-09,52.05,52.16,51.20,51.48,694400,50.06
2013-04-08,51.23,51.90,51.01,51.88,471600,50.45
2013-04-05,51.14,51.29,50.72,51.23,717900,49.82
2013-04-04,51.09,51.62,50.97,51.60,573400,50.18
2013-04-03,52.00,52.13,50.79,51.05,1307000,49.65
2013-04-02,52.03,52.25,51.75,51.99,773700,50.56
2013-04-01,52.07,52.64,51.53,51.78,956600,50.36
2013-03-28,51.75,52.28,51.44,52.20,1004200,50.76
2013-03-27,50.74,51.63,50.71,51.60,803700,50.18
2013-03-26,50.42,51.15,50.42,51.10,730200,49.70
2013-03-25,50.56,50.92,50.22,50.33,749600,48.95
2013-03-22,50.35,50.48,50.23,50.48,472800,49.09
2013-03-21,49.95,50.55,49.85,50.19,943700,48.81
2013-03-20,49.94,50.13,49.72,50.12,636700,48.74
2013-03-19,49.66,49.99,49.39,49.66,770500,48.29
2013-03-18,49.31,49.76,49.11,49.63,685600,48.27
2013-03-15,49.69,49.80,49.23,49.77,1073100,48.40
2013-03-14,49.62,49.98,49.49,49.88,732200,48.51
2013-03-13,49.66,49.90,49.53,49.60,588700,48.24
2013-03-12,49.84,49.88,49.43,49.70,634400,48.33
2013-03-11,49.18,49.95,49.10,49.94,964000,48.57
2013-03-08,49.10,49.30,48.76,49.18,446800,47.83
2013-03-07,48.70,49.05,48.69,49.02,726500,47.67
2013-03-06,49.64,49.64,48.71,48.80,653300,47.46
2013-03-05,49.43,49.79,49.22,49.46,587800,48.10
2013-03-04,48.74,49.20,48.55,49.11,651000,47.76
2013-03-01,48.48,48.76,48.05,48.69,812600,47.35
2013-02-28,48.73,48.89,48.49,48.50,656100,47.17
2013-02-27,47.81,48.90,47.73,48.69,801400,47.35
2013-02-26,47.40,47.90,47.26,47.86,834900,46.54
2013-02-25,48.29,48.48,47.27,47.27,961700,45.97
2013-02-22,47.78,48.18,47.78,48.18,717500,46.86
2013-02-21,47.58,47.72,47.10,47.59,825300,46.28
2013-02-20,48.15,48.32,47.68,47.71,584200,46.40
2013-02-19,47.93,48.27,47.93,48.24,798500,46.91
2013-02-15,47.78,48.08,47.70,47.88,662800,46.56
2013-02-14,47.80,47.97,47.67,47.80,555400,46.49
2013-02-13,47.96,48.19,47.10,47.86,465200,46.54
2013-02-12,48.25,48.60,48.16,48.36,575400,46.62
2013-02-11,48.40,48.41,48.08,48.30,461000,46.56
2013-02-08,48.21,48.48,48.07,48.44,525800,46.70
2013-02-07,48.56,48.59,48.03,48.20,623000,46.47
2013-02-06,48.00,48.58,48.00,48.54,699500,46.80
2013-02-05,48.25,48.43,48.10,48.30,703300,46.56
2013-02-04,48.06,48.27,47.97,48.14,657100,46.41
2013-02-01,48.34,49.09,48.10,48.19,783400,46.46
2013-01-31,48.22,48.48,47.69,48.18,666900,46.45
2013-01-30,48.93,49.00,48.13,48.35,858400,46.61
2013-01-29,48.88,49.69,48.30,49.09,1772100,47.33
2013-01-28,47.40,48.00,47.16,47.31,996400,45.61
2013-01-25,48.26,48.26,47.27,47.31,1337300,45.61
2013-01-24,47.76,48.09,47.52,48.00,770200,46.27
2013-01-23,47.34,47.75,47.33,47.63,637100,45.92
2013-01-22,47.49,47.56,47.07,47.56,697600,45.85
2013-01-18,47.17,47.32,46.80,47.32,925800,45.62
2013-01-17,46.92,47.18,46.84,47.04,782000,45.35
2013-01-16,46.90,46.98,46.65,46.74,614300,45.06
2013-01-15,46.48,47.06,46.41,47.01,711100,45.32
2013-01-14,46.46,46.69,46.21,46.67,427100,44.99
2013-01-11,46.86,46.86,46.17,46.39,551900,44.72
2013-01-10,46.50,46.68,46.25,46.60,567600,44.93
2013-01-09,46.02,46.27,45.94,46.27,522000,44.61
2013-01-08,45.90,46.06,45.46,45.94,466100,44.29
2013-01-07,45.87,46.05,45.75,45.98,604400,44.33
2013-01-04,45.54,46.00,45.29,45.99,544800,44.34
2013-01-03,45.37,45.73,45.12,45.51,829500,43.87
2013-01-02,44.94,45.43,44.73,45.40,1103100,43.77
