/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,84.31,84.98,84.24,84.69,7680900,84.69
2013-11-19,84.31,84.59,84.21,84.34,6827900,84.34
2013-11-18,84.79,84.94,84.18,84.57,8507300,84.57
2013-11-15,84.17,84.92,84.16,84.84,9664700,84.84
2013-11-14,83.43,84.46,83.43,84.32,7580500,84.32
2013-11-13,82.57,83.50,82.46,83.50,7581600,83.50
2013-11-12,82.23,83.04,82.12,82.80,8201700,82.80
2013-11-11,82.35,82.68,82.02,82.26,6173600,82.26
2013-11-08,82.28,82.57,81.67,82.51,9768400,82.51
2013-11-07,82.91,83.10,82.11,82.32,10087700,82.32
2013-11-06,81.64,83.10,81.33,82.81,9388600,82.81
2013-11-05,81.13,81.74,80.85,81.43,4949300,81.43
2013-11-04,81.46,81.73,80.91,81.33,5460100,81.33
2013-11-01,80.68,81.33,80.64,81.15,6802300,81.15
2013-10-31,81.20,81.60,80.72,80.75,7786800,80.75
2013-10-30,82.53,82.56,81.23,81.52,6490000,81.52
2013-10-29,81.46,82.62,81.10,82.46,9482900,82.46
2013-10-28,80.11,81.86,79.95,81.30,9820900,81.30
2013-10-25,80.55,80.72,79.51,80.00,9606500,80.00
2013-10-24,80.77,80.95,80.25,80.61,7521100,80.61
2013-10-23,80.34,81.25,80.25,80.91,8960700,80.91
2013-10-22,79.31,80.61,79.28,80.38,9572300,80.38
2013-10-21,79.27,79.32,78.44,78.97,6478700,78.97
2013-10-18,79.39,79.57,78.78,79.41,7958500,79.41
2013-10-17,78.19,79.47,77.98,79.42,8671300,79.42
2013-10-16,77.35,78.49,77.26,78.34,6562600,78.34
2013-10-15,78.38,78.61,77.44,77.60,11192500,77.00
2013-10-14,78.01,78.80,77.93,78.74,6326100,78.13
2013-10-11,78.00,78.49,77.81,78.48,6082200,77.87
2013-10-10,77.41,77.92,77.15,77.89,10121900,77.29
2013-10-09,76.58,77.16,76.10,76.95,8470700,76.35
2013-10-08,76.39,77.00,76.05,76.33,9656600,75.74
2013-10-07,75.66,76.10,75.48,75.65,6373300,75.06
2013-10-04,75.98,76.12,75.51,76.02,4984700,75.43
2013-10-03,75.89,76.14,75.20,75.84,9251600,75.25
2013-10-02,75.91,76.14,75.42,75.93,8522900,75.34
2013-10-01,75.52,76.50,75.44,76.16,8076100,75.57
2013-09-30,76.80,77.16,75.35,75.59,15028300,75.00
2013-09-27,77.75,77.75,76.77,77.21,6551300,76.61
2013-09-26,77.91,78.14,77.62,78.05,4632600,77.44
2013-09-25,78.84,79.00,77.71,77.72,7589300,77.12
2013-09-24,78.97,79.48,78.59,78.62,7692100,78.01
2013-09-23,79.20,79.58,78.67,79.28,6304900,78.66
2013-09-20,80.09,80.18,79.39,79.39,11146100,78.77
2013-09-19,80.50,80.53,79.78,80.12,8157300,79.50
2013-09-18,79.06,80.48,78.53,80.30,10372100,79.68
2013-09-17,79.96,80.25,79.64,79.83,5457700,79.21
2013-09-16,79.72,80.21,79.71,80.16,7512800,79.54
2013-09-13,78.44,79.18,78.41,79.05,4894100,78.44
2013-09-12,78.40,78.80,78.17,78.26,6944900,77.65
2013-09-11,77.26,78.27,77.25,78.27,7049800,77.66
2013-09-10,78.50,78.64,77.78,77.95,6650200,77.35
2013-09-09,77.37,78.20,77.37,78.16,6089300,77.55
2013-09-06,77.12,77.61,76.40,77.15,6977400,76.55
2013-09-05,77.58,77.63,76.83,77.14,7163200,76.54
2013-09-04,77.52,77.75,77.12,77.49,6031300,76.89
2013-09-03,78.27,78.42,77.44,77.75,6743800,77.15
