Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,9.59,9.70,9.56,9.61,12090600,9.61
2013-11-19,9.67,9.67,9.52,9.58,13624400,9.58
2013-11-18,9.86,9.89,9.65,9.66,12320000,9.66
2013-11-15,9.84,9.90,9.78,9.85,17799900,9.85
2013-11-14,9.72,9.82,9.64,9.81,12771100,9.81
2013-11-13,9.62,9.71,9.56,9.67,8358900,9.67
2013-11-12,9.76,9.80,9.59,9.64,10934000,9.64
2013-11-11,9.76,9.84,9.69,9.80,10476800,9.80
2013-11-08,9.30,9.78,9.29,9.78,37095500,9.78
2013-11-07,9.48,9.50,9.25,9.26,18588100,9.26
2013-11-06,9.59,9.59,9.35,9.45,21523400,9.45
2013-11-05,9.44,9.58,9.37,9.54,14482500,9.54
2013-11-04,9.56,9.61,9.45,9.45,12847000,9.45
2013-11-01,9.62,9.75,9.53,9.55,14832000,9.55
2013-10-31,9.55,9.68,9.49,9.63,46873700,9.63
2013-10-30,9.53,9.60,9.49,9.54,16111500,9.54
2013-10-29,9.60,9.63,9.49,9.50,15554200,9.50
2013-10-28,9.51,9.64,9.44,9.56,11539600,9.56
2013-10-25,9.54,9.58,9.40,9.49,16669800,9.49
2013-10-24,9.50,9.56,9.41,9.54,17386300,9.54
2013-10-23,9.59,9.68,9.51,9.59,22468800,9.59
2013-10-22,9.76,9.95,9.53,9.68,51792600,9.68
2013-10-21,10.05,10.13,9.96,10.04,20361200,10.04
2013-10-18,9.95,10.12,9.90,10.11,31126400,10.11
2013-10-17,9.77,9.95,9.72,9.94,16369300,9.94
2013-10-16,9.65,9.83,9.64,9.81,13392200,9.81
2013-10-15,9.70,9.72,9.53,9.57,11439100,9.57
2013-10-14,9.54,9.73,9.50,9.72,12353600,9.72
2013-10-11,9.43,9.65,9.40,9.59,16567100,9.59
2013-10-10,9.42,9.55,9.38,9.47,25179500,9.47
2013-10-09,9.25,9.33,9.19,9.28,14863400,9.28
2013-10-08,9.28,9.41,9.21,9.22,14940800,9.22
2013-10-07,9.33,9.39,9.27,9.27,9151500,9.27
2013-10-04,9.32,9.47,9.31,9.43,11716900,9.43
