/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,111.18,111.76,110.30,110.96,424300,110.96
2013-11-19,111.61,112.13,110.82,111.12,564300,111.12
2013-11-18,112.61,112.75,111.00,111.45,890900,111.45
2013-11-15,112.91,113.75,111.93,111.98,1004000,111.98
2013-11-14,113.27,113.87,112.53,112.60,611600,112.60
2013-11-13,112.47,114.07,112.02,113.75,925400,113.17
2013-11-12,112.48,113.40,111.91,112.95,638600,112.37
2013-11-11,111.82,113.18,111.42,112.69,738200,112.12
2013-11-08,111.32,111.89,110.87,111.72,1154600,111.15
2013-11-07,111.11,113.95,110.01,111.56,1444900,110.99
2013-11-06,109.06,110.13,108.69,109.03,807600,108.47
2013-11-05,109.08,109.57,108.12,108.79,653700,108.24
2013-11-04,110.01,110.81,109.54,109.77,696900,109.21
2013-11-01,110.63,111.22,108.84,109.43,716200,108.87
2013-10-31,110.09,112.26,109.64,110.41,734300,109.85
2013-10-30,111.13,111.66,109.97,110.06,565700,109.50
2013-10-29,110.23,111.03,109.89,110.91,940600,110.34
2013-10-28,110.30,110.88,109.34,109.69,653500,109.13
2013-10-25,111.36,111.88,109.90,110.60,719600,110.04
2013-10-24,110.45,112.08,110.34,111.75,554300,111.18
2013-10-23,109.73,110.43,109.01,110.43,672400,109.87
2013-10-22,110.81,111.87,109.95,110.26,497700,109.70
2013-10-21,110.40,110.88,109.46,110.13,419100,109.57
2013-10-18,110.19,110.69,108.76,110.42,851300,109.86
2013-10-17,105.59,108.20,105.59,108.08,555200,107.53
2013-10-16,106.31,106.90,105.82,106.37,1108100,105.83
2013-10-15,108.55,108.55,106.07,106.35,726200,105.81
2013-10-14,108.11,108.96,107.84,108.77,574100,108.22
2013-10-11,108.02,108.68,107.57,108.59,693800,108.04
2013-10-10,105.73,108.77,105.34,108.36,667800,107.81
2013-10-09,105.76,106.45,103.95,104.39,1156100,103.86
2013-10-08,107.10,107.88,105.68,105.76,759000,105.22
2013-10-07,106.01,107.58,105.91,106.68,574800,106.14
2013-10-04,106.57,107.60,106.06,107.13,471800,106.58
2013-10-03,106.91,107.35,104.88,106.24,557600,105.70
2013-10-02,107.11,107.70,102.98,106.96,732900,106.41
2013-10-01,107.24,108.77,106.73,107.96,661600,107.41
2013-09-30,105.62,107.69,105.62,106.94,657700,106.39
2013-09-27,107.65,107.93,106.77,107.18,454800,106.63
2013-09-26,107.91,108.39,107.28,108.15,388800,107.60
2013-09-25,106.81,108.42,106.73,107.35,597300,106.80
2013-09-24,107.10,108.29,106.61,107.20,610800,106.65
2013-09-23,107.20,107.77,106.46,106.93,571600,106.38
2013-09-20,108.72,109.42,107.21,107.40,915900,106.85
2013-09-19,109.10,109.72,108.40,109.13,669300,108.57
2013-09-18,106.09,108.62,105.87,108.47,701200,107.92
2013-09-17,106.40,107.37,105.38,106.35,901700,105.81
2013-09-16,106.93,107.63,106.09,106.97,772600,106.42
2013-09-13,104.56,105.24,104.08,105.04,412400,104.50
2013-09-12,103.90,109.22,103.14,104.50,718700,103.97
2013-09-11,103.39,103.81,102.18,103.74,1092300,103.21
2013-09-10,103.00,105.22,102.69,104.02,1002200,103.49
