/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,7.51,7.75,7.32,7.35,23069800,7.35
2013-11-19,7.67,7.69,7.44,7.49,11611000,7.49
2013-11-18,7.44,7.80,7.44,7.64,31637500,7.64
2013-11-15,7.10,7.43,7.07,7.42,22387600,7.42
2013-11-14,7.04,7.12,7.00,7.11,8674900,7.11
2013-11-13,6.94,7.06,6.93,7.06,6455600,7.06
2013-11-12,7.01,7.01,6.90,6.99,8642900,6.99
2013-11-11,7.09,7.09,6.94,6.98,7416500,6.98
2013-11-08,7.00,7.09,6.90,7.07,19935300,7.07
2013-11-07,7.09,7.12,6.81,6.99,18458100,6.99
2013-11-06,7.21,7.28,7.01,7.07,16756900,7.07
2013-11-05,7.07,7.36,6.90,7.19,49412800,7.19
2013-11-04,6.91,7.12,6.90,7.03,19481700,7.03
2013-11-01,6.73,6.87,6.73,6.87,13932700,6.87
2013-10-31,6.85,6.89,6.67,6.73,22001300,6.73
2013-10-30,6.76,7.00,6.41,6.93,52941700,6.93
2013-10-29,6.60,6.82,6.60,6.68,22954000,6.68
2013-10-28,6.48,6.68,6.46,6.61,21255800,6.61
2013-10-25,6.51,6.53,6.39,6.45,12521800,6.45
2013-10-24,6.39,6.53,6.36,6.52,13992900,6.52
2013-10-23,6.37,6.44,6.30,6.43,9675200,6.43
2013-10-22,6.39,6.46,6.30,6.39,10193700,6.39
2013-10-21,6.45,6.48,6.33,6.35,5440100,6.35
2013-10-18,6.46,6.55,6.30,6.40,15582400,6.40
2013-10-17,6.36,6.42,6.24,6.42,13360200,6.42
2013-10-16,6.10,6.35,6.09,6.30,23866000,6.30
2013-10-15,6.11,6.11,5.95,6.03,18542700,6.03
2013-10-14,6.00,6.09,6.00,6.03,8172900,6.03
2013-10-11,6.03,6.15,5.93,6.00,17832400,6.00
2013-10-10,6.04,6.08,5.92,5.97,23754400,5.97
2013-10-09,6.14,6.17,5.99,6.00,15925900,6.00
2013-10-08,6.38,6.43,6.11,6.13,19674700,6.13
2013-10-07,6.41,6.45,6.36,6.38,6762500,6.38
2013-10-04,6.29,6.44,6.26,6.44,10848500,6.44
2013-10-03,6.34,6.37,6.25,6.29,20216400,6.29
2013-10-02,6.26,6.35,6.22,6.35,9581400,6.35
2013-10-01,6.25,6.40,6.19,6.29,14919300,6.29
2013-09-30,6.09,6.27,6.04,6.22,19916300,6.22
2013-09-27,6.28,6.32,6.13,6.16,7341000,6.16
2013-09-26,6.18,6.33,6.18,6.30,11247900,6.30
2013-09-25,6.28,6.30,6.04,6.19,19995500,6.19
2013-09-24,6.14,6.24,6.05,6.19,12635500,6.19
2013-09-23,6.19,6.20,6.02,6.15,30035400,6.15
2013-09-20,6.48,6.49,6.18,6.26,28682200,6.26
2013-09-19,6.46,6.50,6.30,6.49,13184600,6.49
2013-09-18,6.37,6.45,6.25,6.44,24870300,6.44
2013-09-17,6.59,6.60,6.37,6.39,29793500,6.39
2013-09-16,6.74,6.83,6.61,6.64,15762100,6.64
2013-09-13,6.70,6.87,6.64,6.72,17339100,6.72
2013-09-12,6.42,6.83,6.42,6.69,24029000,6.69
2013-09-11,6.35,6.53,6.32,6.50,19568900,6.50
2013-09-10,6.38,6.42,6.26,6.33,28672600,6.33
2013-09-09,6.44,6.51,6.32,6.37,15189900,6.37
2013-09-06,6.57,6.57,6.40,6.47,14230000,6.47
2013-09-05,6.63,6.68,6.45,6.48,12664300,6.48
2013-09-04,6.66,6.72,6.58,6.65,9550600,6.65
2013-09-03,6.78,6.86,6.63,6.68,9261900,6.68
2013-08-30,6.82,6.82,6.54,6.71,15719900,6.71
2013-08-29,6.66,6.84,6.65,6.76,19073100,6.76
2013-08-28,6.69,6.74,6.65,6.66,13281900,6.66
2013-08-27,6.90,6.91,6.71,6.75,22131200,6.75
2013-08-26,6.93,6.98,6.89,6.91,8599100,6.91
2013-08-23,6.93,6.98,6.90,6.96,6136400,6.96
2013-08-22,6.95,7.00,6.90,6.92,6942200,6.92
2013-08-21,6.90,6.97,6.90,6.96,11752800,6.96
2013-08-20,6.89,6.98,6.89,6.97,9805700,6.97
2013-08-19,6.95,6.97,6.81,6.91,17064900,6.91
2013-08-16,6.95,7.04,6.91,6.92,16087100,6.92
2013-08-15,6.96,7.01,6.94,6.96,16386700,6.96
2013-08-14,7.07,7.10,6.96,7.00,11912100,7.00
2013-08-13,7.12,7.15,6.95,7.01,16162900,7.01
2013-08-12,7.21,7.21,7.04,7.11,13183000,7.11
2013-08-09,6.90,7.26,6.89,7.25,27076500,7.25
2013-08-08,6.95,6.98,6.80,6.94,12792400,6.94
2013-08-07,6.98,7.03,6.71,6.92,19844900,6.92
2013-08-06,6.90,7.04,6.89,6.97,43648500,6.97
2013-08-05,6.58,6.90,6.50,6.88,31059300,6.88
2013-08-02,6.41,6.77,6.40,6.67,42126800,6.67
2013-08-01,6.05,6.46,6.00,6.38,53852700,6.38
2013-07-31,6.13,6.17,5.96,5.96,32344400,5.96
2013-07-30,5.84,6.17,5.81,6.16,66848200,6.16
2013-07-29,5.80,5.84,5.65,5.74,19666800,5.74
2013-07-26,5.83,5.85,5.73,5.74,18111100,5.74
2013-07-25,5.80,5.84,5.70,5.82,16026200,5.82
2013-07-24,5.93,5.97,5.77,5.77,23980900,5.77
2013-07-23,5.95,5.96,5.61,5.85,45276500,5.85
2013-07-22,6.12,6.12,5.90,5.92,27979700,5.92
2013-07-19,6.01,6.14,6.00,6.07,23539600,6.07
2013-07-18,6.19,6.24,5.97,6.05,42165900,6.05
2013-07-17,6.46,6.48,6.20,6.25,64456300,6.25
2013-07-16,6.79,6.82,6.41,6.48,40198200,6.48
2013-07-15,6.64,6.75,6.47,6.72,43097300,6.72
2013-07-12,6.45,7.14,6.38,6.45,258055200,6.45
2013-07-11,6.00,6.31,5.91,6.28,40009800,6.28
