/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,42.17,42.18,41.33,41.40,6644600,41.40
2013-11-19,42.35,42.47,42.04,42.07,5259800,42.07
2013-11-18,42.42,42.45,42.17,42.33,6557200,42.33
2013-11-15,42.32,42.43,41.86,42.42,6590800,42.42
2013-11-14,41.83,42.43,41.81,42.36,7081800,42.36
2013-11-13,41.22,41.76,41.01,41.74,5750100,41.74
2013-11-12,41.42,41.55,41.14,41.39,5275900,41.39
2013-11-11,41.22,41.56,41.03,41.50,4285300,41.50
2013-11-08,41.36,41.37,40.58,41.21,10856200,41.21
2013-11-07,41.82,42.04,41.47,41.52,4689100,41.52
2013-11-06,41.27,41.77,41.20,41.77,4889600,41.77
2013-11-05,41.45,41.91,41.09,41.10,6317100,41.10
2013-11-04,41.31,41.49,41.01,41.49,5523800,41.49
2013-11-01,41.04,41.22,40.82,41.02,4357700,41.02
2013-10-31,41.38,41.40,40.61,40.91,7689400,40.91
2013-10-30,42.20,42.48,41.82,41.90,6787500,41.39
2013-10-29,42.57,42.60,42.16,42.39,4590300,41.88
2013-10-28,42.42,42.64,42.25,42.44,18817000,41.93
2013-10-25,41.97,42.50,41.85,42.46,13307100,41.95
2013-10-24,42.42,42.46,41.90,42.01,16948500,41.50
2013-10-23,42.23,42.94,42.20,42.29,4988000,41.78
2013-10-22,41.90,42.56,41.75,42.28,6337500,41.77
2013-10-21,41.87,41.91,41.48,41.76,3809200,41.25
2013-10-18,42.09,42.20,41.77,41.94,3732800,41.43
2013-10-17,41.22,41.99,40.97,41.91,3820100,41.40
2013-10-16,40.94,41.28,40.85,41.28,4030700,40.78
2013-10-15,41.32,41.37,40.77,40.85,5917500,40.36
2013-10-14,41.52,41.53,40.83,41.35,4493600,40.85
2013-10-11,41.53,41.73,41.37,41.69,3143800,41.19
2013-10-10,41.46,41.59,40.69,41.57,4469700,41.07
2013-10-09,41.12,41.89,41.04,41.27,5990400,40.77
2013-10-08,40.49,41.30,40.49,41.01,5341100,40.51
2013-10-07,40.52,40.72,40.36,40.49,3069400,40.00
2013-10-04,40.61,40.75,40.41,40.66,3197400,40.17
2013-10-03,41.12,41.12,40.55,40.56,8917100,40.07
2013-10-02,41.19,41.35,40.95,41.33,3785300,40.83
2013-10-01,41.30,41.39,41.05,41.28,3055300,40.78
2013-09-30,41.00,41.34,40.97,41.18,4026300,40.68
2013-09-27,41.41,41.62,41.11,41.23,2795300,40.73
2013-09-26,41.77,41.91,41.32,41.53,3335700,41.03
2013-09-25,41.99,42.21,41.72,41.72,3563400,41.22
2013-09-24,42.19,42.31,41.93,42.08,3285400,41.57
2013-09-23,41.53,42.43,41.52,42.17,4262700,41.66
2013-09-20,42.30,42.38,41.71,41.78,5664600,41.27
2013-09-19,42.66,42.84,42.05,42.30,4726300,41.79
2013-09-18,41.17,42.96,41.00,42.63,7768000,42.11
2013-09-17,40.90,41.25,40.90,41.15,3134100,40.65
2013-09-16,41.35,41.60,40.86,40.94,5017100,40.44
2013-09-13,40.83,41.12,40.83,40.96,3330800,40.46
2013-09-12,41.06,41.31,40.70,40.76,7721900,40.27
2013-09-11,41.41,41.43,40.80,41.02,4870000,40.52
2013-09-10,41.32,41.43,41.16,41.41,2785400,40.91
2013-09-09,41.16,41.31,41.00,41.23,3115600,40.73
2013-09-06,40.98,41.50,40.98,41.12,5333200,40.62
2013-09-05,40.83,41.00,40.63,40.75,3590000,40.26
2013-09-04,41.07,41.09,40.65,40.89,4357400,40.40
2013-09-03,41.81,41.94,40.96,41.09,5024500,40.59
2013-08-30,41.50,41.67,41.31,41.62,5548900,41.12
2013-08-29,41.56,41.62,41.34,41.44,3663600,40.94
2013-08-28,41.70,41.86,41.40,41.64,3604500,41.14
2013-08-27,41.70,41.98,41.57,41.68,4564100,41.18
2013-08-26,42.26,42.30,41.85,41.90,2477200,41.39
2013-08-23,42.00,42.41,41.85,42.23,2692100,41.72
2013-08-22,41.68,42.12,41.67,41.93,3359700,41.42
