/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,152.18,153.49,149.82,150.05,1069800,150.05
2013-11-19,152.21,153.31,151.07,152.12,1068500,152.12
2013-11-18,153.54,154.16,152.29,152.44,1185500,152.44
2013-11-15,151.51,153.64,151.51,153.53,1616400,153.53
2013-11-14,149.50,152.63,149.48,152.06,1338900,152.06
2013-11-13,148.15,149.68,147.51,149.68,1454000,149.68
2013-11-12,151.82,152.25,149.19,149.80,1506200,148.60
2013-11-11,153.22,153.74,152.31,152.48,914800,151.26
2013-11-08,154.29,154.29,151.14,153.01,1473800,151.78
2013-11-07,156.84,157.02,154.83,155.32,1354600,154.08
2013-11-06,155.99,157.16,155.66,156.16,1039400,154.91
2013-11-05,155.86,156.32,155.01,155.21,1140400,153.97
2013-11-04,156.88,157.12,155.11,157.12,1080400,155.86
2013-11-01,155.31,156.74,154.54,156.60,1325300,155.35
2013-10-31,155.96,156.96,154.23,154.55,1539700,153.31
2013-10-30,156.05,157.51,155.06,155.86,1199100,154.61
2013-10-29,157.55,158.16,155.93,156.68,1156200,155.42
2013-10-28,159.90,159.90,156.95,157.55,1301500,156.29
2013-10-25,161.12,161.99,157.99,159.70,1459700,158.42
2013-10-24,158.85,160.50,158.06,160.50,1356900,159.21
2013-10-23,158.89,159.87,157.83,158.80,1321600,157.53
2013-10-22,157.57,160.26,157.56,159.75,1415000,158.47
2013-10-21,157.86,157.86,155.94,156.77,1236900,155.51
2013-10-18,159.44,160.00,157.79,158.01,1225500,156.74
2013-10-17,156.88,159.06,155.95,158.60,1439900,157.33
2013-10-16,154.40,157.35,154.09,157.18,1333900,155.92
2013-10-15,153.87,155.42,153.07,153.93,1185700,152.70
2013-10-14,152.97,154.74,152.50,154.32,1100200,153.08
2013-10-11,152.12,154.07,151.86,153.99,1082600,152.76
2013-10-10,150.10,152.77,149.74,152.75,1235400,151.53
2013-10-09,149.78,150.76,148.53,149.26,1020900,148.06
2013-10-08,150.98,151.49,148.95,149.04,982600,147.85
2013-10-07,147.71,151.73,147.60,151.06,1310700,149.85
2013-10-04,148.96,149.74,147.82,149.17,1045200,147.98
2013-10-03,150.72,151.60,147.83,148.78,1488500,147.59
2013-10-02,148.71,151.60,148.57,151.59,1375900,150.38
2013-10-01,148.43,152.18,147.76,149.54,1348100,148.34
2013-09-30,148.86,150.71,147.50,148.23,1199900,147.04
2013-09-27,150.68,151.34,149.16,150.10,1074200,148.90
2013-09-26,150.20,151.32,149.99,151.27,1109200,150.06
2013-09-25,150.10,151.73,148.97,150.24,871300,149.04
2013-09-24,150.73,151.29,149.94,150.00,1233100,148.80
2013-09-23,150.77,152.10,150.00,151.29,1338700,150.08
2013-09-20,154.52,155.02,151.00,151.00,2170900,149.79
2013-09-19,155.21,157.39,154.49,154.52,2323600,153.28
2013-09-18,151.01,154.50,148.39,154.46,2898700,153.22
2013-09-17,151.41,152.76,150.80,151.43,1467600,150.22
2013-09-16,151.54,152.38,150.73,151.71,1392100,150.49
2013-09-13,148.57,149.26,148.21,148.52,909300,147.33
2013-09-12,149.14,150.19,148.11,148.30,997700,147.11
2013-09-11,148.52,149.20,148.17,149.12,1164100,147.93
2013-09-10,149.33,150.00,148.08,148.73,1341200,147.54
2013-09-09,145.54,148.44,145.35,148.44,1888800,147.25
2013-09-06,144.54,146.51,144.54,144.94,1432500,143.78
2013-09-05,144.56,145.14,142.47,142.54,1249400,141.40
2013-09-04,144.29,145.75,143.41,144.57,1542800,143.41
2013-09-03,146.24,146.70,143.13,144.44,1479100,143.28
2013-08-30,146.59,147.27,144.94,145.63,1652800,144.46
2013-08-29,144.56,146.47,144.00,146.34,1217600,145.17
2013-08-28,146.05,146.11,144.64,145.27,1183600,144.11
2013-08-27,146.24,146.73,145.20,145.74,1446600,144.57
2013-08-26,147.71,148.32,146.73,147.13,867100,145.95
2013-08-23,149.44,149.44,146.46,147.50,1482900,146.32
2013-08-22,145.35,146.41,144.01,146.36,1250300,145.19
2013-08-21,145.53,147.40,144.22,144.95,1447600,143.79
2013-08-20,143.74,147.15,143.28,145.93,1257400,144.76
2013-08-19,144.69,145.20,143.20,143.22,1494100,142.07
2013-08-16,149.18,149.69,144.77,145.30,1752300,144.14
2013-08-15,151.41,151.92,149.21,149.69,1365300,148.49
2013-08-14,154.47,154.76,152.51,152.67,1072500,151.45
2013-08-13,157.45,157.46,154.45,155.20,969700,152.82
2013-08-12,157.59,157.66,156.27,157.29,933200,154.87
2013-08-09,156.41,159.02,156.17,157.95,909400,155.52
2013-08-08,157.24,157.59,155.81,156.35,848400,153.95
2013-08-07,156.11,157.03,155.08,156.86,880000,154.45
2013-08-06,156.23,157.36,155.71,156.35,745900,153.95
2013-08-05,157.56,157.65,156.37,156.91,766100,154.50
2013-08-02,159.06,159.33,157.33,157.61,1035600,155.19
2013-08-01,160.83,161.40,158.05,158.97,1394800,156.53
2013-07-31,162.00,162.77,158.50,160.06,2078400,157.60
2013-07-30,164.14,165.55,161.18,161.72,989700,159.24
2013-07-29,165.44,165.79,162.77,163.05,871900,160.55
2013-07-26,163.37,164.57,162.10,164.54,867300,162.01
2013-07-25,163.50,164.17,162.77,163.79,1569300,161.27
2013-07-24,165.94,166.60,162.95,164.41,1753200,161.88
2013-07-23,166.89,167.00,164.71,165.98,821900,163.43
2013-07-22,165.05,166.16,164.51,166.05,705000,163.50
2013-07-19,164.42,165.29,163.63,164.96,1131900,162.43
2013-07-18,162.71,164.72,162.71,164.72,1344500,162.19
2013-07-17,163.25,163.46,162.05,162.80,772300,160.30
2013-07-16,162.92,163.66,162.30,163.00,1251000,160.50
2013-07-15,162.60,163.73,162.22,162.90,857600,160.40
2013-07-12,164.40,164.98,162.20,163.00,995000,160.50
2013-07-11,163.94,165.05,163.07,164.07,1411100,161.55
2013-07-10,161.72,161.72,159.04,160.80,916400,158.33
2013-07-09,160.46,162.05,159.32,161.72,1180200,159.24
2013-07-08,159.86,161.22,159.03,159.22,1213500,156.77
2013-07-05,159.00,159.74,156.37,159.47,1227200,157.02
2013-07-03,161.04,161.04,157.88,158.98,1177500,156.54
2013-07-02,157.66,162.68,157.65,162.63,2403900,160.13
2013-07-01,159.20,160.06,157.33,157.65,1292800,155.23
2013-06-28,161.12,164.63,157.92,157.92,2032800,155.49
2013-06-27,159.19,160.87,159.13,160.68,1689900,158.21
2013-06-26,158.25,159.94,157.51,158.27,1600900,155.84
2013-06-25,156.21,157.81,155.00,156.83,2125900,154.42
2013-06-24,154.84,159.06,152.02,154.98,2821100,152.60
2013-06-21,155.81,158.81,154.39,156.58,2755400,154.17
2013-06-20,160.81,160.91,153.68,154.58,2907400,152.21
2013-06-19,167.41,167.88,160.40,162.52,2081300,160.02
2013-06-18,168.36,168.64,166.82,167.30,1437600,164.73
2013-06-17,167.22,168.96,165.97,168.50,1798900,165.91
2013-06-14,165.10,168.29,164.31,166.05,1487400,163.50
2013-06-13,159.80,165.75,158.86,165.10,1861800,162.56
2013-06-12,163.14,163.25,159.02,159.67,1659300,157.22
2013-06-11,163.83,165.15,162.21,162.22,1312600,159.73
2013-06-10,167.30,167.86,164.88,165.27,928500,162.73
2013-06-07,167.49,167.83,164.39,167.26,1348100,164.69
2013-06-06,163.69,166.73,162.70,166.56,1226300,164.00
2013-06-05,165.04,165.95,163.39,163.92,1134700,161.40
