Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,22.97,23.10,22.66,22.68,489800,22.68
2013-11-19,22.94,23.07,22.86,22.96,905200,22.96
2013-11-18,22.95,23.02,22.86,23.01,947500,23.01
2013-11-15,22.78,22.96,22.71,22.96,785700,22.96
2013-11-14,22.84,22.96,22.55,22.75,1312300,22.75
2013-11-13,22.92,22.92,22.61,22.84,1315700,22.84
2013-11-12,22.96,22.96,22.61,22.65,1025800,22.47
2013-11-11,22.79,23.12,22.74,22.96,740800,22.78
2013-11-08,23.01,23.05,22.76,22.85,1361600,22.67
2013-11-07,23.60,23.70,23.01,23.08,1241600,22.90
2013-11-06,23.70,23.96,23.54,23.65,723100,23.46
2013-11-05,23.80,23.87,23.65,23.65,1386300,23.46
2013-11-04,23.87,23.99,23.73,23.90,1158400,23.71
2013-11-01,23.70,23.87,23.59,23.86,1375900,23.67
2013-10-31,23.75,23.75,23.38,23.66,1850200,23.47
2013-10-30,23.69,23.82,23.64,23.75,1386300,23.56
2013-10-29,23.56,23.64,23.47,23.64,666100,23.45
2013-10-28,23.40,23.52,23.38,23.52,802700,23.33
2013-10-25,23.24,23.43,23.14,23.42,644800,23.23
2013-10-24,23.10,23.22,22.97,23.15,668700,22.97
2013-10-23,23.12,23.45,23.05,23.10,855700,22.92
2013-10-22,23.25,23.40,23.15,23.18,964600,23.00
2013-10-21,23.39,23.40,23.17,23.22,1040100,23.04
2013-10-18,23.37,23.56,23.29,23.38,2739700,23.19
2013-10-17,22.81,23.33,22.75,23.31,1151300,23.12
2013-10-16,22.92,23.07,22.75,22.88,1405200,22.70
2013-10-15,23.17,23.28,22.74,22.83,1006500,22.65
2013-10-14,23.35,23.40,22.99,23.20,1907300,23.02
2013-10-11,23.19,23.52,23.11,23.51,2123100,23.32
2013-10-10,23.28,23.30,23.03,23.24,1806600,23.06
2013-10-09,22.93,23.22,22.83,23.10,3004800,22.92
2013-10-08,22.57,22.99,22.53,22.92,1831600,22.74
2013-10-07,22.47,22.74,22.44,22.60,1134700,22.42
2013-10-04,22.61,22.77,22.54,22.66,720500,22.48
2013-10-03,22.45,22.66,22.37,22.58,1836500,22.40
2013-10-02,22.58,22.61,22.39,22.54,1349400,22.36
2013-10-01,22.47,22.86,22.43,22.71,1594100,22.53
2013-09-30,22.24,22.49,22.20,22.49,1299500,22.31
2013-09-27,22.24,22.46,22.18,22.42,920900,22.24
2013-09-26,22.12,22.32,22.11,22.31,586600,22.13
2013-09-25,22.11,22.28,22.09,22.15,834800,21.97
2013-09-24,21.99,22.17,21.92,22.12,690400,21.94
2013-09-23,21.56,22.03,21.54,22.00,947000,21.83
2013-09-20,22.05,22.11,21.62,21.65,1650300,21.48
2013-09-19,22.23,22.38,21.81,22.04,1069000,21.86
2013-09-18,21.75,22.24,21.70,22.23,2415700,22.05
2013-09-17,21.89,21.93,21.69,21.80,2504000,21.63
2013-09-16,22.22,22.31,21.73,21.82,1736700,21.65
2013-09-13,22.10,22.23,22.01,22.03,1102300,21.85
2013-09-12,22.26,22.35,22.02,22.03,1177600,21.85
2013-09-11,22.29,22.48,22.03,22.20,829600,22.02
2013-09-10,22.29,22.30,22.07,22.28,1985500,22.10
2013-09-09,21.92,22.18,21.83,22.15,1076500,21.97
2013-09-06,21.92,22.05,21.77,21.92,1201100,21.75
