Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,0.05,0.05,0.05,0.05,000,0.05
2012-12-25,0.05,0.05,0.05,0.05,000,0.05
2012-12-24,0.05,0.05,0.05,0.05,000,0.05
2012-12-21,0.05,0.05,0.05,0.05,000,0.05
2012-12-20,0.05,0.05,0.05,0.05,000,0.05
2012-12-19,0.05,0.05,0.05,0.05,000,0.05
2012-12-18,0.05,0.05,0.05,0.05,000,0.05
2012-12-17,0.05,0.05,0.05,0.05,000,0.05
2012-12-14,0.05,0.05,0.05,0.05,000,0.05
2012-12-13,0.05,0.05,0.05,0.05,000,0.05
2012-12-12,0.05,0.05,0.05,0.05,000,0.05
2012-12-11,0.05,0.05,0.05,0.05,000,0.05
2012-12-10,0.05,0.05,0.05,0.05,000,0.05
2012-12-07,0.05,0.05,0.05,0.05,000,0.05
2012-12-06,0.05,0.05,0.05,0.05,000,0.05
2012-12-05,0.05,0.05,0.05,0.05,000,0.05
2012-12-04,0.05,0.05,0.05,0.05,000,0.05
2012-12-03,0.05,0.05,0.05,0.05,000,0.05
2012-11-30,0.05,0.05,0.05,0.05,000,0.05
2012-11-29,0.05,0.05,0.05,0.05,12000,0.05
2012-11-28,0.05,0.05,0.05,0.05,000,0.05
2012-11-27,0.05,0.05,0.05,0.05,8300,0.05
2012-11-26,0.05,0.05,0.05,0.05,000,0.05
2012-11-23,0.05,0.05,0.05,0.05,1100,0.05
2012-11-22,0.14,0.14,0.14,0.14,000,0.14
2012-11-21,0.14,0.14,0.14,0.14,000,0.14
2012-11-20,0.14,0.14,0.14,0.14,000,0.14
2012-11-19,0.14,0.14,0.14,0.14,000,0.14
2012-11-16,0.14,0.14,0.14,0.14,000,0.14
2012-11-15,0.14,0.14,0.14,0.14,000,0.14
2012-11-14,0.14,0.14,0.14,0.14,000,0.14
2012-11-13,0.14,0.14,0.14,0.14,000,0.14
2012-11-12,0.14,0.14,0.14,0.14,000,0.14
2012-11-09,0.14,0.14,0.14,0.14,000,0.14
2012-11-08,0.14,0.14,0.14,0.14,000,0.14
2012-11-07,0.14,0.14,0.14,0.14,1000,0.14
