Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,53.92,54.06,52.90,53.24,751800,53.24
2013-11-19,54.02,54.19,53.81,53.91,501900,53.91
2013-11-18,54.14,54.29,53.88,53.99,655400,53.99
2013-11-15,53.62,54.24,53.46,54.12,771500,54.12
2013-11-14,54.07,54.29,53.74,53.98,758900,53.98
2013-11-13,53.57,54.02,53.15,53.90,722600,53.90
2013-11-12,53.86,53.87,53.15,53.85,679300,53.85
2013-11-11,53.86,54.15,53.58,53.87,670400,53.87
2013-11-08,53.00,53.89,52.52,53.79,991700,53.79
2013-11-07,54.46,54.67,52.68,53.00,1918400,53.00
2013-11-06,56.26,56.26,53.74,54.69,1692900,54.69
2013-11-05,54.09,54.14,53.37,54.01,1199100,54.01
2013-11-04,54.31,54.42,53.57,54.21,1099800,54.21
2013-11-01,54.09,54.24,53.28,53.99,719600,53.99
2013-10-31,54.71,54.92,53.77,54.00,1051600,54.00
2013-10-30,55.21,55.28,54.68,54.83,660800,54.83
2013-10-29,54.67,55.54,54.55,55.30,950400,55.30
2013-10-28,53.94,54.78,53.85,54.54,1144900,54.54
2013-10-25,53.49,53.90,53.22,53.89,510900,53.89
2013-10-24,53.65,53.67,53.05,53.34,913000,53.34
2013-10-23,54.07,54.09,53.49,53.64,1065500,53.64
2013-10-22,53.57,54.47,53.50,54.16,1409600,54.16
2013-10-21,52.74,53.52,52.54,53.50,1141200,53.50
2013-10-18,52.97,53.16,52.52,52.62,1097000,52.62
2013-10-17,51.72,52.79,51.50,52.67,664500,52.67
2013-10-16,51.51,52.13,51.51,51.82,911200,51.82
2013-10-15,51.84,51.96,51.10,51.27,748700,51.27
2013-10-14,51.28,51.89,51.28,51.82,740300,51.82
2013-10-11,51.29,51.77,51.08,51.76,718600,51.76
2013-10-10,50.50,51.31,50.44,51.29,1082800,51.29
2013-10-09,49.85,50.13,49.73,49.94,1004600,49.94
2013-10-08,49.79,50.00,49.57,49.71,923700,49.71
2013-10-07,50.07,50.08,49.78,49.89,708400,49.89
2013-10-04,49.70,50.50,49.63,50.47,654500,50.47
2013-10-03,49.99,50.15,49.43,49.74,894700,49.74
2013-10-02,50.69,50.70,49.94,50.19,1303500,50.19
2013-10-01,50.15,50.94,49.89,50.94,909200,50.94
