/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,56.97,57.34,56.26,56.30,308100,56.30
2013-11-19,57.13,57.38,56.74,56.93,230200,56.93
2013-11-18,57.08,57.25,56.69,57.09,282900,57.09
2013-11-15,56.69,57.14,56.43,57.07,415600,57.07
2013-11-14,56.32,56.98,56.27,56.79,341500,56.79
2013-11-13,55.53,56.12,55.20,56.11,372400,56.11
2013-11-12,56.71,56.89,55.62,55.71,370100,55.71
2013-11-11,56.64,56.94,56.25,56.89,388300,56.89
2013-11-08,56.77,57.11,55.55,56.64,456800,56.64
2013-11-07,57.91,58.38,56.82,57.12,686800,57.12
2013-11-06,58.60,59.08,58.53,58.80,333200,58.80
2013-11-05,59.02,59.19,58.50,58.51,284400,58.51
2013-11-04,59.28,59.43,58.69,59.24,224900,59.24
2013-11-01,58.84,59.30,58.58,59.11,223800,59.11
2013-10-31,59.01,59.20,58.22,58.68,238300,58.68
2013-10-30,59.38,59.74,58.93,58.95,240300,58.95
2013-10-29,59.09,59.25,58.81,59.14,132300,59.14
2013-10-28,59.09,59.46,58.81,58.98,215600,58.98
2013-10-25,58.43,59.16,58.18,59.13,237400,59.13
2013-10-24,58.68,59.17,58.16,58.54,284900,58.54
2013-10-23,58.34,59.16,58.30,58.68,411800,58.68
2013-10-22,57.47,58.56,57.47,58.36,316600,58.36
2013-10-21,57.25,57.80,57.00,57.39,121200,57.39
2013-10-18,57.50,57.71,57.25,57.39,277400,57.39
2013-10-17,56.07,57.48,55.81,57.36,352100,57.36
2013-10-16,55.83,56.15,55.65,56.14,224800,56.14
2013-10-15,56.26,56.65,55.51,55.57,290900,55.57
2013-10-14,56.49,56.52,55.54,56.52,283900,56.52
2013-10-11,56.57,56.92,56.34,56.84,188400,56.84
2013-10-10,55.87,56.70,55.50,56.65,209400,56.65
2013-10-09,55.15,56.24,55.10,55.62,515300,55.62
2013-10-08,54.61,55.50,54.54,55.18,360100,55.18
2013-10-07,55.04,55.22,54.69,54.75,393200,54.75
2013-10-04,55.34,55.60,55.08,55.34,202000,55.34
2013-10-03,55.76,55.76,55.01,55.28,335000,55.28
2013-10-02,55.61,55.94,55.30,55.90,278900,55.90
2013-10-01,55.89,56.26,55.57,55.77,231300,55.77
2013-09-30,55.47,55.90,55.35,55.89,364400,55.89
2013-09-27,55.93,56.22,55.62,55.82,237800,55.82
2013-09-26,55.80,56.33,55.70,56.19,325400,56.19
2013-09-25,56.54,56.58,55.68,55.69,271900,55.69
2013-09-24,56.74,56.95,56.29,56.46,349400,56.46
2013-09-23,55.97,57.10,55.68,56.63,361300,56.63
2013-09-20,56.69,56.73,55.82,55.99,507000,55.99
2013-09-19,56.48,56.87,56.26,56.69,457300,56.69
2013-09-18,55.09,56.51,54.66,56.44,402500,56.44
2013-09-17,54.50,55.09,54.39,54.99,434900,54.99
2013-09-16,54.88,54.95,54.00,54.34,494700,54.34
2013-09-13,53.90,54.38,53.81,54.04,365800,54.04
2013-09-12,54.50,54.68,53.80,53.87,383200,53.87
2013-09-11,54.95,54.95,54.07,54.33,444300,54.33
2013-09-10,55.07,55.18,54.62,54.97,395700,54.97
2013-09-09,54.69,55.02,54.54,54.85,344400,54.85
2013-09-06,55.22,55.58,54.63,54.69,582700,54.69
2013-09-05,55.02,55.16,54.41,54.78,652400,54.78
2013-09-04,54.54,55.11,54.33,55.04,764200,55.04
2013-09-03,56.36,56.36,54.53,54.59,454200,54.59
2013-08-30,56.40,56.59,55.79,55.92,353000,55.92
2013-08-29,56.63,57.02,56.21,56.36,260800,56.36
2013-08-28,56.77,56.86,56.30,56.66,304600,56.66
2013-08-27,56.87,57.51,56.78,57.18,296700,56.50
2013-08-26,57.56,57.72,57.15,57.32,388100,56.64
2013-08-23,57.39,57.73,57.02,57.53,195900,56.85
2013-08-22,57.12,57.58,56.86,57.21,280600,56.53
2013-08-21,57.89,58.01,56.97,57.08,323300,56.40
2013-08-20,57.81,58.73,57.66,58.02,401500,57.33
2013-08-19,58.68,58.80,57.74,57.82,445500,57.13
2013-08-16,59.17,59.34,58.42,58.72,512000,58.02
2013-08-15,60.32,60.35,59.02,59.17,493800,58.47
2013-08-14,61.28,61.28,60.46,60.65,288200,59.93
2013-08-13,61.79,62.07,61.15,61.34,234200,60.61
2013-08-12,61.96,62.08,61.46,61.68,311100,60.95
2013-08-09,62.37,62.56,61.96,62.19,223800,61.45
2013-08-08,62.76,62.89,62.04,62.36,370200,61.62
2013-08-07,62.87,63.03,62.45,62.64,480600,61.90
