/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,82.29,82.46,79.81,80.59,1170600,80.59
2013-11-19,82.40,83.00,82.03,82.26,598600,82.26
2013-11-18,83.00,83.48,82.18,82.49,891400,82.49
2013-11-15,81.28,82.86,80.78,82.74,1007000,82.74
2013-11-14,82.43,82.53,81.37,82.24,798400,82.24
2013-11-13,81.48,82.72,81.31,82.64,637500,82.64
2013-11-12,81.26,82.05,81.18,81.73,947500,81.73
2013-11-11,79.53,81.78,79.53,81.40,1146500,81.40
2013-11-08,78.37,79.69,78.37,79.65,576300,79.65
2013-11-07,79.85,80.29,78.15,78.24,695900,78.24
2013-11-06,80.42,80.59,79.33,79.56,499200,79.56
2013-11-05,79.02,80.45,78.53,80.19,723200,80.19
2013-11-04,79.14,79.69,78.93,79.38,443500,79.38
2013-11-01,79.23,79.56,78.50,79.01,331400,79.01
2013-10-31,79.45,79.81,78.84,79.17,670800,79.17
2013-10-30,79.72,80.46,79.48,79.70,709400,79.70
2013-10-29,79.51,79.95,79.29,79.79,411100,79.79
2013-10-28,79.36,79.66,78.84,79.50,537500,79.50
2013-10-25,79.00,79.37,78.50,79.32,787500,79.32
2013-10-24,78.60,79.32,78.46,78.87,1216100,78.87
2013-10-23,78.61,78.96,77.75,78.42,735200,78.42
2013-10-22,78.59,79.33,78.20,79.05,736600,79.05
2013-10-21,78.39,78.87,77.72,78.79,834000,78.79
2013-10-18,77.97,78.46,77.65,78.14,941100,78.14
2013-10-17,76.80,77.64,76.30,77.53,620500,77.53
2013-10-16,76.32,77.34,75.98,76.98,957800,76.98
2013-10-15,76.27,76.88,75.22,75.44,1102400,75.44
2013-10-14,75.92,76.70,75.69,76.46,489200,76.46
2013-10-11,75.46,76.59,74.94,76.57,887700,76.57
2013-10-10,76.23,76.73,75.07,75.38,1670100,75.38
2013-10-09,74.83,75.10,73.63,73.91,1505100,73.91
2013-10-08,75.92,76.09,74.56,74.76,626100,74.76
2013-10-07,76.63,76.99,75.90,75.91,829400,75.91
2013-10-04,76.56,77.72,76.56,77.61,830600,77.61
2013-10-03,76.41,77.35,75.97,76.56,1229700,76.56
2013-10-02,76.47,76.64,75.71,76.34,1037600,76.34
2013-10-01,76.69,77.60,76.41,76.86,942700,76.86
2013-09-30,76.43,76.90,76.15,76.62,895600,76.62
2013-09-27,76.69,77.17,76.49,76.89,846700,76.89
2013-09-26,77.48,77.82,76.81,77.21,919000,77.21
2013-09-25,79.01,79.23,77.22,77.47,982600,77.47
2013-09-24,78.95,79.84,78.61,79.12,638600,79.12
2013-09-23,79.21,79.59,78.20,78.53,877500,78.53
