Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,80.37,80.54,79.60,79.99,1779300,79.99
2013-11-19,80.34,80.44,79.68,80.00,907900,80.00
2013-11-18,79.91,80.66,79.77,80.00,1129600,80.00
2013-11-15,79.15,80.19,79.15,79.99,1430700,79.99
2013-11-14,78.79,79.21,78.36,78.96,1619600,78.96
2013-11-13,78.13,78.85,77.81,78.83,1295500,78.83
2013-11-12,78.41,78.90,78.05,78.42,1041700,78.42
2013-11-11,78.55,79.20,78.41,78.79,1021400,78.79
2013-11-08,76.79,78.87,76.79,78.80,1936000,78.80
2013-11-07,78.11,78.14,76.58,76.62,1306900,76.62
2013-11-06,77.36,77.75,77.12,77.61,831600,77.61
2013-11-05,77.06,77.34,76.66,76.96,940900,76.96
2013-11-04,77.57,78.01,77.32,77.48,1255600,77.48
2013-11-01,77.46,77.89,76.63,77.63,2055800,77.63
2013-10-31,78.10,78.27,77.40,77.41,1842400,77.41
2013-10-30,78.61,78.63,77.68,78.15,1832000,78.15
2013-10-29,77.45,78.82,77.45,78.06,2209900,78.06
2013-10-28,77.10,77.85,76.02,77.78,2892200,77.78
2013-10-25,75.45,76.29,75.44,75.75,1761700,75.75
2013-10-24,76.93,77.00,74.61,75.46,3398300,75.46
2013-10-23,76.93,77.94,76.31,77.84,2449800,77.84
2013-10-22,77.22,77.78,76.81,77.28,1575200,77.28
2013-10-21,77.07,77.15,76.56,76.84,924900,76.84
2013-10-18,76.78,77.36,76.35,76.83,1957200,76.83
2013-10-17,75.02,76.49,74.69,76.34,1185000,76.34
2013-10-16,74.88,75.92,74.58,75.49,1277200,75.49
2013-10-15,74.39,74.74,74.06,74.21,1413200,74.21
2013-10-14,73.87,74.73,73.62,74.48,1677000,74.48
2013-10-11,73.78,75.01,73.56,74.66,1084500,74.66
2013-10-10,72.51,74.11,72.39,73.91,1896700,73.91
2013-10-09,71.58,72.20,71.13,71.65,1763300,71.65
2013-10-08,71.92,72.23,70.96,70.98,1306300,70.98
2013-10-07,71.87,72.47,71.66,71.79,840500,71.79
2013-10-04,72.20,72.87,71.76,72.71,941200,72.71
2013-10-03,71.96,72.39,71.27,71.98,1126000,71.98
2013-10-02,71.52,72.06,71.44,71.98,1212700,71.98
2013-10-01,71.99,72.27,71.66,72.11,1379900,72.11
2013-09-30,71.55,71.96,71.30,71.93,1281500,71.93
2013-09-27,71.94,72.58,71.87,72.45,965200,72.45
2013-09-26,72.89,73.38,72.07,72.57,1238600,72.57
2013-09-25,73.09,73.38,72.23,72.80,1054500,72.80
2013-09-24,73.08,73.43,72.53,72.89,1249600,72.89
2013-09-23,73.64,73.72,72.57,73.17,977900,73.17
2013-09-20,74.59,74.99,73.81,73.96,1787800,73.96
2013-09-19,73.30,74.85,73.22,74.65,2465600,74.65
2013-09-18,72.89,73.04,72.45,72.80,3073300,72.80
2013-09-17,72.61,72.86,72.46,72.79,830500,72.79
2013-09-16,72.84,72.84,72.05,72.61,1215400,72.61
2013-09-13,71.88,71.89,70.97,71.56,921800,71.56
2013-09-12,71.49,71.85,71.19,71.61,1514500,71.61
2013-09-11,71.63,71.89,71.12,71.58,1247500,71.58
2013-09-10,71.82,72.22,71.22,72.04,1104100,71.66
2013-09-09,71.12,71.21,70.75,71.15,2103600,70.77
2013-09-06,71.23,71.26,69.90,70.72,1053500,70.35
2013-09-05,70.89,71.42,70.65,70.94,879500,70.57
2013-09-04,70.88,71.27,70.34,70.83,1354500,70.46
2013-09-03,70.94,71.55,69.95,70.70,1018900,70.33
