/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,66.56,66.56,65.63,65.72,4446400,65.72
2013-11-19,66.95,67.35,66.20,66.28,3713400,66.28
2013-11-18,67.31,67.78,66.68,66.85,2928000,66.85
2013-11-15,68.26,68.72,67.45,67.64,4316200,67.64
2013-11-14,67.90,68.59,67.65,68.40,3804600,68.40
2013-11-13,66.44,67.69,66.15,67.69,3789600,67.69
2013-11-12,67.46,67.51,66.59,66.79,3318700,66.79
2013-11-11,67.52,68.06,67.24,67.50,3205500,67.50
2013-11-08,65.65,67.86,65.02,67.65,6833200,67.65
2013-11-07,67.64,68.01,65.22,65.38,7882500,65.38
2013-11-06,67.46,70.77,67.35,67.69,9430900,67.69
2013-11-05,68.39,68.45,67.64,68.23,6035600,68.23
2013-11-04,68.98,69.00,68.25,68.67,2656900,68.67
2013-11-01,68.94,69.35,68.31,68.81,3807800,68.81
2013-10-31,68.66,69.48,68.23,68.74,5370600,68.74
2013-10-30,70.12,70.35,67.86,68.54,5605400,68.54
2013-10-29,70.44,70.49,69.86,70.07,2369500,70.07
2013-10-28,70.13,70.69,70.00,70.16,3419600,70.16
2013-10-25,70.29,70.58,69.88,70.26,3050000,70.26
2013-10-24,70.31,70.52,70.12,70.31,3487400,70.31
2013-10-23,69.65,70.06,69.46,69.84,3015400,69.84
2013-10-22,69.19,70.06,68.94,69.73,4358500,69.73
2013-10-21,68.84,69.24,68.77,68.91,2757500,68.91
2013-10-18,68.24,68.93,68.01,68.73,4424400,68.73
2013-10-17,67.94,68.02,67.49,67.95,3998900,67.95
2013-10-16,67.87,68.77,67.70,68.00,3916700,68.00
2013-10-15,68.06,68.26,67.24,67.47,3843900,67.47
2013-10-14,67.41,68.29,67.39,68.04,5421700,68.04
2013-10-11,67.09,68.42,66.96,67.92,5145800,67.92
2013-10-10,65.23,67.38,65.19,67.32,6764800,67.32
2013-10-09,65.31,65.60,64.20,64.61,4675600,64.61
2013-10-08,65.62,65.65,64.97,65.02,4246800,65.02
2013-10-07,65.34,66.50,65.31,65.70,3153500,65.70
2013-10-04,65.33,66.64,65.33,66.46,2965900,66.46
2013-10-03,66.24,66.32,64.91,65.29,2966000,65.29
2013-10-02,66.24,66.37,65.51,66.36,4843400,66.36
2013-10-01,65.83,66.68,65.65,66.68,3655700,66.68
2013-09-30,65.78,66.38,65.67,65.81,4675600,65.81
2013-09-27,64.61,66.34,64.49,66.20,6889000,66.20
2013-09-26,63.91,64.91,63.81,64.87,3351600,64.87
2013-09-25,63.37,64.17,63.21,63.97,4488300,63.97
2013-09-24,63.44,63.73,63.12,63.35,3942400,63.35
2013-09-23,63.97,64.00,63.42,63.46,3777300,63.46
2013-09-20,64.30,64.83,64.19,64.30,8920400,64.30
2013-09-19,64.38,64.78,63.92,64.40,7885900,64.40
2013-09-18,62.95,63.61,62.65,63.34,4049300,63.34
2013-09-17,62.91,63.44,62.63,62.90,3391400,62.90
2013-09-16,63.29,63.62,62.50,62.72,3937000,62.72
2013-09-13,62.91,63.04,62.46,62.56,5591200,62.56
2013-09-12,63.32,63.68,62.73,62.80,3862400,62.80
2013-09-11,62.85,63.62,62.85,63.32,2930000,63.32
2013-09-10,62.44,63.00,62.44,62.94,2726700,62.94
2013-09-09,61.43,62.41,61.43,62.24,2975600,62.24
2013-09-06,61.87,61.98,60.88,61.45,2512800,61.45
2013-09-05,61.88,62.26,61.48,61.58,2403400,61.58
2013-09-04,61.51,62.30,61.37,61.99,3407600,61.99
2013-09-03,61.38,61.96,61.00,61.36,3883500,61.36
2013-08-30,61.10,61.12,60.26,60.53,3108500,60.53
2013-08-29,60.75,61.61,60.51,61.00,2265300,61.00
2013-08-28,61.29,61.37,60.80,60.98,3784900,60.98
2013-08-27,61.33,62.05,61.08,61.51,3736000,61.22
2013-08-26,62.37,62.89,62.08,62.09,2507100,61.80
2013-08-23,62.34,62.80,62.17,62.36,2569800,62.07
2013-08-22,61.38,62.56,61.19,62.37,3218000,62.08
2013-08-21,61.62,61.93,61.13,61.26,3888400,60.97
2013-08-20,60.93,61.98,60.58,61.88,3966500,61.59
2013-08-19,60.72,61.26,60.07,60.85,3406600,60.57
2013-08-16,60.92,61.53,60.78,60.86,3943900,60.58
2013-08-15,61.96,62.12,60.57,61.21,5070300,60.92
2013-08-14,63.11,63.11,62.26,62.32,4068100,62.03
2013-08-13,63.54,63.57,62.66,63.10,2691100,62.81
2013-08-12,63.13,63.80,62.98,63.33,2880300,63.03
2013-08-09,63.70,64.49,63.31,63.40,4010600,63.10
2013-08-08,64.24,64.50,63.10,63.94,6488100,63.64
2013-08-07,65.61,66.01,63.77,63.84,9519300,63.54
2013-08-06,64.42,64.60,63.46,64.08,4979300,63.78
2013-08-05,64.14,64.72,64.09,64.47,3392300,64.17
2013-08-02,63.13,64.50,63.07,64.29,5338500,63.99
2013-08-01,63.04,63.54,62.86,63.06,3680900,62.77
2013-07-31,62.17,62.88,61.89,62.26,3984400,61.97
2013-07-30,62.81,62.84,61.91,62.07,3251900,61.78
