/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,42.35,42.82,41.91,42.11,5853900,42.11
2013-11-19,42.82,43.59,42.28,42.34,9576000,42.34
2013-11-18,43.33,43.47,42.76,42.92,7538000,42.92
2013-11-15,42.70,43.78,42.40,43.00,13266700,43.00
2013-11-14,41.58,43.35,41.42,42.84,10172500,42.84
2013-11-13,40.99,41.28,40.58,41.24,6767300,41.24
2013-11-12,40.32,41.74,40.32,41.02,7201500,41.02
2013-11-11,40.24,40.41,39.87,40.31,5096100,40.31
2013-11-08,39.34,40.32,39.01,40.32,9555600,40.32
2013-11-07,39.88,40.46,39.28,39.28,11937100,39.28
2013-11-06,41.49,41.53,40.12,40.24,8740200,40.24
2013-11-05,41.37,41.55,41.12,41.44,4552200,41.44
2013-11-04,41.15,41.68,40.79,41.55,4885400,41.55
2013-11-01,41.34,41.40,40.69,41.00,7286800,41.00
2013-10-31,41.30,42.15,41.15,41.17,9745700,41.17
2013-10-30,40.00,41.46,39.83,41.41,11200800,41.41
2013-10-29,39.84,41.12,39.71,40.21,10679100,40.21
2013-10-28,39.63,40.21,39.37,39.45,7714800,39.45
2013-10-25,39.48,39.80,39.10,39.44,7308400,39.44
2013-10-24,39.95,40.01,39.33,39.42,11800900,39.42
2013-10-23,40.08,41.20,39.92,40.13,12183800,40.13
2013-10-22,39.94,40.70,39.94,40.45,11675000,40.45
2013-10-21,39.26,39.84,39.06,39.75,7205200,39.75
2013-10-18,38.73,39.10,38.10,39.10,8752100,39.10
2013-10-17,37.19,38.78,37.11,38.39,9538500,38.39
2013-10-16,36.76,37.26,36.76,37.25,8238200,37.25
2013-10-15,36.78,37.26,36.25,36.49,6695300,36.49
2013-10-14,36.15,36.65,35.85,36.57,5639200,36.57
2013-10-11,35.75,37.19,35.65,36.54,14926300,36.54
2013-10-10,34.48,35.90,34.48,35.57,11290700,35.57
2013-10-09,33.76,34.23,33.20,33.97,6821800,33.97
2013-10-08,34.09,34.22,33.69,33.73,5830200,33.73
2013-10-07,34.07,34.39,33.82,34.05,4429600,34.05
2013-10-04,33.73,34.49,33.35,34.44,7838700,34.44
2013-10-03,34.20,34.46,33.88,34.10,5670000,34.10
2013-10-02,34.18,34.67,34.02,34.38,8942200,34.38
