/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,50.79,51.25,50.31,50.40,9634100,50.40
2013-11-19,50.83,51.05,50.50,50.78,7828100,50.78
2013-11-18,50.35,50.81,50.34,50.76,10160500,50.76
2013-11-15,50.16,50.42,49.87,50.31,9101200,50.31
2013-11-14,50.09,50.43,50.09,50.27,8862500,50.27
2013-11-13,49.88,50.00,49.36,49.99,10931600,49.99
2013-11-12,50.01,50.47,49.78,50.16,9576500,50.16
2013-11-11,50.12,50.25,49.77,49.96,5166900,49.96
2013-11-08,50.06,50.24,49.52,50.20,16392100,50.20
2013-11-07,50.55,51.00,50.05,50.17,10806500,50.17
2013-11-06,50.38,50.86,50.35,50.61,9216400,50.61
2013-11-05,50.81,50.87,50.08,50.10,11824600,50.10
2013-11-04,50.92,51.09,50.53,51.08,8296500,51.08
2013-11-01,50.79,51.46,50.34,50.49,11448800,50.49
2013-10-31,50.49,50.91,50.05,50.51,10922600,50.51
2013-10-30,51.39,51.40,50.39,50.53,12583000,50.53
2013-10-29,50.62,51.49,50.58,51.09,14668300,51.09
2013-10-28,50.69,50.72,50.28,50.57,12444600,50.57
2013-10-25,50.33,50.78,50.11,50.71,9184600,50.71
2013-10-24,51.04,51.19,50.32,50.42,10354600,50.42
2013-10-23,51.03,51.38,50.77,50.82,11362000,50.82
2013-10-22,50.56,51.30,50.15,51.14,15220100,51.14
2013-10-21,50.01,50.61,50.00,50.58,14398500,50.58
2013-10-18,49.36,50.06,49.17,50.01,22190700,50.01
2013-10-17,48.57,49.24,48.12,48.90,29363600,48.90
2013-10-16,46.60,47.44,46.40,47.25,18900300,47.25
2013-10-15,46.80,46.94,46.27,46.32,12571300,46.32
2013-10-14,46.79,47.10,46.68,46.81,10940400,46.81
2013-10-11,46.81,47.09,46.66,47.09,11131200,47.09
2013-10-10,46.65,46.86,46.20,46.86,11555100,46.86
2013-10-09,46.21,46.78,46.06,46.20,13270800,46.20
2013-10-08,46.72,46.73,46.03,46.05,15794300,46.05
2013-10-07,46.88,47.65,46.76,47.29,45152600,46.76
2013-10-04,47.05,47.12,46.65,47.10,47164000,46.57
2013-10-03,46.68,47.18,46.52,47.01,14961500,46.48
2013-10-02,46.84,46.98,46.33,46.79,11939100,46.27
2013-10-01,46.62,47.00,46.53,46.99,10054900,46.46
2013-09-30,46.57,46.91,46.32,46.67,12315600,46.15
2013-09-27,47.42,47.45,46.69,47.00,10311600,46.47
2013-09-26,47.05,47.71,47.05,47.67,10233200,47.14
2013-09-25,47.30,47.35,46.76,46.95,13291600,46.42
2013-09-24,47.69,47.70,46.88,47.27,16939100,46.74
2013-09-23,47.71,48.00,47.37,47.98,9088700,47.44
2013-09-20,48.59,48.59,47.54,47.78,15178200,47.24
2013-09-19,48.62,48.89,48.22,48.51,11498400,47.97
2013-09-18,48.51,48.83,47.87,48.72,10933800,48.17
2013-09-17,48.47,48.70,48.27,48.57,10265600,48.03
2013-09-16,48.31,48.50,48.06,48.30,15342700,47.76
2013-09-13,47.80,48.36,47.56,47.76,16631800,47.22
2013-09-12,46.60,47.52,46.44,47.35,18127800,46.82
2013-09-11,46.49,46.90,46.32,46.52,16048000,46.00
2013-09-10,45.96,46.59,45.47,46.47,19005500,45.95
2013-09-09,46.35,46.40,45.82,45.91,12732600,45.40
2013-09-06,47.01,47.04,46.04,46.34,13434300,45.82
2013-09-05,47.11,47.58,46.33,46.64,17784300,46.12
2013-09-04,45.71,47.07,45.70,46.78,26556600,46.26
2013-09-03,45.52,46.45,45.08,46.01,47084100,45.49
2013-08-30,47.83,47.97,47.10,47.38,13416200,46.85
2013-08-29,48.62,48.66,47.57,47.82,36425300,47.28
2013-08-28,46.88,46.92,46.54,46.56,6798000,46.04
2013-08-27,46.58,47.00,46.25,46.95,9654300,46.42
2013-08-26,47.53,47.53,46.94,46.94,6943000,46.41
2013-08-23,47.02,47.70,46.95,47.61,6779300,47.08
2013-08-22,47.45,47.45,46.74,47.02,9861100,46.49
2013-08-21,47.79,47.79,47.23,47.27,8432300,46.74
2013-08-20,47.54,48.18,47.50,47.91,7263000,47.37
2013-08-19,47.55,48.09,47.45,47.50,7869000,46.97
2013-08-16,48.29,48.53,47.33,47.71,15381800,47.18
2013-08-15,48.66,48.98,48.42,48.54,6610600,48.00
2013-08-14,49.10,49.27,48.72,48.89,7391900,48.34
2013-08-13,49.64,49.68,49.03,49.15,7881400,48.60
2013-08-12,49.28,49.76,49.17,49.65,5507700,49.09
2013-08-09,49.70,49.80,49.02,49.32,8583300,48.77
2013-08-08,50.06,50.07,49.46,49.62,8155000,49.06
2013-08-07,49.93,50.25,49.84,49.93,5366300,49.37
2013-08-06,50.19,50.22,49.81,50.09,5225500,49.53
2013-08-05,50.11,50.35,49.95,50.21,4533000,49.65
2013-08-02,49.83,50.44,49.81,50.25,6883300,49.69
2013-08-01,50.05,50.19,49.63,50.01,9001000,49.45
2013-07-31,50.27,50.46,49.45,49.48,14428200,48.93
2013-07-30,51.94,51.94,50.30,50.42,11576500,49.85
2013-07-29,51.03,51.74,50.92,51.49,8444900,50.91
2013-07-26,50.74,51.08,50.51,51.02,7090300,50.45
2013-07-25,50.29,50.80,50.10,50.71,6486600,50.14
2013-07-24,50.16,50.53,49.94,50.38,8468400,49.82
2013-07-23,50.33,50.46,50.03,50.36,6755700,49.80
2013-07-22,49.84,50.31,49.63,50.27,8792400,49.71
2013-07-19,50.05,50.27,49.71,49.95,12332200,49.39
2013-07-18,50.00,50.33,49.19,49.97,12949700,49.41
2013-07-17,50.62,51.27,50.57,50.74,8543900,50.17
2013-07-16,49.75,50.45,49.71,50.28,8841400,49.72
2013-07-15,50.20,50.22,49.40,49.96,10592900,49.40
2013-07-12,51.25,51.30,50.21,50.41,12701400,49.85
2013-07-11,51.00,51.29,50.77,51.21,10229300,50.64
2013-07-10,50.94,51.09,50.42,50.54,8373800,49.97
2013-07-09,51.50,51.58,50.87,50.96,6737900,50.39
2013-07-08,51.10,51.41,50.80,51.17,7234600,50.60
2013-07-05,51.30,51.30,50.34,51.30,8024400,50.22
