/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,35.13,35.42,34.66,34.78,3793400,34.78
2013-11-19,35.28,35.45,34.92,35.03,6188700,35.03
2013-11-18,35.29,35.55,35.06,35.28,4839700,35.28
2013-11-15,34.96,35.29,34.76,35.23,7550700,35.23
2013-11-14,34.48,35.22,34.45,35.06,6813000,35.06
2013-11-13,34.53,34.68,34.22,34.39,7343500,34.39
2013-11-12,34.74,34.83,34.36,34.57,5009200,34.57
2013-11-11,34.85,35.08,34.53,34.93,3660400,34.93
2013-11-08,34.47,34.87,34.24,34.79,6202100,34.79
2013-11-07,35.02,35.10,34.30,34.50,6300500,34.50
2013-11-06,35.08,35.17,34.71,34.90,6324900,34.90
2013-11-05,35.50,35.62,34.93,35.01,6996100,35.01
2013-11-04,35.82,35.94,35.43,35.73,4863200,35.73
2013-11-01,35.69,35.90,35.19,35.52,7714600,35.52
2013-10-31,36.90,36.97,35.03,35.71,13617200,35.71
2013-10-30,37.40,37.47,36.83,36.95,4088100,36.95
2013-10-29,37.19,37.39,37.08,37.29,4215800,37.29
2013-10-28,37.37,37.40,36.93,37.18,4309200,37.18
2013-10-25,37.03,37.35,36.82,37.30,3260600,37.30
2013-10-24,36.61,37.04,36.58,36.88,2304900,36.88
2013-10-23,36.90,37.03,36.40,36.67,5011600,36.67
2013-10-22,36.31,37.29,36.20,36.97,6723000,36.97
2013-10-21,36.16,36.34,35.81,36.17,3069800,36.17
2013-10-18,36.20,36.35,35.92,36.24,4206800,36.24
2013-10-17,35.92,36.14,35.74,36.03,3811000,36.03
2013-10-16,35.78,36.07,35.58,35.95,5118900,35.95
2013-10-15,35.72,35.75,35.28,35.53,6263600,35.53
2013-10-14,35.67,35.83,35.42,35.77,7193200,35.77
2013-10-11,35.71,36.30,35.67,36.15,4333400,36.15
2013-10-10,35.24,35.78,35.17,35.75,3880500,35.75
2013-10-09,35.06,35.15,34.67,34.96,5849500,34.96
2013-10-08,35.49,35.68,35.05,35.05,4774800,35.05
2013-10-07,35.60,35.97,35.38,35.52,3185800,35.52
2013-10-04,36.23,36.33,35.83,35.92,4752100,35.92
2013-10-03,36.44,36.46,35.76,36.30,5393000,36.30
2013-10-02,36.59,36.82,36.29,36.58,3915800,36.58
2013-10-01,36.32,36.98,36.27,36.75,6824000,36.75
2013-09-30,36.04,36.66,35.97,36.36,4825300,36.36
2013-09-27,36.06,36.31,35.91,36.24,2989700,36.24
