/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,79.31,79.39,78.49,78.90,4496300,78.90
2013-11-19,79.30,79.35,78.88,79.25,4394500,79.25
2013-11-18,79.23,79.32,78.91,79.22,5947000,79.22
2013-11-15,78.93,79.29,78.75,79.22,5911100,79.22
2013-11-14,77.75,79.53,77.68,79.08,9302100,79.08
2013-11-13,78.42,78.99,78.35,78.90,8286700,78.90
2013-11-12,78.85,78.97,78.25,78.71,5266100,78.71
2013-11-11,77.86,79.07,77.79,79.01,7450500,79.01
2013-11-08,77.49,77.96,76.79,77.96,5793800,77.96
2013-11-07,78.19,78.22,77.24,77.51,8347600,77.51
2013-11-06,77.64,78.28,77.30,78.16,4793400,78.16
2013-11-05,76.81,77.61,76.72,77.42,5085500,77.42
2013-11-04,77.22,77.65,77.20,77.33,4704100,77.33
2013-11-01,76.97,77.40,76.59,77.07,5116100,77.07
2013-10-31,76.88,77.15,76.60,76.75,4578200,76.75
2013-10-30,77.27,77.53,76.56,76.91,4605700,76.91
2013-10-29,77.25,77.63,76.75,77.06,7437600,77.06
2013-10-28,76.16,77.21,76.05,77.14,7032400,77.14
2013-10-25,76.37,76.76,75.78,76.08,6458800,76.08
2013-10-24,76.03,76.51,75.82,76.42,5864300,76.42
2013-10-23,76.18,76.35,75.81,75.90,5870100,75.90
2013-10-22,75.43,76.49,75.21,76.32,6948500,76.32
2013-10-21,75.72,75.82,74.82,75.15,5364100,75.15
2013-10-18,75.80,75.93,75.48,75.71,6788500,75.71
2013-10-17,75.49,76.12,71.69,75.78,6395100,75.78
2013-10-16,74.81,75.62,74.57,75.60,5914500,75.60
2013-10-15,74.43,75.37,73.99,74.37,8993300,74.37
2013-10-14,74.34,74.71,73.75,74.68,5904000,74.68
2013-10-11,74.61,74.83,73.83,74.82,6529200,74.82
2013-10-10,73.48,74.87,73.27,74.79,7680200,74.79
2013-10-09,72.83,73.34,72.57,73.00,6467400,73.00
2013-10-08,71.85,73.19,71.80,72.90,9224200,72.90
2013-10-07,72.42,72.42,71.51,71.87,6886400,71.87
2013-10-04,73.01,73.38,72.79,72.80,5747700,72.80
2013-10-03,73.53,73.53,72.95,73.16,7179600,73.16
2013-10-02,73.39,73.72,73.04,73.72,7376100,73.72
2013-10-01,73.87,73.89,73.32,73.59,5675500,73.59
2013-09-30,74.28,74.60,73.74,73.96,6752500,73.96
2013-09-27,74.38,74.46,74.07,74.36,4214600,74.36
2013-09-26,74.78,74.98,74.22,74.62,5078100,74.62
2013-09-25,75.91,75.94,73.56,74.65,14972300,74.65
2013-09-24,76.40,76.73,75.69,75.75,6874800,75.75
2013-09-23,75.39,76.43,75.20,76.42,5604700,76.42
2013-09-20,76.32,76.45,75.83,75.83,8847600,75.83
2013-09-19,76.50,76.53,75.62,76.21,7109500,76.21
2013-09-18,75.16,76.53,74.90,76.42,6881700,76.42
2013-09-17,74.84,75.47,74.79,75.15,4291800,75.15
2013-09-16,74.90,75.19,74.69,74.78,4200600,74.78
2013-09-13,74.13,74.40,73.98,74.36,4020400,74.36
2013-09-12,74.18,74.52,73.77,73.91,5261800,73.91
2013-09-11,74.00,74.24,73.66,74.05,5335800,74.05
2013-09-10,73.66,74.21,73.57,73.96,6845300,73.96
2013-09-09,72.85,73.65,72.70,73.51,5523000,73.51
2013-09-06,72.70,73.16,72.19,72.59,5790200,72.59
2013-09-05,72.84,73.48,72.62,72.67,4680500,72.67
2013-09-04,72.70,73.12,72.45,72.91,4667500,72.91
2013-09-03,73.48,73.58,72.54,72.68,7157000,72.68
2013-08-30,72.64,73.07,72.58,72.98,6066200,72.98
2013-08-29,72.35,72.88,72.23,72.43,4088200,72.43
2013-08-28,72.66,72.86,72.27,72.38,5608600,72.38
2013-08-27,72.68,73.11,72.51,72.86,5787600,72.86
2013-08-26,73.64,73.75,73.03,73.03,5348200,73.03
2013-08-23,73.65,73.75,73.03,73.44,5474100,73.44
2013-08-22,73.81,74.03,73.24,73.46,3947400,73.46
2013-08-21,73.16,74.13,72.93,73.55,8077900,73.55
2013-08-20,73.55,73.62,73.20,73.23,6663100,73.23
2013-08-19,73.88,73.93,73.21,73.58,5364900,73.58
2013-08-16,74.12,74.50,73.70,74.11,7254500,74.11
2013-08-15,74.46,75.08,74.03,74.41,13221500,74.41
2013-08-14,76.81,77.22,76.23,76.40,6820100,76.40
2013-08-13,77.17,77.25,76.22,76.86,6381000,76.86
2013-08-12,76.56,77.39,76.49,77.08,5787000,77.08
2013-08-09,77.21,77.32,76.77,76.90,5764600,76.90
2013-08-08,77.51,77.89,76.93,77.25,4474700,77.25
2013-08-07,77.16,77.63,76.62,77.37,5819700,77.37
2013-08-06,78.56,78.57,77.56,77.87,6700900,77.40
2013-08-05,78.62,79.00,78.43,78.77,3906100,78.29
2013-08-02,78.25,78.75,78.00,78.75,6123900,78.27
2013-08-01,78.42,78.67,78.11,78.22,5168700,77.75
2013-07-31,77.92,78.48,77.73,77.94,6040800,77.47
2013-07-30,78.21,78.36,77.69,77.89,4533700,77.42
2013-07-29,77.83,78.25,77.78,77.99,3465000,77.52
2013-07-26,77.93,78.03,77.10,78.00,5349100,77.53
2013-07-25,78.05,78.46,77.63,78.01,5920200,77.54
2013-07-24,78.68,78.69,77.72,78.23,4930000,77.76
2013-07-23,77.96,78.63,77.80,78.55,5252900,78.08
2013-07-22,77.89,78.25,77.73,77.87,4158200,77.40
2013-07-19,77.45,78.17,77.34,78.08,6825900,77.61
2013-07-18,77.22,77.55,77.01,77.34,4149900,76.87
2013-07-17,77.62,77.79,77.09,77.20,5351300,76.73
2013-07-16,76.98,77.45,76.90,77.37,4707600,76.90
2013-07-15,77.30,77.30,76.70,77.03,4887200,76.57
2013-07-12,77.61,77.67,77.33,77.63,4457700,77.16
2013-07-11,77.45,77.75,77.33,77.63,4680700,77.16
2013-07-10,76.96,77.50,76.45,76.77,5144300,76.31
2013-07-09,76.96,77.44,76.74,77.03,5273100,76.57
2013-07-08,75.68,76.77,75.68,76.71,6713400,76.25
2013-07-05,75.15,75.26,74.41,75.21,5443900,74.76
2013-07-03,74.41,75.12,74.09,74.76,2316400,74.31
2013-07-02,74.31,75.68,74.21,74.71,6726400,74.26
2013-07-01,74.99,75.28,74.10,74.59,6697700,74.14
2013-06-28,75.11,75.66,74.45,74.49,14548300,74.04
2013-06-27,75.48,76.11,75.24,75.26,7087800,74.81
2013-06-26,74.62,75.18,74.54,75.01,5478400,74.56
2013-06-25,74.27,74.75,73.84,74.37,7217800,73.92
2013-06-24,73.05,74.79,72.90,74.20,9697300,73.75
2013-06-21,73.52,74.20,73.25,73.51,14564500,73.07
2013-06-20,74.50,74.66,73.01,73.03,9069700,72.59
2013-06-19,75.74,75.96,74.34,74.46,8329100,74.01
2013-06-18,75.00,75.88,74.80,75.73,6739700,75.27
2013-06-17,75.00,75.45,74.51,74.95,6480600,74.50
2013-06-14,74.84,75.27,74.80,74.87,6351500,74.42
2013-06-13,74.78,75.33,74.56,75.00,7239500,74.55
2013-06-12,75.47,75.71,74.65,74.84,4731100,74.39
2013-06-11,75.42,75.83,74.99,75.25,6006400,74.80
2013-06-10,76.28,76.65,75.66,75.75,6731500,75.29
2013-06-07,76.38,76.87,76.19,76.33,8347200,75.87
2013-06-06,75.27,75.74,74.84,75.63,9425100,75.17
2013-06-05,75.72,75.95,75.07,75.25,6778600,74.80
2013-06-04,75.77,76.38,75.47,75.94,9344000,75.48
2013-06-03,75.06,75.80,74.64,75.69,8440500,75.23
2013-05-31,75.36,75.63,74.82,74.84,9745700,74.39
2013-05-30,76.49,76.54,75.61,75.63,6228000,75.17
2013-05-29,77.05,77.05,76.06,76.23,5882300,75.77
2013-05-28,77.52,78.04,77.06,77.32,6059200,76.85
2013-05-24,76.32,77.41,76.15,77.31,7589600,76.84
2013-05-23,76.83,76.94,76.25,76.33,8048200,75.87
2013-05-22,77.19,77.80,76.75,77.03,9031300,76.57
2013-05-21,77.62,78.18,77.25,77.39,7484300,76.92
2013-05-20,77.88,77.90,77.36,77.40,5582600,76.93
2013-05-17,78.30,78.59,77.40,77.87,10669300,77.40
2013-05-16,78.10,78.86,77.34,78.50,12128600,78.03
2013-05-15,78.80,79.96,78.65,79.86,8001100,79.38
2013-05-14,77.98,78.86,77.67,78.78,10013700,78.30
2013-05-13,78.80,78.94,77.92,78.50,7713900,78.03
2013-05-10,78.47,78.91,78.28,78.89,5831200,78.41
2013-05-09,78.31,78.96,77.90,78.40,6516800,77.93
2013-05-08,78.56,78.66,77.78,78.25,8008500,77.78
2013-05-07,79.10,79.14,78.77,78.83,6571100,77.89
2013-05-06,79.10,79.16,78.77,78.83,4805700,77.89
2013-05-03,78.92,79.34,78.90,79.25,5604100,78.30
2013-05-02,77.91,78.49,77.80,78.46,4519600,77.52
2013-05-01,77.85,78.66,77.69,78.06,6260300,77.13
2013-04-30,78.28,78.30,77.37,77.72,7965800,76.79
2013-04-29,79.08,79.25,78.15,78.39,6156800,77.45
2013-04-26,78.58,79.15,78.57,79.04,5923600,78.09
2013-04-25,78.18,78.83,77.88,78.65,5729100,77.71
2013-04-24,79.23,79.50,77.92,78.03,8083600,77.10
2013-04-23,78.11,79.22,78.05,79.09,6653600,78.14
2013-04-22,78.29,78.44,77.50,77.97,5154900,77.04
2013-04-19,77.50,78.44,77.40,78.29,7840500,77.35
2013-04-18,78.76,79.05,76.61,77.16,14218900,76.24
2013-04-17,78.53,79.07,78.11,78.51,7248600,77.57
2013-04-16,78.23,78.86,78.03,78.68,6854400,77.74
2013-04-15,78.44,79.28,78.43,78.47,8545500,77.53
2013-04-12,77.63,78.85,77.58,78.56,6336800,77.62
2013-04-11,77.36,78.37,77.27,77.79,7129100,76.86
2013-04-10,78.28,78.38,77.37,77.37,8599000,76.44
2013-04-09,77.24,78.46,77.02,78.12,8669900,77.19
2013-04-08,76.10,77.45,75.83,77.29,8075100,76.37
2013-04-05,75.55,76.41,75.43,76.39,5880300,75.48
2013-04-04,75.96,76.58,75.96,76.20,7508200,75.29
2013-04-03,76.31,76.68,75.72,76.00,7453900,75.09
2013-04-02,75.55,76.05,75.42,76.02,6642800,75.11
2013-04-01,75.00,75.93,74.90,75.43,8415400,74.53
2013-03-28,74.84,74.97,74.38,74.83,7368300,73.93
2013-03-27,74.31,74.96,74.24,74.78,5970300,73.89
2013-03-26,74.93,75.09,74.43,74.77,6642400,73.88
2013-03-25,74.14,75.11,74.12,74.85,10438700,73.95
2013-03-22,73.35,74.29,73.29,74.28,7323800,73.39
2013-03-21,72.87,73.47,72.85,73.13,5506700,72.26
2013-03-20,72.81,73.38,72.74,72.99,6320300,72.12
2013-03-19,72.42,72.87,72.19,72.45,5752800,71.58
2013-03-18,72.29,72.73,72.01,72.25,5771000,71.39
2013-03-15,73.01,73.50,72.43,72.50,17195100,71.63
2013-03-14,73.87,74.00,73.13,73.22,6353200,72.34
2013-03-13,73.89,74.20,73.54,73.65,5326100,72.77
2013-03-12,72.95,73.90,72.84,73.60,8153400,72.72
2013-03-11,73.09,73.24,72.81,72.98,5148700,72.11
2013-03-08,73.30,73.39,72.84,73.03,5744600,72.16
2013-03-07,73.49,73.61,73.20,73.32,6680000,71.98
2013-03-06,73.75,74.13,73.25,73.38,7149600,72.04
2013-03-05,73.47,74.04,72.99,73.72,9142000,72.37
2013-03-04,71.52,73.26,71.51,73.26,10567200,71.92
2013-03-01,70.78,71.90,70.78,71.74,8902300,70.43
2013-02-28,71.59,71.88,70.78,70.78,18883600,69.49
2013-02-27,70.92,71.96,70.58,71.66,8819000,70.35
2013-02-26,70.69,71.39,70.61,71.11,10557600,69.81
2013-02-25,70.50,71.34,70.44,70.44,11817600,69.15
2013-02-22,70.22,70.54,69.89,70.40,9165200,69.11
2013-02-21,70.00,71.47,69.72,70.26,20413100,68.97
2013-02-20,68.72,69.85,68.30,69.21,11973600,67.94
