/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,28.56,28.57,28.07,28.10,5832400,28.10
2013-11-19,28.64,28.68,28.45,28.49,3314700,28.49
2013-11-18,28.64,28.70,28.49,28.62,3427800,28.62
2013-11-15,28.46,28.75,28.46,28.60,4316700,28.60
2013-11-14,28.50,28.73,28.45,28.59,3515200,28.59
2013-11-13,28.14,28.52,28.04,28.51,2292200,28.51
2013-11-12,28.50,28.65,28.23,28.37,2737200,28.37
2013-11-11,28.48,28.75,28.39,28.60,1481200,28.60
2013-11-08,28.53,28.55,27.96,28.52,2787300,28.52
2013-11-07,29.10,29.10,28.60,28.63,2546600,28.63
2013-11-06,28.85,28.95,28.70,28.95,3025400,28.95
2013-11-05,28.89,29.09,28.72,28.72,3009600,28.72
2013-11-04,29.00,29.05,28.73,28.98,1634600,28.98
2013-11-01,28.95,29.12,28.79,28.92,2164100,28.92
2013-10-31,28.92,29.05,28.49,28.86,3095900,28.86
2013-10-30,29.21,29.40,28.86,28.90,2927200,28.90
2013-10-29,29.16,29.23,29.03,29.14,2412900,29.14
2013-10-28,29.12,29.32,29.04,29.08,2971800,29.08
2013-10-25,29.01,29.13,28.69,29.10,2552700,29.10
2013-10-24,29.33,29.35,28.66,28.88,3235400,28.88
2013-10-23,29.05,29.35,28.87,29.07,3900700,29.07
2013-10-22,28.59,29.19,28.57,29.07,3338200,29.07
2013-10-21,28.65,28.70,28.44,28.57,2338200,28.57
2013-10-18,28.48,28.74,28.38,28.60,3653600,28.60
2013-10-17,27.94,28.55,27.76,28.49,2077600,28.49
2013-10-16,27.79,28.02,27.74,28.01,2183600,28.01
2013-10-15,27.90,27.97,27.63,27.69,1993400,27.69
2013-10-14,28.15,28.19,27.67,28.04,2098200,28.04
2013-10-11,28.06,28.30,28.01,28.27,1737700,28.27
2013-10-10,27.93,28.20,27.54,28.15,2434300,28.15
2013-10-09,27.61,28.07,27.55,27.77,3293400,27.77
2013-10-08,27.23,27.76,27.17,27.58,4724200,27.58
2013-10-07,27.16,27.45,27.14,27.17,1344900,27.17
2013-10-04,27.32,27.43,27.23,27.30,1063500,27.30
2013-10-03,27.62,27.65,27.20,27.26,3251900,27.26
2013-10-02,27.71,27.76,27.45,27.76,2663600,27.76
2013-10-01,27.68,27.89,27.58,27.79,2260000,27.79
2013-09-30,27.59,27.73,27.47,27.61,3242900,27.61
2013-09-27,27.75,27.89,27.55,27.69,2062500,27.69
2013-09-26,27.85,28.05,27.75,27.88,1680900,27.88
2013-09-25,28.10,28.17,27.84,27.86,2559900,27.86
2013-09-24,28.19,28.24,27.95,28.14,3279300,28.14
2013-09-23,27.70,28.35,27.51,28.20,4369900,28.20
2013-09-20,27.97,27.97,27.58,27.75,7052700,27.75
2013-09-19,27.95,28.05,27.75,27.83,3384000,27.83
2013-09-18,27.03,28.11,26.90,27.94,9376000,27.94
2013-09-17,27.27,27.29,27.03,27.10,6003000,27.10
2013-09-16,27.87,28.10,27.36,27.40,6175300,27.12
2013-09-13,27.64,27.77,27.55,27.64,3220500,27.36
2013-09-12,27.68,27.80,27.54,27.56,4024500,27.28
2013-09-11,27.92,27.92,27.44,27.64,6417500,27.36
2013-09-10,27.57,27.72,27.45,27.72,9953700,27.44
2013-09-09,27.39,27.56,27.31,27.46,8423800,27.18
2013-09-06,27.38,27.64,27.27,27.37,8580400,27.09
