Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,31.39,31.39,30.86,30.92,1763700,30.92
2013-11-19,30.99,31.52,30.99,31.20,1854400,31.20
2013-11-18,31.34,31.65,31.34,31.42,1551200,31.42
2013-11-15,31.31,31.43,31.21,31.39,1905100,31.39
2013-11-14,31.15,31.44,31.10,31.34,1413300,31.34
2013-11-13,30.63,31.06,30.63,31.05,2528300,31.05
2013-11-12,31.33,31.39,30.79,30.89,2385500,30.89
2013-11-11,31.31,31.45,31.19,31.43,2053500,31.43
2013-11-08,30.76,31.27,30.75,31.25,1691700,31.25
2013-11-07,30.95,31.10,30.75,30.76,2492600,30.76
2013-11-06,30.88,31.00,30.75,30.83,2648900,30.83
2013-11-05,30.50,30.78,30.41,30.63,1940100,30.63
2013-11-04,30.28,30.51,30.03,30.51,1601100,30.51
2013-11-01,30.57,30.61,30.18,30.32,3456500,30.32
2013-10-31,30.19,30.60,30.03,30.57,5814300,30.57
2013-10-30,31.58,31.58,31.11,31.14,2733200,31.14
2013-10-29,31.65,31.69,31.50,31.55,2586100,31.55
2013-10-28,31.60,31.65,31.44,31.56,3984400,31.56
2013-10-25,31.90,31.91,31.59,31.68,926600,31.68
2013-10-24,31.75,31.96,31.74,31.95,1264800,31.95
2013-10-23,32.02,32.03,31.58,31.72,1272100,31.72
2013-10-22,31.97,32.28,31.97,32.14,1959900,32.14
2013-10-21,32.14,32.20,31.84,31.87,1163100,31.87
2013-10-18,32.24,32.26,31.91,32.08,1229200,32.08
2013-10-17,31.58,32.10,31.56,32.07,1072300,32.07
2013-10-16,31.30,31.79,31.30,31.78,1181100,31.78
2013-10-15,31.45,31.52,31.05,31.08,1192700,31.08
2013-10-14,31.12,31.48,31.12,31.45,1218400,31.45
2013-10-11,31.19,31.42,31.13,31.30,1809500,31.30
2013-10-10,30.94,31.28,30.93,31.28,1638000,31.28
2013-10-09,30.67,30.68,30.37,30.58,1550400,30.58
2013-10-08,31.17,31.19,30.59,30.60,1391100,30.60
2013-10-07,30.99,31.42,30.24,31.11,1291100,31.11
2013-10-04,30.89,31.18,30.83,31.15,928500,31.15
2013-10-03,31.16,31.21,30.72,30.87,1245600,30.87
2013-10-02,30.82,31.27,30.81,31.26,2174400,31.26
2013-10-01,30.85,31.11,30.80,30.98,1428900,30.98
2013-09-30,30.68,30.85,30.56,30.82,1851900,30.82
2013-09-27,30.30,31.15,30.30,31.00,1361700,31.00
2013-09-26,31.01,31.09,30.79,30.96,1210500,30.96
2013-09-25,30.90,31.07,30.81,30.92,2876600,30.92
2013-09-24,31.20,31.22,30.84,30.86,2273100,30.86
2013-09-23,31.23,31.45,31.17,31.23,1287500,31.23
2013-09-20,31.42,31.62,31.33,31.44,2229800,31.44
2013-09-19,31.55,31.64,31.30,31.39,2947000,31.39
2013-09-18,30.86,31.54,30.80,31.53,1998700,31.53
2013-09-17,30.79,31.04,30.75,30.92,1103700,30.92
2013-09-16,30.66,30.88,30.48,30.78,1679100,30.78
2013-09-13,30.45,30.63,30.42,30.51,1153300,30.51
2013-09-12,30.55,30.59,30.28,30.31,1845500,30.31
2013-09-11,30.50,30.79,30.48,30.58,1730900,30.58
2013-09-10,30.43,30.59,30.36,30.59,1141900,30.45
2013-09-09,30.01,30.31,29.95,30.23,1304600,30.09
2013-09-06,30.33,30.34,29.63,29.94,1183400,29.80
2013-09-05,30.31,30.40,30.15,30.15,1193100,30.01
2013-09-04,30.12,30.43,30.06,30.30,2375800,30.16
2013-09-03,30.05,30.24,29.89,30.13,2228200,29.99
2013-08-30,29.92,29.99,29.48,29.56,2902600,29.42
2013-08-29,29.77,30.13,29.77,29.97,1210000,29.83
2013-08-28,30.09,30.23,29.79,29.88,3149000,29.74
2013-08-27,30.40,30.48,30.09,30.13,1537900,29.99
2013-08-26,31.01,31.07,30.80,30.80,920800,30.66
2013-08-23,30.92,31.06,30.82,30.92,1029100,30.78
2013-08-22,30.46,30.92,30.45,30.81,1106500,30.67
2013-08-21,30.31,30.71,30.16,30.42,2539000,30.28
2013-08-20,30.20,30.51,30.03,30.40,1241100,30.26
2013-08-19,30.35,30.46,30.09,30.10,1459600,29.96
2013-08-16,30.26,30.66,30.25,30.43,1237400,30.29
2013-08-15,30.65,30.75,30.33,30.37,1142200,30.23
2013-08-14,30.78,31.05,30.73,30.91,2259200,30.77
2013-08-13,30.78,31.02,30.60,30.78,1519000,30.64
2013-08-12,30.67,30.97,30.56,30.73,1047600,30.59
2013-08-09,31.01,31.11,30.74,30.84,1963800,30.70
2013-08-08,31.30,31.32,30.99,31.01,2489700,30.87
2013-08-07,31.24,31.32,30.93,31.20,1478900,31.06
2013-08-06,31.80,31.80,31.27,31.37,2518700,31.23
2013-08-05,31.84,31.97,31.62,31.66,1224300,31.52
2013-08-02,31.95,32.20,31.84,31.95,1448500,31.80
2013-08-01,31.67,32.11,31.65,32.06,1870300,31.91
2013-07-31,31.48,31.69,31.34,31.35,2496300,31.21
2013-07-30,31.76,32.06,31.04,31.41,3192800,31.27
2013-07-29,32.08,32.28,32.00,32.01,2073400,31.86
2013-07-26,31.96,32.25,31.82,32.22,1085100,32.07
2013-07-25,31.73,32.14,31.61,32.12,1454300,31.97
2013-07-24,32.35,32.45,31.72,31.80,1951600,31.65
2013-07-23,33.07,33.12,32.19,32.24,2738700,32.09
2013-07-22,32.83,33.07,32.82,33.03,957100,32.88
2013-07-19,32.79,32.95,32.64,32.88,1251900,32.73
2013-07-18,32.43,32.74,32.42,32.71,1434300,32.56
2013-07-17,32.21,32.49,32.20,32.30,1582000,32.15
2013-07-16,32.57,32.67,31.97,32.14,1818100,31.99
2013-07-15,32.09,32.43,31.91,32.40,1878200,32.25
2013-07-12,31.46,32.04,31.46,32.01,1494700,31.86
2013-07-11,31.27,31.61,31.00,31.54,1613500,31.40
2013-07-10,31.25,31.35,30.85,30.94,2413300,30.80
2013-07-09,31.20,31.39,31.07,31.34,1279800,31.20
2013-07-08,30.80,31.03,30.75,30.97,1457200,30.83
2013-07-05,30.48,30.65,30.29,30.65,1616600,30.51
2013-07-03,30.22,30.42,30.09,30.25,1008700,30.11
2013-07-02,30.61,30.97,30.34,30.48,2277000,30.34
2013-07-01,30.48,30.91,30.48,30.62,1989100,30.48
2013-06-28,30.35,30.62,30.18,30.32,2641900,30.18
2013-06-27,30.30,30.75,30.29,30.44,2096800,30.30
2013-06-26,30.00,30.24,29.94,30.11,1784100,29.97
2013-06-25,29.55,29.95,29.44,29.76,2636400,29.62
2013-06-24,29.19,29.51,28.88,29.32,3175500,29.19
2013-06-21,30.23,30.27,29.38,29.56,4616700,29.42
2013-06-20,30.57,30.72,29.88,29.98,2846600,29.84
2013-06-19,31.62,31.65,30.82,30.82,1931000,30.68
2013-06-18,31.22,31.70,31.15,31.69,1078400,31.54
2013-06-17,31.23,31.37,30.90,31.13,1503200,30.99
2013-06-14,31.19,31.36,30.94,31.06,1737700,30.92
2013-06-13,30.81,31.36,30.57,31.30,1813300,31.16
2013-06-12,30.82,31.23,30.66,30.84,1951200,30.70
2013-06-11,31.31,31.36,30.81,30.86,2074300,30.58
2013-06-10,31.38,31.57,31.23,31.54,1541400,31.25
2013-06-07,31.22,31.46,31.05,31.31,2239900,31.03
2013-06-06,30.73,31.05,30.57,31.05,1748800,30.77
2013-06-05,31.20,31.32,30.75,30.80,2120200,30.52
2013-06-04,31.22,31.57,31.05,31.37,3106200,31.08
2013-06-03,31.53,31.57,30.76,31.28,2676100,31.00
2013-05-31,31.91,32.03,31.42,31.43,1587500,31.14
2013-05-30,31.84,32.09,31.71,31.99,1972000,31.70
2013-05-29,31.58,31.77,31.31,31.73,2266200,31.44
2013-05-28,31.83,31.99,31.53,31.78,1807300,31.49
2013-05-24,31.41,31.60,31.26,31.50,1712100,31.21
2013-05-23,31.69,31.94,31.55,31.62,2295100,31.33
2013-05-22,32.00,32.34,31.84,31.98,4308500,31.69
2013-05-21,32.26,32.39,31.82,32.05,2079400,31.76
2013-05-20,32.45,32.46,32.14,32.27,2020600,31.98
2013-05-17,32.67,32.77,32.41,32.45,2299200,32.15
2013-05-16,32.72,32.81,32.47,32.66,1867600,32.36
2013-05-15,32.69,32.83,32.43,32.70,1668500,32.40
2013-05-14,32.07,32.77,32.00,32.71,4254300,32.41
2013-05-13,31.92,32.11,31.84,32.07,2303200,31.78
2013-05-10,31.92,32.01,31.69,31.93,1520700,31.64
2013-05-09,31.93,32.14,31.86,31.99,2280800,31.70
2013-05-08,32.07,32.15,31.86,31.92,3821700,31.63
2013-05-07,32.20,32.33,32.04,32.10,3289200,31.81
2013-05-06,32.25,32.28,31.97,32.13,3609500,31.84
2013-05-03,31.38,32.96,31.38,32.23,9451600,31.94
2013-05-02,30.95,31.25,30.70,30.80,3260600,30.52
2013-05-01,31.14,31.34,30.80,30.89,2217400,30.61
2013-04-30,31.09,31.60,31.07,31.14,2815000,30.86
2013-04-29,31.20,31.31,31.10,31.14,1100400,30.86
2013-04-26,31.46,31.53,31.15,31.15,1203800,30.87
2013-04-25,31.66,31.74,31.43,31.51,1100500,31.22
2013-04-24,31.16,31.70,31.11,31.62,1732700,31.33
2013-04-23,30.82,31.11,30.77,31.10,1631100,30.82
2013-04-22,30.52,30.62,30.28,30.53,1015100,30.25
2013-04-19,30.22,30.46,30.13,30.44,1624800,30.16
2013-04-18,30.78,30.85,29.93,30.03,3414200,29.76
2013-04-17,30.98,30.98,30.64,30.79,1953200,30.51
2013-04-16,30.67,31.15,30.49,31.15,1804700,30.87
2013-04-15,31.17,31.20,30.41,30.41,2365700,30.13
2013-04-12,31.46,31.57,31.18,31.29,1609600,31.01
2013-04-11,31.40,31.63,31.33,31.60,1430300,31.31
2013-04-10,31.20,31.33,30.96,31.32,1981400,31.04
2013-04-09,31.10,31.26,30.87,31.09,1693800,30.81
2013-04-08,30.71,31.04,30.65,31.02,1845600,30.74
2013-04-05,30.27,30.82,30.05,30.77,2151800,30.49
2013-04-04,30.56,30.71,30.38,30.58,2663000,30.30
2013-04-03,30.86,30.96,30.45,30.56,3136500,30.28
2013-04-02,30.44,30.91,30.40,30.81,2047300,30.53
2013-04-01,30.35,30.54,30.14,30.25,1623900,29.97
2013-03-28,30.36,30.41,30.17,30.30,2590000,30.02
2013-03-27,30.06,30.35,30.04,30.30,1117400,30.02
2013-03-26,30.42,30.45,30.17,30.25,1775500,29.97
2013-03-25,30.42,30.61,30.15,30.30,1536600,30.02
2013-03-22,30.29,30.38,30.12,30.25,1677000,29.97
2013-03-21,30.04,30.42,30.02,30.20,1957700,29.93
2013-03-20,30.25,30.41,30.13,30.22,3162100,29.95
2013-03-19,30.40,30.45,30.02,30.12,1946700,29.85
2013-03-18,29.98,30.42,29.97,30.28,2010000,30.00
2013-03-15,30.26,30.48,30.16,30.40,2915100,30.12
2013-03-14,30.19,30.41,30.12,30.37,2781000,30.09
2013-03-13,29.74,30.11,29.60,30.00,2448800,29.73
2013-03-12,29.76,29.93,29.72,29.90,1937400,29.49
2013-03-11,29.59,29.76,29.56,29.73,3061900,29.32
2013-03-08,29.65,29.82,29.46,29.66,2402500,29.25
2013-03-07,29.51,29.69,29.40,29.53,2052300,29.12
2013-03-06,29.57,29.66,29.41,29.47,2126400,29.07
2013-03-05,29.21,29.60,29.19,29.47,1621100,29.07
2013-03-04,28.83,29.06,28.69,29.04,1851400,28.64
2013-03-01,28.50,28.91,28.23,28.82,3228700,28.42
2013-02-28,28.77,28.93,28.64,28.64,2275200,28.25
2013-02-27,28.42,28.88,28.28,28.76,3011900,28.37
2013-02-26,28.31,28.50,28.07,28.42,3095600,28.03
2013-02-25,29.13,29.23,28.20,28.20,2141500,27.81
2013-02-22,28.65,29.05,28.65,28.99,2244000,28.59
2013-02-21,28.44,28.49,28.29,28.46,2540500,28.07
2013-02-20,28.77,28.87,28.49,28.53,2303000,28.14
2013-02-19,28.71,28.91,28.59,28.80,2803500,28.40
