/*Owner & Copyrights: Vance King Saxbe. A.*/Date,Open,High,Low,Close,Volume,Adj Close
2012-05-18,90.21,91.11,89.69,89.85,7990700,89.85
2012-05-17,91.28,91.58,89.50,89.62,9094100,89.62
2012-05-16,91.12,91.69,90.98,91.43,4949100,91.43
2012-05-15,90.99,91.74,90.85,91.01,4890300,91.01
2012-05-14,91.54,91.69,90.66,90.88,6050000,90.88
2012-05-11,91.69,92.60,91.67,91.90,5366500,91.90
2012-05-10,92.70,92.73,91.73,91.87,7129500,91.87
2012-05-09,92.99,93.09,91.56,91.93,8975700,91.93
2012-05-08,93.90,94.87,92.97,93.55,12379500,93.55
2012-05-07,95.73,96.03,95.20,95.51,5089700,95.51
2012-05-04,96.85,96.85,95.75,95.87,4688500,95.87
2012-05-03,97.47,97.58,96.79,97.04,3935200,97.04
2012-05-02,96.90,97.71,96.90,97.51,4348300,97.51
2012-05-01,97.23,98.01,97.13,97.20,5297900,97.20
2012-04-30,97.61,97.75,97.09,97.45,4507200,97.45
2012-04-27,96.23,97.53,95.80,97.38,7373300,97.38
2012-04-26,94.94,96.07,94.94,95.83,4741200,95.83
2012-04-25,95.15,95.24,94.78,95.22,5699600,95.22
2012-04-24,95.01,95.45,94.15,94.59,6223800,94.59
2012-04-23,95.78,95.93,94.85,95.19,5217500,95.19
2012-04-20,96.91,97.77,95.65,95.94,11021200,95.94
2012-04-19,97.16,97.24,94.13,95.28,13939100,95.28
2012-04-18,97.02,97.98,97.02,97.34,5388700,97.34
2012-04-17,96.92,97.58,96.91,97.11,7592700,97.11
2012-04-16,97.09,97.90,96.32,96.58,6236300,96.58
2012-04-13,97.52,97.80,96.96,96.97,5223700,96.97
2012-04-12,98.72,98.75,97.35,97.64,5763900,97.64
2012-04-11,98.29,98.73,97.50,98.56,6366600,98.56
2012-04-10,98.78,98.78,97.31,97.67,7581600,97.67
2012-04-09,97.74,99.50,97.64,98.88,6712700,98.88
2012-04-05,97.13,98.66,97.07,98.62,5469400,98.62
2012-04-04,98.25,98.57,97.15,97.48,7768300,97.48
2012-04-03,98.31,99.41,98.30,99.40,5422200,99.40
2012-04-02,97.82,98.81,97.68,98.36,4603000,98.36
2012-03-30,97.88,98.25,97.76,98.10,4429500,98.10
2012-03-29,96.95,97.70,96.93,97.64,4103600,97.64
2012-03-28,97.52,97.84,97.06,97.08,5055400,97.08
2012-03-27,97.29,97.83,97.07,97.34,4877500,97.34
2012-03-26,96.16,97.03,96.10,96.97,5644100,96.97
2012-03-23,95.91,95.94,95.13,95.55,6041500,95.55
2012-03-22,96.13,96.48,95.77,95.80,7721200,95.80
2012-03-21,97.53,97.82,96.72,96.72,6038600,96.72
2012-03-20,97.46,97.85,97.07,97.65,4757100,97.65
2012-03-19,97.36,98.10,97.32,97.73,4634500,97.73
2012-03-16,98.42,98.55,97.57,97.66,7337000,97.66
2012-03-15,97.15,98.19,97.15,98.04,5768200,98.04
2012-03-14,96.69,97.44,96.68,97.29,7209100,97.29
2012-03-13,96.99,97.29,96.37,96.78,6350900,96.78
2012-03-12,97.05,97.48,96.58,96.66,4503100,96.66
2012-03-09,97.45,97.60,96.53,96.84,7808700,96.84
2012-03-08,97.00,97.65,96.46,96.96,16841200,96.96
2012-03-07,100.00,100.44,99.54,100.18,5873500,100.18
2012-03-06,99.18,100.20,99.10,99.89,6713900,99.89
2012-03-05,99.42,100.35,98.84,99.94,6313200,99.94
2012-03-02,99.27,99.64,98.96,99.50,4311700,99.50
2012-03-01,99.28,99.68,99.14,99.25,4086100,99.25
2012-02-29,99.86,99.88,99.26,99.28,5461000,99.28
2012-02-28,99.77,100.10,99.50,99.78,4365800,99.78
2012-02-27,100.03,100.75,99.50,100.36,4044500,99.66
2012-02-24,100.76,100.76,100.05,100.32,3661800,99.62
2012-02-23,100.81,101.04,100.40,100.81,4166500,100.11
2012-02-22,100.15,100.75,100.15,100.66,3918900,99.96
2012-02-21,100.12,100.75,100.00,100.49,4474800,99.79
2012-02-17,99.66,100.25,99.41,99.99,4931700,99.29
2012-02-16,98.36,99.44,98.36,99.26,3996300,98.57
2012-02-15,99.66,99.75,98.31,98.61,5260500,97.92
2012-02-14,99.51,99.64,98.95,99.55,3520800,98.86
2012-02-13,99.72,99.92,99.28,99.65,2971100,98.95
2012-02-10,99.52,99.66,98.94,99.47,3874700,98.78
2012-02-09,100.06,100.46,99.70,99.99,3608800,99.29
2012-02-08,101.12,101.29,99.60,100.05,5433600,99.35
2012-02-07,99.57,101.18,99.56,100.91,6029900,100.21
2012-02-06,99.96,100.00,99.34,99.49,3486600,98.80
2012-02-03,99.18,100.27,99.04,100.01,5600900,99.31
2012-02-02,98.26,98.82,98.26,98.62,3984000,97.93
2012-02-01,99.46,99.49,98.36,98.40,6141300,97.71
2012-01-31,99.04,99.26,98.25,99.05,6574200,98.36
2012-01-30,98.04,98.81,97.70,98.69,6104900,98.00
2012-01-27,98.57,98.94,98.35,98.69,5135000,98.00
2012-01-26,99.54,99.71,98.69,99.18,4607100,98.49
2012-01-25,98.41,99.51,98.05,99.23,7544000,98.54
2012-01-24,101.02,101.02,98.41,98.75,11654100,98.06
2012-01-23,101.71,101.89,100.04,100.95,6059700,100.25
2012-01-20,101.39,102.22,101.27,101.74,5630400,101.03
2012-01-19,101.77,101.80,100.70,101.26,4763300,100.55
2012-01-18,100.90,101.87,100.74,101.56,4844500,100.85
2012-01-17,100.59,101.20,100.05,100.55,4555800,99.85
2012-01-13,100.18,100.43,99.61,100.35,4134800,99.65
2012-01-12,100.37,100.65,100.07,100.57,4022700,99.87
2012-01-11,99.62,100.11,99.35,99.93,4622500,99.23
2012-01-10,100.24,100.45,99.35,99.70,5075400,99.00
2012-01-09,100.88,100.93,99.51,99.64,4433700,98.95
2012-01-06,100.09,100.77,99.87,100.60,6775300,99.90
2012-01-05,99.47,100.40,98.68,99.83,8163800,99.13
2012-01-04,99.11,100.30,98.76,99.39,6754700,98.70
2012-01-03,101.33,101.59,98.75,98.84,8895900,98.15
2011-12-30,100.43,100.82,100.06,100.33,2957200,99.63
2011-12-29,99.75,101.00,99.60,100.81,3986200,100.11
2011-12-28,100.73,100.75,99.46,99.58,3111600,98.89
2011-12-27,100.17,100.82,100.00,100.55,3052100,99.85
2011-12-23,98.84,100.15,98.76,100.15,3516800,99.45
2011-12-22,99.24,99.35,98.55,98.60,4752500,97.91
2011-12-21,98.98,99.50,98.70,99.20,5414500,98.51
2011-12-20,98.07,98.92,97.93,98.82,5981100,98.13
2011-12-19,97.92,98.37,96.98,97.24,5169500,96.56
2011-12-16,98.54,98.62,97.08,97.49,8867300,96.81
2011-12-15,98.51,98.78,97.86,98.14,5558600,97.46
2011-12-14,97.76,98.46,97.16,97.61,6347200,96.93
2011-12-13,98.74,98.95,97.76,98.00,6862400,97.32
2011-12-12,97.67,98.53,97.20,98.48,5804900,97.79
2011-12-09,97.67,98.43,97.62,98.03,5721200,97.35
2011-12-08,97.03,98.29,96.72,96.92,8123000,96.24
2011-12-07,95.83,96.65,95.50,96.45,5137800,95.78
2011-12-06,95.47,96.27,94.82,96.01,5346500,95.34
2011-12-05,96.42,96.59,95.08,95.35,5906900,94.68
2011-12-02,96.37,96.47,95.32,95.70,4023100,95.03
2011-12-01,95.44,95.88,95.22,95.50,4860300,94.83
2011-11-30,94.85,95.54,94.64,95.52,7683300,94.85
2011-11-29,93.54,93.79,93.11,93.46,5648300,92.81
2011-11-28,93.19,93.99,93.07,93.76,6101200,92.41
2011-11-25,91.87,92.45,91.80,92.10,2452400,90.77
2011-11-23,92.32,92.50,91.70,91.87,4555800,90.55
2011-11-22,91.90,93.14,91.81,92.65,4695700,91.32
2011-11-21,92.03,92.62,91.22,92.28,5869400,90.95
2011-11-18,92.56,93.00,92.19,92.74,4791500,91.41
2011-11-17,93.14,93.55,91.72,92.29,5435000,90.96
2011-11-16,93.91,94.33,93.07,93.15,3915600,91.81
2011-11-15,93.87,94.91,93.70,94.47,5577300,93.11
2011-11-14,94.35,94.80,93.86,94.06,3232200,92.71
2011-11-11,93.93,94.95,93.86,94.76,4425500,93.40
2011-11-10,93.28,93.49,92.59,93.26,4189400,91.92
2011-11-09,93.41,93.96,92.35,92.65,6666000,91.32
2011-11-08,94.96,95.45,93.84,94.60,7195500,93.24
2011-11-07,93.92,94.70,93.22,94.62,4646700,93.26
2011-11-04,92.84,93.83,92.30,93.81,5612500,92.46
2011-11-03,92.83,93.15,92.28,93.00,5245400,91.66
2011-11-02,92.33,92.83,91.67,92.53,5421700,91.20
2011-11-01,92.31,93.39,91.71,91.91,6503500,90.59
2011-10-31,92.78,93.68,92.78,92.85,4544600,91.51
2011-10-28,93.49,93.65,92.49,93.29,4942400,91.95
2011-10-27,93.31,93.84,92.01,93.51,7004300,92.16
2011-10-26,92.38,92.67,90.87,91.78,7046500,90.46
2011-10-25,91.86,92.86,91.45,91.77,6465700,90.45
2011-10-24,92.07,92.31,91.40,92.01,6653900,90.69
2011-10-21,91.22,92.45,91.09,92.32,12081700,90.99
2011-10-20,90.00,90.15,88.38,89.01,6969800,87.73
2011-10-19,89.92,90.63,89.31,89.62,5681700,88.33
2011-10-18,88.95,90.00,88.21,89.64,4864000,88.35
2011-10-17,89.41,89.90,88.51,88.66,4321700,87.38
2011-10-14,89.98,89.98,89.14,89.94,3702300,88.65
2011-10-13,88.39,89.94,88.28,89.31,4990800,88.02
2011-10-12,89.83,89.83,88.03,88.36,7847900,87.09
2011-10-11,88.83,89.89,88.67,89.34,6868200,88.05
2011-10-10,88.05,88.52,87.61,88.51,5136400,87.24
2011-10-07,87.29,87.97,86.59,87.20,5509200,85.95
2011-10-06,86.45,87.25,86.07,87.11,5861000,85.86
2011-10-05,86.67,86.77,84.90,85.83,7730400,84.60
2011-10-04,85.06,86.60,83.74,86.48,10700000,85.24
2011-10-03,87.43,87.78,86.00,86.02,9185600,84.78
2011-09-30,87.99,90.17,87.81,87.82,8776100,86.56
2011-09-29,89.45,89.82,87.38,88.78,8145900,87.50
2011-09-28,89.74,90.38,87.98,88.03,7027800,86.76
2011-09-27,90.24,91.00,89.40,89.74,8043200,88.45
2011-09-26,87.96,89.47,86.73,89.34,7515500,88.05
2011-09-23,86.10,87.85,85.75,87.37,7614900,86.11
2011-09-22,85.84,86.97,85.10,85.99,10785600,84.75
2011-09-21,89.26,89.72,87.48,87.52,5777500,86.26
2011-09-20,89.24,90.56,89.00,89.31,7942200,88.02
2011-09-19,87.61,89.22,87.54,88.81,6471600,87.53
2011-09-16,88.26,88.76,88.04,88.29,7594500,87.02
2011-09-15,87.55,88.24,87.37,88.07,6755100,86.80
2011-09-14,86.30,87.79,85.44,86.75,7666600,85.50
2011-09-13,86.17,86.30,85.17,86.12,6598700,84.88
2011-09-12,84.44,86.20,84.16,86.19,8271000,84.95
2011-09-09,86.29,86.46,83.65,85.03,18444800,83.81
2011-09-08,89.16,90.00,88.61,88.61,7330000,87.34
2011-09-07,89.48,89.48,88.62,89.29,7065300,88.01
2011-09-06,87.42,88.95,87.07,88.82,7198400,87.54
2011-09-02,89.46,89.93,89.01,89.09,5250800,87.81
2011-09-01,90.27,91.09,90.03,90.07,5475400,88.77
2011-08-31,91.06,91.20,90.02,90.41,9168400,89.11
2011-08-30,90.24,91.22,90.10,90.78,6311800,89.47
2011-08-29,90.60,90.82,90.07,90.79,6261700,88.88
2011-08-26,88.65,90.49,87.83,89.93,5958600,88.04
2011-08-25,90.06,90.46,88.36,88.71,8671900,86.85
2011-08-24,89.06,90.15,88.54,90.13,8174400,88.24
2011-08-23,87.76,89.56,87.75,89.53,6617100,87.65
