Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,32.57,32.63,32.13,32.27,2769600,32.27
2013-11-19,32.50,32.65,32.27,32.56,2301400,32.56
2013-11-18,33.08,33.08,32.50,32.59,2743000,32.59
2013-11-15,33.02,33.05,32.72,33.00,2558700,33.00
2013-11-14,32.81,33.19,32.72,33.06,2535900,33.06
2013-11-13,32.28,32.84,32.23,32.81,2863300,32.81
2013-11-12,32.38,32.46,32.05,32.33,2549700,32.33
2013-11-11,32.64,32.83,32.25,32.41,3346800,32.41
2013-11-08,32.35,32.64,31.98,32.64,3220100,32.64
2013-11-07,32.97,33.00,32.27,32.36,3243700,32.36
2013-11-06,32.63,32.96,32.50,32.89,4164600,32.89
2013-11-05,31.65,32.70,31.53,32.56,5417100,32.56
2013-11-04,31.81,31.93,31.46,31.65,2284300,31.65
2013-11-01,31.85,31.91,31.60,31.80,2904600,31.80
2013-10-31,32.08,32.22,31.80,31.81,2446400,31.81
2013-10-30,32.30,32.30,31.94,32.08,3086700,32.08
2013-10-29,32.10,32.25,31.86,32.24,3910500,32.24
2013-10-28,31.75,32.26,31.70,32.20,6858800,31.95
2013-10-25,31.60,31.77,31.45,31.72,3405300,31.47
2013-10-24,31.68,31.75,31.39,31.57,2102400,31.32
2013-10-23,31.76,31.87,31.57,31.60,2957500,31.35
2013-10-22,31.19,31.87,31.16,31.82,4061500,31.57
2013-10-21,31.16,31.19,30.83,31.17,2615000,30.93
2013-10-18,31.34,31.40,31.03,31.17,3677000,30.93
2013-10-17,31.09,31.41,31.02,31.33,2448700,31.09
2013-10-16,30.99,31.23,30.90,31.20,3206800,30.96
2013-10-15,30.69,30.97,30.59,30.77,2641600,30.53
2013-10-14,30.67,30.83,30.60,30.76,1537100,30.52
2013-10-11,30.68,30.91,30.62,30.85,2579600,30.61
2013-10-10,30.42,30.80,30.40,30.78,3390200,30.54
2013-10-09,30.17,30.37,29.99,30.19,3428100,29.96
2013-10-08,30.40,30.40,30.09,30.09,2768900,29.86
2013-10-07,30.15,30.56,30.10,30.34,2582100,30.10
2013-10-04,30.34,30.44,30.20,30.37,2774100,30.13
2013-10-03,30.55,30.67,30.33,30.40,4885000,30.16
2013-10-02,30.31,30.71,30.19,30.62,6270200,30.38
2013-10-01,30.29,30.54,30.16,30.51,5820800,30.27
2013-09-30,30.19,30.37,29.87,30.34,6347100,30.10
2013-09-27,30.28,30.33,30.02,30.27,3490700,30.03
2013-09-26,30.50,30.54,30.24,30.48,3369300,30.24
