Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,25.50,25.85,25.46,25.55,7659700,25.55
2013-11-19,25.38,25.53,25.06,25.30,12331200,25.30
2013-11-18,25.94,26.02,25.31,25.42,9250300,25.42
2013-11-15,26.07,26.18,25.70,25.88,7493000,25.88
2013-11-14,25.92,26.14,25.70,25.95,7860700,25.95
2013-11-13,25.46,25.93,25.35,25.92,11979200,25.92
2013-11-12,25.76,25.87,25.44,25.55,8187700,25.55
2013-11-11,25.76,25.81,25.52,25.69,8572400,25.69
2013-11-08,25.49,26.08,25.49,25.71,10319500,25.71
2013-11-07,26.27,26.38,25.19,25.40,19681700,25.40
2013-11-06,28.50,28.55,26.05,26.23,30869600,26.23
2013-11-05,28.76,28.83,28.13,28.14,9345800,28.14
2013-11-04,28.00,29.06,27.95,28.84,11897200,28.84
2013-11-01,27.90,28.10,27.55,28.00,6761700,28.00
2013-10-31,28.19,28.27,27.67,27.96,6328000,27.96
2013-10-30,28.36,28.65,27.77,28.15,7829400,28.15
2013-10-29,28.25,28.50,28.20,28.32,6020300,28.32
2013-10-28,28.26,28.47,28.11,28.16,7179800,28.16
2013-10-25,28.40,28.69,28.15,28.47,8262500,28.47
2013-10-24,27.65,28.68,27.32,28.37,12541400,28.37
2013-10-23,28.01,28.04,27.21,27.29,10858800,27.29
2013-10-22,27.93,28.30,27.73,28.19,10858600,28.19
2013-10-21,28.30,28.71,27.94,28.05,8884100,28.05
2013-10-18,28.51,28.61,28.05,28.25,25341400,28.25
2013-10-17,27.43,27.78,27.25,27.63,9127500,27.63
2013-10-16,26.76,27.61,26.68,27.53,12640700,27.53
2013-10-15,26.43,27.05,26.29,26.50,8584500,26.50
2013-10-14,26.25,26.57,26.15,26.45,5116400,26.45
2013-10-11,26.13,26.73,25.99,26.47,6831300,26.47
2013-10-10,26.25,26.50,26.15,26.41,6413300,26.41
2013-10-09,25.93,26.25,25.65,25.99,10101100,25.90
2013-10-08,26.30,26.53,26.03,26.05,8970600,25.96
2013-10-07,26.16,26.57,26.11,26.27,5653500,26.18
2013-10-04,26.26,26.67,26.07,26.50,4236700,26.41
2013-10-03,26.09,26.27,25.86,26.18,5751900,26.09
2013-10-02,26.13,26.32,25.83,26.17,6053200,26.08
2013-10-01,25.83,26.58,25.83,26.24,5417200,26.15
2013-09-30,25.92,26.00,25.63,25.88,6755200,25.79
2013-09-27,26.23,26.41,26.07,26.21,5889800,26.12
2013-09-26,26.60,26.64,26.07,26.41,6550300,26.32
2013-09-25,26.40,26.68,26.34,26.50,7125900,26.41
2013-09-24,26.41,26.66,26.16,26.38,6658100,26.29
2013-09-23,26.52,26.64,26.30,26.38,5955700,26.29
2013-09-20,26.97,27.10,26.53,26.58,10208300,26.49
2013-09-19,27.28,27.46,26.84,26.90,7563900,26.81
2013-09-18,27.15,27.45,26.88,27.30,8969700,27.21
2013-09-17,26.61,27.27,26.58,27.16,10994700,27.07
2013-09-16,26.86,26.94,26.47,26.52,8926800,26.43
2013-09-13,26.91,27.07,26.57,26.67,9602200,26.58
2013-09-12,26.93,27.06,26.57,26.92,12911900,26.83
2013-09-11,26.40,27.29,26.37,26.89,15588200,26.80
2013-09-10,26.48,26.53,26.04,26.34,12616900,26.25
2013-09-09,26.10,26.50,26.10,26.40,9518300,26.31
2013-09-06,26.21,26.38,25.93,26.03,7713600,25.94
2013-09-05,26.18,26.24,26.02,26.17,9130200,26.08
2013-09-04,26.09,26.18,26.00,26.12,5969200,26.03
2013-09-03,26.07,26.41,26.02,26.16,7290600,26.07
2013-08-30,25.97,26.01,25.74,25.81,6928800,25.72
2013-08-29,26.34,26.34,25.76,25.95,9647700,25.86
2013-08-28,26.02,26.46,25.96,26.34,7628700,26.25
2013-08-27,26.11,26.36,25.94,26.02,8381800,25.93
2013-08-26,26.32,26.63,26.25,26.35,10572000,26.26
2013-08-23,25.59,26.26,25.39,26.23,12474500,26.14
2013-08-22,25.33,25.67,25.14,25.51,6894200,25.42
2013-08-21,24.65,25.50,24.65,25.25,10881200,25.17
2013-08-20,24.77,25.50,24.76,25.26,11132700,25.18
2013-08-19,25.58,25.58,24.74,24.77,9158600,24.69
2013-08-16,24.94,25.30,24.86,25.00,14664900,24.92
2013-08-15,24.69,25.08,24.53,24.99,8975500,24.91
2013-08-14,25.00,25.09,24.89,24.91,9648200,24.83
2013-08-13,25.05,25.23,24.94,25.03,9071700,24.95
2013-08-12,24.89,25.27,24.88,25.02,6651100,24.94
2013-08-09,25.03,25.20,24.85,25.00,9349400,24.92
2013-08-08,25.02,25.19,24.65,25.01,9381900,24.93
2013-08-07,24.85,24.90,24.39,24.85,16735700,24.77
2013-08-06,25.48,25.59,24.86,25.15,10852200,25.07
2013-08-05,24.93,25.64,24.79,25.48,10875200,25.39
2013-08-02,24.86,25.30,24.75,24.95,20150000,24.87
2013-08-01,24.06,25.20,24.02,24.95,35156400,24.87
2013-07-31,23.16,23.54,23.10,23.30,15875900,23.22
2013-07-30,22.76,23.06,22.63,23.05,10169000,22.97
2013-07-29,22.73,22.83,22.61,22.75,6974300,22.67
2013-07-26,22.44,22.86,22.34,22.85,8421200,22.77
2013-07-25,22.20,22.64,22.13,22.59,7571400,22.51
2013-07-24,22.38,22.54,22.09,22.20,5695100,22.13
2013-07-23,22.41,22.64,22.30,22.32,5392200,22.25
2013-07-22,22.55,22.57,22.21,22.40,9649500,22.33
2013-07-19,22.42,22.59,22.10,22.58,7703800,22.50
2013-07-18,21.86,22.48,21.86,22.33,8127700,22.26
2013-07-17,21.80,21.94,21.68,21.75,5470100,21.68
2013-07-16,21.57,21.91,21.57,21.75,6692700,21.68
2013-07-15,21.33,21.77,21.19,21.68,8808700,21.61
2013-07-12,21.30,21.49,21.11,21.24,4694900,21.17
2013-07-11,21.61,21.65,21.07,21.29,6912900,21.22
2013-07-10,21.15,21.70,21.15,21.40,8311300,21.24
2013-07-09,20.96,21.20,20.89,21.14,9081800,20.98
2013-07-08,21.16,21.24,20.90,20.93,6285700,20.78
2013-07-05,21.11,21.24,20.86,21.04,8187500,20.88
2013-07-03,20.91,21.17,20.84,21.01,7453900,20.85
2013-07-02,20.77,21.04,20.69,20.92,6544400,20.77
2013-07-01,20.46,20.85,20.30,20.77,7412700,20.62
2013-06-28,20.48,20.57,20.14,20.38,11869900,20.23
2013-06-27,20.46,20.90,20.46,20.58,15568600,20.43
2013-06-26,20.08,20.67,20.08,20.37,12956000,20.22
2013-06-25,19.81,19.92,19.61,19.79,7988100,19.64
