Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,50.89,51.00,50.48,50.67,3711400,50.67
2013-11-19,50.94,51.09,50.78,50.94,3724800,50.94
2013-11-18,51.10,51.10,50.77,51.03,4024500,51.03
2013-11-15,50.87,51.13,50.84,51.01,5759000,51.01
2013-11-14,50.50,51.14,50.49,51.03,5480100,51.03
2013-11-13,49.28,50.67,49.27,50.55,8956300,50.55
2013-11-12,50.08,50.28,49.97,50.06,27846900,49.57
2013-11-11,49.73,50.32,49.51,50.28,8162900,49.79
2013-11-08,49.95,50.67,49.88,50.63,18998600,50.13
2013-11-07,50.55,50.62,49.97,50.01,18678300,49.52
2013-11-06,50.56,50.56,50.26,50.49,5477800,50.00
2013-11-05,50.28,50.69,50.21,50.37,3692700,49.88
2013-11-04,50.39,50.55,50.10,50.41,4322800,49.92
2013-11-01,49.91,50.43,49.81,50.38,5045400,49.89
2013-10-31,49.27,50.21,49.22,49.82,6757500,49.33
2013-10-30,50.24,50.27,48.97,49.21,8599400,48.73
2013-10-29,50.96,50.98,50.13,50.20,6986400,49.71
2013-10-28,50.70,51.14,50.60,50.88,4474700,50.38
2013-10-25,50.48,51.00,50.31,50.66,4546700,50.16
2013-10-24,50.82,51.00,50.36,50.55,5580400,50.06
2013-10-23,50.52,51.00,49.94,50.31,5754500,49.82
2013-10-22,49.72,50.37,49.53,50.15,5792100,49.66
2013-10-21,49.57,49.72,49.39,49.65,4469200,49.16
2013-10-18,49.97,50.01,49.28,49.56,7022700,49.07
2013-10-17,48.91,49.76,48.91,49.70,5555800,49.21
2013-10-16,48.94,49.01,48.51,48.91,7249600,48.43
2013-10-15,48.80,49.08,48.60,48.81,4968700,48.33
2013-10-14,48.63,49.05,48.47,49.03,5516000,48.55
2013-10-11,48.63,49.09,48.51,48.88,6571900,48.40
2013-10-10,48.82,49.16,48.51,49.15,6285000,48.67
2013-10-09,48.09,48.26,47.53,47.96,6925000,47.49
2013-10-08,47.75,48.36,47.53,48.05,10496100,47.58
2013-10-07,48.17,48.21,47.56,47.65,7826100,47.18
2013-10-04,48.86,48.86,48.01,48.38,10750400,47.91
2013-10-03,50.25,50.29,48.50,48.80,15000900,48.32
2013-10-02,50.45,50.67,50.22,50.54,3424800,50.05
2013-10-01,50.41,50.69,50.24,50.67,3978100,50.17
