Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,42.22,43.00,42.20,42.78,1860400,42.78
2013-11-19,42.98,43.00,42.45,42.53,1462600,42.53
2013-11-18,42.64,43.69,42.60,43.35,2696300,43.00
2013-11-15,43.45,43.61,43.05,43.61,1535600,43.25
2013-11-14,43.34,43.50,42.99,43.42,2336200,43.07
2013-11-13,43.18,43.46,42.87,43.44,2443500,43.09
2013-11-12,42.74,43.59,42.71,43.50,2102400,43.14
2013-11-11,42.73,43.04,42.56,42.96,1073900,42.61
2013-11-08,42.22,42.95,42.09,42.89,1541400,42.54
2013-11-07,43.06,43.07,42.12,42.16,1463300,41.82
2013-11-06,42.69,43.10,42.51,42.97,1149400,42.62
2013-11-05,42.43,42.87,42.18,42.66,1691800,42.31
2013-11-04,42.57,42.62,42.25,42.62,2018400,42.27
2013-11-01,43.12,43.26,42.29,42.54,4145100,42.19
2013-10-31,42.50,44.10,41.81,42.96,10558300,42.61
2013-10-30,40.40,40.60,39.76,39.95,2709800,39.62
2013-10-29,39.53,40.41,39.53,40.30,3093400,39.97
2013-10-28,38.88,39.67,38.88,39.41,1904700,39.09
2013-10-25,39.16,39.19,38.55,38.87,2096600,38.55
2013-10-24,39.12,39.29,38.93,38.99,2711800,38.67
2013-10-23,40.24,40.34,38.76,38.94,2667400,38.62
2013-10-22,40.58,40.63,40.04,40.52,1485300,40.19
2013-10-21,40.43,40.62,40.27,40.50,744600,40.17
2013-10-18,40.26,40.30,39.85,40.30,1208600,39.97
2013-10-17,39.61,40.29,39.33,40.19,1032100,39.86
2013-10-16,39.73,39.94,39.46,39.91,1902700,39.58
2013-10-15,40.09,40.30,39.50,39.56,1632800,39.24
2013-10-14,39.97,40.50,39.97,40.39,852300,40.06
2013-10-11,39.58,40.22,39.45,40.10,835600,39.77
2013-10-10,39.07,39.78,39.00,39.69,1341300,39.37
2013-10-09,39.04,39.17,38.46,38.82,1382800,38.50
2013-10-08,39.45,39.58,38.69,38.89,1851200,38.57
2013-10-07,39.12,39.65,38.82,39.48,1478600,39.16
2013-10-04,39.43,39.67,39.32,39.39,1844700,39.07
2013-10-03,39.75,39.89,39.17,39.50,1379500,39.18
2013-10-02,39.96,40.23,39.71,39.89,997200,39.56
2013-10-01,40.31,40.63,40.09,40.30,1365600,39.97
2013-09-30,39.99,40.51,39.73,40.29,1896200,39.96
2013-09-27,40.36,40.47,40.20,40.30,919800,39.97
2013-09-26,40.71,40.84,40.33,40.59,1292000,40.26
2013-09-25,40.95,40.99,40.26,40.35,1473300,40.02
2013-09-24,40.97,41.13,40.51,40.94,1678000,40.61
2013-09-23,40.34,40.53,40.08,40.33,1278300,40.00
2013-09-20,40.45,40.61,40.24,40.24,2180600,39.91
2013-09-19,40.50,40.58,40.24,40.45,1009800,40.12
2013-09-18,40.27,40.44,39.91,40.43,843700,40.10
2013-09-17,40.25,40.49,40.24,40.28,885700,39.95
2013-09-16,40.08,40.15,39.79,40.07,1396700,39.74
2013-09-13,39.51,39.63,39.32,39.60,495500,39.28
2013-09-12,39.45,39.63,39.13,39.47,955700,39.15
2013-09-11,39.30,39.62,39.23,39.43,993900,39.11
2013-09-10,39.27,39.48,39.15,39.43,1101100,39.11
2013-09-09,39.08,39.22,38.77,38.94,1222200,38.62
2013-09-06,39.40,39.41,38.67,38.90,2043600,38.58
2013-09-05,39.45,39.55,38.90,39.11,2744700,38.79
2013-09-04,38.60,39.86,38.59,39.57,2328300,39.25
2013-09-03,39.19,39.76,38.86,39.19,2114100,38.87
2013-08-30,38.44,39.13,38.44,38.81,1518200,38.49
2013-08-29,38.90,39.26,38.82,39.03,1186900,38.71
2013-08-28,38.59,39.15,38.54,38.98,1082700,38.66
2013-08-27,38.79,38.99,38.53,38.54,1528500,38.23
2013-08-26,39.14,39.40,38.91,39.17,1025700,38.85
2013-08-23,39.06,39.15,38.69,39.08,1934800,38.76
2013-08-22,38.86,39.14,38.48,39.06,629800,38.74
2013-08-21,38.97,39.02,38.46,38.84,1256200,38.52
2013-08-20,39.00,39.29,38.92,39.11,892500,38.79
2013-08-19,38.98,39.41,38.90,38.92,1152800,38.60
2013-08-16,39.25,39.85,39.22,39.51,1557400,38.84
2013-08-15,40.01,40.01,39.30,39.41,2034000,38.74
2013-08-14,40.80,40.80,40.32,40.35,1153600,39.66
2013-08-13,40.89,41.00,40.40,40.88,1346800,40.18
2013-08-12,40.50,40.95,40.50,40.76,1290800,40.06
2013-08-09,40.84,41.01,40.50,40.61,1022700,39.92
2013-08-08,41.33,41.37,40.83,40.85,1565400,40.15
2013-08-07,41.28,41.29,40.85,41.01,1357400,40.31
2013-08-06,41.50,41.68,41.13,41.31,1364900,40.61
2013-08-05,41.28,41.70,41.28,41.68,1589300,40.97
2013-08-02,41.21,41.48,41.04,41.48,3033200,40.77
2013-08-01,41.00,41.78,40.62,41.69,3801100,40.98
2013-07-31,39.35,39.88,39.23,39.74,3102800,39.06
2013-07-30,39.32,39.44,39.13,39.25,2181400,38.58
2013-07-29,39.09,39.42,39.03,39.21,1666000,38.54
2013-07-26,39.30,39.59,38.98,39.29,2425200,38.62
2013-07-25,39.57,39.74,39.36,39.68,1507700,39.00
2013-07-24,40.27,40.27,39.27,39.48,1761800,38.81
2013-07-23,40.04,40.39,39.84,40.01,1514500,39.33
2013-07-22,40.08,40.14,39.64,39.78,1225000,39.10
2013-07-19,39.92,40.03,39.55,39.87,1679800,39.19
2013-07-18,40.14,40.14,39.58,40.03,1717200,39.35
2013-07-17,39.77,40.12,39.57,39.99,2642400,39.31
2013-07-16,39.45,39.67,39.39,39.61,1832900,38.93
2013-07-15,39.41,39.61,39.24,39.37,1057600,38.70
2013-07-12,38.94,39.54,38.82,39.44,1843100,38.77
2013-07-11,38.55,39.04,38.31,38.92,1890900,38.26
2013-07-10,37.66,38.04,37.62,38.03,1651000,37.38
2013-07-09,37.73,37.87,37.51,37.80,1148900,37.16
2013-07-08,38.42,38.47,37.26,37.44,1805500,36.80
2013-07-05,38.07,38.33,37.70,38.23,897300,37.58
2013-07-03,37.33,37.96,37.19,37.80,721600,37.16
2013-07-02,37.24,38.03,37.21,37.45,1418600,36.81
2013-07-01,37.57,37.75,37.18,37.37,1322100,36.73
2013-06-28,36.90,37.54,36.81,37.25,2824400,36.61
2013-06-27,37.15,37.40,36.88,37.09,3069600,36.46
2013-06-26,37.17,37.31,36.62,36.95,1111700,36.32
2013-06-25,36.70,36.91,36.42,36.81,1432200,36.18
2013-06-24,36.52,36.63,36.15,36.30,1516200,35.68
2013-06-21,36.54,36.92,36.38,36.75,2559200,36.12
2013-06-20,36.89,37.05,36.27,36.44,1906800,35.82
2013-06-19,38.01,38.16,37.38,37.41,1339200,36.77
2013-06-18,37.49,38.09,37.49,38.04,1371900,37.39
2013-06-17,37.32,37.82,37.25,37.55,1621200,36.91
2013-06-14,37.22,37.43,36.85,37.04,1276300,36.41
2013-06-13,36.37,37.32,36.16,37.25,1539100,36.61
2013-06-12,37.11,37.11,36.34,36.34,1992200,35.72
2013-06-11,36.48,37.10,36.14,36.77,2660500,36.14
2013-06-10,36.70,37.05,36.62,36.82,1975100,36.19
2013-06-07,36.41,36.73,36.09,36.70,1288800,36.07
2013-06-06,36.56,36.58,35.74,36.21,2106800,35.59
2013-06-05,36.90,37.09,36.41,36.44,1789900,35.82
2013-06-04,38.21,38.35,36.74,37.09,4826100,36.46
2013-06-03,36.50,36.87,36.34,36.84,1685100,36.21
2013-05-31,37.01,37.22,36.48,36.48,1780200,35.86
2013-05-30,36.71,37.37,36.64,37.24,1627600,36.60
2013-05-29,36.72,36.95,36.31,36.59,2028600,35.97
2013-05-28,36.62,36.89,36.29,36.44,1069600,35.82
2013-05-24,36.17,36.38,35.81,36.32,1446500,35.70
2013-05-23,36.14,36.54,35.96,36.34,1974000,35.72
