Date,Open,High,Low,Close,Volume,Adj Close
2013-11-20,159.67,159.93,157.83,158.39,978400,158.39
2013-11-19,159.00,159.68,157.38,159.21,907900,159.21
2013-11-18,161.34,161.60,158.58,158.78,1192900,158.78
2013-11-15,159.65,160.61,159.03,160.15,1105500,160.15
2013-11-14,157.87,159.77,155.92,159.46,2013400,159.46
2013-11-13,157.31,157.90,156.46,157.89,1331700,157.89
2013-11-12,158.45,159.67,156.85,157.89,1469100,157.89
2013-11-11,158.80,159.50,157.78,158.90,983300,158.90
2013-11-08,156.05,158.63,155.91,158.56,1331900,158.56
2013-11-07,157.48,158.00,155.80,156.29,1374200,156.29
2013-11-06,158.97,158.99,154.02,156.46,2556300,156.46
2013-11-05,159.61,159.71,158.42,158.92,1223900,158.92
2013-11-04,159.42,159.79,158.50,159.72,1239400,159.72
2013-11-01,156.29,159.57,156.00,159.44,2274100,159.44
2013-10-31,156.16,158.38,155.31,156.34,2297700,156.34
2013-10-30,156.26,157.35,155.33,156.04,2142900,156.04
2013-10-29,153.45,155.95,153.29,155.87,1941900,155.87
2013-10-28,152.88,153.90,152.06,153.28,3006300,153.28
2013-10-25,151.81,156.27,151.05,154.99,4271000,154.99
2013-10-24,154.60,155.00,147.61,150.00,6964700,150.00
2013-10-23,142.51,145.04,141.21,143.05,2640500,143.05
2013-10-22,136.35,143.23,135.68,142.13,1984000,142.13
2013-10-21,141.50,142.09,140.43,141.02,1146300,141.02
2013-10-18,143.47,143.86,140.76,141.45,1521600,141.45
2013-10-17,140.33,142.91,140.14,142.82,1501000,142.82
2013-10-16,139.07,141.19,139.00,140.79,1157400,140.79
2013-10-15,138.25,139.36,137.39,137.95,1284900,137.95
2013-10-14,137.92,138.78,136.69,138.69,904000,138.69
2013-10-11,137.88,139.00,137.23,138.31,1421500,138.31
2013-10-10,134.56,138.03,134.56,137.88,2285600,137.88
2013-10-09,134.05,134.67,132.83,133.48,2841400,133.48
2013-10-08,137.50,138.43,133.38,133.72,6324400,133.72
2013-10-07,131.24,131.30,129.57,129.63,1307900,129.63
2013-10-04,130.00,132.02,129.46,131.87,1236400,131.87
2013-10-03,129.87,130.04,128.84,129.57,1071700,129.57
2013-10-02,131.12,131.18,129.54,130.55,1028200,130.55
2013-10-01,128.97,131.82,128.97,131.52,1264800,131.52
2013-09-30,128.40,128.69,127.95,128.30,782300,128.30
2013-09-27,128.19,129.77,128.04,129.29,969600,129.29
2013-09-26,128.58,129.05,127.90,128.44,920000,128.44
2013-09-25,128.83,129.98,128.40,128.48,1454500,128.48
2013-09-24,129.11,129.72,127.45,127.91,1758100,127.91
2013-09-23,131.07,131.34,129.20,129.50,1494200,129.50
2013-09-20,131.90,132.62,130.78,131.27,2225000,131.27
2013-09-19,132.20,133.33,131.61,132.01,1637200,132.01
2013-09-18,131.21,131.89,129.58,131.61,838500,131.61
2013-09-17,129.83,131.41,129.78,131.08,923800,131.08
2013-09-16,130.03,130.45,129.43,129.78,595000,129.78
2013-09-13,128.54,128.92,128.00,128.70,720800,128.70
2013-09-12,127.80,129.62,127.80,128.60,900300,128.60
2013-09-11,125.97,127.70,125.59,127.70,1284700,127.70
2013-09-10,125.00,125.94,124.54,125.92,738100,125.92
2013-09-09,123.74,124.55,123.32,124.25,701700,124.25
2013-09-06,122.98,124.46,121.38,123.57,753300,123.57
2013-09-05,122.79,123.45,122.53,122.94,621100,122.94
2013-09-04,122.69,123.41,122.08,123.00,1137300,123.00
2013-09-03,122.77,124.11,121.79,122.52,831500,122.52
2013-08-30,121.74,122.21,120.78,121.41,898800,121.41
2013-08-29,120.65,122.35,120.17,121.56,566600,121.56
2013-08-28,120.61,121.84,120.26,121.20,699700,120.96
2013-08-27,122.04,122.04,120.51,120.85,729300,120.61
2013-08-26,123.28,123.28,122.28,122.38,626200,122.14
2013-08-23,122.94,123.16,122.00,122.95,507200,122.71
2013-08-22,122.13,123.12,122.00,122.92,385200,122.68
2013-08-21,122.41,123.08,121.98,122.08,753000,121.84
2013-08-20,121.64,122.98,121.55,122.52,814300,122.28
2013-08-19,121.55,122.40,121.52,121.63,887000,121.39
2013-08-16,121.92,122.79,121.60,121.82,2384100,121.58
2013-08-15,122.82,123.10,121.60,122.21,925500,121.97
2013-08-14,123.61,123.98,123.20,123.39,683300,123.15
2013-08-13,123.00,123.86,122.59,123.54,682900,123.30
2013-08-12,123.98,124.04,122.56,122.87,1041600,122.63
2013-08-09,124.28,124.59,123.27,124.21,779900,123.96
2013-08-08,123.91,124.65,123.28,124.43,812200,124.18
2013-08-07,123.43,123.70,122.58,123.09,775600,122.85
2013-08-06,123.54,123.81,122.45,123.57,798100,123.33
2013-08-05,122.90,124.07,122.24,123.46,834200,123.22
2013-08-02,123.06,123.89,122.62,123.42,896200,123.18
2013-08-01,123.26,123.88,122.62,123.51,979200,123.27
2013-07-31,123.33,124.00,121.79,122.66,1341000,122.42
2013-07-30,123.94,124.44,123.12,123.43,958300,123.19
2013-07-29,124.36,124.49,122.84,124.08,1378000,123.83
2013-07-26,121.00,126.36,121.00,124.85,1974200,124.60
2013-07-25,118.25,118.69,117.27,118.58,1005600,118.35
2013-07-24,118.59,118.74,117.74,118.46,895500,118.23
2013-07-23,118.78,118.78,117.61,118.12,751400,117.89
2013-07-22,118.70,119.40,118.32,118.56,1275400,118.33
2013-07-19,118.13,118.94,117.53,118.65,686600,118.42
2013-07-18,118.39,119.06,118.01,118.48,714100,118.25
2013-07-17,118.42,118.62,117.63,118.06,850300,117.83
2013-07-16,119.40,119.56,117.97,118.30,809400,118.07
2013-07-15,118.96,119.53,118.34,119.51,607600,119.27
2013-07-12,118.46,118.74,117.55,118.64,727700,118.41
2013-07-11,118.00,118.50,117.77,118.23,733800,118.00
2013-07-10,116.07,117.66,114.72,116.89,956800,116.66
